,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600028,4.3700,4.3800,4.3400,4.3600,4.3800,93679728,408097333.4300,3,0.098000,1,-0.456600
1,2022-02-22,sh.600028,4.4000,4.4200,4.3400,4.4000,4.3600,193828263,849034132.0900,3,0.202800,1,0.917400
2,2022-02-23,sh.600028,4.3800,4.3900,4.3200,4.3300,4.4000,191024437,828411643.6400,3,0.199900,1,-1.590900
3,2022-02-24,sh.600028,4.3300,4.4500,4.3100,4.3900,4.3300,444079968,1949429649.0400,3,0.464700,1,1.385700
4,2022-02-25,sh.600028,4.3300,4.3500,4.2900,4.3000,4.3900,336436144,1453858453.2700,3,0.352100,1,-2.050100
5,2022-02-28,sh.600028,4.3400,4.3600,4.3100,4.3300,4.3000,175487911,760120496.0000,3,0.183600,1,0.697700
6,2022-03-01,sh.600028,4.3200,4.3400,4.2800,4.3200,4.3300,181403855,780832368.0000,3,0.189800,1,-0.230900
7,2022-03-02,sh.600028,4.3600,4.3900,4.3400,4.3600,4.3200,279224496,1218688832.0000,3,0.292200,1,0.925900
8,2022-03-03,sh.600028,4.3800,4.4600,4.3700,4.4400,4.3600,360681696,1595493712.0000,3,0.377400,1,1.834900
9,2022-03-04,sh.600028,4.4200,4.4200,4.3500,4.3800,4.4400,231600186,1013701056.0000,3,0.242400,1,-1.351400
10,2022-03-07,sh.600028,4.4300,4.4500,4.3200,4.3500,4.3800,262568717,1151995824.0000,3,0.274800,1,-0.684900
11,2022-03-08,sh.600028,4.3100,4.3200,4.2100,4.2300,4.3500,310873584,1325258448.0000,3,0.325300,1,-2.758600
12,2022-03-09,sh.600028,4.2400,4.2500,4.0500,4.1400,4.2300,270163648,1125292672.0000,3,0.282700,1,-2.127700
13,2022-03-10,sh.600028,4.1400,4.1700,4.1300,4.1500,4.1400,145890809,605686592.0000,3,0.152700,1,0.241500
14,2022-03-11,sh.600028,4.1200,4.1700,4.0700,4.1500,4.1500,162844941,668621840.0000,3,0.170400,1,0.000000
15,2022-03-14,sh.600028,4.1300,4.1900,4.1100,4.1100,4.1500,148739420,617581232.0000,3,0.155700,1,-0.963900
16,2022-03-15,sh.600028,4.1000,4.1100,3.9700,3.9800,4.1100,287309776,1158303520.0000,3,0.300700,1,-3.163000
17,2022-03-16,sh.600028,4.0200,4.0700,3.9600,4.0600,3.9800,176310355,706802672.0000,3,0.184500,1,2.010100
18,2022-03-17,sh.600028,4.0800,4.1100,4.0500,4.0800,4.0600,160428998,654523472.0000,3,0.167900,1,0.492600
19,2022-03-18,sh.600028,4.1000,4.1400,4.0900,4.1300,4.0800,152767963,628992799.4100,3,0.159900,1,1.225500
20,2022-03-21,sh.600028,4.1500,4.1500,4.0900,4.1100,4.1300,108018446,444151182.1000,3,0.113000,1,-0.484300
21,2022-03-22,sh.600028,4.1300,4.1600,4.1100,4.1500,4.1100,110999231,459569655.5600,3,0.116200,1,0.973200
22,2022-03-23,sh.600028,4.1400,4.1500,4.1100,4.1300,4.1500,94522371,390490372.2200,3,0.098900,1,-0.481900
23,2022-03-24,sh.600028,4.1500,4.1700,4.1400,4.1500,4.1300,110856311,460715538.7900,3,0.116000,1,0.484300
24,2022-03-25,sh.600028,4.1400,4.1800,4.1300,4.1600,4.1500,98408555,409148870.3400,3,0.103000,1,0.241000
25,2022-03-28,sh.600028,4.2500,4.3100,4.2100,4.2900,4.1600,261976577,1117883496.1300,3,0.274200,1,3.125000
26,2022-03-29,sh.600028,4.2600,4.3400,4.2500,4.3300,4.2900,152668301,655934826.4100,3,0.159800,1,0.932400
27,2022-03-30,sh.600028,4.3100,4.3300,4.2800,4.3200,4.3300,132336913,569145409.5400,3,0.138500,1,-0.230900
28,2022-03-31,sh.600028,4.3100,4.3500,4.3000,4.3200,4.3200,131158677,567655309.5400,3,0.137300,1,0.000000
