,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600064,9.7200,9.7600,9.5800,9.6800,9.6800,8617442,83115372.0400,3,0.697200,1,0.000000
1,2022-02-22,sh.600064,9.6100,9.8500,9.6000,9.6900,9.6800,10998571,106900644.5400,3,0.889900,1,0.103300
2,2022-02-23,sh.600064,9.7100,9.8000,9.6600,9.6800,9.6900,7126765,69090214.2600,3,0.576600,1,-0.103200
3,2022-02-24,sh.600064,9.7200,9.8300,9.4400,9.5200,9.6800,12282160,118252004.3200,3,0.993700,1,-1.652900
4,2022-02-25,sh.600064,9.5900,9.7700,9.5400,9.5600,9.5200,10538516,101717634.6200,3,0.852700,1,0.420200
5,2022-02-28,sh.600064,9.6000,9.6100,9.4200,9.4900,9.5600,6409700,60743407.0000,3,0.518600,1,-0.732200
6,2022-03-01,sh.600064,9.5300,9.6600,9.4900,9.6200,9.4900,9236090,88533023.0000,3,0.747300,1,1.369900
7,2022-03-02,sh.600064,9.6200,9.7100,9.5500,9.6500,9.6200,5609245,54106333.0000,3,0.453800,1,0.311900
8,2022-03-03,sh.600064,9.6700,9.7900,9.6700,9.7600,9.6500,9476114,92285385.0000,3,0.766700,1,1.139900
9,2022-03-04,sh.600064,9.8100,9.8100,9.6200,9.6800,9.7600,8896965,86110671.0000,3,0.719800,1,-0.819700
10,2022-03-07,sh.600064,9.6300,9.7700,9.5900,9.6300,9.6800,7885160,76420466.0000,3,0.638000,1,-0.516500
11,2022-03-08,sh.600064,9.6200,9.6700,9.2700,9.2700,9.6300,11340734,107060685.0000,3,0.917600,1,-3.738300
12,2022-03-09,sh.600064,9.2900,9.3400,8.7200,8.9600,9.2700,14048493,126710450.0000,3,1.136600,1,-3.344100
13,2022-03-10,sh.600064,9.0700,9.2000,9.0100,9.1400,8.9600,9321188,85024576.0000,3,0.754200,1,2.008900
14,2022-03-11,sh.600064,9.1100,9.2500,8.9200,9.2200,9.1400,10643344,96410270.0000,3,0.861100,1,0.875300
15,2022-03-14,sh.600064,9.2300,9.6500,9.1800,9.3200,9.2200,16264891,154081108.0000,3,1.316000,1,1.084600
16,2022-03-15,sh.600064,9.3000,9.3100,8.6800,8.7000,9.3200,17502958,156796091.0000,3,1.416100,1,-6.652400
17,2022-03-16,sh.600064,8.8500,8.9500,8.5300,8.9100,8.7000,11579350,101580891.0000,3,0.936900,1,2.413800
18,2022-03-17,sh.600064,9.0400,9.1700,8.9800,9.0100,8.9100,10768985,97629752.0000,3,0.871300,1,1.122300
19,2022-03-18,sh.600064,8.9700,9.3900,8.9700,9.3900,9.0100,16332162,150214178.2800,3,1.321400,1,4.217500
20,2022-03-21,sh.600064,9.4400,9.5500,9.3500,9.4400,9.3900,15063285,141979854.9900,3,1.218800,1,0.532500
21,2022-03-22,sh.600064,9.4600,9.7300,9.4000,9.6900,9.4400,21148203,203396761.9500,3,1.711100,1,2.648300
22,2022-03-23,sh.600064,9.6300,9.8200,9.6000,9.7800,9.6900,15555504,150903046.2200,3,1.258600,1,0.928800
23,2022-03-24,sh.600064,9.7500,9.9100,9.6800,9.6900,9.7800,19345509,189674110.8900,3,1.565200,1,-0.920200
24,2022-03-25,sh.600064,9.7000,9.8500,9.5900,9.7300,9.6900,16486471,160476454.7500,3,1.333900,1,0.412800
25,2022-03-28,sh.600064,9.6800,10.0100,9.6600,9.9400,9.7300,18703200,184944312.5400,3,1.513300,1,2.158300
26,2022-03-29,sh.600064,9.9200,10.0100,9.7800,9.8300,9.9400,12500362,123476337.0200,3,1.011400,1,-1.106600
27,2022-03-30,sh.600064,9.8800,10.3500,9.8400,10.1600,9.8300,29708166,300392620.7900,3,2.403700,1,3.357100
28,2022-03-31,sh.600064,10.0900,10.4200,10.0800,10.2300,10.1600,29280053,300031545.0200,3,2.369000,1,0.689000
29,2022-04-01,sh.600064,10.2000,10.5200,10.1100,10.4800,10.2300,32389823,334698733.9900,3,2.620600,1,2.443800
30,2022-04-06,sh.600064,10.6500,10.9000,10.4600,10.8400,10.4800,34187586,365410820.2400,3,2.766100,1,3.435100
31,2022-04-07,sh.600064,10.6800,10.7000,10.2700,10.2700,10.8400,33802591,353874367.0500,3,2.734900,1,-5.258300
32,2022-04-08,sh.600064,10.2100,10.5200,10.1100,10.5000,10.2700,30473659,315617106.5000,3,2.465600,1,2.239500
33,2022-04-11,sh.600064,10.5500,10.6000,10.1400,10.1800,10.5000,28247519,293388186.4800,3,2.285500,1,-3.047600
34,2022-04-12,sh.600064,10.2300,10.3400,10.0400,10.1500,10.1800,20182194,205928312.6600,3,1.632900,1,-0.294700
35,2022-04-13,sh.600064,10.1400,10.2100,9.9000,10.0200,10.1500,17897434,179601605.6500,3,1.448100,1,-1.280800
36,2022-04-14,sh.600064,10.0800,10.3100,10.0400,10.2200,10.0200,18270933,186328931.9400,3,1.478300,1,1.996000
37,2022-04-15,sh.600064,10.1900,10.3400,10.0700,10.1500,10.2200,19250949,196597626.1700,3,1.557600,1,-0.684900
38,2022-04-18,sh.600064,10.0300,10.3800,9.9700,10.1300,10.1500,16983050,173058804.3900,3,1.374100,1,-0.197000
39,2022-04-19,sh.600064,10.2000,10.4300,10.0000,10.4200,10.1300,18811800,193141219.8000,3,1.522000,1,2.862800
40,2022-04-20,sh.600064,10.9900,11.4100,10.8200,11.0600,10.4200,54316858,600911937.2600,3,4.394700,1,6.142000
41,2022-04-21,sh.600064,11.0000,11.0800,10.1700,10.2400,11.0600,50569224,535410852.7900,3,4.091500,1,-7.414100
42,2022-04-22,sh.600064,10.3400,10.8300,10.3300,10.7400,10.2400,35671676,380439623.3100,3,2.886200,1,4.882800
43,2022-04-25,sh.600064,10.5600,10.6900,9.9500,9.9900,10.7400,38255639,391768536.7500,3,3.095200,1,-6.983200
44,2022-04-26,sh.600064,10.1600,10.3800,9.9500,9.9500,9.9900,29704991,300788400.9300,3,2.403400,1,-0.400400
45,2022-04-27,sh.600064,9.8000,10.1600,9.5800,10.1400,9.9500,27771012,274103861.0100,3,2.246900,1,1.909500
46,2022-04-28,sh.600064,10.0500,10.4600,9.9800,10.4100,10.1400,30048006,310446553.0800,3,2.431200,1,2.662700
47,2022-04-29,sh.600064,10.4000,10.8500,10.3500,10.8200,10.4100,37990793,407018578.9900,3,3.073800,1,3.938500
48,2022-05-05,sh.600064,10.9300,10.9300,10.6300,10.7800,10.8200,27365451,294767831.6300,3,2.214100,1,-0.369700
49,2022-05-06,sh.600064,10.5500,10.6100,10.2900,10.3900,10.7800,24410710,255461347.4600,3,1.975000,1,-3.617800
50,2022-05-09,sh.600064,10.3200,10.7500,10.3100,10.7400,10.3900,21453544,227293601.0600,3,1.735800,1,3.368600
51,2022-05-10,sh.600064,10.6100,10.7800,10.4600,10.7700,10.7400,22223162,236412705.7000,3,1.798100,1,0.279300
52,2022-05-11,sh.600064,10.7700,10.9100,10.6400,10.6600,10.7700,23960699,258542251.9100,3,1.938600,1,-1.021400
53,2022-05-12,sh.600064,10.6100,10.7200,10.3900,10.5700,10.6600,15374342,162227910.2100,3,1.243900,1,-0.844300
54,2022-05-13,sh.600064,10.6300,11.3500,10.5600,11.2600,10.5700,45697422,503149371.5000,3,3.697300,1,6.527900
55,2022-05-16,sh.600064,11.4800,11.5000,11.0100,11.1000,11.2600,32564356,363032709.0900,3,2.634700,1,-1.421000
56,2022-05-17,sh.600064,11.1000,11.2100,10.9100,11.1300,11.1000,20250504,223638801.2400,3,1.638400,1,0.270300
57,2022-05-18,sh.600064,11.1300,11.1300,10.8400,10.9100,11.1300,19201401,210425306.7200,3,1.553600,1,-1.976600
58,2022-05-19,sh.600064,10.8000,11.0300,10.7500,10.9100,10.9100,17840899,194066672.8000,3,1.443500,1,0.000000
59,2022-05-20,sh.600064,10.8000,11.3300,10.7900,11.0100,10.9100,19962641,219798040.6800,3,1.615200,1,0.916600
60,2022-05-23,sh.600064,10.9600,11.0900,10.8700,11.0700,11.0100,16949305,185669607.1200,3,1.371400,1,0.545000
61,2022-05-24,sh.600064,11.0000,11.0300,10.6500,10.6500,11.0700,16562106,179393418.3900,3,1.340000,1,-3.794000
62,2022-05-25,sh.600064,10.6800,10.7800,10.6500,10.7600,10.6500,8918963,95654651.5900,3,0.721600,1,1.032900
63,2022-05-26,sh.600064,10.7900,10.9200,10.7300,10.8300,10.7600,12109705,131297470.1000,3,0.979800,1,0.650600
64,2022-05-27,sh.600064,10.8700,10.9100,10.8000,10.8100,10.8300,10699062,116065133.0400,3,0.865700,1,-0.184700
65,2022-05-30,sh.600064,10.8000,10.9200,10.7400,10.8300,10.8100,10419196,112771534.2600,3,0.843000,1,0.185000
66,2022-05-31,sh.600064,10.8400,10.8600,10.7400,10.8500,10.8300,10277720,111157440.9300,3,0.831600,1,0.184700
67,2022-06-01,sh.600064,10.8500,11.0000,10.8000,10.9200,10.8500,13233479,144489038.6700,3,1.070700,1,0.645200
68,2022-06-02,sh.600064,10.8500,10.8800,10.7700,10.8400,10.9200,9154544,99066456.0500,3,0.740700,1,-0.732600
69,2022-06-06,sh.600064,10.8000,10.8600,10.6400,10.8400,10.8400,14423663,155212445.5500,3,1.167000,1,0.000000
70,2022-06-07,sh.600064,10.8100,10.9400,10.8000,10.8800,10.8400,11536924,125445385.0800,3,0.933400,1,0.369000
71,2022-06-08,sh.600064,10.8900,10.9300,10.6900,10.7700,10.8800,12414865,134017795.7000,3,1.004500,1,-1.011000
72,2022-06-09,sh.600064,10.7500,10.8600,10.7400,10.8300,10.7700,8991019,97213743.9400,3,0.727500,1,0.557100
73,2022-06-10,sh.600064,10.7800,10.8700,10.7100,10.8500,10.8300,12277329,132292919.3100,3,0.993300,1,0.184700
74,2022-06-13,sh.600064,10.7500,10.8100,10.5400,10.6200,10.8500,13589886,145066148.8800,3,1.099500,1,-2.119800
75,2022-06-14,sh.600064,10.5400,10.8200,10.4900,10.8200,10.6200,13105050,139500071.5300,3,1.060300,1,1.883200
76,2022-06-15,sh.600064,10.8500,11.1500,10.8200,11.0100,10.8200,24530049,270530778.9300,3,1.984700,1,1.756000
77,2022-06-16,sh.600064,11.0200,11.0800,10.8500,10.8600,11.0100,12491021,136760746.7800,3,1.010600,1,-1.362400
78,2022-06-17,sh.600064,10.8700,10.9000,10.7100,10.8600,10.8600,9193998,99590089.5600,3,0.743900,1,0.000000
79,2022-06-20,sh.600064,10.8400,10.9900,10.7900,10.9400,10.8600,9936279,108520716.5000,3,0.803900,1,0.736600
80,2022-06-21,sh.600064,10.9600,11.0700,10.8200,10.9000,10.9400,11085214,121610320.1600,3,0.896900,1,-0.365600
81,2022-06-22,sh.600064,10.9200,10.9400,10.7400,10.7500,10.9000,8825274,95659933.4600,3,0.714000,1,-1.376100
82,2022-06-23,sh.600064,10.7500,10.9100,10.6800,10.9100,10.7500,8744904,94557934.8100,3,0.707500,1,1.488400
83,2022-06-24,sh.600064,10.9200,10.9500,10.8600,10.9000,10.9100,7045230,76769260.4600,3,0.570000,1,-0.091700
84,2022-06-27,sh.600064,10.9100,11.0200,10.9100,10.9200,10.9000,10630326,116548338.9800,3,0.860100,1,0.183500
85,2022-06-28,sh.600064,10.9200,11.0800,10.9100,11.0800,10.9200,12646208,139235732.7500,3,1.023200,1,1.465200
86,2022-06-29,sh.600064,11.0500,11.2100,11.0200,11.0200,11.0800,18636555,207616350.1900,3,1.507900,1,-0.541500
87,2022-06-30,sh.600064,11.0600,11.0800,10.9500,11.0000,11.0200,14215614,156456301.9100,3,1.150200,1,-0.181500
88,2022-07-01,sh.600064,11.0100,11.1000,10.9600,11.0300,11.0000,9347069,103150581.1900,3,0.756300,1,0.272700
89,2022-07-04,sh.600064,10.9600,10.9900,10.5900,10.7400,11.0300,23654374,253920857.1900,3,1.913900,1,-2.629200
90,2022-07-05,sh.600064,10.7400,10.8200,10.6700,10.7500,10.7400,13215213,141981256.2200,3,1.069200,1,0.093100
91,2022-07-06,sh.600064,10.7200,10.7700,10.3700,10.4900,10.7500,19087463,200428112.2700,3,1.544300,1,-2.418600
92,2022-07-07,sh.600064,10.5000,10.5500,10.4200,10.5300,10.4900,6663910,69911525.5100,3,0.539200,1,0.381300
93,2022-07-08,sh.600064,10.5400,10.6200,10.5100,10.6200,10.5300,7530093,79617201.2100,3,0.609300,1,0.854700
94,2022-07-11,sh.600064,10.6700,10.6800,10.5300,10.5800,10.6200,11929312,126433554.2100,3,0.965200,1,-0.376600
95,2022-07-12,sh.600064,10.6000,10.7300,10.5300,10.6700,10.5800,9429622,100445721.8200,3,0.762900,1,0.850700
96,2022-07-13,sh.600064,10.7000,10.7400,10.6600,10.6800,10.6700,9523891,101830864.8800,3,0.770600,1,0.093700
97,2022-07-14,sh.600064,10.6800,10.6800,10.3800,10.4200,10.6800,16249450,169800117.5700,3,1.314700,1,-2.434500
98,2022-07-15,sh.600064,7.0200,7.1000,6.8800,6.8800,7.0100,12927400,90464969.0000,3,0.747100,1,-1.854500
99,2022-07-18,sh.600064,6.8800,6.9500,6.7700,6.8900,6.8800,14835922,101781774.7500,3,0.857400,1,0.145300
100,2022-07-19,sh.600064,6.8900,6.9000,6.8100,6.8900,6.8900,12311962,84359198.4200,3,0.711500,1,0.000000
101,2022-07-20,sh.600064,6.8800,6.9000,6.8200,6.8300,6.8900,9327457,63930309.4400,3,0.539100,1,-0.870800
102,2022-07-21,sh.600064,6.8000,6.8500,6.7100,6.7100,6.8300,10546717,71232806.9100,3,0.609500,1,-1.757000
103,2022-07-22,sh.600064,6.6900,6.7300,6.5200,6.6000,6.7100,13513581,89398866.9400,3,0.781000,1,-1.639300
104,2022-07-25,sh.600064,6.5800,6.6800,6.5300,6.5600,6.6000,9073943,59909636.6000,3,0.524400,1,-0.606100
105,2022-07-26,sh.600064,6.5600,6.7400,6.5600,6.6900,6.5600,11269054,75154605.6500,3,0.651300,1,1.981700
106,2022-07-27,sh.600064,6.6800,6.6800,6.5900,6.6300,6.6900,9262312,61354136.4100,3,0.535300,1,-0.896900
107,2022-07-28,sh.600064,6.6400,6.7200,6.6300,6.6700,6.6300,9662805,64498579.8600,3,0.558400,1,0.603300
108,2022-07-29,sh.600064,6.6900,6.6900,6.6100,6.6100,6.6700,7458419,49558624.2600,3,0.431000,1,-0.899600
109,2022-08-01,sh.600064,6.6500,6.7700,6.6200,6.7600,6.6100,13486571,90596453.7600,3,0.779400,1,2.269300
110,2022-08-02,sh.600064,6.7300,6.7300,6.5200,6.6000,6.7600,15513666,102482469.5400,3,0.896600,1,-2.366900
111,2022-08-03,sh.600064,6.6200,6.7100,6.5100,6.5300,6.6000,10151294,67393411.1100,3,0.586700,1,-1.060600
112,2022-08-04,sh.600064,6.5500,6.6000,6.5000,6.5900,6.5300,8120625,53219525.0000,3,0.469300,1,0.918800
113,2022-08-05,sh.600064,6.6200,6.6700,6.5400,6.6100,6.5900,7273920,47934283.0000,3,0.420400,1,0.303500
114,2022-08-08,sh.600064,6.6200,6.7100,6.5800,6.6600,6.6100,7010356,46710551.0000,3,0.405100,1,0.756400
115,2022-08-09,sh.600064,6.6900,6.7300,6.6200,6.6800,6.6600,6984042,46597120.0000,3,0.403600,1,0.300300
116,2022-08-10,sh.600064,6.6600,6.6800,6.6100,6.6600,6.6800,5340428,35505998.0000,3,0.308600,1,-0.299400
117,2022-08-11,sh.600064,6.6700,6.7600,6.6700,6.7600,6.6600,9661587,65072155.0000,3,0.558400,1,1.501500
118,2022-08-12,sh.600064,6.7300,6.8100,6.7300,6.8000,6.7600,8550249,57991374.0000,3,0.494100,1,0.591700
119,2022-08-15,sh.600064,6.8000,6.8400,6.7700,6.8100,6.8000,8990076,61260249.1600,3,0.519600,1,0.147100
120,2022-08-16,sh.600064,6.7800,6.8900,6.7800,6.8900,6.8100,9302142,63904309.9600,3,0.537600,1,1.174700
121,2022-08-17,sh.600064,6.9100,6.9700,6.8600,6.9700,6.8900,8670456,60062017.1600,3,0.501100,1,1.161100
122,2022-08-18,sh.600064,6.9100,6.9100,6.7900,6.8100,6.9700,15171340,103583150.8300,3,0.876800,1,-2.295600
123,2022-08-19,sh.600064,6.8100,6.8900,6.8000,6.8100,6.8100,9476063,64751200.9400,3,0.547600,1,0.000000
124,2022-08-22,sh.600064,6.8000,6.9200,6.7700,6.8900,6.8100,11674055,80071795.6500,3,0.674700,1,1.174700
125,2022-08-23,sh.600064,6.8800,6.9000,6.8300,6.9000,6.8900,6872762,47187663.2100,3,0.397200,1,0.145100
126,2022-08-24,sh.600064,6.8800,6.9000,6.7700,6.7800,6.9000,8404250,57291060.7700,3,0.485700,1,-1.739100
127,2022-08-25,sh.600064,6.8200,6.8700,6.7600,6.8600,6.7800,8317711,56682844.7700,3,0.480700,1,1.179900
128,2022-08-26,sh.600064,6.8500,6.8900,6.8100,6.8400,6.8600,5823793,39908570.6200,3,0.336600,1,-0.291500
129,2022-08-29,sh.600064,6.7800,6.8900,6.7300,6.8800,6.8400,9823213,67116232.7200,3,0.567700,1,0.584800
130,2022-08-30,sh.600064,6.8600,6.9500,6.8600,6.9300,6.8800,8586261,59360246.5500,3,0.496200,1,0.726700
131,2022-08-31,sh.600064,6.8900,6.9500,6.8600,6.8900,6.9300,10202841,70529488.3300,3,0.589600,1,-0.577200
132,2022-09-01,sh.600064,6.9100,7.1200,6.9000,7.0400,6.8900,18740480,131996899.6100,3,1.083100,1,2.177100
133,2022-09-02,sh.600064,7.0400,7.0900,6.9400,7.0000,7.0400,10812464,75747006.8500,3,0.624900,1,-0.568200
134,2022-09-05,sh.600064,6.9800,7.1100,6.9600,7.0800,7.0000,12468331,87866340.1500,3,0.720600,1,1.142900
135,2022-09-06,sh.600064,7.0900,7.2000,7.0800,7.1800,7.0800,18692536,133991010.6400,3,1.080300,1,1.412400
136,2022-09-07,sh.600064,7.1800,7.2600,7.1000,7.2400,7.1800,13821256,99480334.1600,3,0.798800,1,0.835700
137,2022-09-08,sh.600064,7.2400,7.3200,7.1700,7.2600,7.2400,12448936,90091986.8600,3,0.719500,1,0.276200
138,2022-09-09,sh.600064,7.2500,7.3700,7.2100,7.3500,7.2600,17980599,132010880.9500,3,1.039100,1,1.239700
139,2022-09-13,sh.600064,7.3800,7.5500,7.3200,7.3800,7.3500,28002310,208161281.2100,3,1.618300,1,0.408200
140,2022-09-14,sh.600064,7.3200,7.5600,7.2900,7.4900,7.3800,28583002,213647322.9300,3,1.651900,1,1.490500
141,2022-09-15,sh.600064,7.5100,7.6500,7.4700,7.5600,7.4900,31145230,235538729.8800,3,1.799900,1,0.934600
142,2022-09-16,sh.600064,7.5300,7.6500,7.3400,7.3400,7.5600,33211056,248695378.6200,3,1.919300,1,-2.910100
143,2022-09-19,sh.600064,7.3500,7.5500,7.2800,7.4500,7.3400,28963903,215449256.6400,3,1.673900,1,1.498600
144,2022-09-20,sh.600064,7.4600,7.5300,7.2600,7.2900,7.4500,22292867,163880056.2900,3,1.288400,1,-2.147700
145,2022-09-21,sh.600064,7.3100,7.4800,7.2400,7.4400,7.2900,20855903,153927440.1800,3,1.205300,1,2.057600
146,2022-09-22,sh.600064,7.4100,7.4500,7.2500,7.3100,7.4400,15566191,113840047.3300,3,0.899600,1,-1.747300
147,2022-09-23,sh.600064,7.3100,7.4600,7.2400,7.2700,7.3100,12363521,90693725.2100,3,0.714500,1,-0.547200
148,2022-09-26,sh.600064,7.2200,7.2700,7.0600,7.0700,7.2700,19573714,139855389.6000,3,1.131200,1,-2.751000
