,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600066,10.1100,10.2700,10.1000,10.2300,10.1100,11256404,114979728.7600,3,0.508400,1,1.186900
1,2022-02-22,sh.600066,10.2000,10.2000,10.0700,10.1000,10.2300,9115226,92296420.9800,3,0.411700,1,-1.270800
2,2022-02-23,sh.600066,10.1300,10.1900,10.1100,10.1600,10.1000,7123889,72347242.7100,3,0.321800,1,0.594100
3,2022-02-24,sh.600066,10.1700,10.1700,9.9100,9.9300,10.1600,17340476,173618098.4900,3,0.783200,1,-2.263800
4,2022-02-25,sh.600066,9.9800,10.0400,9.9200,9.9400,9.9300,11361769,113332317.5200,3,0.513200,1,0.100700
5,2022-02-28,sh.600066,9.9900,9.9900,9.6400,9.7500,9.9400,14954636,145703994.0000,3,0.675500,1,-1.911500
6,2022-03-01,sh.600066,9.7500,9.8000,9.7100,9.7500,9.7500,10684333,104071541.0000,3,0.482600,1,0.000000
7,2022-03-02,sh.600066,9.7200,9.7400,9.6900,9.7200,9.7500,8647743,84055160.0000,3,0.390600,1,-0.307700
8,2022-03-03,sh.600066,9.7200,9.7400,9.6000,9.6400,9.7200,18396090,177387366.0000,3,0.830900,1,-0.823000
9,2022-03-04,sh.600066,9.6200,9.6200,9.4200,9.4500,9.6400,16109487,152934782.0000,3,0.727600,1,-1.971000
10,2022-03-07,sh.600066,9.4200,9.4200,9.0400,9.1000,9.4500,25011985,229145299.0000,3,1.129800,1,-3.703700
11,2022-03-08,sh.600066,9.1000,9.1800,8.8200,8.8300,9.1000,24395230,218847718.0000,3,1.101900,1,-2.967000
12,2022-03-09,sh.600066,8.8700,8.9700,8.5100,8.7800,8.8300,27139966,239059916.0000,3,1.225900,1,-0.566300
13,2022-03-10,sh.600066,8.9300,8.9800,8.8500,8.9000,8.7800,18464859,164570688.0000,3,0.834000,1,1.366700
14,2022-03-11,sh.600066,8.8200,8.9400,8.6700,8.9000,8.9000,22207006,195484342.0000,3,1.003100,1,0.000000
15,2022-03-14,sh.600066,8.8200,8.9000,8.6600,8.6600,8.9000,16904472,148566822.0000,3,0.763500,1,-2.696600
16,2022-03-15,sh.600066,8.6500,8.6500,8.1100,8.1100,8.6600,25149407,210712298.0000,3,1.136000,1,-6.351000
17,2022-03-16,sh.600066,8.2000,8.4100,7.9200,8.3500,8.1100,26424527,216637804.0000,3,1.193600,1,2.959300
18,2022-03-17,sh.600066,8.4000,8.6100,8.3800,8.4900,8.3500,21988567,187233343.0000,3,0.993200,1,1.676600
19,2022-03-18,sh.600066,8.4400,8.6500,8.4400,8.6000,8.4900,16482424,141394635.1400,3,0.744500,1,1.295600
20,2022-03-21,sh.600066,8.6000,8.6800,8.5600,8.6500,8.6000,17252029,148680855.8500,3,0.779200,1,0.581400
21,2022-03-22,sh.600066,8.6400,8.7400,8.5900,8.6900,8.6500,11333691,98170067.6700,3,0.511900,1,0.462400
22,2022-03-23,sh.600066,8.7300,8.7800,8.6300,8.6600,8.6900,11338538,98337116.7000,3,0.512100,1,-0.345200
23,2022-03-24,sh.600066,8.6200,8.6800,8.5200,8.5500,8.6600,10478144,90101008.8700,3,0.473300,1,-1.270200
24,2022-03-25,sh.600066,8.5900,8.6400,8.5000,8.5600,8.5500,11867410,101700450.2800,3,0.536000,1,0.117000
25,2022-03-28,sh.600066,8.5000,8.6100,8.3600,8.5600,8.5600,13972571,118656166.3000,3,0.631100,1,0.000000
26,2022-03-29,sh.600066,8.6400,8.9000,8.6100,8.7100,8.5600,30087361,262590086.4600,3,1.359000,1,1.752300
27,2022-03-30,sh.600066,8.7000,8.7200,8.4700,8.5500,8.7100,28580467,243767160.5600,3,1.290900,1,-1.837000
28,2022-03-31,sh.600066,8.5200,8.5700,8.4000,8.4100,8.5500,20304930,172092541.7300,3,0.917100,1,-1.637400
29,2022-04-01,sh.600066,8.3800,8.4300,8.2700,8.4300,8.4100,18722661,156613299.6300,3,0.845700,1,0.237800
30,2022-04-06,sh.600066,8.4000,8.4700,8.3100,8.3800,8.4300,19873412,166310388.1400,3,0.897600,1,-0.593100
31,2022-04-07,sh.600066,8.3300,8.3500,8.0800,8.0900,8.3800,25453659,208790230.2600,3,1.149700,1,-3.460600
32,2022-04-08,sh.600066,8.0400,8.1300,7.9600,8.0100,8.0900,19360221,155015816.8900,3,0.874500,1,-0.988900
33,2022-04-11,sh.600066,7.9900,8.0000,7.6300,7.6700,8.0100,27682024,216017984.5900,3,1.250400,1,-4.244700
34,2022-04-12,sh.600066,7.6400,7.7400,7.5200,7.7000,7.6700,30083013,229759175.4200,3,1.358800,1,0.391100
35,2022-04-13,sh.600066,7.6700,7.7400,7.5500,7.5600,7.7000,19473284,148399033.1100,3,0.879600,1,-1.818200
36,2022-04-14,sh.600066,7.6400,7.9500,7.6300,7.8600,7.5600,31466351,247110008.8200,3,1.421300,1,3.968300
37,2022-04-15,sh.600066,7.7600,7.8900,7.7100,7.8000,7.8600,18165878,141508865.2900,3,0.820500,1,-0.763400
38,2022-04-18,sh.600066,7.8000,7.8300,7.7100,7.7500,7.8000,13787529,106745057.4000,3,0.622800,1,-0.641000
39,2022-04-19,sh.600066,7.7500,7.9100,7.7500,7.8500,7.7500,15026080,117486081.6500,3,0.678700,1,1.290300
40,2022-04-20,sh.600066,7.8300,7.9000,7.6900,7.7500,7.8500,16392999,127955893.9200,3,0.740400,1,-1.273900
41,2022-04-21,sh.600066,7.7200,7.7600,7.5200,7.5300,7.7500,17869437,136558711.8200,3,0.807100,1,-2.838700
42,2022-04-22,sh.600066,7.5100,7.6800,7.4500,7.6400,7.5300,14608059,110429252.7100,3,0.659800,1,1.460800
43,2022-04-25,sh.600066,7.5800,7.6100,7.3400,7.4100,7.6400,27701068,207359911.1200,3,1.251200,1,-3.010500
44,2022-04-26,sh.600066,7.4100,7.4700,7.2600,7.2800,7.4100,23341110,171665046.7100,3,1.054300,1,-1.754400
45,2022-04-27,sh.600066,7.1800,7.4300,6.9000,7.3600,7.2800,28235938,202483579.1400,3,1.275400,1,1.098900
46,2022-04-28,sh.600066,7.3500,7.3900,7.1500,7.2400,7.3600,17011219,123337440.8100,3,0.768400,1,-1.630400
47,2022-04-29,sh.600066,7.3300,7.7200,7.3200,7.5800,7.2400,25175163,189568560.9500,3,1.137100,1,4.696100
48,2022-05-05,sh.600066,7.5600,7.6600,7.5300,7.6100,7.5800,20434756,155731528.4000,3,0.923000,1,0.395800
49,2022-05-06,sh.600066,7.4700,7.4800,7.3300,7.3300,7.6100,15448937,114394804.8000,3,0.697800,1,-3.679400
50,2022-05-09,sh.600066,7.3300,7.4500,7.2900,7.3500,7.3300,10566145,77768439.2900,3,0.477300,1,0.272900
51,2022-05-10,sh.600066,7.2800,7.4800,7.1900,7.4600,7.3500,15180711,111829999.5500,3,0.685700,1,1.496600
