,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600206,14.7900,14.9400,14.6000,14.8000,14.7900,10110150,149011629.8100,3,1.194300,1,0.067600
1,2022-02-22,sh.600206,14.6900,14.8900,14.5000,14.7700,14.8000,10648191,156628593.4100,3,1.257800,1,-0.202700
2,2022-02-23,sh.600206,14.8500,15.8200,14.8000,15.6000,14.7700,33696683,520697562.5500,3,3.980500,1,5.619500
3,2022-02-24,sh.600206,15.5100,15.6700,15.0000,15.2400,15.6000,24393533,375295186.3200,3,2.881500,1,-2.307700
4,2022-02-25,sh.600206,15.4900,15.6300,15.2400,15.3200,15.2400,17050906,262869206.8100,3,2.014200,1,0.524900
5,2022-02-28,sh.600206,15.3200,15.7000,15.2600,15.4900,15.3200,21460916,332619936.0000,3,2.535100,1,1.109700
6,2022-03-01,sh.600206,15.5100,15.6100,15.2500,15.3700,15.4900,17276314,265772273.0000,3,2.040800,1,-0.774700
7,2022-03-02,sh.600206,15.3200,15.3600,15.1000,15.2500,15.3700,10446438,159114368.0000,3,1.234000,1,-0.780700
8,2022-03-03,sh.600206,15.3500,15.3800,14.9400,15.0200,15.2500,11598553,175048673.0000,3,1.370100,1,-1.508200
9,2022-03-04,sh.600206,14.9600,15.1600,14.7000,14.8200,15.0200,11837165,176499015.0000,3,1.398300,1,-1.331600
10,2022-03-07,sh.600206,14.7200,14.8600,14.3000,14.4500,14.8200,14489442,211827287.0000,3,1.711600,1,-2.496600
11,2022-03-08,sh.600206,14.4700,14.8600,14.0300,14.3700,14.4500,17478653,252863262.0000,3,2.064700,1,-0.553600
12,2022-03-09,sh.600206,14.4100,14.7200,13.7300,14.2500,14.3700,19425612,277714384.0000,3,2.294700,1,-0.835100
13,2022-03-10,sh.600206,14.6500,14.7100,14.1500,14.1900,14.2500,15230622,219266315.0000,3,1.799100,1,-0.421100
14,2022-03-11,sh.600206,13.9700,13.9800,12.8500,13.3700,14.1900,35992239,475720368.0000,3,4.251600,1,-5.778700
15,2022-03-14,sh.600206,13.1300,13.2500,12.9400,12.9900,13.3700,13125011,171741815.0000,3,1.550400,1,-2.842200
16,2022-03-15,sh.600206,12.8800,13.3500,12.6800,12.7200,12.9900,21102147,274787712.0000,3,2.492700,1,-2.078500
17,2022-03-16,sh.600206,12.9400,13.5400,12.7700,13.4700,12.7200,23692846,312156848.0000,3,2.798700,1,5.896200
18,2022-03-17,sh.600206,13.6700,14.4400,13.5900,14.0200,13.4700,26454215,371817952.0000,3,3.124900,1,4.083100
19,2022-03-18,sh.600206,13.9500,14.2800,13.8500,14.0700,14.0200,10782510,151848936.5000,3,1.273700,1,0.356600
