,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600225,3.2100,3.3000,3.2100,3.2400,3.1800,3591668,11631618.9700,3,0.105400,1,1.886800
1,2022-02-22,sh.600225,3.2500,3.2500,3.1800,3.2000,3.2400,3150240,10106999.3500,3,0.092400,1,-1.234600
2,2022-02-23,sh.600225,3.1900,3.1900,3.0800,3.1600,3.2000,8290103,26128622.4000,3,0.243200,1,-1.250000
3,2022-02-24,sh.600225,3.1700,3.2200,3.0000,3.0500,3.1600,9798311,30438763.7000,3,0.287400,1,-3.481000
4,2022-02-25,sh.600225,3.0600,3.1500,3.0200,3.1000,3.0500,6122101,18868821.0900,3,0.179600,1,1.639300
5,2022-02-28,sh.600225,3.0900,3.1000,3.0200,3.0400,3.1000,4622330,14053212.0000,3,0.135600,1,-1.935500
6,2022-03-01,sh.600225,3.0400,3.0800,3.0100,3.0400,3.0400,3795530,11508832.0000,3,0.111300,1,0.000000
7,2022-03-02,sh.600225,3.0300,3.0400,3.0000,3.0200,3.0400,3700500,11152778.0000,3,0.108600,1,-0.657900
8,2022-03-03,sh.600225,3.0000,3.0200,2.9000,3.0000,3.0200,5723301,16993648.0000,3,0.167900,1,-0.662300
9,2022-03-04,sh.600225,3.0000,3.0300,2.9500,3.0000,3.0000,3033037,9095451.0000,3,0.089000,1,0.000000
10,2022-03-07,sh.600225,3.0000,3.0200,2.9600,2.9700,3.0000,2596000,7747362.0000,3,0.076200,1,-1.000000
11,2022-03-08,sh.600225,2.9600,2.9900,2.9300,2.9500,2.9700,3138101,9263673.0000,3,0.092100,1,-0.673400
12,2022-03-09,sh.600225,2.9500,2.9600,2.8000,2.9200,2.9500,4361129,12538327.0000,3,0.127900,1,-1.016900
13,2022-03-10,sh.600225,2.9900,3.0700,2.9900,3.0600,2.9200,13626332,41398626.0000,3,0.399700,1,4.794500
14,2022-03-11,sh.600225,3.0100,3.0200,2.9600,2.9900,3.0600,7852804,23479033.0000,3,0.230400,1,-2.287600
15,2022-03-14,sh.600225,2.9700,2.9900,2.9200,2.9300,2.9900,4479600,13248207.0000,3,0.131400,1,-2.006700
16,2022-03-15,sh.600225,2.9300,2.9700,2.8200,2.8400,2.9300,5321577,15350689.0000,3,0.156100,1,-3.071700
17,2022-03-16,sh.600225,2.8000,2.8700,2.8000,2.8600,2.8400,5079086,14355746.0000,3,0.149000,1,0.704200
18,2022-03-17,sh.600225,2.8600,2.8800,2.8200,2.8200,2.8600,3800601,10826624.0000,3,0.111500,1,-1.398600
19,2022-03-18,sh.600225,2.8200,2.8800,2.8100,2.8400,2.8200,6609500,18687981.0000,3,0.193900,1,0.709200
20,2022-03-21,sh.600225,2.8400,2.8600,2.8100,2.8400,2.8400,6634400,18780034.0000,3,0.194600,1,0.000000
21,2022-03-22,sh.600225,2.8400,2.8600,2.8300,2.8600,2.8400,5620101,15974117.8300,3,0.164900,1,0.704200
22,2022-03-23,sh.600225,2.8800,2.8800,2.8200,2.8200,2.8600,3952500,11221045.0000,3,0.115900,1,-1.398600
23,2022-03-24,sh.600225,2.8400,2.8600,2.7700,2.7900,2.8200,4430700,12434471.0000,3,0.130000,1,-1.063800
24,2022-03-25,sh.600225,2.8000,2.8200,2.7200,2.7400,2.7900,4273601,11789212.7300,3,0.125400,1,-1.792100
25,2022-03-28,sh.600225,2.7400,2.7400,2.6400,2.6900,2.7400,6299849,16884914.3600,3,0.184800,1,-1.824800
26,2022-03-29,sh.600225,2.7000,2.7300,2.6700,2.6900,2.6900,4073100,10999000.0000,3,0.119500,1,0.000000
27,2022-03-30,sh.600225,2.7000,2.7700,2.6800,2.7700,2.6900,4798200,13014844.0000,3,0.140800,1,2.974000
28,2022-03-31,sh.600225,2.7600,2.9100,2.7400,2.8900,2.7700,12662000,36510435.0000,3,0.371400,1,4.332100
29,2022-04-01,sh.600225,2.8500,2.9100,2.8300,2.8600,2.8900,5758200,16464695.0000,3,0.168900,1,-1.038100
30,2022-04-06,sh.600225,2.8500,2.8600,2.8100,2.8200,2.8600,5321900,15091940.0000,3,0.156100,1,-1.398600
31,2022-04-07,sh.600225,2.8200,2.8800,2.7100,2.7300,2.8200,8020500,22425014.0000,3,0.235300,1,-3.191500
32,2022-04-08,sh.600225,2.7300,2.7600,2.6800,2.6800,2.7300,7214100,19557156.0000,3,0.211600,1,-1.831500
33,2022-04-11,sh.600225,2.7100,2.8100,2.6800,2.7500,2.6800,10627967,29394505.2400,3,0.311800,1,2.611900
34,2022-04-12,sh.600225,2.7400,2.8900,2.7200,2.8900,2.7500,19962156,57373828.8200,3,0.585600,1,5.090900
35,2022-04-13,sh.600225,2.9100,3.0300,2.9000,2.9800,2.8900,19104744,56707687.5700,3,0.560400,1,3.114200
36,2022-04-14,sh.600225,2.9800,3.1300,2.9800,3.1300,2.9800,17853714,55584433.7200,3,0.523700,1,5.033600
37,2022-04-15,sh.600225,3.1100,3.2700,3.0300,3.2600,3.1300,21483790,66736343.3600,3,0.630200,1,4.153400
38,2022-04-18,sh.600225,3.3000,3.3500,3.1100,3.1800,3.2600,19042007,61121407.9800,3,0.558600,1,-2.454000
39,2022-04-19,sh.600225,3.1500,3.2100,3.1300,3.2000,3.1800,8311205,26363010.9700,3,0.243800,1,0.628900
40,2022-04-20,sh.600225,3.2000,3.2000,3.0400,3.0500,3.2000,14696630,45339243.5000,3,0.431100,1,-4.687500
41,2022-04-21,sh.600225,3.0700,3.1000,2.9600,3.0000,3.0500,9641003,29052771.9100,3,0.282800,1,-1.639300
42,2022-04-22,sh.600225,3.0000,3.0100,2.9600,2.9900,3.0000,5881503,17530965.9100,3,0.172500,1,-0.333300
43,2022-04-25,sh.600225,2.9900,2.9900,2.8400,2.8400,2.9900,11789500,33855736.0000,3,0.345900,1,-5.016700
44,2022-04-26,sh.600225,2.8300,2.9800,2.7500,2.9300,2.8400,12371001,35671697.7900,3,0.362900,1,3.169000
45,2022-04-27,sh.600225,2.9900,2.9900,2.8400,2.9200,2.9300,9657682,28066296.1800,3,0.283300,1,-0.341300
46,2022-04-28,sh.600225,2.8800,2.9100,2.8000,2.8300,2.9200,8408801,24085781.8100,3,0.246700,1,-3.082200
47,2022-04-29,sh.600225,2.8100,2.8700,2.7500,2.8600,2.8300,6088337,17169063.8600,3,0.178600,1,1.060100
48,2022-05-05,sh.600225,2.7700,2.8600,2.7700,2.8100,2.8600,6597800,18528119.0000,3,0.193600,1,-1.748300
49,2022-05-06,sh.600225,2.8100,2.8500,2.7500,2.8200,2.8100,3404200,9566333.0000,3,0.099900,1,0.355900
50,2022-05-09,sh.600225,2.8100,2.9200,2.8000,2.8700,2.8200,4293201,12326394.8400,3,0.125900,1,1.773000
51,2022-05-10,sh.600225,2.8700,2.8700,2.8700,2.8700,2.8700,,,3,,0,
52,2022-05-11,sh.600225,3.1600,3.1600,3.1600,3.1600,2.8700,14460300,45694548.0000,3,0.424200,1,10.104500
53,2022-05-12,sh.600225,3.3600,3.4800,3.1500,3.1600,3.1600,98562234,330063444.1900,3,2.891400,1,0.000000
54,2022-05-13,sh.600225,2.8700,3.3400,2.8700,3.0900,3.1600,66278103,201830963.8600,3,1.944300,1,-2.215200
55,2022-05-16,sh.600225,3.0900,3.2000,2.9600,3.1300,3.0900,48527400,149381002.2500,3,1.423600,1,1.294500
56,2022-05-17,sh.600225,3.0500,3.0900,2.9200,2.9300,3.1300,35086097,105156631.9700,3,1.029300,1,-6.389800
57,2022-05-18,sh.600225,2.9500,3.0000,2.8500,2.9100,2.9300,27824061,80501285.0200,3,0.816200,1,-0.682600
58,2022-05-19,sh.600225,2.8200,3.2000,2.8200,3.2000,2.9100,72732802,229485185.3200,3,2.133700,1,9.965600
59,2022-05-20,sh.600225,3.2500,3.3500,3.0500,3.0600,3.2000,96007088,305402622.6900,3,2.816400,1,-4.375000
60,2022-05-23,sh.600225,2.9800,3.0700,2.9800,3.0400,3.0600,34294038,103555305.0600,3,1.006000,1,-0.653600
61,2022-05-24,sh.600225,3.0000,3.3400,2.9700,3.1600,3.0400,73971900,234167621.9800,3,2.170000,1,3.947400
62,2022-05-25,sh.600225,3.0900,3.1700,3.0200,3.1700,3.1600,46401533,144356001.5300,3,1.361200,1,0.316500
63,2022-05-26,sh.600225,3.1200,3.1800,3.0600,3.0800,3.1700,31773623,98433404.3900,3,0.932100,1,-2.839100
64,2022-05-27,sh.600225,3.1000,3.1500,3.0300,3.1200,3.0800,28848201,88940845.0800,3,0.846300,1,1.298700
65,2022-05-30,sh.600225,3.0900,3.1300,3.0600,3.0800,3.1200,20630800,63664634.0000,3,0.605200,1,-1.282100
66,2022-05-31,sh.600225,3.0800,3.1000,3.0300,3.0400,3.0800,17588456,53611548.3700,3,0.516000,1,-1.298700
67,2022-06-01,sh.600225,3.0400,3.0500,2.9800,3.0000,3.0400,19267328,57838277.7200,3,0.565200,1,-1.315800
68,2022-06-02,sh.600225,3.0000,3.2900,2.9700,3.1000,3.0000,26742003,83423530.9200,3,0.784500,1,3.333300
69,2022-06-06,sh.600225,3.0500,3.1200,3.0300,3.0700,3.1000,15888596,48659543.6900,3,0.466100,1,-0.967700
70,2022-06-07,sh.600225,3.0500,3.1200,3.0500,3.1000,3.0700,13667669,42278021.6800,3,0.400900,1,0.977200
71,2022-06-08,sh.600225,3.0700,3.0900,3.0300,3.0500,3.1000,12758497,38937680.8200,3,0.374300,1,-1.612900
72,2022-06-09,sh.600225,3.0400,3.0600,3.0100,3.0300,3.0500,10469622,31729070.4400,3,0.307100,1,-0.655700
73,2022-06-10,sh.600225,3.0200,3.0500,3.0100,3.0400,3.0300,7756287,23507772.8900,3,0.227500,1,0.330000
74,2022-06-13,sh.600225,3.0100,3.0400,3.0000,3.0100,3.0400,7820146,23589165.4600,3,0.229400,1,-0.986800
75,2022-06-14,sh.600225,3.0100,3.0600,2.9800,3.0100,3.0100,13110253,39451555.5300,3,0.384600,1,0.000000
76,2022-06-15,sh.600225,3.0200,3.0400,2.9800,2.9900,3.0100,12492600,37533941.0000,3,0.366500,1,-0.664500
77,2022-06-16,sh.600225,3.0000,3.0200,2.9800,3.0000,2.9900,8368525,25105995.9900,3,0.245500,1,0.334400
78,2022-06-17,sh.600225,3.0000,3.0100,2.9700,3.0000,3.0000,9662378,28837763.2200,3,0.283500,1,0.000000
79,2022-06-20,sh.600225,3.0100,3.0100,2.9500,2.9600,3.0000,11697000,34719231.0000,3,0.343100,1,-1.333300
80,2022-06-21,sh.600225,2.9700,2.9700,2.9500,2.9600,2.9600,5300154,15677811.3000,3,0.155500,1,0.000000
81,2022-06-22,sh.600225,2.9500,2.9500,2.8400,2.8400,2.9600,14434655,41634904.2000,3,0.423400,1,-4.054100
82,2022-06-23,sh.600225,2.8500,2.9100,2.8400,2.8700,2.8400,7839700,22494801.0000,3,0.230000,1,1.056300
83,2022-06-24,sh.600225,2.8400,2.9400,2.8400,2.8700,2.8700,6828001,19749760.8700,3,0.200300,1,0.000000
84,2022-06-27,sh.600225,2.8600,2.9200,2.8500,2.9100,2.8700,7257900,20960936.0000,3,0.212900,1,1.393700
85,2022-06-28,sh.600225,2.9000,2.9200,2.8900,2.9000,2.9100,5739423,16652655.4700,3,0.168400,1,-0.343600
86,2022-06-29,sh.600225,2.9300,3.0400,2.9200,3.0000,2.9000,14056200,41850719.0000,3,0.412300,1,3.448300
87,2022-06-30,sh.600225,2.9800,3.0300,2.9300,2.9900,3.0000,9090500,27040646.0000,3,0.266700,1,-0.333300
88,2022-07-01,sh.600225,2.9900,3.0900,2.9700,3.0500,2.9900,13228800,40285700.0000,3,0.388100,1,2.006700
89,2022-07-04,sh.600225,3.0500,3.1400,3.0500,3.0600,3.0500,9503200,29265931.0000,3,0.278800,1,0.327900
90,2022-07-05,sh.600225,3.0700,3.1100,2.9900,3.1000,3.0600,13231500,40426754.0000,3,0.388200,1,1.307200
91,2022-07-06,sh.600225,3.1000,3.1000,3.0000,3.0400,3.1000,8699510,26473654.1000,3,0.255200,1,-1.935500
92,2022-07-07,sh.600225,3.0400,3.0400,2.9900,3.0000,3.0400,5838402,17552903.0000,3,0.171300,1,-1.315800
93,2022-07-08,sh.600225,3.0000,3.0700,2.9900,3.0400,3.0000,7526904,22913758.1800,3,0.220800,1,1.333300
94,2022-07-11,sh.600225,3.0200,3.0400,2.9400,2.9500,3.0400,10032100,29949034.0000,3,0.294300,1,-2.960500
95,2022-07-12,sh.600225,2.9400,2.9800,2.9100,2.9500,2.9500,6547100,19354010.0000,3,0.192100,1,0.000000
96,2022-07-13,sh.600225,2.9500,3.0100,2.9300,2.9900,2.9500,6934602,20662785.9800,3,0.203400,1,1.355900
97,2022-07-14,sh.600225,2.9600,3.0000,2.9400,2.9900,2.9900,5318706,15765476.7000,3,0.156000,1,0.000000
98,2022-07-15,sh.600225,2.9900,3.0500,2.9500,2.9900,2.9900,8037502,24060525.9400,3,0.235800,1,0.000000
99,2022-07-18,sh.600225,3.0100,3.0700,3.0100,3.0300,2.9900,6960102,21109577.0400,3,0.204200,1,1.337800
100,2022-07-19,sh.600225,3.0200,3.0800,3.0100,3.0500,3.0300,9703853,29578420.1200,3,0.284700,1,0.660100
101,2022-07-20,sh.600225,3.0600,3.1000,3.0400,3.0800,3.0500,10607001,32546829.0500,3,0.311200,1,0.983600
102,2022-07-21,sh.600225,3.0900,3.1200,3.0600,3.0700,3.0800,9815266,30264470.2800,3,0.287900,1,-0.324700
103,2022-07-22,sh.600225,3.0500,3.1900,3.0500,3.1400,3.0700,18829501,58960395.1400,3,0.552400,1,2.280100
104,2022-07-25,sh.600225,3.1400,3.2300,3.1000,3.1000,3.1400,12198923,38459164.3000,3,0.357900,1,-1.273900
105,2022-07-26,sh.600225,3.1400,3.2900,3.1200,3.2600,3.1000,30098821,97074004.9900,3,0.883000,1,5.161300
106,2022-07-27,sh.600225,3.2900,3.2900,3.2200,3.2600,3.2600,16597167,53922600.7500,3,0.486900,1,0.000000
107,2022-07-28,sh.600225,3.2600,3.2800,3.2200,3.2300,3.2600,9562307,31029562.6100,3,0.280500,1,-0.920200
108,2022-07-29,sh.600225,3.2900,3.3200,3.2200,3.2500,3.2300,11688486,38069417.6400,3,0.342900,1,0.619200
109,2022-08-01,sh.600225,3.2600,3.4400,3.2300,3.4400,3.2500,23959951,80747834.5500,3,0.702900,1,5.846200
110,2022-08-02,sh.600225,3.4500,3.4900,3.2900,3.3200,3.4400,25301910,84997368.0000,3,0.742200,1,-3.488400
111,2022-08-03,sh.600225,3.3500,3.5400,3.3500,3.4900,3.3200,25096290,86976348.5000,3,0.736200,1,5.120500
112,2022-08-04,sh.600225,3.4900,3.5400,3.4400,3.5200,3.4900,14041444,48937674.0000,3,0.411900,1,0.859600
113,2022-08-05,sh.600225,3.5100,3.6400,3.4800,3.6000,3.5200,23967090,85363696.0000,3,0.703100,1,2.272700
114,2022-08-08,sh.600225,3.6000,3.8000,3.5700,3.7400,3.6000,22810919,84242994.0000,3,0.669200,1,3.888900
115,2022-08-09,sh.600225,3.8500,3.8500,3.6700,3.7900,3.7400,18829604,70533941.0000,3,0.552400,1,1.336900
116,2022-08-10,sh.600225,3.8000,3.8600,3.7000,3.8200,3.7900,19881204,75224020.0000,3,0.583200,1,0.791600
117,2022-08-11,sh.600225,3.8200,3.8500,3.6600,3.6700,3.8200,25112437,93815855.0000,3,0.736700,1,-3.926700
