,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600259,46.5000,47.5000,46.2400,46.7100,46.8800,4678339,218488447.4600,3,1.550100,1,-0.362600
1,2022-02-22,sh.600259,46.6100,47.4400,46.4100,47.0300,46.7100,5398994,253202009.0500,3,1.788900,1,0.685100
2,2022-02-23,sh.600259,47.2400,47.8000,46.7100,47.5400,47.0300,5390370,255502645.0400,3,1.786100,1,1.084400
3,2022-02-24,sh.600259,47.4000,48.6700,45.5000,46.3100,47.5400,9762418,460234392.2400,3,3.234700,1,-2.587300
4,2022-02-25,sh.600259,47.2800,48.7800,46.8100,47.3100,46.3100,10689087,511253099.4700,3,3.541800,1,2.159400
5,2022-02-28,sh.600259,47.3900,48.3600,46.8100,48.0300,47.3100,6000733,286238944.0000,3,1.988300,1,1.521900
6,2022-03-01,sh.600259,48.0300,48.4600,46.7700,46.9200,48.0300,5242541,247629415.0000,3,1.737100,1,-2.311100
7,2022-03-02,sh.600259,46.7300,50.0000,46.6000,48.3200,46.9200,11794494,569697568.0000,3,3.908000,1,2.983800
8,2022-03-03,sh.600259,48.4500,48.7000,46.8900,46.9900,48.3200,8084748,385105216.0000,3,2.678800,1,-2.752500
9,2022-03-04,sh.600259,46.9000,48.3600,46.4100,46.6500,46.9900,6092891,287756064.0000,3,2.018800,1,-0.723600
10,2022-03-07,sh.600259,44.7500,46.4600,44.2000,45.6800,46.6500,5825148,265286527.0000,3,1.930100,1,-2.079300
11,2022-03-08,sh.600259,45.6800,46.3700,43.6800,44.0000,45.6800,6794206,304364832.0000,3,2.251200,1,-3.677800
12,2022-03-09,sh.600259,44.2800,44.6700,41.0000,43.1800,44.0000,5773450,249659863.0000,3,1.913000,1,-1.863600
13,2022-03-10,sh.600259,44.0000,45.8500,43.5000,44.7700,43.1800,5765321,256634250.0000,3,1.910300,1,3.682300
14,2022-03-11,sh.600259,44.2500,44.4900,42.7100,44.1700,44.7700,4853105,211423274.0000,3,1.608000,1,-1.340200
15,2022-03-14,sh.600259,43.5100,43.7900,42.1000,42.1600,44.1700,4826164,206840515.0000,3,1.599100,1,-4.550600
16,2022-03-15,sh.600259,41.7500,42.5000,39.6000,39.7000,42.1600,6327506,259530358.0000,3,2.096600,1,-5.834900
17,2022-03-16,sh.600259,40.2700,40.7900,38.0100,40.7100,39.7000,6556839,261086728.0000,3,2.172600,1,2.544100
18,2022-03-17,sh.600259,41.6000,44.2200,41.5100,43.0000,40.7100,9490245,410020864.0000,3,3.144500,1,5.625200
19,2022-03-18,sh.600259,42.6600,42.9700,41.9300,42.1300,43.0000,4728032,200630966.3200,3,1.566600,1,-2.023300
20,2022-03-21,sh.600259,42.0100,43.6100,42.0100,42.7500,42.1300,4653475,198768362.0500,3,1.541900,1,1.471600
21,2022-03-22,sh.600259,42.4100,42.9800,41.6400,42.0000,42.7500,3871377,162972966.3900,3,1.282800,1,-1.754400
22,2022-03-23,sh.600259,42.3300,42.3300,41.5600,41.7300,42.0000,3077836,128791141.9000,3,1.019800,1,-0.642900
23,2022-03-24,sh.600259,41.6000,41.9500,41.0200,41.4500,41.7300,3532183,146654045.8500,3,1.170400,1,-0.671000
24,2022-03-25,sh.600259,41.6000,42.2800,40.8200,40.8800,41.4500,3401155,140829443.0300,3,1.126900,1,-1.375200
25,2022-03-28,sh.600259,40.0000,40.4800,39.1900,40.2300,40.8800,3881993,154659428.8300,3,1.286300,1,-1.590000
26,2022-03-29,sh.600259,40.1600,40.3200,38.7400,38.8400,40.2300,5151596,202551274.5700,3,1.706900,1,-3.455100
27,2022-03-30,sh.600259,39.3000,40.5600,39.2700,40.3300,38.8400,4989364,199691868.8300,3,1.653200,1,3.836300
28,2022-03-31,sh.600259,40.0700,40.2800,39.1100,39.2100,40.3300,3798749,150425207.3600,3,1.258700,1,-2.777100
29,2022-04-01,sh.600259,39.1000,39.3500,38.7100,38.8700,39.2100,3807738,148258055.7700,3,1.261700,1,-0.867100
30,2022-04-06,sh.600259,38.8700,38.8900,38.0000,38.4200,38.8700,3767613,144013503.8400,3,1.248400,1,-1.157700
31,2022-04-07,sh.600259,38.1700,39.1600,37.8800,38.1700,38.4200,5151544,197804485.4400,3,1.706900,1,-0.650700
32,2022-04-08,sh.600259,38.2100,38.3800,36.9400,37.7000,38.1700,3618323,136136568.0200,3,1.198900,1,-1.231300
33,2022-04-11,sh.600259,37.0600,37.2900,35.0000,35.3100,37.7000,6348097,227440875.9400,3,2.103400,1,-6.339500
34,2022-04-12,sh.600259,35.1300,35.9500,34.7100,35.8600,35.3100,5691353,201384887.7300,3,1.885800,1,1.557600
35,2022-04-13,sh.600259,35.7700,36.8400,35.3000,36.2100,35.8600,6182381,223617226.8500,3,2.048500,1,0.976000
36,2022-04-14,sh.600259,36.8300,36.9500,36.0700,36.4800,36.2100,3288324,119897383.7000,3,1.089600,1,0.745700
37,2022-04-15,sh.600259,36.2600,36.8400,36.0000,36.2400,36.4800,3454843,125723303.8100,3,1.144700,1,-0.657900
38,2022-04-18,sh.600259,35.8300,36.7700,34.8500,36.5000,36.2400,3872256,138517748.4000,3,1.283000,1,0.717400
39,2022-04-19,sh.600259,36.5000,37.4000,36.4500,36.7800,36.5000,3903994,143999979.6000,3,1.293600,1,0.767100
40,2022-04-20,sh.600259,36.9600,37.1300,35.5700,35.6700,36.7800,3237056,117178077.9500,3,1.072600,1,-3.017900
