,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600262,17.7700,17.8900,17.3500,17.7500,17.7100,2400000,42059462.0000,3,1.411800,1,0.225900
1,2022-02-22,sh.600262,17.7000,17.7000,17.1000,17.2500,17.7500,1944431,33659705.8500,3,1.143800,1,-2.816900
2,2022-02-23,sh.600262,17.2900,18.3100,17.2900,18.1100,17.2500,2734811,48980396.3900,3,1.608700,1,4.985500
3,2022-02-24,sh.600262,17.9500,18.8800,17.6000,17.8700,18.1100,3474610,63357421.2000,3,2.043900,1,-1.325200
4,2022-02-25,sh.600262,17.5200,18.6200,17.5200,18.0000,17.8700,2641988,47821633.3800,3,1.554100,1,0.727500
5,2022-02-28,sh.600262,18.0000,18.3000,17.7000,18.2500,18.0000,2465200,44575246.0000,3,1.450100,1,1.388900
6,2022-03-01,sh.600262,18.3000,20.0800,18.1200,20.0800,18.2500,6078392,117834683.0000,3,3.575500,1,10.027400
7,2022-03-02,sh.600262,20.1200,21.6200,20.1200,20.9600,20.0800,10270228,214365919.0000,3,6.041300,1,4.382500
8,2022-03-03,sh.600262,20.6500,20.7900,20.1800,20.7300,20.9600,5496802,112425763.0000,3,3.233400,1,-1.097300
9,2022-03-04,sh.600262,20.7100,20.9000,20.1500,20.6000,20.7300,3345602,68627694.0000,3,1.968000,1,-0.627100
10,2022-03-07,sh.600262,20.6000,20.6500,19.8000,20.3900,20.6000,3075940,62369820.0000,3,1.809400,1,-1.019400
11,2022-03-08,sh.600262,20.3800,21.5700,19.9000,21.3000,20.3900,6920513,144735424.0000,3,4.070900,1,4.463000
12,2022-03-09,sh.600262,21.3400,21.8600,19.1700,20.8100,21.3000,6023097,125635648.0000,3,3.543000,1,-2.300500
13,2022-03-10,sh.600262,20.8300,20.9100,19.9000,20.3200,20.8100,3823087,77805236.0000,3,2.248900,1,-2.354600
14,2022-03-11,sh.600262,19.9300,20.3000,19.1900,19.7200,20.3200,3513636,68935917.0000,3,2.066800,1,-2.952800
15,2022-03-14,sh.600262,19.8000,20.2400,19.3900,19.3900,19.7200,2522401,49981866.0000,3,1.483800,1,-1.673400
16,2022-03-15,sh.600262,19.0600,19.6400,18.3000,18.3000,19.3900,2739400,51805121.0000,3,1.611400,1,-5.621500
17,2022-03-16,sh.600262,18.6500,18.8700,17.7200,18.7400,18.3000,3123702,57278150.0000,3,1.837500,1,2.404400
18,2022-03-17,sh.600262,18.7400,20.1000,18.7400,19.7900,18.7400,3966501,77733429.0000,3,2.333200,1,5.603000
19,2022-03-18,sh.600262,19.6500,19.9900,19.1000,19.6700,19.7900,1956401,38176899.8400,3,1.150800,1,-0.606400
20,2022-03-21,sh.600262,19.7700,20.2500,19.5500,20.0200,19.6700,2359401,46999912.9000,3,1.387900,1,1.779400
21,2022-03-22,sh.600262,19.9000,20.1700,19.5500,19.6400,20.0200,1666800,32974566.0000,3,0.980500,1,-1.898100
22,2022-03-23,sh.600262,19.5700,20.6600,19.4000,20.4800,19.6400,3508600,70973939.0000,3,2.063900,1,4.277000
23,2022-03-24,sh.600262,20.3800,21.2000,20.0600,20.5100,20.4800,4031889,83342892.6100,3,2.371700,1,0.146500
24,2022-03-25,sh.600262,20.5100,22.5000,19.7200,21.8000,20.5100,7304137,153633045.8700,3,4.296600,1,6.289600
25,2022-03-28,sh.600262,21.7900,22.3000,21.2100,21.6600,21.8000,4944400,107740459.0000,3,2.908500,1,-0.642200
26,2022-03-29,sh.600262,21.6500,21.6500,20.5100,20.6200,21.6600,3631089,76036457.3500,3,2.135900,1,-4.801500
27,2022-03-30,sh.600262,20.5800,20.9400,20.4200,20.7100,20.6200,2135973,44107809.8000,3,1.256500,1,0.436500
28,2022-03-31,sh.600262,20.7000,20.7000,19.7900,19.8600,20.7100,2838400,57174804.0000,3,1.669600,1,-4.104300
29,2022-04-01,sh.600262,20.0300,20.4500,19.5000,20.1800,19.8600,1900600,38003363.6000,3,1.118000,1,1.611300
30,2022-04-06,sh.600262,20.0900,20.6200,19.5300,20.2500,20.1800,2230730,44817331.4000,3,1.312200,1,0.346900
31,2022-04-07,sh.600262,20.2100,21.7400,19.9100,21.2900,20.2500,4810610,101125590.8000,3,2.829800,1,5.135800
32,2022-04-08,sh.600262,21.4000,21.4000,19.7700,20.6200,21.2900,3523700,71913257.8900,3,2.072800,1,-3.147000
33,2022-04-11,sh.600262,20.3300,20.5000,19.1600,19.1700,20.6200,2105200,41631726.0000,3,1.238400,1,-7.032000
34,2022-04-12,sh.600262,19.3200,19.9000,18.4200,19.8100,19.1700,1745300,33578863.8000,3,1.026600,1,3.338500
35,2022-04-13,sh.600262,19.7800,19.8000,18.7000,18.7400,19.8100,1721801,32868839.0800,3,1.012800,1,-5.401300
