,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600271,14.1600,14.5900,14.0300,14.5200,13.9700,44112942,633551208.9600,3,2.380800,1,3.937000
1,2022-02-22,sh.600271,14.3400,14.5100,14.2400,14.3900,14.5200,28561632,410130415.1700,3,1.541500,1,-0.895300
2,2022-02-23,sh.600271,14.4500,14.4900,14.1600,14.4000,14.3900,23916516,341570396.4800,3,1.290800,1,0.069500
3,2022-02-24,sh.600271,14.3000,14.3000,13.5600,13.7400,14.4000,35151527,488373923.0700,3,1.897100,1,-4.583300
4,2022-02-25,sh.600271,13.8000,14.0000,13.7000,13.7300,13.7400,16404535,226999112.6700,3,0.885400,1,-0.072800
5,2022-02-28,sh.600271,13.8800,14.1400,13.6000,13.9800,13.7300,23448139,324691056.0000,3,1.265500,1,1.820800
6,2022-03-01,sh.600271,14.0900,14.0900,13.8300,13.9200,13.9800,20755888,289385456.0000,3,1.120200,1,-0.429200
7,2022-03-02,sh.600271,13.8600,14.0000,13.7500,13.8600,13.9200,12850726,178215068.0000,3,0.693600,1,-0.431000
8,2022-03-03,sh.600271,13.8800,14.1900,13.6600,14.1900,13.8600,27915988,388762368.0000,3,1.506600,1,2.381000
9,2022-03-04,sh.600271,13.9500,14.0500,13.5200,13.6000,14.1900,28291453,388174672.0000,3,1.526900,1,-4.157900
10,2022-03-07,sh.600271,13.5000,13.5100,13.0700,13.1300,13.6000,19399358,256701346.0000,3,1.047000,1,-3.455900
11,2022-03-08,sh.600271,13.1300,13.2500,12.8400,12.9500,13.1300,19171480,250719983.0000,3,1.034700,1,-1.370900
12,2022-03-09,sh.600271,13.0100,13.0500,12.2900,12.7900,12.9500,18812375,239102003.0000,3,1.015300,1,-1.235500
13,2022-03-10,sh.600271,13.3000,13.3000,12.8100,12.8100,12.7900,17195005,223693090.0000,3,0.928000,1,0.156400
14,2022-03-11,sh.600271,12.6100,12.9400,12.3200,12.9400,12.8100,16772630,211684523.0000,3,0.905200,1,1.014800
15,2022-03-14,sh.600271,12.8700,13.4500,12.8100,13.1200,12.9400,29411654,390540528.0000,3,1.587300,1,1.391000
16,2022-03-15,sh.600271,13.0900,13.2800,12.3700,12.4700,13.1200,27919456,360733664.0000,3,1.506800,1,-4.954300
17,2022-03-16,sh.600271,12.6200,13.1500,12.3400,13.1500,12.4700,25978305,331314592.0000,3,1.402000,1,5.453100
18,2022-03-17,sh.600271,13.2100,13.3000,12.9800,13.1200,13.1500,25476825,334820128.0000,3,1.375000,1,-0.228100
19,2022-03-18,sh.600271,13.0500,13.1000,12.8700,13.0400,13.1200,17278071,224421238.8100,3,0.932500,1,-0.609800
