,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600369,4.8400,4.9000,4.8300,4.8800,4.8500,18141000,88279714.0000,3,0.321400,1,0.618600
1,2022-02-22,sh.600369,4.8600,4.8800,4.8000,4.8300,4.8800,19047021,92160883.6700,3,0.337400,1,-1.024600
2,2022-02-23,sh.600369,4.8300,4.8700,4.8200,4.8600,4.8300,15394047,74606333.4800,3,0.272700,1,0.621100
3,2022-02-24,sh.600369,4.8400,4.8500,4.6600,4.7200,4.8600,34351905,163085523.2100,3,0.608500,1,-2.880700
4,2022-02-25,sh.600369,4.7400,4.7800,4.6900,4.7000,4.7200,17627645,83435735.9100,3,0.312300,1,-0.423700
5,2022-02-28,sh.600369,4.7100,4.7300,4.6500,4.7000,4.7000,14614107,68352664.0000,3,0.258900,1,0.000000
6,2022-03-01,sh.600369,4.7000,4.7800,4.6800,4.7400,4.7000,18813928,88778099.0000,3,0.333300,1,0.851100
7,2022-03-02,sh.600369,4.7100,4.7500,4.7000,4.7500,4.7400,13756718,65017510.0000,3,0.243700,1,0.211000
8,2022-03-03,sh.600369,4.7500,4.7800,4.7400,4.7600,4.7500,15465552,73629740.0000,3,0.274000,1,0.210500
9,2022-03-04,sh.600369,4.7500,4.7600,4.7100,4.7400,4.7600,13311609,63001841.0000,3,0.235800,1,-0.420200
10,2022-03-07,sh.600369,4.7300,4.7400,4.6400,4.6700,4.7400,17144125,80480681.0000,3,0.303700,1,-1.476800
11,2022-03-08,sh.600369,4.6500,4.6900,4.5000,4.5100,4.6700,23921485,110090388.0000,3,0.423800,1,-3.426100
12,2022-03-09,sh.600369,4.5100,4.5600,4.1500,4.2800,4.5100,45766509,199471386.0000,3,0.810700,1,-5.099800
13,2022-03-10,sh.600369,4.3600,4.3900,4.3000,4.3100,4.2800,22751134,98989735.0000,3,0.403000,1,0.700900
14,2022-03-11,sh.600369,4.2900,4.4300,4.2000,4.4200,4.3100,29773316,128470340.0000,3,0.527400,1,2.552200
15,2022-03-14,sh.600369,4.3600,4.4500,4.3400,4.3700,4.4200,17956051,78979998.0000,3,0.318100,1,-1.131200
16,2022-03-15,sh.600369,4.3700,4.4100,4.1700,4.1700,4.3700,27574665,118640502.0000,3,0.488500,1,-4.576700
17,2022-03-16,sh.600369,4.2300,4.4200,4.1500,4.3800,4.1700,35698772,153530456.0000,3,0.632400,1,5.036000
18,2022-03-17,sh.600369,4.4300,4.4500,4.3500,4.3700,4.3800,26562231,116377142.0000,3,0.470500,1,-0.228300
19,2022-03-18,sh.600369,4.3500,4.4300,4.3400,4.4100,4.3700,22246236,97680276.4400,3,0.394100,1,0.915300
20,2022-03-21,sh.600369,4.4000,4.4100,4.3200,4.3500,4.4100,20291605,88466546.2000,3,0.359500,1,-1.360500
21,2022-03-22,sh.600369,4.3300,4.4000,4.3200,4.3600,4.3500,16441268,71693704.8000,3,0.291200,1,0.229900
22,2022-03-23,sh.600369,4.3600,4.3800,4.3300,4.3600,4.3600,11938067,52044610.8600,3,0.211500,1,0.000000
23,2022-03-24,sh.600369,4.3300,4.3400,4.2800,4.2800,4.3600,15054395,64772082.4400,3,0.266700,1,-1.834900
24,2022-03-25,sh.600369,4.2800,4.3400,4.2400,4.2400,4.2800,17018087,72983424.5100,3,0.301500,1,-0.934600
25,2022-03-28,sh.600369,4.2200,4.3000,4.1900,4.2700,4.2400,13118430,55673995.8000,3,0.232400,1,0.707500
26,2022-03-29,sh.600369,4.2700,4.2900,4.2200,4.2400,4.2700,9879159,42050993.0900,3,0.175000,1,-0.702600
27,2022-03-30,sh.600369,4.2700,4.3800,4.2600,4.3600,4.2400,23298186,100783063.1900,3,0.412700,1,2.830200
28,2022-03-31,sh.600369,4.3300,4.4000,4.3200,4.3500,4.3600,19153301,83589291.3500,3,0.339300,1,-0.229400
29,2022-04-01,sh.600369,4.3400,4.4400,4.3300,4.4400,4.3500,27292246,120174771.0600,3,0.483500,1,2.069000
30,2022-04-06,sh.600369,4.4200,4.4600,4.4000,4.4400,4.4400,16843722,74626874.8500,3,0.298400,1,0.000000
31,2022-04-07,sh.600369,4.4400,4.4600,4.3400,4.3400,4.4400,21605300,95262916.0000,3,0.382700,1,-2.252300
32,2022-04-08,sh.600369,4.3700,4.4000,4.3100,4.3900,4.3400,18940285,82567784.0800,3,0.335500,1,1.152100
33,2022-04-11,sh.600369,4.3800,4.3800,4.2500,4.2700,4.3900,22273837,95925071.5800,3,0.394600,1,-2.733500
34,2022-04-12,sh.600369,4.2500,4.4300,4.2300,4.4100,4.2700,28052775,122016493.6500,3,0.496900,1,3.278700
35,2022-04-13,sh.600369,4.3900,4.4300,4.3500,4.3600,4.4100,18399446,80601770.4600,3,0.325900,1,-1.133800
36,2022-04-14,sh.600369,4.4000,4.4300,4.3700,4.3900,4.3600,20615201,90803549.4000,3,0.365200,1,0.688100
