,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600395,8.1100,8.2800,7.9100,8.1100,8.0800,65466362,528020090.5600,3,3.955500,1,0.371300
1,2022-02-22,sh.600395,8.0000,8.2700,7.9900,8.2400,8.1100,40290211,328726230.1600,3,2.434400,1,1.603000
2,2022-02-23,sh.600395,8.2400,8.2500,8.0000,8.0900,8.2400,25716500,207796977.8800,3,1.553800,1,-1.820400
3,2022-02-24,sh.600395,8.0400,8.1100,7.8300,7.9800,8.0900,29723239,237377462.4900,3,1.795900,1,-1.359700
4,2022-02-25,sh.600395,8.0200,8.2000,7.6000,7.7900,7.9800,34268194,270806278.0200,3,2.070500,1,-2.381000
5,2022-02-28,sh.600395,7.8200,8.1000,7.8200,8.0400,7.7900,30324644,241480599.0000,3,1.832200,1,3.209200
6,2022-03-01,sh.600395,8.0600,8.7000,8.0400,8.6100,8.0400,49476280,413626896.0000,3,2.989400,1,7.089600
7,2022-03-02,sh.600395,8.6500,8.7100,8.4000,8.5000,8.6100,36833803,314807808.0000,3,2.225500,1,-1.277600
8,2022-03-03,sh.600395,8.5400,8.8500,8.4800,8.6000,8.5000,41221240,358037696.0000,3,2.490600,1,1.176500
9,2022-03-04,sh.600395,8.5300,8.7900,8.3500,8.5100,8.6000,30215102,258574791.0000,3,1.825600,1,-1.046500
10,2022-03-07,sh.600395,8.8000,8.9000,8.4600,8.5500,8.5100,31941788,275593552.0000,3,1.930000,1,0.470000
11,2022-03-08,sh.600395,8.4000,8.5100,8.0500,8.1000,8.5500,26571379,219117678.0000,3,1.605500,1,-5.263200
12,2022-03-09,sh.600395,8.1200,8.4600,7.8800,8.3000,8.1000,33009922,272962848.0000,3,1.994500,1,2.469100
13,2022-03-10,sh.600395,8.1100,8.4600,7.9400,8.2500,8.3000,23976708,198160980.0000,3,1.448700,1,-0.602400
14,2022-03-11,sh.600395,8.2700,8.3700,8.0500,8.1600,8.2500,23614808,193647348.0000,3,1.426800,1,-1.090900
15,2022-03-14,sh.600395,8.0200,8.3200,7.9100,7.9100,8.1600,22620360,182922942.0000,3,1.366700,1,-3.063700
16,2022-03-15,sh.600395,7.8000,7.8500,7.1500,7.2000,7.9100,29294443,217947492.0000,3,1.770000,1,-8.976000
17,2022-03-16,sh.600395,7.3400,7.4100,6.9500,7.3200,7.2000,19646722,141020177.0000,3,1.187100,1,1.666700
18,2022-03-17,sh.600395,7.5000,7.7800,7.2500,7.6400,7.3200,22891047,172366950.0000,3,1.383100,1,4.371600
19,2022-03-18,sh.600395,7.7100,8.0600,7.6400,8.0100,7.6400,22732589,180394017.7100,3,1.373500,1,4.842900
20,2022-03-21,sh.600395,7.9800,8.2900,7.9800,8.1500,8.0100,20088738,163194154.4600,3,1.213800,1,1.747800
21,2022-03-22,sh.600395,8.1000,8.3400,8.0800,8.2900,8.1500,18908004,155500538.8200,3,1.142400,1,1.717800
