,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600517,6.6500,6.7900,6.6000,6.7500,6.6300,19243045,128780842.1500,3,1.013000,1,1.810000
1,2022-02-22,sh.600517,6.7000,6.7400,6.6200,6.7300,6.7500,18531929,123835304.0600,3,0.975500,1,-0.296300
2,2022-02-23,sh.600517,6.7500,6.8100,6.7000,6.8000,6.7300,16042443,108406826.6500,3,0.844500,1,1.040100
3,2022-02-24,sh.600517,6.7600,6.8500,6.5100,6.6200,6.8000,27849633,186130558.2100,3,1.466000,1,-2.647100
4,2022-02-25,sh.600517,6.6300,6.7100,6.5800,6.5900,6.6200,19521136,129631200.0100,3,1.027600,1,-0.453200
5,2022-02-28,sh.600517,6.6100,6.6300,6.4400,6.5500,6.5900,18570185,120802474.0000,3,0.977600,1,-0.607000
6,2022-03-01,sh.600517,6.5900,6.6600,6.5400,6.5700,6.5500,15085907,99432398.0000,3,0.794100,1,0.305300
7,2022-03-02,sh.600517,6.5600,6.7800,6.5200,6.7600,6.5700,25346879,169474881.0000,3,1.334300,1,2.891900
8,2022-03-03,sh.600517,6.7500,6.7900,6.6600,6.7100,6.7600,14611591,98160541.0000,3,0.769200,1,-0.739600
9,2022-03-04,sh.600517,6.6600,6.6900,6.5800,6.6200,6.7100,12314225,81493806.0000,3,0.648200,1,-1.341300
10,2022-03-07,sh.600517,6.6100,6.6100,6.4700,6.4900,6.6200,14155988,92357091.0000,3,0.745200,1,-1.963700
11,2022-03-08,sh.600517,6.5000,6.5200,6.1800,6.2000,6.4900,23002768,144416521.0000,3,1.210900,1,-4.468400
12,2022-03-09,sh.600517,6.2100,6.2500,5.7000,6.0000,6.2000,22979478,138372730.0000,3,1.209700,1,-3.225800
13,2022-03-10,sh.600517,6.1400,6.1600,6.0200,6.0200,6.0000,18637278,113039364.0000,3,0.981100,1,0.333300
14,2022-03-11,sh.600517,5.8600,6.0500,5.8100,6.0300,6.0200,19850033,117127823.0000,3,1.044900,1,0.166100
15,2022-03-14,sh.600517,5.9700,6.0200,5.9100,5.9100,6.0300,14059003,83889394.0000,3,0.740100,1,-1.990000
16,2022-03-15,sh.600517,5.8900,5.8900,5.5100,5.5100,5.9100,19856286,113362439.0000,3,1.045300,1,-6.768200
17,2022-03-16,sh.600517,5.6100,5.7700,5.4100,5.7300,5.5100,20679148,116095680.0000,3,1.088600,1,3.992700
18,2022-03-17,sh.600517,5.7800,5.8700,5.6600,5.6900,5.7300,19461328,112259220.0000,3,1.024500,1,-0.698100
19,2022-03-18,sh.600517,5.7500,5.8100,5.6400,5.7900,5.6900,16575831,95037492.3000,3,0.872600,1,1.757500
20,2022-03-21,sh.600517,5.8000,5.8400,5.6900,5.7600,5.7900,15810072,91125582.8400,3,0.832300,1,-0.518100
21,2022-03-22,sh.600517,5.7600,5.9100,5.7400,5.8000,5.7600,16079240,93521329.7000,3,0.846400,1,0.694400
22,2022-03-23,sh.600517,5.8100,5.8600,5.7600,5.8000,5.8000,12784517,74270099.2000,3,0.673000,1,0.000000
23,2022-03-24,sh.600517,5.7900,5.7900,5.6800,5.6900,5.8000,11915263,68075016.6200,3,0.627200,1,-1.896600
