,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600519,1900.0000,1906.9000,1868.9500,1876.9900,1907.0000,2081573,3920377358.2400,3,0.165700,1,-1.573700
1,2022-02-22,sh.600519,1860.0100,1861.0000,1800.0200,1807.8700,1876.9900,5229881,9473992638.0000,3,0.416300,1,-3.682500
2,2022-02-23,sh.600519,1811.4100,1834.0000,1800.0800,1827.0100,1807.8700,2811161,5118197819.7800,3,0.223800,1,1.058700
3,2022-02-24,sh.600519,1808.0000,1813.9900,1748.1000,1764.1100,1827.0100,6535925,11578557074.6500,3,0.520300,1,-3.442800
4,2022-02-25,sh.600519,1775.0000,1808.2800,1775.0000,1799.0600,1764.1100,3897913,6999524161.0700,3,0.310300,1,1.981200
5,2022-02-28,sh.600519,1787.0600,1797.0000,1767.0000,1790.4000,1799.0600,2892303,5158148352.0000,3,0.230200,1,-0.481400
6,2022-03-01,sh.600519,1802.0000,1863.5700,1802.0000,1858.4800,1790.4000,4737930,8721229312.0000,3,0.377200,1,3.802500
7,2022-03-02,sh.600519,1840.0000,1850.9900,1825.0000,1844.8800,1858.4800,2007448,3690612336.0000,3,0.159800,1,-0.731800
8,2022-03-03,sh.600519,1845.8000,1850.2500,1794.0000,1800.0000,1844.8800,3154693,5703580672.0000,3,0.251100,1,-2.432700
9,2022-03-04,sh.600519,1772.0000,1792.8900,1755.1000,1780.5000,1800.0000,3104703,5509157632.0000,3,0.247200,1,-1.083300
10,2022-03-07,sh.600519,1760.2000,1768.0000,1703.8000,1707.0000,1780.5000,4915581,8487507456.0000,3,0.391300,1,-4.128100
11,2022-03-08,sh.600519,1759.9800,1786.6600,1732.0000,1753.2000,1707.0000,5721546,10087484416.0000,3,0.455500,1,2.706500
12,2022-03-09,sh.600519,1764.1000,1805.0000,1721.1100,1779.1800,1753.2000,5643442,10018589952.0000,3,0.449200,1,1.481900
13,2022-03-10,sh.600519,1808.0000,1821.0000,1791.0000,1794.4300,1779.1800,3646178,6587438848.0000,3,0.290300,1,0.857100
14,2022-03-11,sh.600519,1766.0000,1777.0000,1718.0800,1769.0100,1794.4300,4772677,8335618304.0000,3,0.379900,1,-1.416600
15,2022-03-14,sh.600519,1730.0000,1750.0000,1700.0000,1700.0000,1769.0100,4900661,8416841984.0000,3,0.390100,1,-3.901100
