,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600538,5.4900,5.6400,5.4700,5.6100,5.4500,14821800,82543500.0000,3,2.987300,1,2.935800
1,2022-02-22,sh.600538,5.6100,5.6200,5.4800,5.5100,5.6100,9840200,54527841.0000,3,1.983300,1,-1.782500
2,2022-02-23,sh.600538,5.5300,5.5800,5.5200,5.5800,5.5100,7353300,40846956.0000,3,1.482000,1,1.270400
3,2022-02-24,sh.600538,5.5800,5.6100,5.3300,5.4300,5.5800,16122038,88244542.1000,3,3.249400,1,-2.688200
4,2022-02-25,sh.600538,5.4500,5.5200,5.4300,5.4400,5.4300,8209000,44901186.0000,3,1.654500,1,0.184200
5,2022-02-28,sh.600538,5.4800,5.4800,5.2800,5.4100,5.4400,7497300,40370088.0000,3,1.511100,1,-0.551500
6,2022-03-01,sh.600538,5.4000,5.4800,5.3600,5.4400,5.4100,6133860,33362704.0000,3,1.236300,1,0.554500
7,2022-03-02,sh.600538,5.4300,5.5500,5.4200,5.5400,5.4400,8660589,47673877.0000,3,1.745500,1,1.838200
8,2022-03-03,sh.600538,5.5700,5.6800,5.5400,5.5800,5.5400,10192476,57138032.0000,3,2.054300,1,0.722000
9,2022-03-04,sh.600538,5.5600,5.7200,5.5500,5.6000,5.5800,11922113,67146721.0000,3,2.402900,1,0.358400
10,2022-03-07,sh.600538,5.6000,5.6400,5.4600,5.5000,5.6000,10224101,56656544.0000,3,2.060600,1,-1.785700
11,2022-03-08,sh.600538,5.5200,5.5300,5.2500,5.2700,5.5000,12067201,64462671.0000,3,2.432100,1,-4.181800
12,2022-03-09,sh.600538,5.2700,5.3100,4.8400,5.0500,5.2700,14686214,74468652.0000,3,2.960000,1,-4.174600
13,2022-03-10,sh.600538,5.1200,5.3500,5.1100,5.2500,5.0500,12154301,63805481.0000,3,2.449700,1,3.960400
14,2022-03-11,sh.600538,5.2200,5.3200,5.0900,5.3200,5.2500,10048281,52305452.0000,3,2.025200,1,1.333300
15,2022-03-14,sh.600538,5.3300,5.4500,5.2500,5.2500,5.3200,10746600,57337233.0000,3,2.165900,1,-1.315800
16,2022-03-15,sh.600538,5.1600,5.2300,4.9600,4.9600,5.2500,10806450,55212468.0000,3,2.178000,1,-5.523800
17,2022-03-16,sh.600538,5.0100,5.1200,4.8600,5.1100,4.9600,10483095,52513892.0000,3,2.112800,1,3.024200
18,2022-03-17,sh.600538,5.1400,5.3200,5.1000,5.1700,5.1100,9544800,49891011.0000,3,1.923700,1,1.174200
