,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600655,10.1800,10.8000,10.1800,10.7600,10.1700,31761871,336400703.5900,3,0.817800,1,5.801400
1,2022-02-22,sh.600655,10.6900,10.8600,10.5600,10.6800,10.7600,16993797,181710441.5600,3,0.437500,1,-0.743500
2,2022-02-23,sh.600655,10.6800,10.7500,10.5200,10.5400,10.6800,13776640,146017387.6000,3,0.354700,1,-1.310900
3,2022-02-24,sh.600655,10.6600,10.8800,10.4500,10.5900,10.5400,25698870,273224513.2400,3,0.661700,1,0.474400
4,2022-02-25,sh.600655,10.4400,10.6300,10.3500,10.4300,10.5900,14163765,148361602.2100,3,0.364700,1,-1.510900
5,2022-02-28,sh.600655,10.4300,10.5700,10.3500,10.4700,10.4300,12275226,128320245.0000,3,0.316100,1,0.383500
6,2022-03-01,sh.600655,10.4100,10.5800,10.3300,10.3800,10.4700,10311664,107588997.0000,3,0.265500,1,-0.859600
7,2022-03-02,sh.600655,10.4100,10.4400,10.2500,10.3000,10.3800,8916207,92028721.0000,3,0.229600,1,-0.770700
8,2022-03-03,sh.600655,10.3300,10.4700,10.3100,10.4400,10.3000,9443535,98048879.0000,3,0.243100,1,1.359200
9,2022-03-04,sh.600655,10.3500,10.5300,10.2300,10.4600,10.4400,12005886,124990191.0000,3,0.309100,1,0.191600
10,2022-03-07,sh.600655,10.4800,10.5200,10.1300,10.1700,10.4600,14796008,152615860.0000,3,0.381000,1,-2.772500
11,2022-03-08,sh.600655,10.1400,10.2300,9.8500,9.9300,10.1700,11472507,115107608.0000,3,0.295400,1,-2.359900
12,2022-03-09,sh.600655,9.9600,10.0000,9.2200,9.5300,9.9300,13560841,130561261.0000,3,0.349200,1,-4.028200
13,2022-03-10,sh.600655,9.7100,9.8200,9.5600,9.7400,9.5300,8760084,85085802.0000,3,0.225500,1,2.203600
14,2022-03-11,sh.600655,9.6700,9.8000,9.4000,9.7900,9.7400,10387294,99720161.0000,3,0.267400,1,0.513300
15,2022-03-14,sh.600655,9.7400,9.9100,9.6000,9.6000,9.7900,8432789,82022421.0000,3,0.217100,1,-1.940800
16,2022-03-15,sh.600655,9.5700,9.5700,8.8100,8.8200,9.6000,23052693,210398843.0000,3,0.593500,1,-8.125000
17,2022-03-16,sh.600655,9.0000,9.0400,8.5300,9.0000,8.8200,14251080,125746161.0000,3,0.366900,1,2.040800
18,2022-03-17,sh.600655,9.0500,9.2000,8.9500,9.0600,9.0000,12131970,110012258.0000,3,0.312400,1,0.666700
19,2022-03-18,sh.600655,9.0300,9.2700,9.0000,9.2200,9.0600,10939081,100060084.7000,3,0.281700,1,1.766000
20,2022-03-21,sh.600655,9.2700,9.3200,9.1400,9.2800,9.2200,7002546,64733132.9700,3,0.180300,1,0.650800
21,2022-03-22,sh.600655,9.3200,10.2100,9.3100,10.2100,9.2800,26563917,263275491.8900,3,0.684000,1,10.021600
22,2022-03-23,sh.600655,10.2700,10.4700,10.0800,10.4100,10.2100,37585201,386979531.2000,3,0.967700,1,1.958900
23,2022-03-24,sh.600655,10.1000,10.3300,9.9800,9.9800,10.4100,23403499,235930945.4500,3,0.602600,1,-4.130600
24,2022-03-25,sh.600655,9.9600,10.0500,9.7800,9.8300,9.9800,13780544,136355403.5900,3,0.354800,1,-1.503000
25,2022-03-28,sh.600655,9.7700,10.1000,9.5100,10.0500,9.8300,20939512,206698925.6600,3,0.539100,1,2.238000
26,2022-03-29,sh.600655,10.0500,10.1100,9.9500,10.0300,10.0500,10253716,102960182.6000,3,0.264000,1,-0.199000
27,2022-03-30,sh.600655,10.0800,10.1900,9.9600,10.1700,10.0300,10759685,108411021.7500,3,0.277000,1,1.395800
28,2022-03-31,sh.600655,10.1800,10.2500,10.1000,10.1700,10.1700,9033543,91899311.1300,3,0.232600,1,0.000000
29,2022-04-01,sh.600655,10.1000,10.3000,10.1000,10.2600,10.1700,9036776,92450434.8800,3,0.232700,1,0.885000
30,2022-04-06,sh.600655,10.2600,11.0000,10.1700,10.4000,10.2600,16342333,170463698.0000,3,0.420800,1,1.364500
31,2022-04-07,sh.600655,10.4000,10.4900,10.1700,10.1800,10.4000,10506103,108556364.4500,3,0.270500,1,-2.115400
32,2022-04-08,sh.600655,10.2200,10.3100,10.0700,10.2200,10.1800,7914771,80536016.3100,3,0.203800,1,0.392900
33,2022-04-11,sh.600655,10.2200,10.3700,10.0000,10.0500,10.2200,10353220,105235683.4500,3,0.266600,1,-1.663400
34,2022-04-12,sh.600655,10.0100,10.4200,9.9800,10.4200,10.0500,13239173,135680698.0000,3,0.340900,1,3.681600
35,2022-04-13,sh.600655,10.3900,10.3900,10.1500,10.1600,10.4200,11035529,112970170.6600,3,0.284100,1,-2.495200
