,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600692,6.4200,6.6000,6.3400,6.5900,6.4100,8698885,56625365.8800,3,3.411200,1,2.808100
1,2022-02-22,sh.600692,6.5700,6.5900,6.4100,6.4700,6.5900,5905300,38309256.0000,3,2.315700,1,-1.820900
2,2022-02-23,sh.600692,6.4600,6.5000,6.3700,6.3700,6.4700,6140300,39334818.2800,3,2.407900,1,-1.545600
3,2022-02-24,sh.600692,6.3500,6.5500,6.1200,6.2600,6.3700,11108730,70736860.3700,3,4.356200,1,-1.726800
4,2022-02-25,sh.600692,6.3200,6.6300,6.3200,6.5000,6.2600,11897770,77498096.8100,3,4.665600,1,3.833900
5,2022-02-28,sh.600692,6.4900,6.7700,6.4400,6.6700,6.5000,14659561,97367257.0000,3,5.748600,1,2.615400
6,2022-03-01,sh.600692,6.6800,6.7100,6.6200,6.6800,6.6700,8868279,59173749.0000,3,3.477600,1,0.149900
7,2022-03-02,sh.600692,6.7000,6.8000,6.6600,6.7300,6.6800,7503072,50403485.0000,3,2.942300,1,0.748500
8,2022-03-03,sh.600692,6.7100,6.8800,6.7000,6.7800,6.7300,7780000,52904702.0000,3,3.050900,1,0.742900
9,2022-03-04,sh.600692,6.7400,6.8100,6.5700,6.6400,6.7800,6834590,45440653.0000,3,2.680100,1,-2.064900
10,2022-03-07,sh.600692,6.6200,6.6900,6.5100,6.5900,6.6400,4176262,27543191.0000,3,1.637700,1,-0.753000
11,2022-03-08,sh.600692,6.6500,6.6500,6.3500,6.3700,6.5900,6128669,39477686.0000,3,2.403300,1,-3.338400
12,2022-03-09,sh.600692,6.4400,6.4500,6.0400,6.2700,6.3700,6543400,40844264.0000,3,2.565900,1,-1.569900
13,2022-03-10,sh.600692,6.3700,6.9000,6.3200,6.6900,6.2700,14865912,99209986.0000,3,5.829500,1,6.698600
14,2022-03-11,sh.600692,6.6700,6.7400,6.5200,6.7100,6.6900,9944655,66031558.0000,3,3.899700,1,0.299000
15,2022-03-14,sh.600692,6.6700,6.8000,6.5400,6.5400,6.7100,7900763,52793314.0000,3,3.098200,1,-2.533500
16,2022-03-15,sh.600692,6.5100,6.5600,6.1100,6.1500,6.5400,9663233,61410630.0000,3,3.789300,1,-5.963300
17,2022-03-16,sh.600692,6.2200,6.4800,6.1100,6.4200,6.1500,8080982,51092460.0000,3,3.168900,1,4.390200
18,2022-03-17,sh.600692,6.5700,6.7400,6.5000,6.5700,6.4200,9995001,66218820.0000,3,3.919400,1,2.336400
19,2022-03-18,sh.600692,6.5200,6.8800,6.5200,6.8400,6.5700,11902999,80678517.3300,3,4.667700,1,4.109600
20,2022-03-21,sh.600692,6.8100,7.5200,6.7900,7.3600,6.8400,34915962,256797090.5300,3,13.692000,1,7.602300
21,2022-03-22,sh.600692,7.2800,7.5600,7.1800,7.2700,7.3600,25508972,186930943.7000,3,10.003100,1,-1.222800
22,2022-03-23,sh.600692,7.1700,7.2900,6.9700,7.0800,7.2700,12811810,90841493.8700,3,5.024000,1,-2.613500
23,2022-03-24,sh.600692,7.0300,7.3900,7.0200,7.0500,7.0800,11045900,79310668.0000,3,4.331500,1,-0.423700
24,2022-03-25,sh.600692,7.0300,7.1900,6.9100,7.1300,7.0500,9211933,65254936.9600,3,3.612400,1,1.134800
25,2022-03-28,sh.600692,7.0100,7.8400,7.0000,7.8400,7.1300,12066721,92605672.4500,3,4.731900,1,9.957900
26,2022-03-29,sh.600692,7.8300,8.6200,7.4000,7.6800,7.8400,53830448,428931577.6500,3,21.109100,1,-2.040800
27,2022-03-30,sh.600692,7.4800,8.0300,7.4800,7.7500,7.6800,44967780,349063723.7800,3,17.633700,1,0.911500
28,2022-03-31,sh.600692,7.7300,8.1500,7.6200,7.9800,7.7500,46022849,364430860.7900,3,18.047400,1,2.967700
29,2022-04-01,sh.600692,8.2400,8.2600,7.4300,7.7200,7.9800,38779818,300316232.2600,3,15.207100,1,-3.258100
30,2022-04-06,sh.600692,7.7600,8.4900,7.7100,8.1200,7.7200,59989761,491855780.8200,3,23.524400,1,5.181300
31,2022-04-07,sh.600692,7.8100,7.8500,7.3100,7.3100,8.1200,45757030,343161251.1200,3,17.943200,1,-9.975400
32,2022-04-08,sh.600692,7.1700,7.5200,7.0600,7.3800,7.3100,30882900,224621038.1600,3,12.110400,1,0.957600
33,2022-04-11,sh.600692,7.2100,7.6300,7.0100,7.3800,7.3800,25449934,187820012.7500,3,9.980000,1,0.000000
34,2022-04-12,sh.600692,7.2000,8.1200,7.1200,8.1200,7.3800,58646866,461505085.5800,3,22.997800,1,10.027100
35,2022-04-13,sh.600692,7.9000,7.9000,7.3100,7.6500,8.1200,38046110,287922564.3700,3,14.919400,1,-5.788200
36,2022-04-14,sh.600692,7.6700,8.1000,7.6100,7.8400,7.6500,25619525,200422225.7300,3,10.046500,1,2.483700
