,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600748,4.0700,4.0900,3.9900,4.0800,4.0500,8872001,35851367.4700,3,0.481000,1,0.740700
1,2022-02-22,sh.600748,4.0600,4.1100,4.0100,4.0400,4.0800,9690741,39321146.6800,3,0.525400,1,-0.980400
2,2022-02-23,sh.600748,4.0400,4.0700,4.0000,4.0200,4.0400,7354856,29578145.5600,3,0.398700,1,-0.495000
3,2022-02-24,sh.600748,4.0100,4.0200,3.8700,3.9000,4.0200,8964938,35374787.8700,3,0.486000,1,-2.985100
4,2022-02-25,sh.600748,3.9200,3.9700,3.9000,3.9100,3.9000,4951538,19469901.6800,3,0.268400,1,0.256400
5,2022-02-28,sh.600748,3.8900,3.9100,3.8500,3.8800,3.9100,5285093,20476829.0000,3,0.286500,1,-0.767300
6,2022-03-01,sh.600748,3.8900,3.9400,3.8700,3.9300,3.8800,4128532,16147792.0000,3,0.223800,1,1.288700
7,2022-03-02,sh.600748,3.9200,3.9600,3.9000,3.9400,3.9300,4724664,18591357.0000,3,0.256100,1,0.254500
8,2022-03-03,sh.600748,4.0300,4.0800,3.9900,4.0600,3.9400,14349800,58086656.0000,3,0.778000,1,3.045700
9,2022-03-04,sh.600748,4.0300,4.0800,3.9800,4.0300,4.0600,9604347,38654096.0000,3,0.520700,1,-0.738900
10,2022-03-07,sh.600748,4.0500,4.0700,4.0000,4.0100,4.0300,9670161,39037911.0000,3,0.524300,1,-0.496300
11,2022-03-08,sh.600748,4.0000,4.0500,3.9400,3.9500,4.0100,9531865,37982908.0000,3,0.516800,1,-1.496300
12,2022-03-09,sh.600748,3.9500,3.9800,3.6900,3.8200,3.9500,13296111,50989475.0000,3,0.720800,1,-3.291100
13,2022-03-10,sh.600748,3.8800,3.9200,3.8200,3.8900,3.8200,6742274,26120505.0000,3,0.365500,1,1.832500
14,2022-03-11,sh.600748,3.8700,3.9100,3.7600,3.9000,3.8900,7376583,28270492.0000,3,0.399900,1,0.257100
15,2022-03-14,sh.600748,3.8800,3.9300,3.8400,3.8400,3.9000,6754851,26227008.0000,3,0.366200,1,-1.538500
16,2022-03-15,sh.600748,3.8100,3.8300,3.5400,3.5500,3.8400,13575003,50111804.0000,3,0.735900,1,-7.552100
17,2022-03-16,sh.600748,3.6400,3.6700,3.4700,3.6300,3.5500,10161410,36398707.0000,3,0.550900,1,2.253500
18,2022-03-17,sh.600748,3.7400,3.8100,3.6800,3.7700,3.6300,10806603,40534542.0000,3,0.585900,1,3.856700
19,2022-03-18,sh.600748,3.7300,3.8600,3.7200,3.8600,3.7700,8645749,32931334.0900,3,0.468700,1,2.387300
20,2022-03-21,sh.600748,3.8700,4.0100,3.8600,4.0100,3.8600,14970800,59052602.0000,3,0.811600,1,3.886000
21,2022-03-22,sh.600748,3.9800,4.1600,3.9600,4.1200,4.0100,24122114,98798007.2900,3,1.307700,1,2.743100
22,2022-03-23,sh.600748,4.0900,4.2300,4.0800,4.2100,4.1200,28887974,120204347.0800,3,1.566100,1,2.184500
23,2022-03-24,sh.600748,4.1800,4.3900,4.1500,4.2000,4.2100,31966977,136592907.7100,3,1.733000,1,-0.237500
24,2022-03-25,sh.600748,4.1900,4.3300,4.1200,4.2300,4.2000,24323805,102925821.1000,3,1.318700,1,0.714300
25,2022-03-28,sh.600748,4.2100,4.3600,4.1600,4.3200,4.2300,28088628,120395010.1300,3,1.522800,1,2.127700
26,2022-03-29,sh.600748,4.2700,4.3100,4.1900,4.2500,4.3200,25830099,109764912.1000,3,1.400300,1,-1.620400
27,2022-03-30,sh.600748,4.2500,4.6800,4.2300,4.6000,4.2500,100293210,458379817.9300,3,5.437200,1,8.235300
28,2022-03-31,sh.600748,4.6400,4.7900,4.5100,4.6400,4.6000,95646548,444077886.4600,3,5.185300,1,0.869600
