,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600758,3.8000,3.8700,3.7800,3.8600,3.8100,15456620,59145420.9800,3,1.170300,1,1.312300
1,2022-02-22,sh.600758,3.8400,3.9200,3.7800,3.8400,3.8600,16011800,61583236.0000,3,1.212300,1,-0.518100
2,2022-02-23,sh.600758,3.8300,3.8500,3.7500,3.7700,3.8400,11724700,44316432.0000,3,0.887700,1,-1.822900
3,2022-02-24,sh.600758,3.7300,3.8000,3.6300,3.7000,3.7700,14297801,53205059.7800,3,1.082600,1,-1.856800
4,2022-02-25,sh.600758,3.6700,3.7900,3.6700,3.7100,3.7000,12743400,47623659.0000,3,0.964900,1,0.270300
5,2022-02-28,sh.600758,3.7400,3.8100,3.6800,3.7800,3.7100,14648400,55084769.0000,3,1.109100,1,1.886800
6,2022-03-01,sh.600758,3.8000,3.8600,3.7600,3.8300,3.7800,13846700,52776680.0000,3,1.048400,1,1.322800
7,2022-03-02,sh.600758,3.8600,3.9400,3.8600,3.9200,3.8300,20914501,81547440.0000,3,1.583500,1,2.349900
8,2022-03-03,sh.600758,3.9500,4.0800,3.9300,4.0300,3.9200,35398501,142257619.0000,3,2.680200,1,2.806100
9,2022-03-04,sh.600758,4.0300,4.1500,3.9500,4.0400,4.0300,41354693,167789168.0000,3,3.131200,1,0.248100
10,2022-03-07,sh.600758,4.1400,4.2000,4.0300,4.0500,4.0400,34121038,139561962.0000,3,2.583500,1,0.247500
11,2022-03-08,sh.600758,4.0700,4.0900,3.9100,3.9400,4.0500,23221101,92582245.0000,3,1.758200,1,-2.716000
12,2022-03-09,sh.600758,3.9600,4.0800,3.8400,3.9900,3.9400,25767108,102693599.0000,3,1.951000,1,1.269000
13,2022-03-10,sh.600758,3.9600,4.0500,3.9000,3.9800,3.9900,19354708,77223271.0000,3,1.465400,1,-0.250600
14,2022-03-11,sh.600758,4.0100,4.0200,3.8900,3.9800,3.9800,14887100,58972518.0000,3,1.127200,1,0.000000
15,2022-03-14,sh.600758,3.9100,4.0200,3.8600,3.8600,3.9800,17059700,67297969.0000,3,1.291700,1,-3.015100
16,2022-03-15,sh.600758,3.8500,3.8500,3.5100,3.5300,3.8600,26947152,98723608.0000,3,2.040300,1,-8.549200
17,2022-03-16,sh.600758,3.5400,3.6000,3.3800,3.5400,3.5300,23751544,82967301.0000,3,1.798300,1,0.283300
18,2022-03-17,sh.600758,3.5600,3.6300,3.5200,3.5600,3.5400,18409442,65586330.0000,3,1.393900,1,0.565000
19,2022-03-18,sh.600758,3.5500,3.9200,3.5400,3.9200,3.5600,30387381,116167467.2100,3,2.300800,1,10.112400
20,2022-03-21,sh.600758,4.0000,4.1000,3.9700,4.0400,3.9200,57655952,232163639.5100,3,4.365400,1,3.061200
21,2022-03-22,sh.600758,4.0600,4.1300,4.0100,4.1200,4.0400,37810710,153982292.0000,3,2.862800,1,1.980200
22,2022-03-23,sh.600758,4.1200,4.2900,4.0000,4.0300,4.1200,28784055,117687416.2000,3,2.179400,1,-2.184500
23,2022-03-24,sh.600758,4.0600,4.1000,3.9800,3.9900,4.0300,27150501,109711842.0500,3,2.055700,1,-0.992600
24,2022-03-25,sh.600758,3.9900,4.1000,3.9700,4.0000,3.9900,21275300,85683512.0000,3,1.610900,1,0.250600
25,2022-03-28,sh.600758,4.0200,4.1000,3.9700,4.0700,4.0000,18872498,76452818.1600,3,1.428900,1,1.750000
26,2022-03-29,sh.600758,4.0400,4.0800,3.9900,4.0400,4.0700,18429382,74332833.1000,3,1.395400,1,-0.737100
27,2022-03-30,sh.600758,4.0200,4.0400,3.9500,3.9800,4.0400,18551290,73895607.4000,3,1.404600,1,-1.485100
28,2022-03-31,sh.600758,3.9700,4.0900,3.9600,4.0500,3.9800,25293246,102170728.0000,3,1.915100,1,1.758800
29,2022-04-01,sh.600758,4.0100,4.1700,3.9500,4.1000,4.0500,29645454,120423385.2700,3,2.244600,1,1.234600
30,2022-04-06,sh.600758,4.1000,4.2000,4.0500,4.1200,4.1000,29801157,122026303.7400,3,2.256400,1,0.487800
31,2022-04-07,sh.600758,4.1000,4.1900,4.0700,4.1000,4.1200,27558646,113880624.1400,3,2.086600,1,-0.485400
32,2022-04-08,sh.600758,4.0900,4.1900,3.9900,4.0600,4.1000,22965647,93558220.2000,3,1.738800,1,-0.975600
33,2022-04-11,sh.600758,4.0300,4.1400,3.9500,3.9800,4.0600,25727306,103943811.7600,3,1.947900,1,-1.970400
34,2022-04-12,sh.600758,3.9800,4.1600,3.9700,4.0700,3.9800,25563900,104013667.0000,3,1.935600,1,2.261300
35,2022-04-13,sh.600758,4.0400,4.2900,4.0200,4.1800,4.0700,51781237,216154943.2800,3,3.920600,1,2.702700
36,2022-04-14,sh.600758,4.1700,4.3700,4.1200,4.3300,4.1800,53093104,227606103.6600,3,4.019900,1,3.588500
37,2022-04-15,sh.600758,4.5900,4.7600,4.4300,4.7600,4.3300,157538819,735034487.6700,3,11.928000,1,9.930700
38,2022-04-18,sh.600758,4.5000,4.7500,4.2800,4.6200,4.7600,101993240,458291294.6700,3,7.722400,1,-2.941200
39,2022-04-19,sh.600758,4.6800,5.0800,4.6100,5.0800,4.6200,212948601,1053229569.6100,3,16.123400,1,9.956700
40,2022-04-20,sh.600758,4.8700,5.0100,4.5700,4.9400,5.0800,152053761,728702476.8600,3,11.512700,1,-2.755900
41,2022-04-21,sh.600758,4.9100,5.1500,4.5000,4.7400,4.9400,119350658,571486580.9400,3,9.036600,1,-4.048600
42,2022-04-22,sh.600758,4.7400,4.7400,4.2700,4.4000,4.7400,124105763,545416344.2500,3,9.396700,1,-7.173000
43,2022-04-25,sh.600758,4.2000,4.2100,3.9600,3.9600,4.4000,48962601,196491910.0000,3,3.707200,1,-10.000000
44,2022-04-26,sh.600758,3.6100,3.7900,3.5600,3.5600,3.9600,56290699,201309203.5400,3,4.262000,1,-10.101000
45,2022-04-27,sh.600758,3.3100,3.4300,3.2000,3.3600,3.5600,110881497,361557341.0500,3,8.395400,1,-5.618000
46,2022-04-28,sh.600758,3.3200,3.4900,3.1300,3.2500,3.3600,75483398,248233335.7000,3,5.715200,1,-3.273800
47,2022-04-29,sh.600758,3.5800,3.5800,3.5800,3.5800,3.2500,20327500,72772450.0000,3,1.539100,1,10.153800
48,2022-05-05,sh.600758,3.8400,3.9400,3.7000,3.9400,3.5800,58782832,228544995.9000,3,4.450700,1,10.055900
49,2022-05-06,sh.600758,3.9900,4.3300,3.8100,4.0900,3.9400,146830184,600904446.8000,3,11.117200,1,3.807100
50,2022-05-09,sh.600758,4.0300,4.1300,3.9100,4.0900,4.0900,88221680,356858232.4500,3,6.679700,1,0.000000
51,2022-05-10,sh.600758,4.0100,4.0900,3.8600,4.0400,4.0900,67688430,270999137.8000,3,5.125000,1,-1.222500
52,2022-05-11,sh.600758,4.0600,4.3200,4.0600,4.2800,4.0400,94403579,397166591.8900,3,7.147800,1,5.940600
53,2022-05-12,sh.600758,4.2600,4.3500,4.0700,4.1600,4.2800,74809285,314122270.5000,3,5.664200,1,-2.803700
54,2022-05-13,sh.600758,4.1200,4.2700,4.1100,4.2000,4.1600,62104700,261661163.0000,3,4.702300,1,0.961500
55,2022-05-16,sh.600758,4.2600,4.3300,4.1000,4.2800,4.2000,64837907,275076894.5900,3,4.909200,1,1.904800
56,2022-05-17,sh.600758,4.3000,4.4300,4.2400,4.3700,4.2800,70728913,307813446.9900,3,5.355200,1,2.102800
57,2022-05-18,sh.600758,4.3100,4.4900,4.2500,4.3800,4.3700,65450440,288161522.2000,3,4.955600,1,0.228800
58,2022-05-19,sh.600758,4.3100,4.3600,4.2500,4.3400,4.3800,46675600,201108972.0000,3,3.534000,1,-0.913200
59,2022-05-20,sh.600758,4.3800,4.5500,4.3400,4.5000,4.3400,58920921,262680989.9900,3,4.461200,1,3.686600
60,2022-05-23,sh.600758,4.5000,4.6900,4.4600,4.5500,4.5000,55263128,252669959.9800,3,4.184200,1,1.111100
61,2022-05-24,sh.600758,4.4800,4.5900,4.3400,4.3600,4.5500,57032906,255334191.5100,3,4.318200,1,-4.175800
62,2022-05-25,sh.600758,4.3400,4.5400,4.3000,4.5400,4.3600,44056700,195124587.0000,3,3.335800,1,4.128400
63,2022-05-26,sh.600758,4.5800,4.7100,4.4400,4.6400,4.5400,53119611,243166257.7100,3,4.021900,1,2.202600
64,2022-05-27,sh.600758,4.6100,4.7300,4.5400,4.6700,4.6400,55169190,255923255.7000,3,4.177100,1,0.646600
65,2022-05-30,sh.600758,4.6700,4.7200,4.5200,4.6200,4.6700,41687900,191631668.0000,3,3.156400,1,-1.070700
66,2022-05-31,sh.600758,4.6000,4.6600,4.4900,4.5800,4.6200,35789508,163293728.4000,3,2.709800,1,-0.865800
67,2022-06-01,sh.600758,4.5600,4.6700,4.4900,4.6200,4.5800,39172745,179676189.1000,3,2.966000,1,0.873400
68,2022-06-02,sh.600758,4.5900,4.6200,4.5000,4.5800,4.6200,31782282,144898939.1000,3,2.406400,1,-0.865800
69,2022-06-06,sh.600758,4.5700,4.6600,4.5300,4.6400,4.5800,37453800,172406840.0000,3,2.835800,1,1.310000
70,2022-06-07,sh.600758,4.6800,4.7300,4.5300,4.6400,4.6400,38433945,178078230.4500,3,2.910000,1,0.000000
71,2022-06-08,sh.600758,4.6300,4.9500,4.6100,4.8400,4.6400,71040010,341506143.3000,3,5.378800,1,4.310300
72,2022-06-09,sh.600758,4.8300,5.0700,4.7800,4.8900,4.8400,84299301,416005920.8300,3,6.382700,1,1.033100
73,2022-06-10,sh.600758,4.8300,5.3800,4.8100,5.3600,4.8900,112705625,593557274.9000,3,8.533500,1,9.611500
74,2022-06-13,sh.600758,5.1000,5.1500,4.8600,5.0100,5.3600,127604260,638921795.8000,3,9.661500,1,-6.529900
