,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600775,10.6400,10.7100,9.8500,10.3700,10.7200,16512653,168400950.0800,3,2.457800,1,-3.264900
1,2022-02-22,sh.600775,10.2500,10.3000,10.0600,10.2200,10.3700,6932413,70434403.2000,3,1.031900,1,-1.446500
2,2022-02-23,sh.600775,10.2900,10.4200,10.1400,10.3800,10.2200,5516253,56832555.5100,3,0.821100,1,1.565600
3,2022-02-24,sh.600775,10.4600,10.4600,9.9000,9.9800,10.3800,8412431,84554003.6800,3,1.252200,1,-3.853600
4,2022-02-25,sh.600775,10.0100,10.4100,9.9300,10.1000,9.9800,7945105,80754455.0000,3,1.182600,1,1.202400
5,2022-02-28,sh.600775,10.1100,10.1700,9.9500,10.0600,10.1000,4125400,41541976.0000,3,0.614000,1,-0.396000
6,2022-03-01,sh.600775,10.0900,10.1900,10.0500,10.1200,10.0600,3600078,36432555.0000,3,0.535900,1,0.596400
7,2022-03-02,sh.600775,10.1200,10.1200,9.9500,9.9700,10.1200,4254300,42594798.0000,3,0.633200,1,-1.482200
8,2022-03-03,sh.600775,10.0600,10.3600,9.8000,9.9600,9.9700,8721734,87276333.0000,3,1.298200,1,-0.100300
9,2022-03-04,sh.600775,9.9500,10.0500,9.8100,9.8800,9.9600,4134746,40981118.0000,3,0.615400,1,-0.803200
10,2022-03-07,sh.600775,9.8300,10.0500,9.6800,9.7000,9.8800,6218120,61352100.0000,3,0.925500,1,-1.821900
11,2022-03-08,sh.600775,9.7000,9.8500,9.3500,9.4300,9.7000,6354858,60952943.0000,3,0.945900,1,-2.783500
12,2022-03-09,sh.600775,9.5000,9.6300,8.6500,9.1100,9.4300,8998695,81763759.0000,3,1.339400,1,-3.393400
13,2022-03-10,sh.600775,9.3000,9.4800,9.1600,9.2500,9.1100,6165007,57510778.0000,3,0.917600,1,1.536800
14,2022-03-11,sh.600775,9.1500,9.3200,8.9900,9.2700,9.2500,4265778,39110047.0000,3,0.634900,1,0.216200
15,2022-03-14,sh.600775,9.2700,9.2700,8.8800,8.8800,9.2700,7446977,67563082.0000,3,1.108400,1,-4.207100
16,2022-03-15,sh.600775,8.8800,8.9800,8.2000,8.2400,8.8800,13334658,113780909.0000,3,1.984800,1,-7.207200
17,2022-03-16,sh.600775,8.4800,8.5200,7.9900,8.4700,8.2400,9006458,74498830.0000,3,1.340600,1,2.791300
18,2022-03-17,sh.600775,8.6200,8.8800,8.5700,8.6300,8.4700,6030930,52510332.0000,3,0.897700,1,1.889000
19,2022-03-18,sh.600775,8.6500,8.6800,8.5100,8.6400,8.6300,3654764,31474809.8000,3,0.544000,1,0.115900
20,2022-03-21,sh.600775,8.6700,8.9200,8.6000,8.6800,8.6400,3746950,32726788.5900,3,0.557700,1,0.463000
21,2022-03-22,sh.600775,8.7200,9.1600,8.6400,8.9800,8.6800,9420029,84129339.4800,3,1.402100,1,3.456200
22,2022-03-23,sh.600775,8.8600,9.3400,8.8600,9.1600,8.9800,6988892,64002541.5700,3,1.040300,1,2.004500
23,2022-03-24,sh.600775,9.1000,9.1500,8.9600,9.0300,9.1600,4198411,37928834.5100,3,0.624900,1,-1.419200
24,2022-03-25,sh.600775,9.1300,9.1300,8.7100,8.8000,9.0300,3800457,33769108.9200,3,0.565700,1,-2.547100
25,2022-03-28,sh.600775,8.8800,8.8800,8.5800,8.8000,8.8000,3551562,31061549.9200,3,0.528600,1,0.000000
26,2022-03-29,sh.600775,8.7800,9.0100,8.7800,8.8300,8.8000,2703900,23980691.0000,3,0.402500,1,0.340900
27,2022-03-30,sh.600775,8.8000,8.9000,8.7500,8.7900,8.8300,3465523,30478481.4800,3,0.515800,1,-0.453000
28,2022-03-31,sh.600775,8.8500,8.8500,8.5800,8.6200,8.7900,3770241,32650533.4200,3,0.561200,1,-1.934000
29,2022-04-01,sh.600775,8.6000,8.7100,8.5200,8.7000,8.6200,3000590,25916977.8800,3,0.446600,1,0.928100
30,2022-04-06,sh.600775,8.7000,8.7700,8.6500,8.7400,8.7000,3007901,26240526.7200,3,0.447700,1,0.459800
31,2022-04-07,sh.600775,8.7100,8.7700,8.4800,8.5000,8.7400,2991378,25779055.4500,3,0.445300,1,-2.746000
32,2022-04-08,sh.600775,8.4900,8.6000,8.2600,8.3300,8.5000,4197978,35042163.3000,3,0.624800,1,-2.000000
33,2022-04-11,sh.600775,8.3100,8.4300,7.9900,8.0100,8.3300,6277085,50723980.4000,3,0.934300,1,-3.841500
34,2022-04-12,sh.600775,8.0600,8.4000,7.9100,8.4000,8.0100,5216601,42429187.0900,3,0.776500,1,4.868900
35,2022-04-13,sh.600775,8.3200,8.7500,8.1600,8.5200,8.4000,8719796,74782152.9800,3,1.297900,1,1.428600
36,2022-04-14,sh.600775,8.5300,8.6900,8.4100,8.4600,8.5200,4357061,36987184.3100,3,0.648500,1,-0.704200
37,2022-04-15,sh.600775,8.4600,8.6000,8.3300,8.4200,8.4600,4315900,36525090.0000,3,0.642400,1,-0.472800
38,2022-04-18,sh.600775,8.2900,8.4700,8.1200,8.4500,8.4200,3135227,26016883.2100,3,0.466700,1,0.356300
39,2022-04-19,sh.600775,8.4500,8.7300,8.4000,8.7200,8.4500,5728950,49232858.1300,3,0.852700,1,3.195300
40,2022-04-20,sh.600775,8.6900,8.7900,8.2700,8.3000,8.7200,6028822,51360569.6100,3,0.897400,1,-4.816500
41,2022-04-21,sh.600775,8.3700,8.3800,7.9700,7.9800,8.3000,4823262,39225422.5200,3,0.717900,1,-3.855400
42,2022-04-22,sh.600775,7.9800,8.0200,7.6400,7.8000,7.9800,6703792,52302302.4000,3,0.997800,1,-2.255600
43,2022-04-25,sh.600775,7.7200,7.7200,7.0200,7.0200,7.8000,8421292,60423604.0000,3,1.253500,1,-10.000000
