,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600819,5.3900,5.4400,5.3900,5.4300,5.4200,2416850,13096678.0000,3,0.323400,1,0.184500
1,2022-02-22,sh.600819,5.4000,5.4300,5.3100,5.3500,5.4300,2830900,15179439.0000,3,0.378800,1,-1.473300
2,2022-02-23,sh.600819,5.3600,5.4000,5.3100,5.3800,5.3500,1969975,10573418.0000,3,0.263600,1,0.560700
3,2022-02-24,sh.600819,5.3800,5.3900,5.1500,5.2000,5.3800,5736700,30221021.0000,3,0.767500,1,-3.345700
4,2022-02-25,sh.600819,5.2200,5.3000,5.2100,5.2500,5.2000,2755501,14497962.2400,3,0.368700,1,0.961500
5,2022-02-28,sh.600819,5.2500,5.2600,5.1300,5.1900,5.2500,2428800,12599136.0000,3,0.325000,1,-1.142900
6,2022-03-01,sh.600819,5.2000,5.2600,5.1900,5.2300,5.1900,2183409,11402416.0000,3,0.292100,1,0.770700
7,2022-03-02,sh.600819,5.1900,5.2800,5.1800,5.2800,5.2300,3073818,16151158.0000,3,0.411300,1,0.956000
8,2022-03-03,sh.600819,5.2700,5.4400,5.2700,5.3700,5.2800,5225926,28077771.0000,3,0.699200,1,1.704500
9,2022-03-04,sh.600819,5.3600,5.3900,5.3100,5.3300,5.3700,2922311,15623343.0000,3,0.391000,1,-0.744900
10,2022-03-07,sh.600819,5.3100,5.3600,5.2000,5.2400,5.3300,2810001,14838806.0000,3,0.376000,1,-1.688600
11,2022-03-08,sh.600819,5.2400,5.2400,5.0700,5.1100,5.2400,3414900,17563142.0000,3,0.456900,1,-2.480900
12,2022-03-09,sh.600819,5.1600,5.1600,4.8000,4.9800,5.1100,5330400,26681812.0000,3,0.713200,1,-2.544000
13,2022-03-10,sh.600819,5.0500,5.1700,5.0500,5.1500,4.9800,3425628,17515290.0000,3,0.458300,1,3.413700
14,2022-03-11,sh.600819,5.0700,5.2400,4.9900,5.2000,5.1500,6308677,32062675.0000,3,0.844100,1,0.970900
15,2022-03-14,sh.600819,5.1000,5.1600,5.0200,5.0200,5.2000,3152100,16045029.0000,3,0.421700,1,-3.461500
16,2022-03-15,sh.600819,5.0100,5.0200,4.7600,4.7800,5.0200,5307000,26004124.0000,3,0.710000,1,-4.780900
17,2022-03-16,sh.600819,4.8700,5.2600,4.8300,5.2600,4.7800,15855900,82113532.0000,3,2.121400,1,10.041800
