,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600825,4.4700,4.6000,4.4700,4.5800,4.4900,11792314,53852909.5400,3,1.128600,1,2.004500
1,2022-02-22,sh.600825,4.5500,4.5700,4.4500,4.4700,4.5800,10980208,49408387.7300,3,1.050900,1,-2.401700
2,2022-02-23,sh.600825,4.4800,4.5400,4.4400,4.4700,4.4700,8122320,36522608.5900,3,0.777300,1,0.000000
3,2022-02-24,sh.600825,4.4600,4.4800,4.2200,4.2700,4.4700,14752143,64245548.0900,3,1.411800,1,-4.474300
4,2022-02-25,sh.600825,4.3000,4.4100,4.3000,4.3200,4.2700,9360315,40769959.8500,3,0.895800,1,1.171000
5,2022-02-28,sh.600825,4.3300,4.3500,4.2300,4.2900,4.3200,5834087,24956988.0000,3,0.558300,1,-0.694400
6,2022-03-01,sh.600825,4.3000,4.3500,4.2600,4.3100,4.2900,6603724,28424454.0000,3,0.632000,1,0.466200
7,2022-03-02,sh.600825,4.2900,4.3700,4.2800,4.3200,4.3100,6403141,27647152.0000,3,0.612800,1,0.232000
8,2022-03-03,sh.600825,4.3300,4.3800,4.3000,4.3400,4.3200,6235001,27073540.0000,3,0.596700,1,0.463000
9,2022-03-04,sh.600825,4.3200,4.3600,4.2500,4.2800,4.3400,7023964,30140999.0000,3,0.672200,1,-1.382500
10,2022-03-07,sh.600825,4.2700,4.3400,4.2200,4.2400,4.2800,6247812,26723070.0000,3,0.597900,1,-0.934600
11,2022-03-08,sh.600825,4.2400,4.2600,4.1000,4.1200,4.2400,9117504,37945466.0000,3,0.872600,1,-2.830200
12,2022-03-09,sh.600825,4.1200,4.1900,3.9000,4.0700,4.1200,12056756,48892828.0000,3,1.153900,1,-1.213600
13,2022-03-10,sh.600825,4.1200,4.2000,4.1100,4.1400,4.0700,7461111,31010320.0000,3,0.714100,1,1.719900
14,2022-03-11,sh.600825,4.1000,4.1900,4.0100,4.1700,4.1400,7221863,29567484.0000,3,0.691200,1,0.724600
15,2022-03-14,sh.600825,4.1500,4.2000,4.0800,4.0800,4.1700,5838529,24187122.0000,3,0.558800,1,-2.158300
16,2022-03-15,sh.600825,4.0400,4.0900,3.8700,3.8900,4.0800,9537920,37956828.0000,3,0.912800,1,-4.656900
17,2022-03-16,sh.600825,3.9600,4.0600,3.8600,4.0500,3.8900,8470040,33660777.0000,3,0.810600,1,4.113100
18,2022-03-17,sh.600825,4.1100,4.1900,4.0600,4.1500,4.0500,8631211,35717598.0000,3,0.826000,1,2.469100
19,2022-03-18,sh.600825,4.1300,4.2200,4.1100,4.1700,4.1500,6201666,25914022.8200,3,0.593500,1,0.481900
20,2022-03-21,sh.600825,4.1800,4.2200,4.1300,4.2000,4.1700,7173785,29969807.0000,3,0.686600,1,0.719400
21,2022-03-22,sh.600825,4.2000,4.3000,4.1500,4.2700,4.2000,7283099,30882697.7600,3,0.697000,1,1.666700
22,2022-03-23,sh.600825,4.2700,4.2900,4.1800,4.2100,4.2700,6322294,26687380.0700,3,0.605100,1,-1.405200
23,2022-03-24,sh.600825,4.2100,4.2100,4.0900,4.1300,4.2100,7820278,32427427.4000,3,0.748400,1,-1.900200
24,2022-03-25,sh.600825,4.1500,4.3200,4.1300,4.2500,4.1300,11062220,46922990.7900,3,1.058700,1,2.905600
25,2022-03-28,sh.600825,4.2300,4.3800,4.2000,4.3000,4.2500,12198013,52678645.5900,3,1.167400,1,1.176500
26,2022-03-29,sh.600825,4.2800,4.3900,4.2800,4.3500,4.3000,9968013,43266651.8100,3,0.954000,1,1.162800
