,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600831,6.5500,6.9100,6.4600,6.8500,6.3700,52791829,355635070.3200,3,7.430400,1,7.535300
1,2022-02-22,sh.600831,6.6500,6.7900,6.5300,6.6200,6.8500,34347996,227594386.4700,3,4.834400,1,-3.357700
2,2022-02-23,sh.600831,7.1100,7.2800,7.1100,7.2800,6.6200,19954601,144983544.7200,3,2.808600,1,9.969800
3,2022-02-24,sh.600831,7.6000,7.6900,6.5600,6.6900,7.2800,105263086,759706594.7500,3,14.815600,1,-8.104400
4,2022-02-25,sh.600831,6.6800,6.8000,6.3400,6.3700,6.6900,54090228,353936445.7800,3,7.613100,1,-4.783300
5,2022-02-28,sh.600831,6.2500,6.2900,6.0600,6.1900,6.3700,30966358,190482213.0000,3,4.358500,1,-2.825700
6,2022-03-01,sh.600831,6.1900,6.8100,6.1900,6.8100,6.1900,62374236,415414768.0000,3,8.779100,1,10.016200
7,2022-03-02,sh.600831,6.7900,7.4100,6.6600,7.0900,6.8100,96365681,681073248.0000,3,13.563300,1,4.111600
8,2022-03-03,sh.600831,7.2400,7.2700,6.8000,6.9000,7.0900,46415443,322338176.0000,3,6.532900,1,-2.679800
9,2022-03-04,sh.600831,6.8300,7.2200,6.8300,6.9700,6.9000,50669343,355756672.0000,3,7.131600,1,1.014500
10,2022-03-07,sh.600831,6.9400,7.1000,6.7600,6.8100,6.9700,32313435,222715481.0000,3,4.548100,1,-2.295600
11,2022-03-08,sh.600831,6.8400,6.9300,6.5500,6.5700,6.8100,31750109,214482892.0000,3,4.468800,1,-3.524200
12,2022-03-09,sh.600831,6.5600,6.6900,6.1600,6.5600,6.5700,37182948,240637137.0000,3,5.233400,1,-0.152200
13,2022-03-10,sh.600831,6.6800,6.7700,6.4500,6.5200,6.5600,34228432,226437682.0000,3,4.817600,1,-0.609800
14,2022-03-11,sh.600831,6.3000,6.9400,6.2700,6.8800,6.5200,37167780,247686446.0000,3,5.231300,1,5.521500
15,2022-03-14,sh.600831,6.8300,6.8400,6.5400,6.5600,6.8800,24467335,163275698.0000,3,3.443700,1,-4.651200
16,2022-03-15,sh.600831,6.5300,6.5700,6.0400,6.0900,6.5600,27700524,175280640.0000,3,3.898800,1,-7.164600
17,2022-03-16,sh.600831,6.1800,6.4300,6.1000,6.4100,6.0900,26216425,164463243.0000,3,3.689900,1,5.254500
18,2022-03-17,sh.600831,6.4100,6.5300,6.2300,6.3800,6.4100,37160880,237449048.0000,3,5.230300,1,-0.468000
19,2022-03-18,sh.600831,6.2900,6.5900,6.2400,6.4900,6.3800,30563616,197679803.2700,3,4.301800,1,1.724100
20,2022-03-21,sh.600831,6.4800,6.5400,6.3300,6.4500,6.4900,21494835,137871884.0700,3,3.025400,1,-0.616300
21,2022-03-22,sh.600831,6.4300,6.6300,6.3000,6.4800,6.4500,30379610,196703495.5000,3,4.275900,1,0.465100
22,2022-03-23,sh.600831,6.4200,6.5400,6.3600,6.3900,6.4800,21601977,139148295.9500,3,3.040400,1,-1.388900
23,2022-03-24,sh.600831,6.3200,6.3600,6.1100,6.1500,6.3900,25160101,155859233.6000,3,3.541300,1,-3.755900
24,2022-03-25,sh.600831,6.1500,6.2800,6.1100,6.1300,6.1500,16416933,101647742.7200,3,2.310700,1,-0.325200
25,2022-03-28,sh.600831,6.1000,6.6000,6.0200,6.4600,6.1300,35885134,230195262.3400,3,5.050800,1,5.383400
26,2022-03-29,sh.600831,6.4200,6.5400,6.2700,6.3100,6.4600,20359582,129815444.0100,3,2.865600,1,-2.322000
27,2022-03-30,sh.600831,6.3400,6.3900,6.1900,6.3100,6.3100,14338430,90076575.5200,3,2.018100,1,0.000000
28,2022-03-31,sh.600831,6.3100,6.6200,6.3000,6.5000,6.3100,27261145,177214066.2900,3,3.837000,1,3.011100
29,2022-04-01,sh.600831,6.4600,6.7600,6.3800,6.7200,6.5000,32390005,215448094.8300,3,4.558800,1,3.384600
30,2022-04-06,sh.600831,6.7400,6.8800,6.6500,6.8000,6.7200,30824043,209547071.3800,3,4.338300,1,1.190500
31,2022-04-07,sh.600831,6.7800,7.0600,6.6600,6.6800,6.8000,32538609,221834928.9500,3,4.579700,1,-1.764700
32,2022-04-08,sh.600831,6.6700,6.8000,6.4800,6.5100,6.6800,19484326,127835089.1100,3,2.742300,1,-2.544900
33,2022-04-11,sh.600831,6.4700,6.9300,6.4000,6.7800,6.5100,39427159,264252930.6100,3,5.549200,1,4.147500
34,2022-04-12,sh.600831,6.6900,6.9300,6.5800,6.8200,6.7800,43371284,291831734.3300,3,6.104300,1,0.590000
35,2022-04-13,sh.600831,6.8500,6.9700,6.4500,6.5900,6.8200,44125455,294449401.8200,3,6.210400,1,-3.372400
36,2022-04-14,sh.600831,6.6000,7.0600,6.5700,6.9600,6.5900,62208259,431546626.1300,3,8.755500,1,5.614600
37,2022-04-15,sh.600831,6.8000,6.8800,6.5200,6.5700,6.9600,50039399,333543616.3500,3,7.042800,1,-5.603400
38,2022-04-18,sh.600831,6.4600,7.0400,6.2200,6.7300,6.5700,46424153,306640358.3400,3,6.534000,1,2.435300
39,2022-04-19,sh.600831,6.6700,6.8600,6.6200,6.8500,6.7300,33753500,228903004.9400,3,4.750600,1,1.783100
40,2022-04-20,sh.600831,6.9000,7.1700,6.8200,6.9600,6.8500,56350503,396335918.6600,3,7.931100,1,1.605800
41,2022-04-21,sh.600831,6.7700,7.0400,6.6000,6.6400,6.9600,41381261,282419759.7200,3,5.824200,1,-4.597700
42,2022-04-22,sh.600831,6.6400,6.6700,6.1900,6.2500,6.6400,36154786,229150480.2600,3,5.088600,1,-5.873500
43,2022-04-25,sh.600831,6.0300,6.0600,5.6300,5.6300,6.2500,28310626,162791339.6700,3,3.984600,1,-9.920000
44,2022-04-26,sh.600831,5.5300,5.6400,5.2300,5.2700,5.6300,22487625,122360551.9100,3,3.165000,1,-6.394300
