,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600836,6.6100,7.0400,6.6000,6.9400,6.6200,17737954,122237871.9600,3,2.676400,1,4.833800
1,2022-02-22,sh.600836,6.9900,7.1000,6.7900,6.8000,6.9400,12565800,86612550.7200,3,1.896000,1,-2.017300
2,2022-02-23,sh.600836,6.8100,6.9200,6.6800,6.8800,6.8000,11862432,80819486.5000,3,1.789900,1,1.176500
3,2022-02-24,sh.600836,6.9100,7.0400,6.7300,6.7800,6.8800,19950198,137576534.9600,3,3.010200,1,-1.453500
4,2022-02-25,sh.600836,6.8300,7.0300,6.7900,6.9800,6.7800,15947783,110161070.9700,3,2.406300,1,2.949900
5,2022-02-28,sh.600836,6.9300,7.1200,6.9000,7.0900,6.9800,15831202,111463746.0000,3,2.388700,1,1.575900
6,2022-03-01,sh.600836,7.2000,7.2500,6.4900,6.6900,7.0900,30010058,203985621.0000,3,4.528100,1,-5.641700
7,2022-03-02,sh.600836,6.6800,7.1400,6.6000,7.0800,6.6900,23739901,165240328.0000,3,3.582000,1,5.829600
8,2022-03-03,sh.600836,7.0200,7.2000,7.0100,7.1200,7.0800,13051020,92834953.0000,3,1.969200,1,0.565000
9,2022-03-04,sh.600836,7.0500,7.1700,6.9300,7.0200,7.1200,11902202,83674525.0000,3,1.795900,1,-1.404500
10,2022-03-07,sh.600836,6.9000,7.0200,6.8300,6.8900,7.0200,9198570,63798838.0000,3,1.387900,1,-1.851900
11,2022-03-08,sh.600836,6.9800,6.9800,6.6000,6.6400,6.8900,14421415,97754498.0000,3,2.176000,1,-3.628400
12,2022-03-09,sh.600836,6.6700,6.8700,6.3000,6.5500,6.6400,12773300,83993493.0000,3,1.927300,1,-1.355400
13,2022-03-10,sh.600836,6.6800,7.2100,6.6800,7.0900,6.5500,30025800,213355936.0000,3,4.530500,1,8.244300
14,2022-03-11,sh.600836,6.9400,7.0300,6.7900,6.8700,7.0900,17604919,121305562.0000,3,2.656300,1,-3.103000
15,2022-03-14,sh.600836,6.8700,6.9800,6.6100,6.6100,6.8700,10525900,71344912.0000,3,1.588200,1,-3.784600
16,2022-03-15,sh.600836,6.6200,6.8100,6.3400,6.4000,6.6100,13427200,88157667.0000,3,2.026000,1,-3.177000
17,2022-03-16,sh.600836,6.4400,6.6400,6.2100,6.5500,6.4000,10354800,66724930.0000,3,1.562400,1,2.343800
18,2022-03-17,sh.600836,6.5800,7.0900,6.5800,6.8600,6.5500,16494268,113752243.0000,3,2.488800,1,4.732800
19,2022-03-18,sh.600836,6.9300,7.0000,6.8400,6.9500,6.8600,8102670,56210548.1000,3,1.222600,1,1.312000
20,2022-03-21,sh.600836,6.9200,7.0400,6.8300,6.9100,6.9500,6999170,48261388.3000,3,1.056100,1,-0.575500
21,2022-03-22,sh.600836,6.8800,6.9200,6.7500,6.7700,6.9100,6501202,44350327.6400,3,0.980900,1,-2.026000
22,2022-03-23,sh.600836,6.8100,6.8500,6.6100,6.6700,6.7700,6846602,45787866.3800,3,1.033100,1,-1.477100
23,2022-03-24,sh.600836,6.6200,6.9900,6.5900,6.6700,6.6700,9840465,66278115.7300,3,1.484800,1,0.000000
24,2022-03-25,sh.600836,6.6400,6.9100,6.6400,6.6800,6.6700,9740354,65861338.5700,3,1.469700,1,0.149900
25,2022-03-28,sh.600836,6.7400,6.7400,6.4900,6.5500,6.6800,7308200,48028722.0000,3,1.102700,1,-1.946100
26,2022-03-29,sh.600836,6.5200,6.5900,6.3500,6.5000,6.5500,5410918,34903477.2000,3,0.816400,1,-0.763400
27,2022-03-30,sh.600836,6.5000,6.6200,6.3800,6.5300,6.5000,4390106,28587562.2000,3,0.662400,1,0.461500
28,2022-03-31,sh.600836,6.5400,6.6500,6.4600,6.4900,6.5300,6197520,40568472.2000,3,0.935100,1,-0.612600
29,2022-04-01,sh.600836,6.5500,6.7700,6.4100,6.6500,6.4900,9513079,63077127.8000,3,1.435400,1,2.465300
30,2022-04-06,sh.600836,6.7600,7.2100,6.6800,7.2000,6.6500,22092010,155348061.3600,3,3.333400,1,8.270700
31,2022-04-07,sh.600836,7.1900,7.2300,6.8900,6.9200,7.2000,13750097,97125242.5200,3,2.074700,1,-3.888900
32,2022-04-08,sh.600836,6.9400,7.0000,6.8600,6.8900,6.9200,10653706,73653845.8400,3,1.607500,1,-0.433500
33,2022-04-11,sh.600836,6.8500,6.9600,6.6200,6.7400,6.8900,9934361,67473063.9000,3,1.499000,1,-2.177100
34,2022-04-12,sh.600836,6.6800,6.8100,6.5700,6.7600,6.7400,9821217,65560492.3800,3,1.481900,1,0.296700
35,2022-04-13,sh.600836,6.7100,6.7800,6.5800,6.6000,6.7600,7571900,50531859.0000,3,1.142500,1,-2.366900
36,2022-04-14,sh.600836,6.5800,6.6700,6.5700,6.6400,6.6000,3575602,23648714.2200,3,0.539500,1,0.606100
37,2022-04-15,sh.600836,6.6500,6.6600,6.3900,6.4500,6.6400,6985000,45208187.0000,3,1.053900,1,-2.861400
38,2022-04-18,sh.600836,6.3600,6.6100,6.2700,6.5600,6.4500,4162090,26815282.9200,3,0.628000,1,1.705400
39,2022-04-19,sh.600836,6.5600,6.6200,6.4400,6.5200,6.5600,3815122,24858786.8800,3,0.575600,1,-0.609800
40,2022-04-20,sh.600836,6.5000,6.5100,6.2200,6.2900,6.5200,6479239,41134519.8400,3,0.977600,1,-3.527600
41,2022-04-21,sh.600836,6.2900,6.3700,5.9000,5.9700,6.2900,8877286,54035805.2400,3,1.339500,1,-5.087400
42,2022-04-22,sh.600836,6.0300,6.0900,5.8900,6.0500,5.9700,6510900,38934731.8200,3,0.982400,1,1.340000
43,2022-04-25,sh.600836,6.0000,6.0000,5.4500,5.4500,6.0500,11539500,65577746.8000,3,1.741100,1,-9.917400
44,2022-04-26,sh.600836,5.4500,5.4900,5.1100,5.1500,5.4500,8618817,45932817.9700,3,1.300500,1,-5.504600
45,2022-04-27,sh.600836,5.2900,5.2900,4.9100,5.1900,5.1500,12591612,64034444.8800,3,1.899900,1,0.776700
46,2022-04-28,sh.600836,5.1200,5.2800,4.9700,5.0600,5.1900,6584783,33545336.6600,3,0.993500,1,-2.504800
47,2022-04-29,sh.600836,5.0200,5.2400,5.0200,5.2400,5.0600,9457211,48585341.6600,3,1.427000,1,3.557300
48,2022-05-05,sh.600836,5.2400,5.7400,5.2400,5.6800,5.2400,16408159,91289113.8000,3,2.475800,1,8.396900
49,2022-05-06,sh.600836,5.6000,5.7100,5.4400,5.6900,5.6800,10403018,58139688.2200,3,1.569700,1,0.176100
50,2022-05-09,sh.600836,5.7000,5.7200,5.5500,5.7100,5.6900,5775400,32574569.0000,3,0.871400,1,0.351500
51,2022-05-10,sh.600836,5.6200,5.9000,5.6000,5.9000,5.7100,8449802,48740684.4600,3,1.275000,1,3.327500
52,2022-05-11,sh.600836,5.8800,5.9800,5.7900,5.8200,5.9000,7215800,42418535.3200,3,1.088800,1,-1.355900
53,2022-05-12,sh.600836,5.7800,5.8300,5.6800,5.8200,5.8200,6440783,37146157.5900,3,0.971800,1,0.000000
54,2022-05-13,sh.600836,5.7200,5.8100,5.7200,5.7900,5.8200,3310800,19080468.0000,3,0.499600,1,-0.515500
55,2022-05-16,sh.600836,5.8300,5.8900,5.7100,5.7900,5.7900,3264400,18944228.0000,3,0.492600,1,0.000000
56,2022-05-17,sh.600836,5.8100,5.8300,5.7000,5.7900,5.7900,4124000,23693287.0000,3,0.622300,1,0.000000
57,2022-05-18,sh.600836,5.7900,6.1600,5.7200,6.0200,5.7900,11423300,68917469.0000,3,1.723600,1,3.972400
58,2022-05-19,sh.600836,5.9100,6.2800,5.9000,6.2300,6.0200,8454700,51753555.0000,3,1.275700,1,3.488400
59,2022-05-20,sh.600836,6.1900,6.3700,6.1200,6.2300,6.2300,12949130,80811617.8000,3,1.953800,1,0.000000
60,2022-05-23,sh.600836,6.2300,6.6000,6.1600,6.4800,6.2300,12818940,82079990.2000,3,1.934200,1,4.012800
61,2022-05-24,sh.600836,6.5000,6.5500,6.2000,6.2600,6.4800,8318181,53180180.9100,3,1.255100,1,-3.395100
62,2022-05-25,sh.600836,6.2800,6.3400,6.2000,6.2900,6.2600,5244700,32911253.0000,3,0.791400,1,0.479200
63,2022-05-26,sh.600836,6.2900,6.4300,6.2200,6.4100,6.2900,4829210,30584148.6600,3,0.728700,1,1.907800
64,2022-05-27,sh.600836,6.4200,6.4900,5.9700,6.3800,6.4100,4695708,30059992.2800,3,0.708500,1,-0.468000
65,2022-05-30,sh.600836,6.3600,6.4900,6.3100,6.4300,6.3800,5851411,37459906.6200,3,0.882900,1,0.783700
66,2022-05-31,sh.600836,6.3100,6.7500,6.3100,6.7200,6.4300,12433502,82506425.4200,3,1.876000,1,4.510100
67,2022-06-01,sh.600836,6.7500,7.0100,6.7200,6.8700,6.7200,15767337,108443961.3400,3,2.379100,1,2.232100
68,2022-06-02,sh.600836,6.8400,6.9800,6.6000,6.9200,6.8700,14861687,100627540.1100,3,2.242400,1,0.727800
69,2022-06-06,sh.600836,6.9400,7.0900,6.8500,7.0500,6.9200,15060268,105139010.0600,3,2.272400,1,1.878600
70,2022-06-07,sh.600836,7.0200,7.0300,6.8500,6.9100,7.0500,6559900,45374714.0000,3,0.989800,1,-1.985800
71,2022-06-08,sh.600836,6.9100,7.0700,6.6800,6.9200,6.9100,11079920,76080163.4000,3,1.671800,1,0.144700
72,2022-06-09,sh.600836,6.9600,6.9600,6.7800,6.8200,6.9200,6017500,41256013.0000,3,0.908000,1,-1.445100
73,2022-06-10,sh.600836,6.8300,7.0000,6.7100,6.8300,6.8200,7370934,50686306.8000,3,1.112200,1,0.146600
74,2022-06-13,sh.600836,6.8200,6.9700,6.7900,6.9600,6.8300,7372203,50711050.1800,3,1.112400,1,1.903400
75,2022-06-14,sh.600836,6.9000,6.9700,6.7800,6.9700,6.9600,8174734,56518469.7800,3,1.233500,1,0.143700
76,2022-06-15,sh.600836,6.9300,7.0000,6.8900,6.9100,6.9700,7715800,53533038.0000,3,1.164200,1,-0.860800
77,2022-06-16,sh.600836,6.9600,6.9600,6.8000,6.8900,6.9100,6935402,47598634.6800,3,1.046500,1,-0.289400
78,2022-06-17,sh.600836,6.8800,7.4600,6.8400,7.2500,6.8900,25957173,186215852.5200,3,3.916600,1,5.225000
79,2022-06-20,sh.600836,7.2500,7.2800,6.5500,6.6700,7.2500,26703832,182720068.5600,3,4.029200,1,-8.000000
80,2022-06-21,sh.600836,6.7400,7.3400,6.6000,6.7200,6.6700,23859608,166103519.4400,3,3.600100,1,0.749600
81,2022-06-22,sh.600836,6.5800,6.7500,6.4000,6.4400,6.7200,13204104,86877305.4600,3,1.992300,1,-4.166700
82,2022-06-23,sh.600836,6.4400,6.7600,6.4100,6.7500,6.4400,17922961,119292866.8100,3,2.704300,1,4.813700
83,2022-06-24,sh.600836,6.7500,6.8800,6.4900,6.7600,6.7500,15012900,100180599.0000,3,2.265200,1,0.148100
84,2022-06-27,sh.600836,6.7400,6.8100,6.6600,6.7600,6.7600,7555419,50750439.4900,3,1.140000,1,0.000000
85,2022-06-28,sh.600836,6.6600,7.1000,6.6600,6.9000,6.7600,14527100,100802750.0000,3,2.191900,1,2.071000
86,2022-06-29,sh.600836,6.8200,7.0600,6.7000,6.7400,6.9000,11929500,81735402.0000,3,1.800000,1,-2.318800
87,2022-06-30,sh.600836,6.7200,6.8600,6.7000,6.8100,6.7400,7669300,52027163.0000,3,1.157200,1,1.038600
88,2022-07-01,sh.600836,6.8800,6.9000,6.7000,6.7600,6.8100,5376036,36340669.9200,3,0.811200,1,-0.734200
89,2022-07-04,sh.600836,6.7600,6.8000,6.6200,6.7700,6.7600,5588542,37467787.8200,3,0.843200,1,0.147900
90,2022-07-05,sh.600836,6.7900,6.8200,6.6100,6.6900,6.7700,5314363,35532833.5600,3,0.801900,1,-1.181700
91,2022-07-06,sh.600836,6.6100,7.0500,6.6100,6.9900,6.6900,19953258,137986628.9800,3,3.010700,1,4.484300
92,2022-07-07,sh.600836,7.0800,7.1900,6.8800,7.1500,6.9900,19878602,140871998.2200,3,2.999400,1,2.289000
93,2022-07-08,sh.600836,7.2300,7.2500,6.8600,7.0000,7.1500,11346600,79296604.0000,3,1.712000,1,-2.097900
94,2022-07-11,sh.600836,6.9300,7.0400,6.8100,6.9800,7.0000,8530710,59195796.1200,3,1.287200,1,-0.285700
95,2022-07-12,sh.600836,6.9800,7.0600,6.6500,6.6800,6.9800,10266165,69880809.7500,3,1.549000,1,-4.298000
96,2022-07-13,sh.600836,6.6800,6.7400,6.5800,6.6800,6.6800,6114200,40687106.0000,3,0.922500,1,0.000000
97,2022-07-14,sh.600836,6.6500,7.0000,6.6100,6.6900,6.6800,7664298,51624611.9800,3,1.156400,1,0.149700
