,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600893,48.3100,48.9100,47.5000,47.8600,48.1700,14456727,694501253.1300,3,0.620700,1,-0.643600
1,2022-02-22,sh.600893,48.3800,48.5800,46.8300,47.1900,47.8600,18923238,897185628.0600,3,0.812500,1,-1.399900
2,2022-02-23,sh.600893,46.9000,49.5300,46.7100,49.2000,47.1900,34281223,1663684804.5600,3,1.471900,1,4.259400
3,2022-02-24,sh.600893,48.7900,53.0000,48.5500,50.0700,49.2000,63094092,3166312102.2000,3,2.709000,1,1.768300
4,2022-02-25,sh.600893,49.1400,50.5000,48.4500,50.0400,50.0700,29659454,1476200162.4300,3,1.273500,1,-0.059900
5,2022-02-28,sh.600893,50.8500,51.8500,50.0600,50.5200,50.0400,26769471,1357413632.0000,3,1.149400,1,0.959200
6,2022-03-01,sh.600893,51.0000,52.4500,50.5100,51.8100,50.5200,33473187,1724464112.0000,3,1.437200,1,2.553400
7,2022-03-02,sh.600893,51.7000,51.8500,50.8000,51.3100,51.8100,19348693,991879648.0000,3,0.830800,1,-0.965100
8,2022-03-03,sh.600893,51.3300,51.3300,49.9000,50.0200,51.3100,18396499,924849200.0000,3,0.789900,1,-2.514100
9,2022-03-04,sh.600893,49.8400,50.3800,47.5900,48.0500,50.0200,25579782,1251825232.0000,3,1.098300,1,-3.938400
10,2022-03-07,sh.600893,48.7500,48.9300,46.8800,47.1800,48.0500,22146354,1059280816.0000,3,0.950900,1,-1.810600
11,2022-03-08,sh.600893,46.9000,47.5500,44.4600,44.5100,47.1800,28053147,1283530784.0000,3,1.204500,1,-5.659200
12,2022-03-09,sh.600893,44.5100,44.8900,40.3000,42.7600,44.5100,47308292,2008449888.0000,3,2.031200,1,-3.931700
13,2022-03-10,sh.600893,43.7000,44.3700,42.8700,43.4700,42.7600,31887853,1391440720.0000,3,1.369000,1,1.660400
14,2022-03-11,sh.600893,43.0000,44.1800,42.5900,44.1300,43.4700,22161960,961919040.0000,3,0.951500,1,1.518300
15,2022-03-14,sh.600893,43.8800,47.0300,43.6800,45.4700,44.1300,35555338,1630271680.0000,3,1.526500,1,3.036500
16,2022-03-15,sh.600893,44.9900,46.4500,43.9500,44.0500,45.4700,27041621,1220025520.0000,3,1.160900,1,-3.122900
17,2022-03-16,sh.600893,44.8000,45.4800,42.8200,45.4100,44.0500,27517840,1221203920.0000,3,1.181400,1,3.087400
18,2022-03-17,sh.600893,45.6700,46.5500,45.2800,45.5600,45.4100,27186354,1249181600.0000,3,1.167200,1,0.330300
19,2022-03-18,sh.600893,45.2000,45.4500,44.2600,45.0000,45.5600,15382032,690783149.7500,3,0.660400,1,-1.229100
20,2022-03-21,sh.600893,45.0800,45.9200,44.5000,45.1200,45.0000,16747485,757123346.1500,3,0.719000,1,0.266700
21,2022-03-22,sh.600893,45.6500,46.0800,44.1800,44.4200,45.1200,16240022,727881236.2000,3,0.697200,1,-1.551400
22,2022-03-23,sh.600893,44.3800,46.6400,43.8800,46.1700,44.4200,35354755,1609165109.5000,3,1.517800,1,3.939700
