,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600908,6.2700,6.3000,6.2000,6.2600,6.2700,21007075,131065392.4000,3,1.191100,1,-0.159500
1,2022-02-22,sh.600908,6.2500,6.2700,6.1500,6.2000,6.2600,14464249,89594242.8200,3,0.820100,1,-0.958500
2,2022-02-23,sh.600908,6.2100,6.2200,6.1000,6.1500,6.2000,16695130,102487221.1000,3,0.946600,1,-0.806500
3,2022-02-24,sh.600908,6.1400,6.1800,5.9900,6.0500,6.1500,20777812,126410116.5000,3,1.178100,1,-1.626000
4,2022-02-25,sh.600908,6.0900,6.1400,6.0300,6.0400,6.0500,14996300,91026566.0000,3,0.850300,1,-0.165300
5,2022-02-28,sh.600908,6.0400,6.0900,5.9100,6.0100,6.0400,17901949,106852580.0000,3,1.015000,1,-0.496700
6,2022-03-01,sh.600908,6.0100,6.0900,5.9800,6.0800,6.0100,17721522,107008841.0000,3,1.004800,1,1.164700
7,2022-03-02,sh.600908,6.0500,6.1300,6.0200,6.0800,6.0800,13579106,82675660.0000,3,0.769900,1,0.000000
8,2022-03-03,sh.600908,6.1200,6.1900,6.0900,6.1800,6.0800,21140776,130243769.0000,3,1.198700,1,1.644700
9,2022-03-04,sh.600908,6.1700,6.1700,6.0500,6.0900,6.1800,19430391,118411695.0000,3,1.101700,1,-1.456300
10,2022-03-07,sh.600908,6.0600,6.1400,6.0200,6.0400,6.0900,14857341,90108242.0000,3,0.842400,1,-0.821000
11,2022-03-08,sh.600908,6.0200,6.0400,5.8600,5.8700,6.0400,16899400,100594385.0000,3,0.958200,1,-2.814600
12,2022-03-09,sh.600908,5.9100,5.9100,5.5800,5.8000,5.8700,24877001,143558527.0000,3,1.410500,1,-1.192500
13,2022-03-10,sh.600908,5.8700,5.8800,5.7300,5.7600,5.8000,21337500,123488607.0000,3,1.209800,1,-0.689700
14,2022-03-11,sh.600908,5.7200,5.7900,5.5800,5.7700,5.7600,25891794,146830779.0000,3,1.468000,1,0.173600
15,2022-03-14,sh.600908,5.6900,5.7500,5.6200,5.6200,5.7700,15178700,86294559.0000,3,0.860600,1,-2.599700
16,2022-03-15,sh.600908,5.6000,5.6300,5.2900,5.3200,5.6200,27820249,152575483.0000,3,1.577400,1,-5.338100
17,2022-03-16,sh.600908,5.3800,5.4800,5.2100,5.4300,5.3200,20781469,111339519.0000,3,1.178300,1,2.067700
18,2022-03-17,sh.600908,5.4600,5.5000,5.4100,5.4200,5.4300,17914454,97662379.0000,3,1.015700,1,-0.184200
19,2022-03-18,sh.600908,5.4300,5.5300,5.3900,5.5000,5.4200,15820210,86693275.5100,3,0.897000,1,1.476000
20,2022-03-21,sh.600908,5.4900,5.5100,5.3700,5.4100,5.5000,17229900,93524094.0000,3,0.976900,1,-1.636400
21,2022-03-22,sh.600908,5.4000,5.5300,5.3600,5.5000,5.4100,16777309,91670867.9100,3,0.951300,1,1.663600
22,2022-03-23,sh.600908,5.4900,5.5200,5.4300,5.4600,5.5000,14819508,81070642.4400,3,0.840300,1,-0.727300
23,2022-03-24,sh.600908,5.4400,5.4900,5.4200,5.4400,5.4600,11548764,62992009.5200,3,0.654800,1,-0.366300
24,2022-03-25,sh.600908,5.4200,5.4900,5.3900,5.4200,5.4400,11389310,61920254.8600,3,0.645800,1,-0.367600
25,2022-03-28,sh.600908,5.3800,5.5300,5.3500,5.5100,5.4200,17069746,93316837.7800,3,0.967800,1,1.660500
26,2022-03-29,sh.600908,5.5100,5.6300,5.4800,5.6200,5.5100,20132909,112177644.8400,3,1.141500,1,1.996400
27,2022-03-30,sh.600908,5.5900,5.7100,5.5800,5.6300,5.6200,16482564,93074929.6800,3,0.934500,1,0.177900
28,2022-03-31,sh.600908,5.6300,5.9300,5.5900,5.8200,5.6300,32569943,188579607.7100,3,1.846700,1,3.374800
29,2022-04-01,sh.600908,5.7800,5.9900,5.7600,5.9900,5.8200,28782632,170313077.9500,3,1.631900,1,2.921000
30,2022-04-06,sh.600908,5.9800,6.2400,5.9500,6.2200,5.9900,49059568,301038462.8300,3,2.781600,1,3.839700
31,2022-04-07,sh.600908,6.1800,6.2700,6.0200,6.0300,6.2200,43482930,266395646.0000,3,2.465400,1,-3.054700
32,2022-04-08,sh.600908,6.0500,6.0800,5.9200,6.0200,6.0300,22879169,137550089.5600,3,1.297200,1,-0.165800
33,2022-04-11,sh.600908,5.9600,6.0000,5.8400,5.8600,6.0200,25824046,152576483.5600,3,1.464200,1,-2.657800
34,2022-04-12,sh.600908,5.8500,5.9400,5.7800,5.8700,5.8600,24444300,143259027.0000,3,1.386000,1,0.170600
35,2022-04-13,sh.600908,5.8600,5.9400,5.8000,5.8500,5.8700,18905400,110994676.4100,3,1.071900,1,-0.340700
36,2022-04-14,sh.600908,5.9100,5.9600,5.8400,5.8700,5.8500,16866400,99288658.0000,3,0.956300,1,0.341900
37,2022-04-15,sh.600908,5.8400,6.0800,5.8300,6.0200,5.8700,29107948,173534880.4800,3,1.650400,1,2.555400
38,2022-04-18,sh.600908,5.9400,5.9500,5.7700,5.8800,6.0200,27716000,162533600.0000,3,1.571500,1,-2.325600
39,2022-04-19,sh.600908,5.8800,5.9900,5.8200,5.9800,5.8800,18537884,109637549.0400,3,1.051100,1,1.700700
40,2022-04-20,sh.600908,5.9600,5.9900,5.8400,5.8700,5.9800,14254124,84018940.6400,3,0.808200,1,-1.839500
41,2022-04-21,sh.600908,5.8500,5.9200,5.7300,5.7300,5.8700,16997495,98912889.2500,3,0.963700,1,-2.385000
