,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600909,5.0800,5.1200,5.0800,5.1000,5.0900,14880434,75846501.8200,3,0.316800,1,0.196500
1,2022-02-22,sh.600909,5.0800,5.1000,5.0400,5.0600,5.1000,17026883,86290043.3200,3,0.362500,1,-0.784300
2,2022-02-23,sh.600909,5.0700,5.1000,5.0500,5.0900,5.0600,14569624,73945285.5000,3,0.310100,1,0.592900
3,2022-02-24,sh.600909,5.0900,5.0900,4.9000,4.9600,5.0900,31366098,156829404.3200,3,0.667700,1,-2.554000
4,2022-02-25,sh.600909,4.9900,5.0100,4.9400,4.9500,4.9600,19186333,95423570.9200,3,0.408400,1,-0.201600
5,2022-02-28,sh.600909,4.9600,4.9700,4.9000,4.9100,4.9500,18307394,90029544.0000,3,0.389700,1,-0.808100
6,2022-03-01,sh.600909,4.9100,4.9500,4.8900,4.9300,4.9100,16559962,81433823.0000,3,0.352500,1,0.407300
7,2022-03-02,sh.600909,4.9100,4.9300,4.8800,4.9200,4.9300,12846836,63057069.0000,3,0.273500,1,-0.202800
8,2022-03-03,sh.600909,4.9300,4.9600,4.9200,4.9300,4.9200,16694019,82421739.0000,3,0.355400,1,0.203300
9,2022-03-04,sh.600909,4.9200,4.9400,4.8900,4.9200,4.9300,15730989,77290305.0000,3,0.334900,1,-0.202800
10,2022-03-07,sh.600909,4.9300,4.9400,4.9000,4.9300,4.9200,23356786,115064042.0000,3,0.497200,1,0.203300
11,2022-03-08,sh.600909,4.9100,4.9600,4.8400,4.8400,4.9300,30901702,151993266.0000,3,0.657800,1,-1.825600
12,2022-03-09,sh.600909,4.8500,4.8600,4.5300,4.6400,4.8400,38864308,182708997.0000,3,0.827300,1,-4.132200
13,2022-03-10,sh.600909,4.7400,4.7700,4.6300,4.6400,4.6400,20972831,98326486.0000,3,0.446500,1,0.000000
14,2022-03-11,sh.600909,4.6000,4.7900,4.5000,4.7500,4.6400,36422994,168743341.0000,3,0.775300,1,2.370700
15,2022-03-14,sh.600909,4.6800,4.8100,4.6600,4.7100,4.7500,25982839,123305581.0000,3,0.553100,1,-0.842100
16,2022-03-15,sh.600909,4.6900,4.7600,4.5100,4.5200,4.7100,28596194,132923624.0000,3,0.608700,1,-4.034000
17,2022-03-16,sh.600909,4.5800,4.7900,4.5200,4.7700,4.5200,41474542,193669267.0000,3,0.882900,1,5.531000
18,2022-03-17,sh.600909,4.8200,4.8300,4.7300,4.7400,4.7700,31415828,149592617.0000,3,0.668800,1,-0.628900
19,2022-03-18,sh.600909,4.7200,4.7900,4.7000,4.7700,4.7400,22818751,108602733.8900,3,0.485700,1,0.632900
20,2022-03-21,sh.600909,4.7700,4.7800,4.7200,4.7300,4.7700,20448117,96940351.3600,3,0.435300,1,-0.838600
21,2022-03-22,sh.600909,4.7200,4.7900,4.7200,4.7500,4.7300,23995646,114226647.9700,3,0.510800,1,0.422800
22,2022-03-23,sh.600909,4.7600,4.7700,4.7200,4.7400,4.7500,15131828,71831128.3200,3,0.322100,1,-0.210500
23,2022-03-24,sh.600909,4.7200,4.7300,4.6500,4.6600,4.7400,15842719,74335607.7200,3,0.337200,1,-1.687800
24,2022-03-25,sh.600909,4.6600,4.7100,4.6300,4.6300,4.6600,13795763,64420409.4900,3,0.293700,1,-0.643800
25,2022-03-28,sh.600909,4.6000,4.7300,4.5800,4.6900,4.6300,23036312,107287036.5800,3,0.490400,1,1.295900
26,2022-03-29,sh.600909,4.7000,4.7100,4.6600,4.6700,4.6900,13125168,61513425.1100,3,0.279400,1,-0.426400
27,2022-03-30,sh.600909,4.6800,4.8100,4.6800,4.7900,4.6700,32020183,152593616.2100,3,0.681600,1,2.569600
28,2022-03-31,sh.600909,4.7600,5.1000,4.7500,4.9500,4.7900,89672959,447146694.4600,3,1.908900,1,3.340300
29,2022-04-01,sh.600909,4.8900,5.0100,4.8700,5.0000,4.9500,53192600,263432238.9600,3,1.132300,1,1.010100
30,2022-04-06,sh.600909,4.9600,5.0400,4.9300,5.0400,5.0000,40258648,201411958.0400,3,0.857000,1,0.800000
31,2022-04-07,sh.600909,5.0100,5.0600,4.9000,4.9000,5.0400,34332294,170981641.2500,3,0.730800,1,-2.777800
32,2022-04-08,sh.600909,4.9400,5.0200,4.8800,4.9600,4.9000,32594914,161604002.2600,3,0.693900,1,1.224500
33,2022-04-11,sh.600909,4.9200,4.9900,4.8600,4.9300,4.9600,34310880,169543304.7300,3,0.730400,1,-0.604800
34,2022-04-12,sh.600909,4.8000,5.0700,4.7400,5.0000,4.9300,58040688,285597719.4500,3,1.235500,1,1.419900
35,2022-04-13,sh.600909,4.9600,4.9700,4.8600,4.8800,5.0000,37409794,183644826.3200,3,0.796300,1,-2.400000
36,2022-04-14,sh.600909,4.9300,5.0000,4.9000,4.9100,4.8800,31978310,158133893.4800,3,0.680700,1,0.614800
37,2022-04-15,sh.600909,4.9000,4.9700,4.8700,4.9200,4.9100,25340262,124703991.9100,3,0.539400,1,0.203700
38,2022-04-18,sh.600909,4.8700,4.8800,4.7300,4.8200,4.9200,25283290,121514108.5400,3,0.538200,1,-2.032500
39,2022-04-19,sh.600909,4.8300,4.8300,4.7500,4.8000,4.8200,20479189,98021281.4200,3,0.435900,1,-0.414900
40,2022-04-20,sh.600909,4.8000,4.8200,4.7100,4.7200,4.8000,25723365,122867145.4400,3,0.547600,1,-1.666700
41,2022-04-21,sh.600909,4.7200,4.8000,4.6500,4.6600,4.7200,27054577,127874379.0800,3,0.575900,1,-1.271200
42,2022-04-22,sh.600909,4.6400,4.7300,4.6200,4.6800,4.6600,25263847,118057913.4600,3,0.537800,1,0.429200
43,2022-04-25,sh.600909,4.6700,5.1500,4.6400,5.1500,4.6800,300028208,1527784687.3500,3,6.386800,1,10.042700
44,2022-04-26,sh.600909,5.0500,5.1100,4.9000,4.9700,5.1500,269875584,1349962239.8300,3,5.744900,1,-3.495100
45,2022-04-27,sh.600909,4.8100,4.8400,4.4700,4.5900,4.9700,241176847,1092143112.7500,3,5.134000,1,-7.645900
46,2022-04-28,sh.600909,4.3700,4.3700,4.1800,4.2200,4.5900,143290394,612181140.5100,3,3.050200,1,-8.061000
47,2022-04-29,sh.600909,4.3400,4.4500,4.2700,4.3700,4.2200,118145432,514757968.3900,3,2.515000,1,3.554500
48,2022-05-05,sh.600909,4.2800,4.3300,4.2500,4.3000,4.3700,67435994,289564104.7000,3,1.435500,1,-1.601800
49,2022-05-06,sh.600909,4.2200,4.2500,4.1100,4.1200,4.3000,69360889,289657152.7800,3,1.476500,1,-4.186000
