,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600962,9.0500,9.2000,8.9700,9.1400,9.0500,2657100,24221286.0000,3,1.046000,1,0.994500
1,2022-02-22,sh.600962,9.1100,9.2000,9.0100,9.1800,9.1400,3155591,28713897.5500,3,1.242300,1,0.437600
2,2022-02-23,sh.600962,9.2000,9.3500,9.0900,9.3100,9.1800,3342401,30803363.2700,3,1.315800,1,1.416100
3,2022-02-24,sh.600962,9.2400,9.6000,9.1700,9.3800,9.3100,6747200,63272206.0000,3,2.656200,1,0.751900
4,2022-02-25,sh.600962,9.4600,10.0900,9.4000,10.0300,9.3800,9630500,94705104.0000,3,3.791200,1,6.929600
5,2022-02-28,sh.600962,10.0300,10.0300,9.3400,9.4900,10.0300,9153590,87153710.0000,3,3.603500,1,-5.383800
6,2022-03-01,sh.600962,9.5700,9.8700,9.4700,9.6100,9.4900,5468200,52670434.0000,3,2.152700,1,1.264500
7,2022-03-02,sh.600962,9.5600,9.9600,9.5300,9.8900,9.6100,5882900,57844849.0000,3,2.315900,1,2.913600
8,2022-03-03,sh.600962,9.9200,10.3500,9.7900,10.1900,9.8900,7718930,77578528.0000,3,3.038700,1,3.033400
9,2022-03-04,sh.600962,10.0800,10.1400,9.7600,9.8000,10.1900,5546054,54942271.0000,3,2.183300,1,-3.827300
10,2022-03-07,sh.600962,9.8000,9.9400,9.4900,9.5700,9.8000,3787399,36668510.0000,3,1.491000,1,-2.346900
11,2022-03-08,sh.600962,9.5300,9.6700,9.2000,9.2600,9.5700,4854616,45696725.0000,3,1.911100,1,-3.239300
12,2022-03-09,sh.600962,9.3000,9.5700,8.9300,9.3600,9.2600,5275200,48964595.0000,3,2.076700,1,1.079900
13,2022-03-10,sh.600962,9.4900,9.6700,9.3100,9.4700,9.3600,4080800,38856551.0000,3,1.606500,1,1.175200
14,2022-03-11,sh.600962,9.4300,9.7800,9.2700,9.7200,9.4700,4736900,45087976.0000,3,1.864800,1,2.639900
15,2022-03-14,sh.600962,9.6000,9.9300,9.5300,9.9100,9.7200,6151300,59870441.0000,3,2.421600,1,1.954700
16,2022-03-15,sh.600962,9.8300,10.1500,9.5200,9.7400,9.9100,9690425,95557041.0000,3,3.814800,1,-1.715400
17,2022-03-16,sh.600962,9.7200,10.1300,9.6600,10.1000,9.7400,8154995,81140236.0000,3,3.210400,1,3.696100
18,2022-03-17,sh.600962,10.1300,10.1700,9.8300,9.9600,10.1000,5906426,58814837.0000,3,2.325200,1,-1.386100
19,2022-03-18,sh.600962,9.9500,10.0000,9.7500,9.9500,9.9600,4577119,45293507.5700,3,1.801900,1,-0.100400
