,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.600997,7.6600,7.9100,7.5400,7.8600,7.6000,36612197,283761502.9100,3,2.305800,1,3.421100
1,2022-02-22,sh.600997,7.7600,7.9100,7.6000,7.7400,7.8600,32690949,253394389.2400,3,2.058900,1,-1.526700
2,2022-02-23,sh.600997,7.7500,7.8100,7.5000,7.6200,7.7400,24701587,187763740.7400,3,1.555700,1,-1.550400
3,2022-02-24,sh.600997,7.5500,7.6400,7.2900,7.4500,7.6200,25101734,187648576.6200,3,1.580900,1,-2.231000
4,2022-02-25,sh.600997,7.4500,7.6200,7.1600,7.2700,7.4500,25806839,191201938.6600,3,1.625300,1,-2.416100
5,2022-02-28,sh.600997,7.3200,7.4500,7.2700,7.4200,7.2700,21193926,156145061.0000,3,1.334800,1,2.063300
6,2022-03-01,sh.600997,7.4800,7.8500,7.4600,7.7100,7.4200,32814810,251778990.0000,3,2.066700,1,3.908400
7,2022-03-02,sh.600997,7.8800,7.8900,7.7300,7.8100,7.7100,28338407,221085099.0000,3,1.784800,1,1.297000
8,2022-03-03,sh.600997,7.8800,8.1200,7.8300,7.9900,7.8100,42124960,337230096.0000,3,2.653000,1,2.304700
9,2022-03-04,sh.600997,7.9200,8.2800,7.7600,8.0300,7.9900,46638172,374578928.0000,3,2.937300,1,0.500600
10,2022-03-07,sh.600997,8.3000,8.3700,7.9400,8.0400,8.0300,48777118,396686528.0000,3,3.072000,1,0.124500
11,2022-03-08,sh.600997,7.9500,8.1800,7.6400,7.7000,8.0400,35591442,278498848.0000,3,2.241600,1,-4.228900
12,2022-03-09,sh.600997,7.7000,7.9800,7.4500,7.8100,7.7000,40870374,317573328.0000,3,2.574000,1,1.428600
13,2022-03-10,sh.600997,7.7000,7.9600,7.4900,7.7700,7.8100,30264115,234893931.0000,3,1.906000,1,-0.512200
14,2022-03-11,sh.600997,7.8600,8.0200,7.5500,7.8800,7.7700,35657522,279566768.0000,3,2.245700,1,1.415700
15,2022-03-14,sh.600997,7.7100,8.1100,7.6200,7.6400,7.8800,36066943,283326000.0000,3,2.271500,1,-3.045700
16,2022-03-15,sh.600997,7.4900,7.5000,6.8800,6.8800,7.6400,44349725,312913024.0000,3,2.793200,1,-9.947600
17,2022-03-16,sh.600997,6.9500,7.0200,6.6100,6.9600,6.8800,30221099,205980549.0000,3,1.903300,1,1.162800
18,2022-03-17,sh.600997,6.9900,7.3100,6.9800,7.2400,6.9600,32439289,232208062.0000,3,2.043000,1,4.023000
19,2022-03-18,sh.600997,7.3000,7.6700,7.2600,7.6500,7.2400,32518091,245894330.1700,3,2.048000,1,5.663000
20,2022-03-21,sh.600997,7.6500,7.8400,7.5700,7.7700,7.6500,23471517,181210703.7400,3,1.478200,1,1.568600
21,2022-03-22,sh.600997,7.7000,8.0400,7.7000,8.0100,7.7700,32871116,259959478.4700,3,2.070200,1,3.088800
22,2022-03-23,sh.600997,7.8600,8.0800,7.7100,7.8500,8.0100,24650801,194172114.4400,3,1.552500,1,-1.997500
23,2022-03-24,sh.600997,7.8100,7.9400,7.7400,7.7700,7.8500,25947393,203172301.0500,3,1.634200,1,-1.019100
24,2022-03-25,sh.600997,7.7100,7.8700,7.6700,7.7300,7.7700,19041229,148047186.4000,3,1.199200,1,-0.514800
25,2022-03-28,sh.600997,7.7100,7.9900,7.5800,7.9200,7.7300,24010821,188683469.0100,3,1.512200,1,2.458000
26,2022-03-29,sh.600997,7.9000,8.1500,7.7900,8.0700,7.9200,30466505,243825662.8300,3,1.918800,1,1.893900
27,2022-03-30,sh.600997,8.0000,8.1200,7.8300,7.9000,8.0700,30092710,239522418.0800,3,1.895200,1,-2.106600
28,2022-03-31,sh.600997,7.9300,8.1500,7.8500,8.1300,7.9000,34668824,278297018.6800,3,2.183500,1,2.911400
29,2022-04-01,sh.600997,8.0300,8.2500,7.9400,8.0900,8.1300,32068984,259406034.1400,3,2.019700,1,-0.492000
30,2022-04-06,sh.600997,8.0500,8.1800,7.8300,8.1300,8.0900,32656274,260333244.0300,3,2.056700,1,0.494400
31,2022-04-07,sh.600997,8.0500,8.3600,8.0100,8.1300,8.1300,43467538,356276896.5000,3,2.737600,1,0.000000
