,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.601225,14.5300,14.9000,14.3800,14.7500,14.5100,57849098,849735593.6700,3,0.596700,1,1.654000
1,2022-02-22,sh.601225,14.7300,15.0500,14.5800,14.8600,14.7500,66393298,982180138.7900,3,0.684800,1,0.745800
2,2022-02-23,sh.601225,14.8400,14.8500,14.4800,14.7600,14.8600,63207750,928988943.7500,3,0.652000,1,-0.672900
3,2022-02-24,sh.601225,14.9900,15.0600,14.5100,14.7200,14.7600,60418738,892610849.7800,3,0.623200,1,-0.271000
4,2022-02-25,sh.601225,14.5500,15.0800,13.5000,14.0900,14.7200,165813831,2361862493.4600,3,1.710300,1,-4.279900
5,2022-02-28,sh.601225,14.0000,14.5500,14.0000,14.2300,14.0900,97637554,1389462400.0000,3,1.007100,1,0.993600
6,2022-03-01,sh.601225,14.1600,14.7400,14.1100,14.7200,14.2300,77718162,1124362864.0000,3,0.801600,1,3.443400
7,2022-03-02,sh.601225,14.8800,14.9800,14.5700,14.8500,14.7200,58119478,859320672.0000,3,0.599500,1,0.883200
8,2022-03-03,sh.601225,15.0200,15.3900,14.9500,14.9700,14.8500,76919137,1165327040.0000,3,0.793400,1,0.808100
9,2022-03-04,sh.601225,14.9500,15.4700,14.8000,15.2000,14.9700,66138770,1006341264.0000,3,0.682200,1,1.536400
10,2022-03-07,sh.601225,15.6500,15.8400,15.0600,15.1800,15.2000,83008725,1280791296.0000,3,0.856200,1,-0.131600
11,2022-03-08,sh.601225,15.0000,15.1000,14.4400,14.5400,15.1800,75316395,1110006880.0000,3,0.776900,1,-4.216100
12,2022-03-09,sh.601225,14.6000,15.2800,14.2300,14.8400,14.5400,76264226,1132859520.0000,3,0.786600,1,2.063300
13,2022-03-10,sh.601225,14.6100,15.0500,14.2700,14.5400,14.8400,100034149,1466175776.0000,3,1.031800,1,-2.021600
14,2022-03-11,sh.601225,14.5000,15.0500,14.1300,14.6800,14.5400,78642468,1153102928.0000,3,0.811200,1,0.962900
