,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.601377,8.4600,8.5300,8.4300,8.5200,8.4700,50471013,427657890.1700,3,0.753700,1,0.590300
1,2022-02-22,sh.601377,8.4600,8.5100,8.3500,8.3900,8.5200,62142033,522534024.4200,3,0.928000,1,-1.525800
2,2022-02-23,sh.601377,8.4000,8.4800,8.3700,8.4800,8.3900,56419406,476257457.2700,3,0.842500,1,1.072700
3,2022-02-24,sh.601377,8.4500,8.4500,8.1100,8.2300,8.4800,102726165,851487436.1900,3,1.534000,1,-2.948100
4,2022-02-25,sh.601377,8.2900,8.3300,8.1700,8.2100,8.2300,55537086,458008873.3500,3,0.829300,1,-0.243000
5,2022-02-28,sh.601377,8.2100,8.2300,8.0600,8.1800,8.2100,63446349,515482176.0000,3,0.947400,1,-0.365400
6,2022-03-01,sh.601377,8.1800,8.2400,8.1500,8.2300,8.1800,48915377,400986320.0000,3,0.730400,1,0.611200
7,2022-03-02,sh.601377,8.1600,8.2800,8.1500,8.2500,8.2300,37810111,311273696.0000,3,0.564600,1,0.243000
8,2022-03-03,sh.601377,8.2500,8.3300,8.2200,8.2900,8.2500,50235738,415855152.0000,3,0.750200,1,0.484800
9,2022-03-04,sh.601377,8.2300,8.2400,8.1300,8.1500,8.2900,48812456,399311456.0000,3,0.728900,1,-1.688800
10,2022-03-07,sh.601377,8.1300,8.1500,8.0200,8.0500,8.1500,47988622,388050928.0000,3,0.716600,1,-1.227000
11,2022-03-08,sh.601377,8.0500,8.1500,7.8400,7.9000,8.0500,68313817,547153008.0000,3,1.020100,1,-1.863400
12,2022-03-09,sh.601377,7.9200,7.9600,7.3400,7.6600,7.9000,86521539,664602320.0000,3,1.292000,1,-3.038000
13,2022-03-10,sh.601377,7.8500,7.8800,7.6400,7.6600,7.6600,55491471,429262368.0000,3,0.828600,1,0.000000
14,2022-03-11,sh.601377,7.5600,7.9000,7.4300,7.8400,7.6600,84463792,646206192.0000,3,1.261300,1,2.349900
15,2022-03-14,sh.601377,7.7500,7.8900,7.7000,7.7100,7.8400,55452569,431926192.0000,3,0.828100,1,-1.658200
16,2022-03-15,sh.601377,7.6800,7.7900,7.3800,7.4200,7.7100,72596948,552535904.0000,3,1.084100,1,-3.761300
17,2022-03-16,sh.601377,7.5200,7.9300,7.3100,7.8200,7.4200,118471915,908273856.0000,3,1.769100,1,5.390800
18,2022-03-17,sh.601377,7.9300,7.9600,7.7700,7.7800,7.8200,99790972,782095760.0000,3,1.490200,1,-0.511500
19,2022-03-18,sh.601377,7.7700,7.8800,7.7300,7.8200,7.7800,58316036,455424640.4300,3,0.870800,1,0.514100
20,2022-03-21,sh.601377,7.7900,7.8000,7.6200,7.7000,7.8200,62056393,478886403.1300,3,0.926700,1,-1.534500
21,2022-03-22,sh.601377,7.6500,7.7700,7.6300,7.6800,7.7000,41778499,321404029.1300,3,0.623900,1,-0.259700
22,2022-03-23,sh.601377,7.7000,7.7400,7.6400,7.6900,7.6800,38077650,293058555.9400,3,0.568600,1,0.130200
23,2022-03-24,sh.601377,7.6400,7.6700,7.5700,7.6100,7.6900,33452872,254903009.6800,3,0.499500,1,-1.040300
24,2022-03-25,sh.601377,7.6200,7.7100,7.5200,7.5200,7.6100,44625755,339232261.6900,3,0.666400,1,-1.182700
25,2022-03-28,sh.601377,7.4500,7.5800,7.4200,7.5500,7.5200,37206403,279224550.6200,3,0.555600,1,0.398900
26,2022-03-29,sh.601377,7.5500,7.5800,7.4200,7.4400,7.5500,29383981,220312477.0400,3,0.438800,1,-1.457000
27,2022-03-30,sh.601377,7.5000,7.7600,7.4800,7.7300,7.4400,82005702,628260286.0000,3,1.224600,1,3.897800
28,2022-03-31,sh.601377,7.6700,7.7600,7.6500,7.6800,7.7300,59247932,456502300.8900,3,0.884700,1,-0.646800
29,2022-04-01,sh.601377,7.6300,7.8700,7.6100,7.8100,7.6800,78007726,606857662.5500,3,1.164900,1,1.692700
30,2022-04-06,sh.601377,7.7800,7.8400,7.7400,7.7800,7.8100,55169937,429091924.9100,3,0.823800,1,-0.384100
31,2022-04-07,sh.601377,7.7600,7.8200,7.6000,7.6000,7.7800,56251770,433876899.8700,3,0.840000,1,-2.313600
32,2022-04-08,sh.601377,7.6100,7.7300,7.5000,7.6700,7.6000,55397018,421977476.7400,3,0.827200,1,0.921100
33,2022-04-11,sh.601377,7.6700,7.6700,7.3700,7.4300,7.6700,61905318,464518487.8400,3,0.924400,1,-3.129100
34,2022-04-12,sh.601377,7.4200,7.6900,7.3500,7.6000,7.4300,71000267,534752820.4700,3,1.060200,1,2.288000
35,2022-04-13,sh.601377,7.5500,7.6100,7.4700,7.4700,7.6000,55607757,418928412.5900,3,0.830400,1,-1.710500
36,2022-04-14,sh.601377,7.5400,7.7300,7.5200,7.7000,7.4700,88567211,678190731.0400,3,1.322600,1,3.079000
37,2022-04-15,sh.601377,7.6000,7.7500,7.5800,7.6200,7.7000,61413081,470364924.6300,3,0.917100,1,-1.039000
38,2022-04-18,sh.601377,7.5200,7.5300,7.2800,7.3500,7.6200,90331249,665831101.4900,3,1.348900,1,-3.543300
39,2022-04-19,sh.601377,7.0400,7.0900,6.7100,6.7700,7.3500,176577711,1211366261.6500,3,2.636800,1,-7.891200
40,2022-04-20,sh.601377,6.7400,6.8300,6.6800,6.6900,6.7700,59730351,403266940.0300,3,0.891900,1,-1.181700
41,2022-04-21,sh.601377,6.6800,6.8500,6.6600,6.7400,6.6900,73978389,500603549.7400,3,1.104700,1,0.747400
42,2022-04-22,sh.601377,6.7000,6.8600,6.6800,6.7800,6.7400,55249306,374776190.9100,3,0.825000,1,0.593500
43,2022-04-25,sh.601377,6.7100,6.8100,6.5000,6.5100,6.7800,68666376,458144156.2100,3,1.025400,1,-3.982300
44,2022-04-26,sh.601377,6.5200,6.5700,6.2000,6.2300,6.5100,70167372,446162823.7300,3,1.047800,1,-4.301100
45,2022-04-27,sh.601377,6.1100,6.3700,6.0600,6.3200,6.2300,60485391,377839807.3200,3,0.903200,1,1.444600
46,2022-04-28,sh.601377,6.2500,6.3300,6.1100,6.2100,6.3200,48709773,303719688.0700,3,0.727400,1,-1.740500
47,2022-04-29,sh.601377,6.3800,6.5400,6.2800,6.5100,6.2100,79673563,511791036.3400,3,1.189700,1,4.830900
48,2022-05-05,sh.601377,6.3300,6.3700,6.2500,6.2900,6.5100,67887409,428010969.0400,3,1.013700,1,-3.379400
49,2022-05-06,sh.601377,6.1900,6.2300,6.1000,6.1200,6.2900,43917777,270629796.7000,3,0.655800,1,-2.702700
50,2022-05-09,sh.601377,6.1100,6.1600,6.0800,6.1300,6.1200,20541871,125854773.8100,3,0.306700,1,0.163400
51,2022-05-10,sh.601377,6.0800,6.2100,6.0300,6.1700,6.1300,44920627,275268021.0800,3,0.670800,1,0.652500
52,2022-05-11,sh.601377,6.1600,6.3400,6.1500,6.2200,6.1700,59749837,373374800.6900,3,0.892200,1,0.810400
53,2022-05-12,sh.601377,6.1800,6.2600,6.1200,6.1600,6.2200,41519534,256188148.5400,3,0.620000,1,-0.964600
54,2022-05-13,sh.601377,6.1900,6.2300,6.1500,6.2100,6.1600,36515188,226068605.5900,3,0.545300,1,0.811700
55,2022-05-16,sh.601377,6.2600,6.2700,6.1200,6.1300,6.2100,39502742,243707173.4000,3,0.589900,1,-1.288200
56,2022-05-17,sh.601377,6.1300,6.1900,6.1000,6.1600,6.1300,29242669,179561566.4900,3,0.436700,1,0.489400
57,2022-05-18,sh.601377,6.1600,6.2200,6.1300,6.1700,6.1600,39233917,242456802.7000,3,0.585900,1,0.162300
58,2022-05-19,sh.601377,6.1200,6.1800,6.0800,6.1700,6.1700,33040816,202541655.1000,3,0.493400,1,0.000000
