,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.601699,13.7600,14.8200,13.7400,14.6500,13.5300,99500318,1428280037.7300,3,3.326200,1,8.277900
1,2022-02-22,sh.601699,14.4900,14.7100,13.9400,14.3600,14.6500,58003067,831424183.4700,3,1.939000,1,-1.979500
2,2022-02-23,sh.601699,14.3700,14.4300,13.7700,14.2300,14.3600,45477397,641038419.5100,3,1.520300,1,-0.905300
3,2022-02-24,sh.601699,14.0000,14.1600,13.5500,13.7900,14.2300,38684890,536727540.5400,3,1.293200,1,-3.092100
4,2022-02-25,sh.601699,13.7400,13.9100,13.0000,13.2200,13.7900,54665093,735337702.6300,3,1.827400,1,-4.133400
5,2022-02-28,sh.601699,13.3200,13.9500,13.1800,13.9200,13.2200,49452295,673770112.0000,3,1.653100,1,5.295000
6,2022-03-01,sh.601699,14.0000,14.6500,13.7000,14.5500,13.9200,56015137,797433056.0000,3,1.872500,1,4.525900
7,2022-03-02,sh.601699,14.7500,15.5600,14.6800,15.0700,14.5500,75159175,1134979312.0000,3,2.512500,1,3.573900
8,2022-03-03,sh.601699,15.0400,16.0000,14.9600,15.6500,15.0700,55521772,870621472.0000,3,1.856000,1,3.848700
9,2022-03-04,sh.601699,15.6000,16.5000,15.3000,15.8400,15.6500,59007345,939440320.0000,3,1.972600,1,1.214100
10,2022-03-07,sh.601699,16.6000,17.3100,15.9600,16.2300,15.8400,67547311,1112111728.0000,3,2.258000,1,2.462100
11,2022-03-08,sh.601699,15.9100,16.3700,15.2200,15.4800,16.2300,61388356,964547520.0000,3,2.052200,1,-4.621100
12,2022-03-09,sh.601699,15.4800,16.8000,15.4800,16.3800,15.4800,82302114,1322636384.0000,3,2.751300,1,5.814000
13,2022-03-10,sh.601699,15.9500,17.2100,15.3100,16.6500,16.3800,58335346,950017104.0000,3,1.950100,1,1.648400
14,2022-03-11,sh.601699,16.4500,17.4400,16.1200,17.0000,16.6500,62869528,1069558528.0000,3,2.101700,1,2.102100
15,2022-03-14,sh.601699,16.6000,17.2900,15.8000,15.9600,17.0000,60510135,998456496.0000,3,2.022800,1,-6.117600
16,2022-03-15,sh.601699,15.8800,15.8800,14.3600,14.3600,15.9600,59624198,879269632.0000,3,1.993200,1,-10.025100
17,2022-03-16,sh.601699,14.4200,14.6900,13.7200,14.3800,14.3600,55993573,793600144.0000,3,1.871800,1,0.139300
18,2022-03-17,sh.601699,14.4500,15.1300,13.7100,14.9000,14.3800,74951362,1081836880.0000,3,2.505600,1,3.616100
19,2022-03-18,sh.601699,14.8900,16.3000,14.8900,16.0000,14.9000,61016641,960229794.2800,3,2.039700,1,7.382600
20,2022-03-21,sh.601699,16.1000,17.0400,15.6700,16.4000,16.0000,59803898,982933112.4900,3,1.999200,1,2.500000
21,2022-03-22,sh.601699,16.4400,17.3400,16.4400,17.1000,16.4000,52628359,889211356.5100,3,1.759300,1,4.268300
22,2022-03-23,sh.601699,16.8100,17.1400,16.2500,16.8400,17.1000,42170563,704185807.3100,3,1.409700,1,-1.520500
23,2022-03-24,sh.601699,17.1000,17.5000,16.7300,16.8200,16.8400,39960741,680486666.1300,3,1.335900,1,-0.118800
24,2022-03-25,sh.601699,16.8300,16.9400,16.0000,16.2700,16.8200,43168920,708140465.5500,3,1.443100,1,-3.269900
25,2022-03-28,sh.601699,16.4000,16.8300,16.2200,16.4300,16.2700,41029596,678584536.5000,3,1.371600,1,0.983400
26,2022-03-29,sh.601699,16.1800,16.9800,16.1600,16.7500,16.4300,45653769,759021921.7000,3,1.526200,1,1.947700
27,2022-03-30,sh.601699,16.5200,16.8700,16.0300,16.2300,16.7500,43219336,708227036.9500,3,1.444800,1,-3.104500
28,2022-03-31,sh.601699,16.3200,16.7000,15.8200,16.6000,16.2300,38087818,624257646.0500,3,1.273200,1,2.279700
29,2022-04-01,sh.601699,16.4900,16.7900,16.0000,16.4000,16.6000,42899884,703472121.8500,3,1.434100,1,-1.204800
30,2022-04-06,sh.601699,16.2300,16.4800,15.3000,15.7300,16.4000,37071552,580724348.1000,3,1.239300,1,-4.085400
31,2022-04-07,sh.601699,15.5900,16.4400,15.5300,15.9800,15.7300,35738779,573509239.5300,3,1.194700,1,1.589300
32,2022-04-08,sh.601699,16.0300,16.6800,15.7000,16.4700,15.9800,34559139,563109608.0600,3,1.155300,1,3.066300
33,2022-04-11,sh.601699,16.0000,16.1500,15.5600,15.7000,16.4700,37474977,593430288.0800,3,1.252800,1,-4.675200
34,2022-04-12,sh.601699,15.9800,16.4700,15.4100,15.8300,15.7000,39162066,625125239.4500,3,1.309200,1,0.828000
35,2022-04-13,sh.601699,15.8300,16.9600,15.6100,16.7500,15.8300,48688889,801079631.6400,3,1.627600,1,5.811700
