,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.601766,5.9800,6.0000,5.9400,6.0000,6.0000,43989920,262590329.3000,3,0.180800,1,0.000000
1,2022-02-22,sh.601766,5.9700,5.9700,5.9000,5.9100,6.0000,49096195,291204432.7300,3,0.201800,1,-1.500000
2,2022-02-23,sh.601766,5.9200,5.9400,5.8900,5.9100,5.9100,50449130,298003666.4400,3,0.207400,1,0.000000
3,2022-02-24,sh.601766,5.9100,5.9300,5.7500,5.8000,5.9100,91804253,535277897.2000,3,0.377400,1,-1.861300
4,2022-02-25,sh.601766,5.8200,5.8500,5.7800,5.8100,5.8000,51106931,297249741.6600,3,0.210100,1,0.172400
5,2022-02-28,sh.601766,5.8300,5.8300,5.7600,5.7900,5.8100,43697683,252651647.0000,3,0.179600,1,-0.344200
6,2022-03-01,sh.601766,5.8000,5.8400,5.7900,5.8400,5.7900,30784903,179057933.0000,3,0.126500,1,0.863600
7,2022-03-02,sh.601766,5.8300,5.8400,5.8000,5.8300,5.8400,23360924,136035306.0000,3,0.096000,1,-0.171200
8,2022-03-03,sh.601766,5.8400,5.8800,5.8300,5.8700,5.8300,38747905,227284160.0000,3,0.159300,1,0.686100
9,2022-03-04,sh.601766,5.8600,5.8600,5.7700,5.7900,5.8700,46463047,270018080.0000,3,0.191000,1,-1.362900
10,2022-03-07,sh.601766,5.7800,5.8100,5.7000,5.7200,5.7900,63193951,363255840.0000,3,0.259800,1,-1.209000
11,2022-03-08,sh.601766,5.7100,5.7300,5.5700,5.5900,5.7200,65843158,370873696.0000,3,0.270600,1,-2.272700
12,2022-03-09,sh.601766,5.6000,5.6200,5.2800,5.4700,5.5900,79263586,434115840.0000,3,0.325800,1,-2.146700
13,2022-03-10,sh.601766,5.5200,5.5500,5.4800,5.5000,5.4700,43080355,237669259.0000,3,0.177100,1,0.548400
14,2022-03-11,sh.601766,5.4600,5.5300,5.3600,5.5200,5.5000,50265991,272772560.0000,3,0.206600,1,0.363600
15,2022-03-14,sh.601766,5.4900,5.5400,5.4400,5.4400,5.5200,33240056,182457535.0000,3,0.136600,1,-1.449300
16,2022-03-15,sh.601766,5.4200,5.4300,5.1600,5.1700,5.4400,90308458,476657248.0000,3,0.371200,1,-4.963200
17,2022-03-16,sh.601766,5.2400,5.3200,5.1300,5.2900,5.1700,66616761,348107248.0000,3,0.273800,1,2.321100
18,2022-03-17,sh.601766,5.3300,5.3900,5.3000,5.3300,5.2900,51037787,272507856.0000,3,0.209800,1,0.756100
19,2022-03-18,sh.601766,5.3200,5.3800,5.2800,5.3700,5.3300,72360740,386475797.2200,3,0.297400,1,0.750500
20,2022-03-21,sh.601766,5.3500,5.3600,5.2800,5.3200,5.3700,41330785,219974527.1100,3,0.169900,1,-0.931100
21,2022-03-22,sh.601766,5.4000,5.5400,5.4000,5.4500,5.3200,94250680,515927223.8500,3,0.387400,1,2.443600
22,2022-03-23,sh.601766,5.4100,5.4400,5.3700,5.4300,5.4500,44633539,240927522.7700,3,0.183500,1,-0.367000
23,2022-03-24,sh.601766,5.3800,5.4400,5.3600,5.4300,5.4300,37824645,204441793.8300,3,0.155500,1,0.000000
24,2022-03-25,sh.601766,5.4300,5.4300,5.3200,5.3600,5.4300,35439690,190288807.9700,3,0.145700,1,-1.289100
25,2022-03-28,sh.601766,5.3000,5.3600,5.2500,5.3500,5.3600,33178932,175966757.0100,3,0.136400,1,-0.186600
26,2022-03-29,sh.601766,5.3600,5.3600,5.2900,5.3000,5.3500,23824986,126690991.7500,3,0.097900,1,-0.934600
27,2022-03-30,sh.601766,5.3000,5.3900,5.3000,5.3900,5.3000,34050936,182186941.7500,3,0.140000,1,1.698100
28,2022-03-31,sh.601766,5.3900,5.4100,5.3700,5.4000,5.3900,37231581,200655972.5600,3,0.153000,1,0.185500
29,2022-04-01,sh.601766,5.3800,5.4100,5.3500,5.4000,5.4000,31428324,169341604.1800,3,0.129200,1,0.000000
30,2022-04-06,sh.601766,5.3900,5.5200,5.3700,5.4800,5.4000,53731935,293241418.8600,3,0.220900,1,1.481500
31,2022-04-07,sh.601766,5.4500,5.5200,5.4300,5.4700,5.4800,43997492,240759441.4400,3,0.180900,1,-0.182500
32,2022-04-08,sh.601766,5.5000,5.5600,5.4400,5.5400,5.4700,60618465,334220761.0000,3,0.249200,1,1.279700
33,2022-04-11,sh.601766,5.5400,5.5500,5.4000,5.4000,5.5400,52290991,285852857.9600,3,0.214900,1,-2.527100
34,2022-04-12,sh.601766,5.3700,5.4900,5.3600,5.4800,5.4000,42503990,230444985.9100,3,0.174700,1,1.481500
35,2022-04-13,sh.601766,5.4000,5.4000,5.2600,5.2600,5.4800,82038569,437329080.2700,3,0.337200,1,-4.014600
36,2022-04-14,sh.601766,5.2700,5.3300,5.2700,5.2900,5.2600,36099929,191236051.1300,3,0.148400,1,0.570300
37,2022-04-15,sh.601766,5.2700,5.3100,5.2400,5.2600,5.2900,39739590,209345188.1100,3,0.163400,1,-0.567100
38,2022-04-18,sh.601766,5.2600,5.2700,5.1800,5.2200,5.2600,29583434,154077971.4000,3,0.121600,1,-0.760500
39,2022-04-19,sh.601766,5.2200,5.2600,5.2100,5.2400,5.2200,26598473,139283608.0700,3,0.109300,1,0.383100
40,2022-04-20,sh.601766,5.2500,5.2700,5.1700,5.1900,5.2400,39716446,207050768.8400,3,0.163300,1,-0.954200
41,2022-04-21,sh.601766,5.1500,5.1900,5.1000,5.1100,5.1900,47984089,246741055.7900,3,0.197200,1,-1.541400
42,2022-04-22,sh.601766,5.1100,5.1800,5.0700,5.1700,5.1100,38214868,196214219.8300,3,0.157100,1,1.174200
43,2022-04-25,sh.601766,5.1300,5.1800,4.9700,4.9900,5.1700,67208373,341790507.1300,3,0.276300,1,-3.481600
44,2022-04-26,sh.601766,4.9900,5.0600,4.8200,4.8600,4.9900,66479441,329519543.9400,3,0.273300,1,-2.605200
45,2022-04-27,sh.601766,4.8300,4.9600,4.7900,4.9400,4.8600,48223601,236016129.1300,3,0.198200,1,1.646100
46,2022-04-28,sh.601766,4.9300,5.0100,4.8800,4.9500,4.9400,39242432,194224384.6600,3,0.161300,1,0.202400
47,2022-04-29,sh.601766,4.9800,5.0600,4.9500,5.0500,4.9500,42566760,213466037.4800,3,0.175000,1,2.020200
48,2022-05-05,sh.601766,5.0300,5.0700,5.0200,5.0300,5.0500,32296045,162926715.8100,3,0.132800,1,-0.396000
49,2022-05-06,sh.601766,4.9800,4.9800,4.9000,4.9100,5.0300,32175682,158765841.5700,3,0.132300,1,-2.385700
50,2022-05-09,sh.601766,4.9000,4.9400,4.8800,4.9300,4.9100,20752852,101999130.8000,3,0.085300,1,0.407300
51,2022-05-10,sh.601766,4.8800,4.9700,4.8600,4.9500,4.9300,32696289,160942835.8900,3,0.134400,1,0.405700
52,2022-05-11,sh.601766,4.9500,5.0300,4.9400,4.9700,4.9500,38236054,191014081.5000,3,0.157200,1,0.404000
53,2022-05-12,sh.601766,4.9600,4.9800,4.9300,4.9700,4.9700,24553476,121775689.7000,3,0.100900,1,0.000000
54,2022-05-13,sh.601766,4.9800,5.0300,4.9600,5.0200,4.9700,31562360,157661425.4000,3,0.129700,1,1.006000
55,2022-05-16,sh.601766,5.0400,5.0700,4.9800,4.9900,5.0200,24020025,120158191.0000,3,0.098700,1,-0.597600
