,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603002,6.8600,6.8700,6.7800,6.8700,6.8600,5168400,35284920.0000,3,0.841200,1,0.145800
1,2022-02-22,sh.603002,6.8300,7.0300,6.7900,6.8900,6.8700,7202350,49605086.9000,3,1.172200,1,0.291100
2,2022-02-23,sh.603002,6.8600,7.0900,6.8400,7.0800,6.8900,6613350,46481648.0000,3,1.076400,1,2.757600
3,2022-02-24,sh.603002,7.0400,7.0800,6.7400,6.8400,7.0800,8122349,56235222.2100,3,1.322000,1,-3.389800
4,2022-02-25,sh.603002,6.9500,6.9700,6.8700,6.9000,6.8400,4065800,28128316.0000,3,0.661700,1,0.877200
5,2022-02-28,sh.603002,6.9000,6.9000,6.7700,6.8500,6.9000,4147950,28412734.0000,3,0.675100,1,-0.724600
6,2022-03-01,sh.603002,6.8700,6.9200,6.7700,6.8400,6.8500,4213550,28785646.0000,3,0.685800,1,-0.146000
7,2022-03-02,sh.603002,6.8100,6.8700,6.7900,6.8500,6.8400,3437400,23498864.0000,3,0.559500,1,0.146200
8,2022-03-03,sh.603002,6.9000,6.9100,6.7900,6.8000,6.8500,3722450,25403904.0000,3,0.605900,1,-0.729900
9,2022-03-04,sh.603002,6.7800,6.8300,6.6100,6.6300,6.8000,4382051,29327292.0000,3,0.713200,1,-2.500000
10,2022-03-07,sh.603002,6.6100,6.6500,6.4600,6.5200,6.6300,4859350,31789293.0000,3,0.790900,1,-1.659100
11,2022-03-08,sh.603002,6.5100,6.5200,6.2400,6.2400,6.5200,5276650,33475570.0000,3,0.858800,1,-4.294500
12,2022-03-09,sh.603002,6.3000,6.3000,5.8700,6.1300,6.2400,7385600,45115314.0000,3,1.202100,1,-1.762800
13,2022-03-10,sh.603002,6.2500,6.3000,6.2000,6.2500,6.1300,4767100,29841185.0000,3,0.775900,1,1.957600
14,2022-03-11,sh.603002,6.2200,6.3000,6.0600,6.2800,6.2500,3947100,24386910.0000,3,0.642400,1,0.480000
15,2022-03-14,sh.603002,6.2400,6.2800,6.0900,6.0900,6.2800,3356100,20744739.0000,3,0.546200,1,-3.025500
16,2022-03-15,sh.603002,6.1100,6.1200,5.4800,5.4800,6.0900,12640550,72376804.0000,3,2.057300,1,-10.016400
17,2022-03-16,sh.603002,5.5500,5.8000,5.5000,5.7500,5.4800,14923908,84885042.0000,3,2.429000,1,4.927000
18,2022-03-17,sh.603002,5.8500,5.9200,5.7200,5.8000,5.7500,11481275,67008524.0000,3,1.868700,1,0.869600
19,2022-03-18,sh.603002,5.7500,5.8800,5.7400,5.8300,5.8000,8978500,52231971.0000,3,1.461300,1,0.517200
20,2022-03-21,sh.603002,5.8500,5.9100,5.7600,5.8800,5.8300,7738100,45239505.5000,3,1.259400,1,0.857600
21,2022-03-22,sh.603002,5.8700,5.9100,5.7600,5.8600,5.8800,5655750,33038459.0000,3,0.920500,1,-0.340100
22,2022-03-23,sh.603002,5.8700,5.8900,5.8200,5.8500,5.8600,4954700,28972163.0000,3,0.806400,1,-0.170600
23,2022-03-24,sh.603002,5.7900,5.8300,5.7200,5.7500,5.8500,4562700,26273211.0000,3,0.742600,1,-1.709400
24,2022-03-25,sh.603002,5.7600,5.8400,5.7300,5.7800,5.7500,5206088,30176046.1600,3,0.847300,1,0.521700
25,2022-03-28,sh.603002,5.7200,5.7800,5.5800,5.7000,5.7800,6388638,36292027.5600,3,1.039800,1,-1.384100
26,2022-03-29,sh.603002,5.7300,5.7500,5.6000,5.6500,5.7000,4530450,25698307.5000,3,0.737400,1,-0.877200
27,2022-03-30,sh.603002,5.6500,5.8000,5.6500,5.7800,5.6500,5592200,32060377.0000,3,0.910200,1,2.300900
28,2022-03-31,sh.603002,5.7800,5.8600,5.7400,5.8200,5.7800,4568000,26581132.0000,3,0.743500,1,0.692000
29,2022-04-01,sh.603002,5.8200,5.8200,5.7400,5.7900,5.8200,4017200,23214336.0000,3,0.653800,1,-0.515500
30,2022-04-06,sh.603002,5.7800,5.8700,5.7400,5.8500,5.7900,4215100,24547535.0000,3,0.686000,1,1.036300
31,2022-04-07,sh.603002,5.8400,5.8400,5.6600,5.6700,5.8500,3725900,21389155.0000,3,0.606400,1,-3.076900
32,2022-04-08,sh.603002,5.7000,5.7200,5.5800,5.6600,5.6700,4068356,22936185.9800,3,0.662200,1,-0.176400
33,2022-04-11,sh.603002,5.6000,5.6500,5.3600,5.4000,5.6600,6352800,34922068.0000,3,1.034000,1,-4.593600
34,2022-04-12,sh.603002,5.3800,5.5100,5.3300,5.5000,5.4000,3998700,21671680.0000,3,0.650800,1,1.851900
35,2022-04-13,sh.603002,5.5200,5.5600,5.4200,5.4700,5.5000,3335515,18320315.0500,3,0.542900,1,-0.545500
36,2022-04-14,sh.603002,5.5200,5.5800,5.4800,5.5500,5.4700,4485787,24809682.6800,3,0.730100,1,1.462500
37,2022-04-15,sh.603002,5.5300,5.5900,5.3900,5.4200,5.5500,3844400,21019575.0000,3,0.625700,1,-2.342300
38,2022-04-18,sh.603002,5.4400,5.4800,5.2900,5.4700,5.4200,3216900,17427463.0000,3,0.523600,1,0.922500
39,2022-04-19,sh.603002,5.4700,5.5900,5.4500,5.5700,5.4700,3418050,18919599.0000,3,0.556300,1,1.828200
40,2022-04-20,sh.603002,5.6600,5.7000,5.5500,5.5700,5.5700,5617052,31566701.9900,3,0.914200,1,0.000000
41,2022-04-21,sh.603002,5.5300,5.5700,5.2800,5.3000,5.5700,6411701,34712100.2900,3,1.043600,1,-4.847400
42,2022-04-22,sh.603002,5.3900,5.4100,5.2400,5.2900,5.3000,5074297,26858083.8700,3,0.825900,1,-0.188700
43,2022-04-25,sh.603002,5.2200,5.2400,4.8100,4.8500,5.2900,6970261,34934433.4500,3,1.134500,1,-8.317600
44,2022-04-26,sh.603002,4.8500,4.8900,4.6600,4.6800,4.8500,5239802,24997332.1000,3,0.852800,1,-3.505200
45,2022-04-27,sh.603002,4.6100,4.9300,4.6000,4.9200,4.6800,6181495,29499541.8000,3,1.006100,1,5.128200
46,2022-04-28,sh.603002,4.8100,4.9500,4.8100,4.8800,4.9200,3616450,17647788.5300,3,0.588600,1,-0.813000
47,2022-04-29,sh.603002,4.8400,5.0100,4.7800,4.9600,4.8800,7748167,37929863.4500,3,1.261100,1,1.639300
48,2022-05-05,sh.603002,4.9300,5.0300,4.9200,4.9900,4.9600,6248700,31208871.6000,3,1.017000,1,0.604800
49,2022-05-06,sh.603002,4.9300,4.9300,4.8500,4.9000,4.9900,3960200,19372698.5000,3,0.644600,1,-1.803600
50,2022-05-09,sh.603002,4.9000,5.0200,4.8200,5.0100,4.9000,3553600,17682740.0000,3,0.578400,1,2.244900
51,2022-05-10,sh.603002,4.9700,5.1100,4.9500,5.0700,5.0100,4071353,20528165.2000,3,0.662600,1,1.197600
52,2022-05-11,sh.603002,5.1000,5.2300,5.0700,5.1100,5.0700,5972912,30876744.9200,3,0.972100,1,0.789000
53,2022-05-12,sh.603002,5.1100,5.1600,5.0800,5.1400,5.1100,3283505,16826854.1500,3,0.534400,1,0.587100
54,2022-05-13,sh.603002,5.1600,5.2000,5.1300,5.2000,5.1400,3613465,18671685.9000,3,0.588100,1,1.167300
55,2022-05-16,sh.603002,5.2200,5.2300,5.1500,5.1600,5.2000,2793583,14461400.2800,3,0.454700,1,-0.769200
56,2022-05-17,sh.603002,5.2000,5.2000,5.0700,5.1900,5.1600,3295200,16939957.4800,3,0.536300,1,0.581400
57,2022-05-18,sh.603002,5.2000,5.2500,5.1700,5.2400,5.1900,3183350,16607960.0000,3,0.518100,1,0.963400
58,2022-05-19,sh.603002,5.1300,5.2400,5.1200,5.2400,5.2400,3298750,17121531.0000,3,0.536900,1,0.000000
59,2022-05-20,sh.603002,5.2400,5.2800,5.2100,5.2800,5.2400,4289400,22524594.0000,3,0.698100,1,0.763400
60,2022-05-23,sh.603002,5.2700,5.4600,5.2700,5.4300,5.2800,5960600,32213527.0000,3,0.970100,1,2.840900
61,2022-05-24,sh.603002,5.4200,5.4700,5.2400,5.2500,5.4300,5059794,27182307.4600,3,0.823500,1,-3.314900
