,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603039,66.5900,66.7600,65.4000,65.5000,66.1600,501349,32992044.9400,3,0.192400,1,-0.997600
1,2022-02-22,sh.603039,65.3900,65.8700,64.1800,65.6100,65.5000,468003,30433751.5900,3,0.179600,1,0.167900
2,2022-02-23,sh.603039,65.6100,68.8800,65.2100,68.5000,65.6100,907211,61504893.6100,3,0.348100,1,4.404800
3,2022-02-24,sh.603039,67.9900,68.5900,65.2000,66.0800,68.5000,788593,52309649.0700,3,0.302600,1,-3.532800
4,2022-02-25,sh.603039,66.1500,67.5000,65.1800,65.6500,66.0800,812678,53745335.6000,3,0.311800,1,-0.650700
5,2022-02-28,sh.603039,65.7800,66.4800,64.5800,65.8800,65.6500,678314,44480362.0000,3,0.260300,1,0.350300
6,2022-03-01,sh.603039,66.3000,66.3500,64.4000,65.4500,65.8800,607889,39537475.0000,3,0.233300,1,-0.652700
7,2022-03-02,sh.603039,65.4500,65.4500,63.7400,64.5300,65.4500,682352,43828056.0000,3,0.261800,1,-1.405700
8,2022-03-03,sh.603039,64.5300,65.0800,62.1000,62.5000,64.5300,806056,50851489.0000,3,0.309300,1,-3.145800
9,2022-03-04,sh.603039,61.9300,63.2000,61.5000,62.7400,62.5000,424280,26509428.0000,3,0.162800,1,0.384000
10,2022-03-07,sh.603039,62.5000,63.0000,61.3000,61.6900,62.7400,608062,37656007.0000,3,0.233300,1,-1.673600
11,2022-03-08,sh.603039,61.4400,61.9200,59.0000,59.6000,61.6900,743500,44578917.0000,3,0.285300,1,-3.387900
12,2022-03-09,sh.603039,59.6500,60.1700,55.5600,57.5900,59.6000,1226321,70835032.0000,3,0.470600,1,-3.372500
13,2022-03-10,sh.603039,58.2800,59.1400,56.9300,57.1800,57.5900,1007216,58304883.0000,3,0.386500,1,-0.711900
14,2022-03-11,sh.603039,56.0200,57.5800,55.4900,57.3900,57.1800,758678,42727220.0000,3,0.291100,1,0.367300
15,2022-03-14,sh.603039,56.5900,57.8700,55.2400,55.4800,57.3900,669116,37497316.0000,3,0.256800,1,-3.328100
