,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603045,17.9700,17.9700,17.5000,17.5600,17.7800,2847789,50226514.3400,3,2.069300,1,-1.237300
1,2022-02-22,sh.603045,17.5900,17.6800,16.6800,16.9500,17.5600,3433707,58293195.1000,3,2.495100,1,-3.473800
2,2022-02-23,sh.603045,17.1600,17.2700,16.8900,17.0500,16.9500,1915308,32580201.2200,3,1.391700,1,0.590000
3,2022-02-24,sh.603045,16.9500,18.7600,16.9500,18.1900,17.0500,15696530,289737784.0400,3,11.405700,1,6.686200
4,2022-02-25,sh.603045,17.6800,18.4500,17.4700,17.6400,18.1900,9934771,177443607.4500,3,7.219000,1,-3.023600
5,2022-02-28,sh.603045,17.7200,17.8500,17.3400,17.5100,17.6400,3553162,62435035.0000,3,2.581900,1,-0.737000
6,2022-03-01,sh.603045,17.5000,17.6800,17.3200,17.5100,17.5100,2725189,47656199.0000,3,1.980200,1,0.000000
7,2022-03-02,sh.603045,17.4400,18.1600,17.1800,17.9200,17.5100,4567600,81348298.0000,3,3.319000,1,2.341500
8,2022-03-03,sh.603045,17.9400,18.2200,17.7900,17.9700,17.9200,3138200,56458488.0000,3,2.280300,1,0.279000
9,2022-03-04,sh.603045,18.0100,18.6000,17.7400,18.0000,17.9700,3983705,72634182.0000,3,2.894700,1,0.166900
10,2022-03-07,sh.603045,18.0000,18.1500,17.5600,17.6800,18.0000,2487773,44371785.0000,3,1.807700,1,-1.777800
11,2022-03-08,sh.603045,17.6000,17.8200,17.2000,17.2200,17.6800,2656539,46366797.0000,3,1.930300,1,-2.601800
12,2022-03-09,sh.603045,17.1400,17.3000,15.8200,16.6200,17.2200,3700293,61117486.0000,3,2.688800,1,-3.484300
13,2022-03-10,sh.603045,16.9000,16.9100,16.6500,16.7500,16.6200,1728180,29002898.0000,3,1.255800,1,0.782200
14,2022-03-11,sh.603045,16.6700,16.7500,16.1300,16.6600,16.7500,1736338,28535183.0000,3,1.261700,1,-0.537300
15,2022-03-14,sh.603045,16.3600,16.7800,16.3300,16.3400,16.6600,1727344,28562998.0000,3,1.255200,1,-1.920800
16,2022-03-15,sh.603045,16.0300,16.2400,15.4900,15.4900,16.3400,2642400,42046419.0000,3,1.920100,1,-5.202000
17,2022-03-16,sh.603045,15.6900,15.9300,15.1400,15.8400,15.4900,1973414,30869582.0000,3,1.434000,1,2.259500
18,2022-03-17,sh.603045,16.0100,16.6500,15.9900,16.4200,15.8400,2132692,35024648.0000,3,1.549700,1,3.661600
19,2022-03-18,sh.603045,16.4200,18.0600,16.3100,18.0600,16.4200,4386073,76588254.6100,3,3.187100,1,9.987800
20,2022-03-21,sh.603045,18.5000,18.9000,18.0000,18.4000,18.0600,7238708,132902286.2000,3,5.259900,1,1.882600
21,2022-03-22,sh.603045,18.6900,18.7700,18.1200,18.2800,18.4000,4637969,85281001.6400,3,3.370100,1,-0.652200
22,2022-03-23,sh.603045,18.3300,18.4200,17.9000,17.9000,18.2800,2929940,52956085.6000,3,2.129000,1,-2.078800
23,2022-03-24,sh.603045,17.9500,18.1800,17.7300,17.7700,17.9000,2971320,53278009.6000,3,2.159100,1,-0.726300
24,2022-03-25,sh.603045,17.7700,18.0000,17.6100,17.6200,17.7700,2343309,41650381.6200,3,1.702700,1,-0.844100
25,2022-03-28,sh.603045,17.5300,18.3400,17.2600,18.0900,17.6200,3795160,67722790.4800,3,2.757700,1,2.667400
26,2022-03-29,sh.603045,18.1500,18.4100,17.5000,18.1900,18.0900,4096882,73348666.0000,3,2.977000,1,0.552800
27,2022-03-30,sh.603045,18.2800,18.3000,17.9000,18.1600,18.1900,3737390,67508124.8400,3,2.715700,1,-0.164900
28,2022-03-31,sh.603045,18.0500,18.4400,17.6800,18.3100,18.1600,4236543,76876876.4800,3,3.078400,1,0.826000
29,2022-04-01,sh.603045,19.0000,19.2200,17.2800,17.5200,18.3100,8725843,159174991.8200,3,6.340500,1,-4.314600
30,2022-04-06,sh.603045,16.9200,17.3900,16.5000,17.3700,17.5200,3672043,62503786.8400,3,2.668200,1,-0.856200
31,2022-04-07,sh.603045,17.4400,17.6500,16.8500,16.8500,17.3700,2724623,46873624.2000,3,1.979800,1,-2.993700
32,2022-04-08,sh.603045,16.9900,17.0000,16.4000,16.5800,16.8500,2082284,34692268.3200,3,1.513100,1,-1.602400
33,2022-04-11,sh.603045,16.5400,16.5400,15.9000,15.9900,16.5800,1942743,31333926.1800,3,1.411700,1,-3.558500
34,2022-04-12,sh.603045,15.9800,16.5200,15.8800,16.5000,15.9900,1426552,23013729.1000,3,1.036600,1,3.189500
35,2022-04-13,sh.603045,16.3500,16.8700,16.1500,16.5300,16.5000,1633295,26953097.8000,3,1.186800,1,0.181800
36,2022-04-14,sh.603045,16.5300,16.6300,15.9000,15.9600,16.5300,2774900,44737723.0000,3,2.016300,1,-3.448300
37,2022-04-15,sh.603045,15.9100,16.2900,15.4000,16.0500,15.9600,2237021,35332523.6400,3,1.625500,1,0.563900
38,2022-04-18,sh.603045,16.0700,16.4500,15.7100,16.2800,16.0500,1539638,24932852.3000,3,1.118800,1,1.433000
39,2022-04-19,sh.603045,16.2800,16.3300,16.0000,16.0600,16.2800,1413669,22865892.5400,3,1.027200,1,-1.351400
40,2022-04-20,sh.603045,16.1000,16.4400,15.9800,16.1700,16.0600,1885135,30538214.3000,3,1.369800,1,0.684900
41,2022-04-21,sh.603045,16.1500,16.1800,15.4400,15.4600,16.1700,1787936,28223650.9200,3,1.299200,1,-4.390800
42,2022-04-22,sh.603045,15.0500,15.8000,15.0500,15.4600,15.4600,1580040,24530263.0000,3,1.148100,1,0.000000
43,2022-04-25,sh.603045,15.3200,15.3200,13.9100,13.9100,15.4600,3499011,50750367.7400,3,2.542500,1,-10.025900
44,2022-04-26,sh.603045,14.0800,14.1600,12.5200,12.5200,13.9100,3737474,48759672.1500,3,2.715800,1,-9.992800
45,2022-04-27,sh.603045,12.0500,12.8900,11.6600,12.7900,12.5200,4871025,59438160.8900,3,3.539500,1,2.156500
46,2022-04-28,sh.603045,12.7900,12.9000,12.2700,12.4400,12.7900,2044340,25650609.6800,3,1.485500,1,-2.736500
47,2022-04-29,sh.603045,12.4400,13.6800,12.4300,13.6800,12.4400,3477359,46288003.5500,3,2.526800,1,9.967800
48,2022-05-05,sh.603045,14.0000,15.0500,13.7000,14.9500,13.6800,4240654,61778992.9800,3,3.081400,1,9.283600
49,2022-05-06,sh.603045,14.9000,15.5500,14.6000,14.8500,14.9500,3534754,53020437.4100,3,2.568500,1,-0.668900
50,2022-05-09,sh.603045,14.5900,14.8300,14.5700,14.5700,14.8500,1690280,24790692.4000,3,1.228200,1,-1.885500
51,2022-05-10,sh.603045,14.5000,14.7200,14.2100,14.5700,14.5700,2090486,30325968.5800,3,1.519000,1,0.000000
52,2022-05-11,sh.603045,14.7200,14.8000,14.3000,14.3000,14.5700,1935308,28252138.9600,3,1.406300,1,-1.853100
53,2022-05-12,sh.603045,14.2800,14.9400,14.2800,14.6400,14.3000,1882149,27604052.2000,3,1.367600,1,2.377600
54,2022-05-13,sh.603045,14.6400,14.9600,14.5200,14.7200,14.6400,1113919,16296312.2100,3,0.809400,1,0.546400
55,2022-05-16,sh.603045,14.7100,15.4800,14.6800,15.1900,14.7200,2469598,37510260.4300,3,1.794500,1,3.192900
56,2022-05-17,sh.603045,15.4900,16.7100,15.1500,16.7100,15.1900,5611236,91898633.5800,3,4.077300,1,10.006600
57,2022-05-18,sh.603045,16.5100,16.9600,16.4600,16.5900,16.7100,6417141,107389234.2000,3,4.662900,1,-0.718100
58,2022-05-19,sh.603045,16.6200,16.6700,16.1200,16.2600,16.5900,3094749,50529401.2900,3,2.248800,1,-1.989200
59,2022-05-20,sh.603045,16.3800,17.0600,16.2600,16.6500,16.2600,3691776,61236454.1400,3,2.682600,1,2.398500
60,2022-05-23,sh.603045,16.6200,17.6400,16.4800,16.6600,16.6500,3373619,56794104.7500,3,2.451400,1,0.060100
61,2022-05-24,sh.603045,16.8700,17.1500,15.9800,15.9800,16.6600,3511389,57975605.5400,3,2.551500,1,-4.081600
62,2022-05-25,sh.603045,15.9800,16.4000,15.9100,16.2100,15.9800,2218710,35877427.8300,3,1.612200,1,1.439300
63,2022-05-26,sh.603045,16.3800,16.4000,15.9500,16.1900,16.2100,1475174,23834144.0000,3,1.071900,1,-0.123400
64,2022-05-27,sh.603045,16.1900,16.3600,16.0100,16.1500,16.1900,1644500,26611375.6000,3,1.195000,1,-0.247100
65,2022-05-30,sh.603045,16.2500,16.2800,15.7900,16.2000,16.1500,1683757,27068944.1700,3,1.223500,1,0.309600
66,2022-05-31,sh.603045,16.0900,16.2100,15.8300,16.1600,16.2000,1358349,21763896.7400,3,0.987000,1,-0.246900
67,2022-06-01,sh.603045,16.0600,16.6700,16.0300,16.3500,16.1600,1906198,31286053.8500,3,1.385100,1,1.175700
68,2022-06-02,sh.603045,16.4700,16.5400,16.1600,16.5200,16.3500,1363745,22343583.9000,3,0.990900,1,1.039800
69,2022-06-06,sh.603045,16.5900,17.3200,16.5900,17.1400,16.5200,3810992,64781117.3800,3,2.769200,1,3.753000
