,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603108,11.2900,11.5000,11.2100,11.4800,11.3000,5359635,60926174.1000,3,0.924800,1,1.592900
1,2022-02-22,sh.603108,11.3600,11.4800,11.1200,11.3800,11.4800,5701068,64279833.6700,3,0.983700,1,-0.871100
2,2022-02-23,sh.603108,11.4100,11.5300,11.2900,11.4600,11.3800,4265850,48862430.8300,3,0.736100,1,0.703000
3,2022-02-24,sh.603108,11.3700,11.7800,11.0900,11.1900,11.4600,8192180,93940705.1500,3,1.413600,1,-2.356000
4,2022-02-25,sh.603108,11.2700,11.8500,11.2700,11.5300,11.1900,7616199,88475261.5500,3,1.314200,1,3.038400
5,2022-02-28,sh.603108,11.5200,11.6900,11.3100,11.5600,11.5300,4323000,49628485.0000,3,0.745900,1,0.260200
6,2022-03-01,sh.603108,11.5800,12.0300,11.4600,12.0100,11.5600,8028118,94958819.0000,3,1.385300,1,3.892700
7,2022-03-02,sh.603108,12.1400,12.1400,11.8000,11.8600,12.0100,7459349,88938503.0000,3,1.287100,1,-1.249000
8,2022-03-03,sh.603108,11.8800,12.0100,11.7600,11.7900,11.8600,5223680,61940740.0000,3,0.901400,1,-0.590200
9,2022-03-04,sh.603108,11.7600,12.0500,11.7000,11.9400,11.7900,9515035,113481567.0000,3,1.641800,1,1.272300
10,2022-03-07,sh.603108,11.8700,11.9800,11.5100,11.5800,11.9400,6220690,72796349.0000,3,1.073400,1,-3.015100
11,2022-03-08,sh.603108,11.5900,11.6000,10.9800,11.0300,11.5800,8936952,100164446.0000,3,1.542100,1,-4.749600
12,2022-03-09,sh.603108,11.0000,11.1200,10.1400,10.5200,11.0300,9894300,104712890.0000,3,1.707300,1,-4.623800
13,2022-03-10,sh.603108,10.6500,11.4300,10.6500,11.4000,10.5200,9430862,104847654.0000,3,1.627300,1,8.365000
