,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603110,43.1900,43.7400,42.8200,43.3800,43.1800,1083772,46812558.5200,3,0.538600,1,0.463200
1,2022-02-22,sh.603110,43.3800,43.3800,42.5300,42.8700,43.3800,1138532,48783480.6800,3,0.565800,1,-1.175700
2,2022-02-23,sh.603110,42.9900,47.0900,42.7500,46.4100,42.8700,3858798,175292288.6000,3,1.917600,1,8.257500
3,2022-02-24,sh.603110,46.4000,46.9500,43.8900,44.2800,46.4100,3562508,161312237.2800,3,1.770400,1,-4.589500
4,2022-02-25,sh.603110,44.6100,45.8000,44.1200,44.9500,44.2800,1681400,75892935.8000,3,0.835600,1,1.513100
5,2022-02-28,sh.603110,44.5000,45.3700,43.6600,44.4900,44.9500,1924000,85546889.0000,3,0.956100,1,-1.023400
6,2022-03-01,sh.603110,44.4900,45.6000,44.0000,44.4500,44.4900,1201380,53553212.0000,3,0.597000,1,-0.089900
7,2022-03-02,sh.603110,44.4400,44.4400,43.6000,43.9400,44.4500,981820,43068063.0000,3,0.487900,1,-1.147400
8,2022-03-03,sh.603110,43.9400,44.7800,43.0000,43.0600,43.9400,2384308,104124518.0000,3,1.184900,1,-2.002700
9,2022-03-04,sh.603110,43.0600,43.0700,41.7500,41.9000,43.0600,2187436,92499773.0000,3,1.087100,1,-2.693900
10,2022-03-07,sh.603110,41.8000,41.9000,40.0300,40.2900,41.9000,2197800,89378019.0000,3,1.092200,1,-3.842500
11,2022-03-08,sh.603110,40.3900,41.7300,39.8000,40.3100,40.2900,1435809,58050819.0000,3,0.713500,1,0.049600
12,2022-03-09,sh.603110,40.3200,40.9900,37.1800,40.5600,40.3100,2906398,114165141.0000,3,1.444300,1,0.620200
13,2022-03-10,sh.603110,41.3100,41.4700,39.7300,39.8000,40.5600,2248060,90615117.0000,3,1.117200,1,-1.873800
14,2022-03-11,sh.603110,39.1000,40.6700,39.0200,40.6500,39.8000,1838700,73373343.0000,3,0.913700,1,2.135700
15,2022-03-14,sh.603110,40.0700,40.7900,39.3500,40.0000,40.6500,1586060,63464864.0000,3,0.788200,1,-1.599000
16,2022-03-15,sh.603110,39.9800,40.7800,39.3600,39.6900,40.0000,1553056,62175224.0000,3,0.771800,1,-0.775000
17,2022-03-16,sh.603110,39.6600,40.4700,38.3800,39.8600,39.6900,1496543,59160218.0000,3,0.743700,1,0.428300
18,2022-03-17,sh.603110,40.0100,40.7900,39.8100,40.3000,39.8600,1310920,52803622.0000,3,0.651500,1,1.103900
19,2022-03-18,sh.603110,40.7900,40.8000,39.8800,40.3700,40.3000,864780,34725227.6000,3,0.429800,1,0.173700
20,2022-03-21,sh.603110,39.8800,42.3800,39.8800,41.8900,40.3700,1539077,63827314.3800,3,0.764800,1,3.765200
21,2022-03-22,sh.603110,41.4600,42.9500,41.2900,42.1700,41.8900,1129820,47620779.5600,3,0.561500,1,0.668400
22,2022-03-23,sh.603110,42.0000,42.8000,41.9200,42.1600,42.1700,907640,38400547.3200,3,0.451100,1,-0.023700
23,2022-03-24,sh.603110,42.1700,42.1800,41.2800,41.5800,42.1600,703040,29236642.0000,3,0.349400,1,-1.375700
24,2022-03-25,sh.603110,41.5900,41.9000,41.1200,41.4000,41.5800,580780,24103160.8000,3,0.288600,1,-0.432900
25,2022-03-28,sh.603110,41.2800,41.2800,40.0800,40.4600,41.4000,1247776,50629051.0000,3,0.620100,1,-2.270500
26,2022-03-29,sh.603110,40.4900,41.0600,40.0000,40.2800,40.4600,472400,19103149.0000,3,0.234800,1,-0.444900
27,2022-03-30,sh.603110,40.2800,40.7000,40.0600,40.4200,40.2800,473800,19108576.0000,3,0.235500,1,0.347600
28,2022-03-31,sh.603110,40.4500,40.6500,39.6400,39.6900,40.4200,762040,30430738.0000,3,0.378700,1,-1.806000
29,2022-04-01,sh.603110,39.6800,40.1000,39.5400,39.7000,39.6900,451700,17966914.0000,3,0.224500,1,0.025200
30,2022-04-06,sh.603110,39.7000,40.2100,39.0400,39.9800,39.7000,522660,20797613.2000,3,0.259700,1,0.705300
31,2022-04-07,sh.603110,39.9900,40.2500,39.5800,39.6600,39.9800,376480,14985866.2000,3,0.187100,1,-0.800400
32,2022-04-08,sh.603110,39.8000,40.0900,38.6700,38.8700,39.6600,666356,26121499.6000,3,0.331100,1,-1.991900
