,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603115,22.5600,23.2000,22.0900,22.9600,22.6800,2118200,48612105.0000,3,4.073500,1,1.234600
1,2022-02-22,sh.603115,22.8500,23.1000,22.5200,22.6500,22.9600,1834512,41654610.8600,3,3.527900,1,-1.350200
2,2022-02-23,sh.603115,22.9000,23.9600,22.6600,23.7200,22.6500,3921999,92227449.3000,3,7.542300,1,4.724100
3,2022-02-24,sh.603115,23.7400,23.8500,22.4000,22.7500,23.7200,3666700,84696641.0000,3,7.051300,1,-4.089400
4,2022-02-25,sh.603115,23.0000,23.5600,22.8200,22.9600,22.7500,2337100,54140361.0000,3,4.494400,1,0.923100
5,2022-02-28,sh.603115,23.1500,23.2000,22.4200,23.1100,22.9600,1856040,42411168.0000,3,3.569300,1,0.653300
6,2022-03-01,sh.603115,22.8600,23.4500,22.8600,23.1000,23.1100,1936740,44854870.0000,3,3.724500,1,-0.043300
7,2022-03-02,sh.603115,22.5000,23.8800,22.5000,23.5600,23.1000,2738940,64299097.0000,3,5.267200,1,1.991300
8,2022-03-03,sh.603115,23.5900,23.8400,22.9300,23.0300,23.5600,2166200,50344390.0000,3,4.165800,1,-2.249600
9,2022-03-04,sh.603115,22.9800,23.2500,22.6400,22.7000,23.0300,1680050,38532798.0000,3,3.230900,1,-1.432900
10,2022-03-07,sh.603115,22.8300,22.9100,22.0300,22.2900,22.7000,2159255,48505290.0000,3,4.152400,1,-1.806200
11,2022-03-08,sh.603115,22.2500,22.5800,21.3500,21.5700,22.2900,2387900,52247607.0000,3,4.592100,1,-3.230100
12,2022-03-09,sh.603115,21.7000,21.8100,20.1600,20.8300,21.5700,3256950,68247491.0000,3,6.263400,1,-3.430700
13,2022-03-10,sh.603115,21.3000,21.7500,21.1800,21.3800,20.8300,1692300,36360947.0000,3,3.254400,1,2.640400
14,2022-03-11,sh.603115,21.3800,21.5400,20.7000,21.4000,21.3800,1716038,36089699.0000,3,3.300100,1,0.093500
15,2022-03-14,sh.603115,21.1200,21.3300,20.7100,20.7300,21.4000,1478900,30866190.0000,3,2.844000,1,-3.130800
16,2022-03-15,sh.603115,20.5400,20.5800,19.0600,19.2400,20.7300,2750450,54764541.0000,3,5.289300,1,-7.187700
17,2022-03-16,sh.603115,19.4100,19.9800,18.7800,19.9800,19.2400,2627200,51133639.0000,3,5.052300,1,3.846200
18,2022-03-17,sh.603115,20.3200,20.7800,20.0000,20.2100,19.9800,2225288,45226806.0000,3,4.279400,1,1.151200
19,2022-03-18,sh.603115,20.0300,20.8600,20.0300,20.7000,20.2100,2107031,43324276.8400,3,4.052000,1,2.424500
20,2022-03-21,sh.603115,20.6700,21.1000,20.5100,20.9100,20.7000,1578000,32853394.0000,3,3.034600,1,1.014500
21,2022-03-22,sh.603115,21.1600,21.1600,20.5800,20.8900,20.9100,1343200,28002172.0000,3,2.583100,1,-0.095600
22,2022-03-23,sh.603115,21.0000,21.1900,20.6000,20.9400,20.8900,1155117,24268776.5200,3,2.221400,1,0.239300
23,2022-03-24,sh.603115,20.9000,20.9000,20.5800,20.6700,20.9400,936200,19373131.5200,3,1.800400,1,-1.289400
24,2022-03-25,sh.603115,20.8500,21.0800,20.6000,20.6600,20.6700,1137298,23674804.3000,3,2.187100,1,-0.048400
25,2022-03-28,sh.603115,20.8400,20.8400,20.1300,20.3900,20.6600,1178500,24052218.0000,3,2.266300,1,-1.306900
26,2022-03-29,sh.603115,20.6000,20.6000,19.6000,19.7400,20.3900,1805035,36076423.4500,3,3.471200,1,-3.187800
27,2022-03-30,sh.603115,19.8100,20.8300,19.8100,20.7100,19.7400,1937600,39688570.0000,3,3.726200,1,4.913900
28,2022-03-31,sh.603115,21.0000,21.6600,20.7900,21.3400,20.7100,2353535,50189275.3000,3,4.526000,1,3.042000
29,2022-04-01,sh.603115,21.3300,21.3400,20.7400,20.7700,21.3400,2255731,47143124.6600,3,4.337900,1,-2.671000
30,2022-04-06,sh.603115,20.5100,21.0800,20.4200,20.7800,20.7700,1627800,33751107.0000,3,3.130400,1,0.048100
31,2022-04-07,sh.603115,20.7100,20.7400,20.3000,20.4200,20.7800,1374000,28115086.0000,3,2.642300,1,-1.732400
32,2022-04-08,sh.603115,20.4100,20.5300,20.0100,20.3000,20.4200,1085400,22010425.0000,3,2.087300,1,-0.587700
