,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603136,23.0000,23.2000,20.5300,21.5500,21.6900,5434275,115691821.7600,3,2.917000,1,-0.645500
1,2022-02-22,sh.603136,21.3000,21.3000,19.9600,20.2400,21.5500,4637007,95128565.9900,3,2.489100,1,-6.078900
2,2022-02-23,sh.603136,20.2300,20.5500,19.6600,19.8700,20.2400,3490809,69967255.9900,3,1.873800,1,-1.828100
3,2022-02-24,sh.603136,19.7000,20.4000,19.0700,19.4300,19.8700,3723356,73585480.7700,3,1.998600,1,-2.214400
4,2022-02-25,sh.603136,19.4300,20.0700,19.2600,20.0200,19.4300,3609625,71152063.0000,3,1.937600,1,3.036500
5,2022-02-28,sh.603136,20.0000,20.0000,18.8500,20.0000,20.0200,2913268,56636982.0000,3,1.563800,1,-0.099900
6,2022-03-01,sh.603136,20.0000,20.6800,19.7400,20.4300,20.0000,2954862,60117116.0000,3,1.586100,1,2.150000
7,2022-03-02,sh.603136,20.2000,20.5700,19.7700,19.9400,20.4300,1878366,37627278.0000,3,1.008300,1,-2.398400
8,2022-03-03,sh.603136,19.9400,21.9300,19.8100,21.4000,19.9400,8398637,181089262.0000,3,4.508300,1,7.322000
9,2022-03-04,sh.603136,20.9100,21.6000,20.3700,21.2700,21.4000,6050024,126902218.0000,3,3.247600,1,-0.607500
10,2022-03-07,sh.603136,20.5900,20.8100,19.1400,19.7500,21.2700,5324970,105182629.0000,3,2.858400,1,-7.146200
11,2022-03-08,sh.603136,19.4100,20.5800,18.9100,19.8500,19.7500,5447072,108855126.0000,3,2.923900,1,0.506300
12,2022-03-09,sh.603136,19.8300,20.5000,18.9900,20.3100,19.8500,5363969,106765557.0000,3,2.879300,1,2.317400
13,2022-03-10,sh.603136,20.3100,20.7500,19.2600,19.2800,20.3100,5556896,110797550.0000,3,2.982900,1,-5.071400
14,2022-03-11,sh.603136,18.3300,20.0900,17.9200,19.7100,19.2800,4049484,76553747.0000,3,2.173700,1,2.230300
15,2022-03-14,sh.603136,18.8500,19.3800,18.4400,18.5900,19.7100,3397997,64103635.0000,3,1.824000,1,-5.682400
16,2022-03-15,sh.603136,18.4400,18.9500,17.4900,17.5000,18.5900,3191065,58216020.0000,3,1.712900,1,-5.863400
17,2022-03-16,sh.603136,18.5000,19.2500,18.1400,19.2500,17.5000,5294466,99336237.0000,3,2.842000,1,10.000000
18,2022-03-17,sh.603136,19.9900,20.1900,18.9700,19.7000,19.2500,5149196,100804375.0000,3,2.764000,1,2.337700
19,2022-03-18,sh.603136,19.6700,20.8500,19.3500,20.4800,19.7000,4465039,90883066.5400,3,2.396800,1,3.959400
20,2022-03-21,sh.603136,20.0600,20.7600,20.0600,20.6800,20.4800,2934842,59873776.2600,3,1.575400,1,0.976600
21,2022-03-22,sh.603136,20.5600,20.6400,19.8000,20.0100,20.6800,2274812,45906193.4900,3,1.221100,1,-3.239800
22,2022-03-23,sh.603136,20.0400,20.1900,19.5800,19.7200,20.0100,1824230,36175019.9800,3,0.979200,1,-1.449300
23,2022-03-24,sh.603136,19.8900,19.8900,19.1400,19.2000,19.7200,1625010,31510172.5000,3,0.872300,1,-2.636900
24,2022-03-25,sh.603136,19.2100,19.5900,18.7800,19.0800,19.2000,2162417,41184258.0100,3,1.160800,1,-0.625000
25,2022-03-28,sh.603136,18.7000,20.2200,18.4200,19.3500,19.0800,3359853,65342729.5500,3,1.803500,1,1.415100
