,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603189,17.2100,17.7800,17.1200,17.6000,17.2100,2796144,49031272.0800,3,1.266400,1,2.266100
1,2022-02-22,sh.603189,17.4000,17.5900,17.0300,17.1500,17.6000,2494378,42924934.8000,3,1.129700,1,-2.556800
2,2022-02-23,sh.603189,17.2600,17.5700,17.1700,17.4900,17.1500,2025100,35270423.0000,3,0.917200,1,1.982500
3,2022-02-24,sh.603189,17.5000,17.5500,16.4900,16.7600,17.4900,3748300,63743178.0000,3,1.697600,1,-4.173800
4,2022-02-25,sh.603189,16.9000,17.0500,16.7600,16.8000,16.7600,1936400,32750003.0000,3,0.877000,1,0.238700
5,2022-02-28,sh.603189,16.8000,17.0400,16.4100,16.6700,16.8000,2004900,33299650.0000,3,0.908000,1,-0.773800
6,2022-03-01,sh.603189,16.6700,16.9700,16.6700,16.9500,16.6700,1744400,29398665.0000,3,0.790000,1,1.679700
7,2022-03-02,sh.603189,17.0300,17.2700,16.9100,17.1400,16.9500,1655600,28302007.0000,3,0.749800,1,1.120900
8,2022-03-03,sh.603189,17.1000,17.2100,16.7900,16.8200,17.1400,1829900,30929333.0000,3,0.828800,1,-1.867000
9,2022-03-04,sh.603189,16.7900,16.8700,16.5500,16.6000,16.8200,1703600,28415105.0000,3,0.771600,1,-1.308000
10,2022-03-07,sh.603189,16.4000,16.5300,16.0500,16.1200,16.6000,1922800,31128174.0000,3,0.870800,1,-2.891600
11,2022-03-08,sh.603189,16.1100,16.2800,15.8300,15.9600,16.1200,2023600,32560268.0000,3,0.916500,1,-0.992600
12,2022-03-09,sh.603189,15.3500,15.5000,14.3600,14.6000,15.9600,10487282,154537069.0000,3,3.890700,1,-8.521300
13,2022-03-10,sh.603189,14.8000,14.9600,14.5200,14.5400,14.6000,5047542,74392487.0000,3,1.872600,1,-0.411000
14,2022-03-11,sh.603189,14.1900,14.8400,14.0700,14.8100,14.5400,3684600,53156846.0000,3,1.367000,1,1.856900
15,2022-03-14,sh.603189,14.6500,14.9800,14.5700,14.6000,14.8100,2830223,41817957.0000,3,1.050000,1,-1.418000
16,2022-03-15,sh.603189,14.7000,14.7500,13.9900,13.9900,14.6000,3023900,43598513.0000,3,1.121800,1,-4.178100
17,2022-03-16,sh.603189,14.2300,14.4700,13.7400,14.3800,13.9900,2701600,38210771.0000,3,1.002300,1,2.787700
18,2022-03-17,sh.603189,14.5300,14.9700,14.5300,14.7300,14.3800,3140876,46442496.0000,3,1.165200,1,2.433900
19,2022-03-18,sh.603189,14.5800,14.8500,14.5700,14.8000,14.7300,1971200,29053839.0000,3,0.731300,1,0.475200
20,2022-03-21,sh.603189,14.8200,14.9600,14.5900,14.9000,14.8000,2428900,35925997.0000,3,0.901100,1,0.675700
21,2022-03-22,sh.603189,14.7900,14.9800,14.7300,14.8900,14.9000,2339762,34723901.2200,3,0.868000,1,-0.067100
22,2022-03-23,sh.603189,14.8800,15.0300,14.8100,14.9000,14.8900,2350162,35057945.3200,3,0.871900,1,0.067200
23,2022-03-24,sh.603189,14.8400,14.8400,14.5000,14.5700,14.9000,2438071,35661590.0200,3,0.904500,1,-2.214800
24,2022-03-25,sh.603189,14.7000,14.8800,14.6400,14.6400,14.5700,1975600,29160092.0000,3,0.732900,1,0.480400
25,2022-03-28,sh.603189,14.6500,14.9700,14.4000,14.7900,14.6400,1958517,28930525.4300,3,0.726600,1,1.024600
26,2022-03-29,sh.603189,14.7900,14.8900,14.4000,14.4800,14.7900,2069700,30247899.0000,3,0.767800,1,-2.096000
27,2022-03-30,sh.603189,14.5900,14.7500,14.4500,14.7300,14.4800,1508500,22113613.0000,3,0.559600,1,1.726500
28,2022-03-31,sh.603189,14.7100,15.0000,14.6700,14.8500,14.7300,2028800,30152643.0000,3,0.752700,1,0.814700
29,2022-04-01,sh.603189,14.7500,14.9600,14.6500,14.8500,14.8500,2095941,31020548.2100,3,0.777600,1,0.000000
30,2022-04-06,sh.603189,14.7800,15.8200,14.7700,15.4700,14.8500,7206131,110923249.8200,3,2.673400,1,4.175100
31,2022-04-07,sh.603189,15.7900,15.8400,15.1500,15.2900,15.4700,7056903,109543734.6300,3,2.618000,1,-1.163500
32,2022-04-08,sh.603189,15.2100,15.4600,13.7600,13.8800,15.2900,9546982,134538994.1900,3,3.541800,1,-9.221700
33,2022-04-11,sh.603189,13.6500,13.6500,12.8200,12.9200,13.8800,5361900,70455953.0000,3,1.989200,1,-6.916400
34,2022-04-12,sh.603189,12.8300,13.2000,12.6300,13.1800,12.9200,3305807,42630876.7600,3,1.226400,1,2.012400
35,2022-04-13,sh.603189,13.0700,13.2700,12.9100,12.9400,13.1800,2429800,31674122.0000,3,0.901400,1,-1.820900
36,2022-04-14,sh.603189,12.9800,13.1800,12.9000,12.9300,12.9400,1602924,20865437.7200,3,0.594700,1,-0.077300
37,2022-04-15,sh.603189,12.9600,12.9600,12.4100,12.5700,12.9300,2592200,32593918.0000,3,0.961700,1,-2.784200
38,2022-04-18,sh.603189,12.4600,12.7700,12.3100,12.7100,12.5700,1627600,20475968.0000,3,0.603800,1,1.113800
39,2022-04-19,sh.603189,12.6800,12.9500,12.6600,12.8000,12.7100,1279300,16372836.0000,3,0.474600,1,0.708100
40,2022-04-20,sh.603189,13.1200,13.1600,12.6900,12.8000,12.8000,2165900,28012607.0000,3,0.803500,1,0.000000
41,2022-04-21,sh.603189,12.7600,12.8000,12.2500,12.2700,12.8000,1834000,22943696.0000,3,0.680400,1,-4.140600
42,2022-04-22,sh.603189,12.2700,12.2700,11.8100,11.9000,12.2700,2123100,25419479.0000,3,0.787700,1,-3.015500
43,2022-04-25,sh.603189,11.7600,11.7800,10.7100,10.7100,11.9000,3485600,38794131.0000,3,1.293100,1,-10.000000
44,2022-04-26,sh.603189,10.8000,10.8000,10.0000,10.1000,10.7100,3112341,32442748.5500,3,1.154700,1,-5.695600
45,2022-04-27,sh.603189,9.9000,10.5000,9.8000,10.4900,10.1000,2611100,26513853.0000,3,0.968700,1,3.861400
46,2022-04-28,sh.603189,10.5000,10.5000,10.0200,10.1900,10.4900,1979500,20253616.0000,3,0.734400,1,-2.859900
47,2022-04-29,sh.603189,10.3100,10.9500,10.3000,10.8800,10.1900,2622600,27966888.0000,3,0.973000,1,6.771300
