,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603223,31.6800,32.9000,31.5400,32.1600,31.6100,1669312,53881515.0800,3,0.591500,1,1.740000
1,2022-02-22,sh.603223,32.2200,32.5200,31.8300,31.9400,32.1600,930300,29827050.0000,3,0.329600,1,-0.684100
2,2022-02-23,sh.603223,31.6000,32.4500,31.6000,32.1400,31.9400,1039213,33402194.0700,3,0.368200,1,0.626200
3,2022-02-24,sh.603223,32.1300,33.4000,31.7800,31.9900,32.1400,2896060,94291021.6000,3,1.026100,1,-0.466700
4,2022-02-25,sh.603223,32.0000,32.7100,32.0000,32.0500,31.9900,1039514,33457402.7400,3,0.368300,1,0.187600
5,2022-02-28,sh.603223,32.4300,32.4300,31.6200,32.0700,32.0500,848896,27112970.0000,3,0.300800,1,0.062400
6,2022-03-01,sh.603223,32.0900,32.3400,31.6600,32.3000,32.0700,707508,22675291.0000,3,0.250700,1,0.717200
7,2022-03-02,sh.603223,32.3500,32.5000,31.9000,31.9400,32.3000,765260,24568715.0000,3,0.271100,1,-1.114600
8,2022-03-03,sh.603223,32.1000,32.1900,31.6600,31.8000,31.9400,522308,16656632.0000,3,0.185100,1,-0.438300
9,2022-03-04,sh.603223,31.8000,31.9300,31.3300,31.5800,31.8000,675664,21348533.0000,3,0.239400,1,-0.691800
10,2022-03-07,sh.603223,31.4200,31.6000,31.0100,31.0300,31.5800,586300,18279366.0000,3,0.207700,1,-1.741600
11,2022-03-08,sh.603223,31.0500,31.2100,30.1200,30.7400,31.0300,1339972,41117967.0000,3,0.474800,1,-0.934600
12,2022-03-09,sh.603223,30.8000,31.1000,29.0000,30.8000,30.7400,1924948,57683292.0000,3,0.682000,1,0.195200
13,2022-03-10,sh.603223,31.1000,31.2400,30.6400,31.0600,30.8000,855520,26527638.0000,3,0.303100,1,0.844200
14,2022-03-11,sh.603223,30.6000,30.7000,30.2000,30.5000,31.0600,599952,18270464.0000,3,0.212600,1,-1.803000
15,2022-03-14,sh.603223,30.5100,30.5100,29.4700,29.5000,30.5000,1784876,53273999.0000,3,0.632400,1,-3.278700
16,2022-03-15,sh.603223,29.3000,29.5100,28.0000,28.5300,29.5000,1645842,47669521.0000,3,0.583100,1,-3.288100
17,2022-03-16,sh.603223,28.8900,30.0100,28.3300,29.9100,28.5300,2403083,70092123.0000,3,0.851400,1,4.837000
18,2022-03-17,sh.603223,29.9200,30.3300,29.6100,29.6800,29.9100,1157646,34561220.0000,3,0.410200,1,-0.769000
19,2022-03-18,sh.603223,29.8800,30.0600,29.5700,29.9600,29.6800,511015,15244805.8000,3,0.181100,1,0.943400
20,2022-03-21,sh.603223,29.8800,30.5000,29.8100,30.1400,29.9600,581076,17445942.8000,3,0.205900,1,0.600800
21,2022-03-22,sh.603223,30.0900,30.2800,29.7800,29.7800,30.1400,564896,16947828.7300,3,0.200100,1,-1.194400
22,2022-03-23,sh.603223,29.6900,30.3800,29.4100,30.0000,29.7800,819500,24558589.3600,3,0.290400,1,0.738800
23,2022-03-24,sh.603223,29.9300,30.0200,29.6400,29.8500,30.0000,382321,11402246.0000,3,0.135500,1,-0.500000
24,2022-03-25,sh.603223,29.7800,30.0000,29.7000,29.8500,29.8500,368588,10998776.5600,3,0.130600,1,0.000000
25,2022-03-28,sh.603223,29.9800,29.9900,28.7900,29.7300,29.8500,1111284,32680306.4800,3,0.393700,1,-0.402000
26,2022-03-29,sh.603223,29.8500,29.8500,29.1200,29.4000,29.7300,733572,21529200.4400,3,0.259900,1,-1.110000
27,2022-03-30,sh.603223,29.3700,29.5100,29.1000,29.3900,29.4000,913404,26809054.8000,3,0.323600,1,-0.034000
28,2022-03-31,sh.603223,29.4200,29.9100,29.2900,29.6900,29.3900,866150,25663347.8600,3,0.306900,1,1.020800
29,2022-04-01,sh.603223,29.5100,30.7000,29.5000,30.2300,29.6900,2499800,75309459.0400,3,0.885700,1,1.818800
30,2022-04-06,sh.603223,30.2500,31.1700,30.1100,30.9500,30.2300,1205406,37063779.6600,3,0.427100,1,2.381700
31,2022-04-07,sh.603223,30.8700,31.0000,30.6300,30.8000,30.9500,968736,29837216.0800,3,0.343200,1,-0.484700
32,2022-04-08,sh.603223,30.9700,31.9900,30.6100,30.9900,30.8000,1444912,45104616.6400,3,0.511900,1,0.616900
33,2022-04-11,sh.603223,30.8200,32.5000,30.8200,31.1900,30.9900,1363544,42993749.5500,3,0.483100,1,0.645400
34,2022-04-12,sh.603223,31.1900,31.2600,30.4300,30.6800,31.1900,928160,28486330.8000,3,0.328900,1,-1.635100
35,2022-04-13,sh.603223,30.6700,31.3500,29.5200,29.5200,30.6800,1849723,55929938.1500,3,0.655400,1,-3.781000
36,2022-04-14,sh.603223,30.1000,30.9100,29.6800,30.4800,29.5200,2536206,77209832.6200,3,0.898600,1,3.252000
37,2022-04-15,sh.603223,30.1000,30.5000,29.7000,30.5000,30.4800,1282340,38551892.0800,3,0.454300,1,0.065600
