,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603338,61.1500,61.3000,59.7700,60.0200,61.1500,3980683,240027332.5300,3,0.819900,1,-1.847900
1,2022-02-22,sh.603338,59.2800,59.5700,58.1100,58.4600,60.0200,3969262,232512393.9100,3,0.817600,1,-2.599100
2,2022-02-23,sh.603338,58.6600,59.1600,58.2500,58.7000,58.4600,4150061,243265175.6400,3,0.854800,1,0.410500
3,2022-02-24,sh.603338,58.5000,58.7000,55.9500,56.9000,58.7000,4615900,264211698.9100,3,0.950800,1,-3.066400
4,2022-02-25,sh.603338,57.1400,58.7000,57.1400,57.8800,56.9000,2883773,167223962.1100,3,0.594000,1,1.722300
5,2022-02-28,sh.603338,57.8700,57.8800,56.3300,57.5200,57.8800,2657922,151938640.0000,3,0.547500,1,-0.622000
6,2022-03-01,sh.603338,57.6000,57.9100,56.6600,56.9000,57.5200,3313827,188909919.0000,3,0.682600,1,-1.077900
7,2022-03-02,sh.603338,56.6600,56.6600,55.7200,56.0800,56.9000,3165475,177499016.0000,3,0.652000,1,-1.441100
8,2022-03-03,sh.603338,56.4600,56.4600,54.3300,54.4800,56.0800,4625042,254498495.0000,3,0.952700,1,-2.853100
9,2022-03-04,sh.603338,54.0200,55.1400,53.3900,53.6000,54.4800,4892373,264947696.0000,3,1.007700,1,-1.615300
10,2022-03-07,sh.603338,53.3100,53.3100,51.0200,51.2700,53.6000,7560732,389269648.0000,3,1.557400,1,-4.347000
11,2022-03-08,sh.603338,51.4400,51.8400,48.7000,49.1100,51.2700,6134824,305438096.0000,3,1.263600,1,-4.213000
12,2022-03-09,sh.603338,49.2100,50.1700,46.0000,48.0600,49.1100,7032707,338901664.0000,3,1.448600,1,-2.138100
13,2022-03-10,sh.603338,48.9800,51.2000,48.5000,50.4100,48.0600,6392008,318989440.0000,3,1.316600,1,4.889700
14,2022-03-11,sh.603338,49.5000,50.8600,48.6500,50.4300,50.4100,4123191,205072928.0000,3,0.849300,1,0.039700
15,2022-03-14,sh.603338,49.8600,50.4000,48.8800,48.9500,50.4300,3449205,170433474.0000,3,0.710500,1,-2.934800
16,2022-03-15,sh.603338,48.7000,49.1500,46.2800,46.4000,48.9500,5017972,240118438.0000,3,1.033600,1,-5.209400
17,2022-03-16,sh.603338,47.1800,47.9500,45.4300,47.7800,46.4000,5119469,240046738.0000,3,1.054500,1,2.974100
18,2022-03-17,sh.603338,48.4900,50.1000,48.0200,49.0700,47.7800,5757038,283123120.0000,3,1.185800,1,2.699900
19,2022-03-18,sh.603338,48.9400,49.5000,48.0000,48.8600,49.0700,3881178,188918593.5400,3,0.799400,1,-0.428000
20,2022-03-21,sh.603338,49.5900,50.1400,48.2300,48.6200,48.8600,5079149,249051255.9800,3,1.046200,1,-0.491200
21,2022-03-22,sh.603338,48.5700,48.5700,47.3100,47.6400,48.6200,5111572,244194980.6000,3,1.052900,1,-2.015600
22,2022-03-23,sh.603338,47.8500,48.4600,47.1000,47.2000,47.6400,5225706,248490442.4800,3,1.076400,1,-0.923600
