,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603348,46.7200,47.0900,45.6000,46.4600,45.9000,2504940,115984154.6000,3,0.973000,1,1.220000
1,2022-02-22,sh.603348,47.3400,47.3600,44.7800,46.4200,46.4600,3071032,140790112.5600,3,1.192900,1,-0.086100
2,2022-02-23,sh.603348,46.9200,50.1100,46.4200,48.6500,46.4200,4135883,201267161.0300,3,1.606600,1,4.804000
3,2022-02-24,sh.603348,48.3500,50.7200,47.1800,48.2500,48.6500,3964008,193144438.2400,3,1.539800,1,-0.822200
4,2022-02-25,sh.603348,48.6100,50.0000,47.2500,47.6500,48.2500,2720798,132054726.6000,3,1.056900,1,-1.243500
5,2022-02-28,sh.603348,47.5800,48.9900,46.6500,48.7700,47.6500,2820383,135604288.0000,3,1.095600,1,2.350500
6,2022-03-01,sh.603348,49.4900,50.2500,46.9100,47.1700,48.7700,2904910,139541020.0000,3,1.128400,1,-3.280700
7,2022-03-02,sh.603348,46.5500,47.1900,45.7600,46.4500,47.1700,2300080,106937412.0000,3,0.893500,1,-1.526400
8,2022-03-03,sh.603348,46.5500,46.9200,41.8200,41.8500,46.4500,5963920,257108702.0000,3,2.316700,1,-9.903100
9,2022-03-04,sh.603348,40.4000,40.7700,37.6700,38.6400,41.8500,11130106,431017280.0000,3,4.323500,1,-7.670300
10,2022-03-07,sh.603348,37.9000,38.0900,36.6000,36.9700,38.6400,6027762,223755902.0000,3,2.341500,1,-4.321900
11,2022-03-08,sh.603348,37.2200,38.1800,35.4000,36.2700,36.9700,5191968,190092931.0000,3,2.016800,1,-1.893400
12,2022-03-09,sh.603348,36.9200,37.5000,35.1700,36.8500,36.2700,3069800,111947810.0000,3,1.192500,1,1.599100
13,2022-03-10,sh.603348,38.1000,39.6200,38.0000,38.7400,36.8500,7155088,278430880.0000,3,2.779400,1,5.128900
14,2022-03-11,sh.603348,38.0200,38.6000,36.9600,38.0400,38.7400,3617348,136258665.0000,3,1.405200,1,-1.806900
15,2022-03-14,sh.603348,37.4200,37.8800,35.6600,36.0000,38.0400,5807707,209854287.0000,3,2.256000,1,-5.362800
16,2022-03-15,sh.603348,35.5400,37.1600,35.3700,35.6200,36.0000,4627226,168193470.0000,3,1.797400,1,-1.055600
17,2022-03-16,sh.603348,36.1000,38.0200,35.3300,37.6600,35.6200,3555003,131164493.0000,3,1.380900,1,5.727100
18,2022-03-17,sh.603348,39.5500,41.4300,38.6400,40.8900,37.6600,6745775,273711200.0000,3,2.620400,1,8.576700
19,2022-03-18,sh.603348,40.8000,41.5000,39.0000,39.7900,40.8900,4517100,180868047.0000,3,1.754700,1,-2.690100
20,2022-03-21,sh.603348,40.4500,41.1900,39.2900,40.0300,39.7900,2760303,110858563.6300,3,1.072200,1,0.603200
21,2022-03-22,sh.603348,39.6000,40.0100,38.6900,39.0500,40.0300,2544200,99588510.0000,3,0.988300,1,-2.448200
22,2022-03-23,sh.603348,39.0500,40.6800,38.7600,39.8800,39.0500,2867252,114786104.1500,3,1.113800,1,2.125500
23,2022-03-24,sh.603348,39.4900,39.7500,38.7500,39.5100,39.8800,2406550,94352331.9700,3,0.934800,1,-0.927800
24,2022-03-25,sh.603348,39.7500,40.5000,38.6000,38.8500,39.5100,2441300,95895807.0000,3,0.948300,1,-1.670500
25,2022-03-28,sh.603348,38.4000,38.9200,37.3900,38.6100,38.8500,3327010,126827564.5200,3,1.292400,1,-0.617800
26,2022-03-29,sh.603348,38.6900,39.9800,38.2200,39.0200,38.6100,2464399,96488340.3100,3,0.957300,1,1.061900
27,2022-03-30,sh.603348,39.8700,42.4100,39.3300,41.8800,39.0200,4477357,184443533.2500,3,1.739200,1,7.329600
28,2022-03-31,sh.603348,41.8600,41.8600,38.5200,38.8800,41.8800,3248574,128644271.6000,3,1.261900,1,-7.163300
29,2022-04-01,sh.603348,38.6000,39.3400,38.0000,38.2400,38.8800,1997496,76939681.4800,3,0.775900,1,-1.646100
30,2022-04-06,sh.603348,38.2400,38.2400,35.7600,36.0500,38.2400,3375799,123062020.7900,3,1.311300,1,-5.727000
31,2022-04-07,sh.603348,36.2100,36.2800,34.0500,34.2900,36.0500,3314725,115272353.7800,3,1.287600,1,-4.882100
32,2022-04-08,sh.603348,33.8900,34.2600,32.5400,33.4500,34.2900,4531552,150664418.1600,3,1.760300,1,-2.449700
33,2022-04-11,sh.603348,32.5300,33.4500,30.7300,31.0000,33.4500,4353852,137006980.3700,3,1.691200,1,-7.324400
34,2022-04-12,sh.603348,31.1300,31.7400,29.6600,30.7400,31.0000,6304960,191406644.8600,3,2.449200,1,-0.838700
35,2022-04-13,sh.603348,30.7900,30.7900,29.1000,29.2500,30.7400,4121097,122188341.7600,3,1.600800,1,-4.847100
36,2022-04-14,sh.603348,29.7300,30.0000,28.8800,29.5700,29.2500,2673254,78729906.2600,3,1.038400,1,1.094000
37,2022-04-15,sh.603348,29.4900,32.5200,28.4800,31.2400,29.5700,7317211,223034766.9200,3,2.842400,1,5.647600
38,2022-04-18,sh.603348,30.6100,34.3600,29.5000,34.3600,31.2400,5113416,168045573.2300,3,1.986300,1,9.987200
39,2022-04-19,sh.603348,36.0000,36.0000,32.4000,33.0300,34.3600,7733131,258889619.5800,3,3.003900,1,-3.870800
40,2022-04-20,sh.603348,33.0300,34.3900,32.6000,33.0900,33.0300,5661282,189294195.4400,3,2.199100,1,0.181700
41,2022-04-21,sh.603348,33.6800,33.6800,31.8700,32.2600,33.0900,4355579,141649984.5700,3,1.691900,1,-2.508300
42,2022-04-22,sh.603348,32.1200,32.5000,30.6800,30.7600,32.2600,4098246,128451313.3700,3,1.592000,1,-4.649700
43,2022-04-25,sh.603348,30.7600,32.8600,29.5300,29.7000,30.7600,6595786,203796915.3500,3,2.562100,1,-3.446000
44,2022-04-26,sh.603348,29.9100,32.6700,29.9100,30.7300,29.7000,7371018,234427107.3500,3,2.863300,1,3.468000
45,2022-04-27,sh.603348,29.9700,33.8000,29.9700,33.8000,30.7300,8236863,265333696.5300,3,3.199600,1,9.990200
46,2022-04-28,sh.603348,35.6900,36.4000,34.0000,36.1800,33.8000,11389135,402252331.2800,3,4.424100,1,7.041400
47,2022-04-29,sh.603348,36.0000,39.8000,35.5100,38.8100,36.1800,9172335,345403901.1900,3,3.563000,1,7.269200
48,2022-05-05,sh.603348,39.8800,41.1400,38.6000,38.8900,38.8100,8561213,339044962.4200,3,3.325600,1,0.206100
49,2022-05-06,sh.603348,37.5600,38.2600,36.7100,37.4200,38.8900,7454883,278085555.4100,3,2.895800,1,-3.779900
