,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603392,248.5400,250.0600,238.5400,244.3200,247.7900,1145988,279650381.7300,3,0.759900,1,-1.400400
1,2022-02-22,sh.603392,246.5000,248.5000,241.1500,247.5300,244.3200,966089,236385971.8300,3,0.640600,1,1.313900
2,2022-02-23,sh.603392,250.0000,253.9000,246.4700,251.0000,247.5300,1437470,360395582.8500,3,0.953100,1,1.401900
3,2022-02-24,sh.603392,250.5000,255.1600,248.8900,250.8000,251.0000,1614509,407286006.0300,3,1.070500,1,-0.079700
4,2022-02-25,sh.603392,250.9000,256.4700,250.9000,254.0000,250.8000,1362133,346677144.9000,3,0.903200,1,1.275900
5,2022-02-28,sh.603392,253.3300,254.9900,249.0000,251.8000,254.0000,1684551,425667488.0000,3,1.117000,1,-0.866100
6,2022-03-01,sh.603392,251.6000,257.0000,249.7000,255.7700,251.8000,1510586,384562736.0000,3,1.001600,1,1.576600
7,2022-03-02,sh.603392,255.9000,256.6200,249.0200,254.9800,255.7700,1310541,331539664.0000,3,0.869000,1,-0.308900
8,2022-03-03,sh.603392,255.0000,255.8500,247.0000,248.8700,254.9800,941376,235364678.0000,3,0.624200,1,-2.396300
9,2022-03-04,sh.603392,247.5600,252.4600,245.5000,248.4000,248.8700,1428628,357687728.0000,3,0.947300,1,-0.188900
10,2022-03-07,sh.603392,248.4800,249.8900,241.0000,242.7300,248.4000,1133098,276080336.0000,3,0.751300,1,-2.282600
11,2022-03-08,sh.603392,246.1000,252.7300,239.0000,240.5600,242.7300,1065249,259986071.0000,3,0.706300,1,-0.894000
12,2022-03-09,sh.603392,241.3800,255.0000,240.5700,249.3100,240.5600,1566537,388251424.0000,3,1.038700,1,3.637300
13,2022-03-10,sh.603392,252.0000,252.9600,243.2000,247.5400,249.3100,1356184,336915296.0000,3,0.899200,1,-0.710000
14,2022-03-11,sh.603392,250.0000,255.3600,245.4900,255.3600,247.5400,2169004,547312928.0000,3,1.438200,1,3.159100
15,2022-03-14,sh.603392,264.4900,265.4900,248.5000,249.2500,255.3600,2737652,697469552.0000,3,1.815200,1,-2.392700
16,2022-03-15,sh.603392,238.0700,252.0000,236.8000,246.0000,249.2500,1807501,445161856.0000,3,1.198500,1,-1.303900
17,2022-03-16,sh.603392,246.8800,253.5000,237.0100,249.5800,246.0000,1852302,452882320.0000,3,1.228200,1,1.455300
18,2022-03-17,sh.603392,249.5800,265.5200,249.5800,258.5000,249.5800,2162188,560445168.0000,3,1.433700,1,3.574000
19,2022-03-18,sh.603392,260.0000,277.6600,249.4900,275.9900,258.5000,2712478,721396178.6100,3,1.798600,1,6.766000
20,2022-03-21,sh.603392,277.0000,289.9900,270.0000,276.4000,275.9900,2508600,701092364.6200,3,1.663400,1,0.148600
21,2022-03-22,sh.603392,276.4500,278.6300,270.8900,271.4300,276.4000,1152088,315057028.4000,3,0.763900,1,-1.798100
22,2022-03-23,sh.603392,273.5700,277.4800,268.0000,271.9700,271.4300,1493235,407193673.6800,3,0.990100,1,0.198900
23,2022-03-24,sh.603392,270.0000,276.9900,266.0100,275.2800,271.9700,1522021,414876964.4300,3,1.009200,1,1.217000
24,2022-03-25,sh.603392,274.0000,276.3700,268.1300,270.9900,275.2800,871784,237397268.4400,3,0.578100,1,-1.558400
25,2022-03-28,sh.603392,270.2400,274.9600,262.8100,271.8000,270.9900,1085837,294030845.8300,3,0.720000,1,0.298900
26,2022-03-29,sh.603392,272.9700,277.5000,270.0000,274.6600,271.8000,1010931,276495499.3000,3,0.670300,1,1.052200
27,2022-03-30,sh.603392,277.1200,277.1200,270.0700,274.0000,274.6600,1100129,299956437.2300,3,0.729500,1,-0.240300
28,2022-03-31,sh.603392,273.9200,278.5000,271.5000,278.0000,274.0000,1169530,321278064.9900,3,0.775500,1,1.459900
29,2022-04-01,sh.603392,277.0000,279.8800,268.0000,277.0200,278.0000,1366965,376859206.0000,3,0.906400,1,-0.352500
30,2022-04-06,sh.603392,278.0000,284.8000,273.0000,279.0000,277.0200,1505543,419066333.3900,3,0.998300,1,0.714700
31,2022-04-07,sh.603392,275.4600,282.0000,275.3000,276.8300,279.0000,656280,182117813.7500,3,0.435200,1,-0.777800
32,2022-04-08,sh.603392,277.8200,277.9400,271.8200,274.7900,276.8300,677275,185757406.2500,3,0.449100,1,-0.736900
33,2022-04-11,sh.603392,275.0500,278.5300,271.6600,277.2700,274.7900,979253,270270423.2800,3,0.649300,1,0.902500
34,2022-04-12,sh.603392,276.5200,292.0800,275.0000,290.0000,277.2700,1685144,483870076.4800,3,1.117400,1,4.591200
35,2022-04-13,sh.603392,290.9600,291.9900,284.4900,284.4900,290.0000,1155441,332425992.8700,3,0.766100,1,-1.900000
36,2022-04-14,sh.603392,282.4900,285.0000,256.0400,257.5900,284.4900,3717518,968286567.4200,3,2.465000,1,-9.455500
37,2022-04-15,sh.603392,259.0000,273.2800,257.5900,269.1000,257.5900,2239860,593258687.4400,3,1.485200,1,4.468300
