,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603596,76.8700,77.3000,74.5400,75.0000,78.0000,4208964,317399022.3600,3,1.035100,1,-3.846200
1,2022-02-22,sh.603596,73.0900,75.5300,72.1000,75.4000,75.0000,2857302,211171216.1900,3,0.702700,1,0.533300
2,2022-02-23,sh.603596,75.4200,82.1900,74.6200,81.8100,75.4000,4929587,393679170.3000,3,1.212300,1,8.501300
3,2022-02-24,sh.603596,80.0400,82.3800,78.6800,80.1300,81.8100,4627045,371382522.2400,3,1.137900,1,-2.053500
4,2022-02-25,sh.603596,81.1200,82.5800,79.2200,82.4900,80.1300,3503372,283823927.4500,3,0.861600,1,2.945200
5,2022-02-28,sh.603596,81.9800,82.0000,78.5000,80.3000,82.4900,3708862,296576784.0000,3,0.912100,1,-2.654900
6,2022-03-01,sh.603596,81.0000,81.7500,77.8900,80.5000,80.3000,3749777,299950480.0000,3,0.922200,1,0.249100
7,2022-03-02,sh.603596,78.7700,79.2600,76.8800,78.7900,80.5000,3616942,281848448.0000,3,0.889500,1,-2.124200
8,2022-03-03,sh.603596,77.4000,78.4000,72.5000,73.0800,78.7900,5399542,401699680.0000,3,1.327900,1,-7.247100
9,2022-03-04,sh.603596,70.8400,73.5000,69.7000,70.1000,73.0800,6303336,448340048.0000,3,1.550200,1,-4.077700
10,2022-03-07,sh.603596,69.6800,69.6800,66.0000,67.1900,70.1000,5397518,363092768.0000,3,1.327400,1,-4.151200
11,2022-03-08,sh.603596,66.6600,68.0000,62.8100,65.3800,67.1900,7375867,479613312.0000,3,1.813900,1,-2.693900
12,2022-03-09,sh.603596,65.2500,70.4400,65.2500,69.8500,65.3800,6230183,424697536.0000,3,1.532200,1,6.837000
13,2022-03-10,sh.603596,72.5000,74.3300,71.1500,71.9000,69.8500,6712260,489177232.0000,3,1.650700,1,2.934900
14,2022-03-11,sh.603596,70.7500,72.8800,69.4800,71.0600,71.9000,4982653,353983808.0000,3,1.225400,1,-1.168300
15,2022-03-14,sh.603596,70.3000,71.2000,68.2100,70.1700,71.0600,2735708,191170983.0000,3,0.672800,1,-1.252500
