,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603655,20.1900,20.5000,20.0300,20.4100,20.1200,834100,16965348.3800,3,0.786900,1,1.441400
1,2022-02-22,sh.603655,20.3800,20.3900,19.8500,19.9800,20.4100,1080562,21584195.0400,3,1.019400,1,-2.106800
2,2022-02-23,sh.603655,20.0600,20.5800,20.0300,20.5600,19.9800,1264000,25813060.0000,3,1.192500,1,2.902900
3,2022-02-24,sh.603655,20.5100,20.7300,19.8900,20.0600,20.5600,1639606,33328956.3600,3,1.546800,1,-2.431900
4,2022-02-25,sh.603655,19.9600,20.6900,19.9600,20.4000,20.0600,1233400,25221946.0000,3,1.163600,1,1.694900
5,2022-02-28,sh.603655,20.4300,20.6600,19.9000,20.2000,20.4000,1078359,21760467.0000,3,1.017300,1,-0.980400
6,2022-03-01,sh.603655,20.3100,20.6500,20.2800,20.6200,20.2000,1051059,21575103.0000,3,0.991600,1,2.079200
7,2022-03-02,sh.603655,20.5400,20.8500,20.4900,20.7000,20.6200,904706,18693033.0000,3,0.853500,1,0.388000
8,2022-03-03,sh.603655,20.6700,20.7800,20.5200,20.5600,20.7000,838400,17317251.0000,3,0.790900,1,-0.676300
9,2022-03-04,sh.603655,20.5600,20.5600,20.1100,20.2300,20.5600,773300,15668434.0000,3,0.729500,1,-1.605100
10,2022-03-07,sh.603655,20.2800,20.2800,19.9100,19.9900,20.2300,716400,14359352.0000,3,0.675800,1,-1.186400
11,2022-03-08,sh.603655,19.9600,20.0900,18.9400,19.0200,19.9900,1049776,20290629.0000,3,0.990400,1,-4.852400
12,2022-03-09,sh.603655,19.0000,19.1800,17.2400,18.1500,19.0200,1309726,23837261.0000,3,1.235600,1,-4.574100
13,2022-03-10,sh.603655,18.5000,19.1700,17.9700,18.7500,18.1500,978067,18305226.0000,3,0.922700,1,3.305800
14,2022-03-11,sh.603655,18.3600,18.7400,18.0400,18.6300,18.7500,642700,11809633.0000,3,0.606300,1,-0.640000
15,2022-03-14,sh.603655,18.8000,18.8000,17.9700,17.9700,18.6300,712600,12955012.0000,3,0.672300,1,-3.542700
16,2022-03-15,sh.603655,17.8400,18.0400,17.1300,17.1500,17.9700,1107800,19512325.0000,3,1.045100,1,-4.563200
17,2022-03-16,sh.603655,17.4300,17.5700,16.6000,17.4100,17.1500,1068400,18303770.0000,3,1.007900,1,1.516000
18,2022-03-17,sh.603655,17.6800,18.2100,17.6300,17.9600,17.4100,1329578,23897229.0000,3,1.254300,1,3.159100
19,2022-03-18,sh.603655,17.9600,18.0900,17.8100,17.9600,17.9600,627359,11276989.1000,3,0.591800,1,0.000000
20,2022-03-21,sh.603655,17.9600,18.4700,17.8900,18.3900,17.9600,1160694,21211486.6200,3,1.095000,1,2.394200
21,2022-03-22,sh.603655,18.3900,18.4700,17.9200,18.0200,18.3900,675300,12179220.0000,3,0.637100,1,-2.012000
22,2022-03-23,sh.603655,18.0300,18.4000,17.8900,18.1000,18.0200,665900,12026474.0000,3,0.628200,1,0.444000
23,2022-03-24,sh.603655,18.0100,18.0900,17.6500,17.7700,18.1000,639000,11366915.0000,3,0.602800,1,-1.823200
