,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603678,60.5200,60.9800,56.6800,58.8400,61.0400,13455297,785608555.7800,3,2.931200,1,-3.604200
1,2022-02-22,sh.603678,58.6500,58.9200,56.0700,56.4000,58.8400,8012162,455347395.9400,3,1.745500,1,-4.146800
2,2022-02-23,sh.603678,56.1600,59.8800,56.1600,59.4300,56.4000,9373042,549700210.2800,3,2.041900,1,5.372300
3,2022-02-24,sh.603678,59.4600,59.9000,57.5300,58.3000,59.4300,7098918,416632106.3800,3,1.546500,1,-1.901400
4,2022-02-25,sh.603678,58.6100,59.8800,57.9600,58.4000,58.3000,5323927,312637981.6500,3,1.159800,1,0.171500
5,2022-02-28,sh.603678,59.3200,60.6000,58.8800,59.3300,58.4000,5299831,315644048.0000,3,1.154600,1,1.592500
6,2022-03-01,sh.603678,59.3000,60.0000,58.4000,59.3900,59.3300,5464013,323826208.0000,3,1.190300,1,0.101100
7,2022-03-02,sh.603678,59.0300,59.1000,57.6900,58.0000,59.3900,4155027,241228066.0000,3,0.905200,1,-2.340500
8,2022-03-03,sh.603678,58.5000,58.5500,56.5000,56.5700,58.0000,3878238,221175009.0000,3,0.844900,1,-2.465500
9,2022-03-04,sh.603678,56.1200,57.3800,55.4900,56.1000,56.5700,3371173,189695530.0000,3,0.734400,1,-0.830800
10,2022-03-07,sh.603678,56.2500,56.9300,53.9000,55.4000,56.1000,5732881,318328672.0000,3,1.248900,1,-1.247800
11,2022-03-08,sh.603678,55.9900,57.2300,54.3000,55.1000,55.4000,5421678,303382160.0000,3,1.181100,1,-0.541500
12,2022-03-09,sh.603678,55.4600,55.6900,51.4400,53.2100,55.1000,6697667,357689312.0000,3,1.459100,1,-3.430100
13,2022-03-10,sh.603678,54.7800,55.2500,53.6600,54.0800,53.2100,5419117,295235136.0000,3,1.180600,1,1.635000
14,2022-03-11,sh.603678,53.6200,53.8500,52.2400,53.7400,54.0800,5360441,284071456.0000,3,1.167800,1,-0.628700
15,2022-03-14,sh.603678,53.1800,54.5500,52.0000,52.1300,53.7400,6849387,363234576.0000,3,1.492100,1,-2.995900
16,2022-03-15,sh.603678,52.1300,52.1500,49.3500,49.6000,52.1300,6637395,335026288.0000,3,1.446000,1,-4.853300
17,2022-03-16,sh.603678,49.9000,52.6300,48.8900,52.5600,49.6000,6604583,336412256.0000,3,1.438800,1,5.967700
18,2022-03-17,sh.603678,53.0000,54.6300,52.7800,53.6200,52.5600,6337224,340584112.0000,3,1.380600,1,2.016700
19,2022-03-18,sh.603678,53.6000,53.6000,50.0100,52.3700,53.6200,9120421,471860796.2500,3,1.986900,1,-2.331200
20,2022-03-21,sh.603678,52.5200,56.7900,52.0000,55.2400,52.3700,10400857,574377865.9700,3,2.265800,1,5.480200
21,2022-03-22,sh.603678,54.9300,55.2400,53.3000,53.5600,55.2400,5485510,296677667.2100,3,1.195000,1,-3.041300
22,2022-03-23,sh.603678,53.5700,53.8900,52.0300,53.2400,53.5600,6750049,357634925.1800,3,1.470500,1,-0.597500
23,2022-03-24,sh.603678,52.5800,52.9000,51.5000,52.4500,53.2400,6260941,326397561.1600,3,1.363900,1,-1.483800
24,2022-03-25,sh.603678,52.3900,52.7500,50.1300,50.8300,52.4500,8498438,433521579.1000,3,1.851400,1,-3.088700
25,2022-03-28,sh.603678,50.8300,50.8300,48.3500,48.9800,50.8300,7232362,354747319.6500,3,1.575600,1,-3.639600
26,2022-03-29,sh.603678,49.0800,50.8900,49.0800,49.8600,48.9800,7668752,383131571.2400,3,1.670600,1,1.796700
27,2022-03-30,sh.603678,49.9800,52.2200,49.8100,51.7500,49.8600,5712732,293862436.7800,3,1.244500,1,3.790600
28,2022-03-31,sh.603678,51.7000,52.1800,50.8900,51.8900,51.7500,4282543,220885217.1100,3,0.933000,1,0.270500
29,2022-04-01,sh.603678,51.2600,51.9500,51.0300,51.1900,51.8900,3338148,171653781.3500,3,0.727200,1,-1.349000
30,2022-04-06,sh.603678,50.6100,50.9800,48.8500,49.3800,51.1900,6420197,317858443.3900,3,1.398600,1,-3.535800
31,2022-04-07,sh.603678,49.1900,49.6900,47.6700,47.7300,49.3800,5719919,275711210.8400,3,1.246100,1,-3.341400
32,2022-04-08,sh.603678,47.9000,47.9400,45.4500,46.8800,47.7300,6559356,306172228.3000,3,1.428900,1,-1.780900
33,2022-04-11,sh.603678,47.0200,47.0200,43.9000,44.0000,46.8800,6381967,284592327.5100,3,1.390300,1,-6.143300
34,2022-04-12,sh.603678,43.8800,44.5000,42.0000,44.1400,44.0000,6536528,284854282.4700,3,1.424000,1,0.318200
35,2022-04-13,sh.603678,44.0900,44.0900,42.2000,42.3200,44.1400,4228326,181158296.5700,3,0.921100,1,-4.123200
36,2022-04-14,sh.603678,42.6000,43.1800,41.8100,41.8900,42.3200,5394575,228693571.5200,3,1.175200,1,-1.016100
37,2022-04-15,sh.603678,41.5300,41.7500,40.5000,41.3100,41.8900,4931013,202965788.4300,3,1.074200,1,-1.384600
38,2022-04-18,sh.603678,41.4600,42.5500,40.1600,42.3900,41.3100,5939757,248045422.1900,3,1.294000,1,2.614400
39,2022-04-19,sh.603678,42.0000,42.7900,41.0100,41.4300,42.3900,4300672,179453307.6400,3,0.936900,1,-2.264700
40,2022-04-20,sh.603678,41.3100,41.5800,40.7400,40.9000,41.4300,3006107,123576183.9300,3,0.654900,1,-1.279300
41,2022-04-21,sh.603678,40.9200,42.0500,39.7300,39.8300,40.9000,4230845,172037129.7800,3,0.921700,1,-2.616100
42,2022-04-22,sh.603678,39.7400,39.7400,38.0100,38.4500,39.8300,6885363,266783476.4500,3,1.500000,1,-3.464700
43,2022-04-25,sh.603678,37.8700,37.9500,34.6100,34.6100,38.4500,8014269,288727339.8100,3,1.745900,1,-9.987000
44,2022-04-26,sh.603678,34.6100,35.3300,32.9000,33.1500,34.6100,6807394,232763609.0700,3,1.483000,1,-4.218400
45,2022-04-27,sh.603678,32.4700,36.4700,32.3700,35.9300,33.1500,8327017,292681739.7500,3,1.814000,1,8.386100
46,2022-04-28,sh.603678,35.0300,37.8500,35.0300,36.2300,35.9300,8937387,325485661.5100,3,1.947000,1,0.835000
47,2022-04-29,sh.603678,36.2800,38.6800,35.7000,38.0100,36.2300,9622377,362235479.6300,3,2.096200,1,4.913100
48,2022-05-05,sh.603678,37.8800,41.4700,37.6900,40.2500,38.0100,10187311,407781889.4500,3,2.219300,1,5.893200
49,2022-05-06,sh.603678,39.3000,40.2000,38.6100,38.8200,40.2500,5229114,205360958.6600,3,1.139200,1,-3.552800
50,2022-05-09,sh.603678,38.7900,39.4500,38.3000,38.7400,38.8200,4209587,163294213.9000,3,0.917100,1,-0.206100
51,2022-05-10,sh.603678,38.1800,40.8900,37.9100,40.6300,38.7400,6539664,262499356.2200,3,1.424700,1,4.878700
52,2022-05-11,sh.603678,40.6900,41.7000,40.1600,40.6600,40.6300,5536220,227444297.6800,3,1.206100,1,0.073800
53,2022-05-12,sh.603678,40.2800,40.9500,40.0100,40.3000,40.6600,2626199,106006157.6900,3,0.572100,1,-0.885400
54,2022-05-13,sh.603678,40.3400,41.2200,39.6400,40.6000,40.3000,4635498,187176109.5900,3,1.009800,1,0.744400
55,2022-05-16,sh.603678,40.3700,41.3000,39.5000,39.5500,40.1200,3151065,126588950.2000,3,0.686500,1,-1.420700
56,2022-05-17,sh.603678,39.3000,41.0500,38.9100,40.8600,39.5500,5264247,211374210.9800,3,1.146800,1,3.312300
57,2022-05-18,sh.603678,40.9100,41.1300,40.2100,40.5100,40.8600,3926433,159395913.2300,3,0.855400,1,-0.856600
58,2022-05-19,sh.603678,39.5400,40.8800,38.9000,40.6200,40.5100,4763149,189294671.2300,3,1.037600,1,0.271500
59,2022-05-20,sh.603678,41.0600,41.5900,39.8500,40.7900,40.6200,4656458,189844112.2900,3,1.014400,1,0.418500
60,2022-05-23,sh.603678,40.9800,40.9800,39.9100,40.1000,40.7900,4359863,175301519.6400,3,0.949800,1,-1.691600
61,2022-05-24,sh.603678,40.2200,42.7100,38.9100,38.9600,40.1000,9428913,384316582.2300,3,2.054100,1,-2.842900
62,2022-05-25,sh.603678,38.7400,39.8000,38.3900,39.3500,38.9600,4456031,174707647.6000,3,0.970700,1,1.001000
63,2022-05-26,sh.603678,39.4000,42.6600,38.8000,41.1000,39.3500,11088923,456052213.6200,3,2.415700,1,4.447300
64,2022-05-27,sh.603678,41.3000,41.4200,39.1600,39.5500,41.1000,7190712,288537462.7100,3,1.566500,1,-3.771300
65,2022-05-30,sh.603678,39.8500,39.8500,38.0900,39.0000,39.5500,4953104,191809621.7500,3,1.079000,1,-1.390600
66,2022-05-31,sh.603678,38.9200,39.4800,38.3600,38.9600,39.0000,6293409,244144587.7100,3,1.371000,1,-0.102600
67,2022-06-01,sh.603678,38.8000,40.3600,38.5900,39.3800,38.9600,7269160,288470640.1300,3,1.583600,1,1.078000
68,2022-06-02,sh.603678,39.7800,41.0800,38.8000,40.9600,39.3800,7662398,307381860.3800,3,1.669200,1,4.012200
69,2022-06-06,sh.603678,40.9600,43.1600,40.6800,42.8200,40.9600,10129311,430023178.7800,3,2.206600,1,4.541000
70,2022-06-07,sh.603678,42.8000,42.8200,41.2200,42.0500,42.8200,7162028,299421537.8000,3,1.558800,1,-1.798200
71,2022-06-08,sh.603678,42.0000,42.4100,40.4300,41.4100,42.0500,5344250,220659489.0200,3,1.163200,1,-1.522000
72,2022-06-09,sh.603678,41.4000,41.4000,38.9000,39.1700,41.4100,7885780,313076662.8200,3,1.716400,1,-5.409300
73,2022-06-10,sh.603678,38.9500,41.3600,38.7000,41.1500,39.1700,8585339,349119804.2200,3,1.868600,1,5.054900
74,2022-06-13,sh.603678,40.6300,41.6100,40.3700,41.0200,41.1500,4829224,197982750.2100,3,1.051100,1,-0.315900
75,2022-06-14,sh.603678,40.6700,40.7000,38.1100,39.0700,41.0200,10612984,412588750.8300,3,2.309900,1,-4.753800
76,2022-06-15,sh.603678,39.1600,39.8700,38.7300,38.8400,39.0700,7117125,279299406.0200,3,1.549100,1,-0.588700
77,2022-06-16,sh.603678,38.8600,39.6500,38.3700,38.5600,38.8400,8040776,312486030.5500,3,1.750100,1,-0.720900
78,2022-06-17,sh.603678,38.1000,39.4500,37.6600,39.2000,38.5600,7777233,299981365.4300,3,1.692700,1,1.659800
79,2022-06-20,sh.603678,39.8000,42.9900,39.6000,42.8100,39.2000,16340278,678922040.3600,3,3.556500,1,9.209200
80,2022-06-21,sh.603678,42.9600,43.7700,41.3800,41.6300,42.8100,11202045,478556047.3800,3,2.438200,1,-2.756400
81,2022-06-22,sh.603678,41.7800,42.4800,40.0000,40.1300,41.6300,6455238,265699944.6500,3,1.405000,1,-3.603200
82,2022-06-23,sh.603678,40.1600,42.3800,39.5700,42.0000,40.1300,9729667,402526008.2200,3,2.117700,1,4.659900
83,2022-06-24,sh.603678,42.6600,46.2000,42.6300,46.2000,42.0000,18963151,866166327.4300,3,4.127400,1,10.000000
84,2022-06-27,sh.603678,46.5800,49.5000,45.5000,48.0700,46.2000,26320761,1238142365.9200,3,5.728800,1,4.047600
85,2022-06-28,sh.603678,47.9900,49.2700,46.4400,49.0000,48.0700,14384748,688386894.4600,3,3.130900,1,1.934700
86,2022-06-29,sh.603678,48.8700,49.4500,46.4000,46.6100,49.0000,11403795,544779856.4900,3,2.482100,1,-4.877600
87,2022-06-30,sh.603678,46.3500,47.7700,46.3000,46.8100,46.6100,8648275,406899775.5900,3,1.882300,1,0.429100
88,2022-07-01,sh.603678,47.2800,48.3000,45.1800,45.9000,46.8100,10895932,505615609.0900,3,2.371500,1,-1.944000
89,2022-07-04,sh.603678,45.7100,49.3800,44.6000,48.9900,45.9000,14986349,714850611.9300,3,3.261800,1,6.732000
90,2022-07-05,sh.603678,48.3000,51.3200,48.3000,51.1600,48.9900,16532634,831094644.5200,3,3.598400,1,4.429500
91,2022-07-06,sh.603678,51.1600,51.6800,49.1900,51.4000,51.1600,9838056,493952653.3200,3,2.141300,1,0.469100
92,2022-07-07,sh.603678,50.9900,53.1300,50.3600,51.3800,51.4000,11745447,607553240.8100,3,2.556400,1,-0.038900
93,2022-07-08,sh.603678,50.9000,51.9700,49.3900,51.5600,51.3800,8987512,454793890.4700,3,1.956100,1,0.350300
94,2022-07-11,sh.603678,50.9000,51.8000,49.8000,50.7500,51.5600,6384876,324330463.1900,3,1.389700,1,-1.571000
95,2022-07-12,sh.603678,50.8000,51.5800,48.0100,48.3300,50.7500,7067992,352029800.2600,3,1.538400,1,-4.768500
96,2022-07-13,sh.603678,48.7500,48.7800,46.3800,47.0300,48.3300,9506801,447974890.0200,3,2.069200,1,-2.689800
97,2022-07-14,sh.603678,47.0300,48.6000,46.5700,47.7000,47.0300,6118848,292471026.9100,3,1.331800,1,1.424600
98,2022-07-15,sh.603678,47.6800,48.4700,47.1200,47.1500,47.7000,4822200,230691526.0200,3,1.049600,1,-1.153000
99,2022-07-18,sh.603678,47.0800,48.0000,45.8100,47.9600,47.1500,5884846,274270298.5000,3,1.280800,1,1.717900
100,2022-07-19,sh.603678,47.5800,50.2200,47.4700,50.1000,47.9600,8165650,403280872.2600,3,1.777300,1,4.462100
101,2022-07-20,sh.603678,50.2400,51.5700,49.6600,51.2800,50.1000,7281863,370450308.5200,3,1.584900,1,2.355300
102,2022-07-21,sh.603678,51.2100,52.5800,49.8200,50.0300,51.2800,6307268,322943304.5200,3,1.372800,1,-2.437600
103,2022-07-22,sh.603678,49.5000,51.2800,48.6800,49.0200,50.0300,6417053,319303293.2500,3,1.396700,1,-2.018800
104,2022-07-25,sh.603678,49.8200,50.2500,48.0000,48.6600,49.0200,4850900,237518772.6600,3,1.055800,1,-0.734400
105,2022-07-26,sh.603678,48.9700,49.4000,48.2200,48.4700,48.6600,4404743,214379067.2100,3,0.958700,1,-0.390500
106,2022-07-27,sh.603678,48.1800,49.5500,48.1800,49.0000,48.4700,4096916,200528657.3100,3,0.891700,1,1.093500
