,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603697,15.7800,15.9400,15.7600,15.9000,15.8500,713100,11301747.0000,3,0.793200,1,0.315500
1,2022-02-22,sh.603697,15.9600,15.9600,15.5100,15.6200,15.9000,1050500,16429982.0000,3,1.168500,1,-1.761000
2,2022-02-23,sh.603697,15.6800,15.8400,15.6100,15.7600,15.6200,680989,10722418.5300,3,0.757500,1,0.896300
3,2022-02-24,sh.603697,15.7400,15.9000,15.1600,15.3700,15.7600,1181200,18352485.0000,3,1.313900,1,-2.474600
4,2022-02-25,sh.603697,15.4000,15.6100,15.3200,15.3700,15.3700,872600,13484326.0000,3,0.970600,1,0.000000
5,2022-02-28,sh.603697,15.5000,15.5000,14.9500,15.2200,15.3700,1162800,17592544.0000,3,1.293400,1,-0.975900
6,2022-03-01,sh.603697,15.4000,15.4900,15.2000,15.4900,15.2200,806143,12388614.0000,3,0.896700,1,1.774000
7,2022-03-02,sh.603697,15.4600,15.5900,15.3200,15.5400,15.4900,546900,8478699.0000,3,0.608300,1,0.322800
8,2022-03-03,sh.603697,15.5400,15.5600,15.3200,15.4100,15.5400,661100,10201748.0000,3,0.735300,1,-0.836600
9,2022-03-04,sh.603697,15.4600,15.4600,15.1500,15.2200,15.4100,628400,9615725.0000,3,0.699000,1,-1.233000
10,2022-03-07,sh.603697,15.2000,15.3100,14.8500,14.8700,15.2200,1145500,17180640.0000,3,1.274200,1,-2.299600
11,2022-03-08,sh.603697,14.8400,14.9200,14.1700,14.3000,14.8700,1376687,20006055.0000,3,1.531300,1,-3.833200
12,2022-03-09,sh.603697,14.3000,14.5000,13.3400,13.9000,14.3000,1557000,21660089.0000,3,1.731900,1,-2.797200
13,2022-03-10,sh.603697,14.1800,14.4400,14.0400,14.1000,13.9000,1195200,17035620.0000,3,1.329400,1,1.438800
14,2022-03-11,sh.603697,14.0200,14.4400,13.8100,14.4000,14.1000,1230300,17463523.0000,3,1.368500,1,2.127700
15,2022-03-14,sh.603697,14.3500,14.3900,13.8800,13.8800,14.4000,1211700,17042860.0000,3,1.347800,1,-3.611100
16,2022-03-15,sh.603697,13.8300,13.8500,12.9100,12.9800,13.8800,1814276,24274408.0000,3,2.018000,1,-6.484100
17,2022-03-16,sh.603697,13.1000,13.2800,12.5500,13.1100,12.9800,1797500,23267441.0000,3,1.999400,1,1.001500
18,2022-03-17,sh.603697,13.3100,13.5300,13.1300,13.2700,13.1100,1585300,21142893.0000,3,1.763300,1,1.220400
19,2022-03-18,sh.603697,13.3100,13.6500,13.1800,13.5000,13.2700,1153900,15574102.0000,3,1.283500,1,1.733200
20,2022-03-21,sh.603697,13.5300,13.9600,13.5300,13.8000,13.5000,956200,13120995.0000,3,1.063600,1,2.222200
21,2022-03-22,sh.603697,13.6800,13.8800,13.6000,13.8000,13.8000,785000,10791397.0000,3,0.873200,1,0.000000
