,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603926,15.4100,15.6100,15.2700,15.6000,15.4700,913250,14128752.0000,3,0.570100,1,0.840300
1,2022-02-22,sh.603926,15.5300,15.5500,15.2300,15.3500,15.6000,907750,13913766.3000,3,0.566600,1,-1.602600
2,2022-02-23,sh.603926,15.3500,15.7600,15.2700,15.6000,15.3500,1104420,17157983.0000,3,0.689400,1,1.628700
3,2022-02-24,sh.603926,15.5200,15.7300,15.0500,15.2900,15.6000,1220989,18782047.4900,3,0.762200,1,-1.987200
4,2022-02-25,sh.603926,15.4700,15.7300,15.2900,15.5500,15.2900,1016980,15862202.8000,3,0.634800,1,1.700500
5,2022-02-28,sh.603926,15.5500,15.5800,15.2000,15.3900,15.5500,965350,14810261.0000,3,0.602600,1,-1.028900
6,2022-03-01,sh.603926,15.4300,15.6000,15.2900,15.5300,15.3900,749530,11568249.0000,3,0.467900,1,0.909700
7,2022-03-02,sh.603926,15.3200,15.5900,15.3200,15.5300,15.5300,605510,9379461.0000,3,0.378000,1,0.000000
8,2022-03-03,sh.603926,15.5400,15.6900,15.4300,15.5300,15.5300,971980,15125642.0000,3,0.606700,1,0.000000
9,2022-03-04,sh.603926,15.4500,15.5800,15.1000,15.1600,15.5300,1435056,21962091.0000,3,0.895800,1,-2.382500
10,2022-03-07,sh.603926,15.2800,15.2800,14.8500,14.9200,15.1600,1321726,19861179.0000,3,0.825000,1,-1.583100
11,2022-03-08,sh.603926,14.8900,15.0700,14.2700,14.3100,14.9200,1306060,19066668.0000,3,0.815300,1,-4.088500
12,2022-03-09,sh.603926,14.3600,14.4900,13.3000,13.8000,14.3100,1730590,24030190.0000,3,1.080300,1,-3.563900
13,2022-03-10,sh.603926,14.1000,14.4400,14.1000,14.2900,13.8000,1229922,17595429.0000,3,0.767700,1,3.550700
14,2022-03-11,sh.603926,14.1100,14.3800,13.8600,14.3700,14.2900,730580,10303582.0000,3,0.456000,1,0.559800
15,2022-03-14,sh.603926,14.2100,14.5800,13.7300,13.7300,14.3700,1327580,18454697.0000,3,0.828700,1,-4.453700
16,2022-03-15,sh.603926,13.7800,13.8400,12.9200,12.9600,13.7300,2278641,30534433.0000,3,1.422400,1,-5.608200
17,2022-03-16,sh.603926,13.1500,13.7600,12.9500,13.5800,12.9600,1995390,26699941.0000,3,1.245500,1,4.784000
18,2022-03-17,sh.603926,13.6500,13.7900,13.5700,13.5700,13.5800,1646870,22532647.0000,3,1.028000,1,-0.073600
19,2022-03-18,sh.603926,13.6100,13.8200,13.5200,13.7900,13.5700,908136,12454804.0600,3,0.566900,1,1.621200
20,2022-03-21,sh.603926,13.8100,13.9900,13.7100,13.9300,13.7900,856100,11876121.4000,3,0.534400,1,1.015200
21,2022-03-22,sh.603926,13.7900,14.0500,13.6700,13.9900,13.9300,945090,13104455.0000,3,0.589900,1,0.430700
22,2022-03-23,sh.603926,14.0400,14.1500,13.7000,13.7600,13.9900,680745,9418580.0000,3,0.424900,1,-1.644000
23,2022-03-24,sh.603926,13.6200,13.7700,13.5600,13.6100,13.7600,475210,6490807.5000,3,0.296600,1,-1.090100
24,2022-03-25,sh.603926,13.6100,13.8700,13.5700,13.7100,13.6100,639561,8793593.6600,3,0.399200,1,0.734800
25,2022-03-28,sh.603926,13.7100,13.9400,13.4400,13.7900,13.7100,746800,10240718.0000,3,0.466200,1,0.583500
