,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603969,4.9500,5.2500,4.9300,5.2000,5.0100,35283830,181386955.3300,3,4.195500,1,3.792400
1,2022-02-22,sh.603969,5.1000,5.2000,4.9900,5.0400,5.2000,26538862,134741427.5200,3,3.155600,1,-3.076900
2,2022-02-23,sh.603969,5.0600,5.1300,4.9600,4.9800,5.0400,22199136,111503897.0300,3,2.639600,1,-1.190500
3,2022-02-24,sh.603969,4.9300,5.0000,4.5800,4.7200,4.9800,38461211,185119008.8900,3,4.573300,1,-5.220900
4,2022-02-25,sh.603969,4.8000,4.9100,4.6700,4.7200,4.7200,21175908,100929391.9800,3,2.517900,1,0.000000
5,2022-02-28,sh.603969,4.7100,4.7800,4.5900,4.7500,4.7200,20755132,97140147.0000,3,2.467900,1,0.635600
6,2022-03-01,sh.603969,4.7700,4.8200,4.6700,4.7700,4.7500,19010523,90238511.0000,3,2.260500,1,0.421100
7,2022-03-02,sh.603969,4.7400,4.8200,4.7200,4.8200,4.7700,15809160,75516799.0000,3,1.879800,1,1.048200
8,2022-03-03,sh.603969,4.8200,4.9800,4.7700,4.9300,4.8200,23914233,116806130.0000,3,2.843500,1,2.282200
9,2022-03-04,sh.603969,4.9300,5.4100,4.8100,5.1300,4.9300,47140391,240849810.0000,3,5.605300,1,4.056800
10,2022-03-07,sh.603969,5.0100,5.2000,4.9500,5.0100,5.1300,27225630,138007201.0000,3,3.237300,1,-2.339200
11,2022-03-08,sh.603969,5.0000,5.2400,4.8200,5.1300,5.0100,42371959,215669550.0000,3,5.038300,1,2.395200
12,2022-03-09,sh.603969,5.1400,5.6400,5.0600,5.6400,5.1300,101029999,550288176.0000,3,12.013100,1,9.941500
13,2022-03-10,sh.603969,5.7000,6.2000,5.5800,6.2000,5.6400,85506134,514650176.0000,3,10.167200,1,9.929100
14,2022-03-11,sh.603969,6.3100,6.8200,6.0400,6.2100,6.2000,220867341,1454139296.0000,3,26.262500,1,0.161300
15,2022-03-14,sh.603969,5.5900,5.7400,5.5900,5.5900,6.2100,44558400,249793231.0000,3,5.298300,1,-9.983900
16,2022-03-15,sh.603969,5.0400,5.2700,5.0300,5.0300,5.5900,118372015,603626592.0000,3,14.075200,1,-10.017900
17,2022-03-16,sh.603969,5.0000,5.0500,4.6100,4.8400,5.0300,95523077,458382480.0000,3,11.358300,1,-3.777300
18,2022-03-17,sh.603969,4.7600,5.3200,4.7600,5.1100,4.8400,116069431,589816992.0000,3,13.801400,1,5.578500
19,2022-03-18,sh.603969,4.9600,5.2700,4.9200,5.1200,5.1100,76407733,391509287.9700,3,9.085300,1,0.195700
20,2022-03-21,sh.603969,5.1100,5.2500,4.9500,5.1900,5.1200,76413071,390114789.9100,3,9.086000,1,1.367200
21,2022-03-22,sh.603969,5.1700,5.3200,5.1500,5.2600,5.1900,63345194,331453245.0200,3,7.532100,1,1.348700
22,2022-03-23,sh.603969,5.3800,5.5300,5.1300,5.1700,5.2600,63394474,334188193.1800,3,7.538000,1,-1.711000
23,2022-03-24,sh.603969,5.1300,5.2300,4.9800,5.0100,5.1700,47621677,242251058.5900,3,5.662500,1,-3.094800
24,2022-03-25,sh.603969,5.0400,5.0900,4.9600,4.9900,5.0100,30719470,154203905.2900,3,3.652700,1,-0.399200
25,2022-03-28,sh.603969,4.9900,5.2200,4.8600,5.1800,4.9900,44507053,226743336.8200,3,5.292200,1,3.807600
26,2022-03-29,sh.603969,5.1700,5.1900,5.0000,5.0300,5.1800,33904518,172587279.4700,3,4.031500,1,-2.895800
27,2022-03-30,sh.603969,5.0700,5.3000,5.0500,5.2500,5.0300,53452558,278528064.3500,3,6.355800,1,4.373800
28,2022-03-31,sh.603969,5.2100,5.5100,5.1800,5.4100,5.2500,71576590,387162993.4300,3,8.510900,1,3.047600
29,2022-04-01,sh.603969,5.3600,5.5300,5.2600,5.3200,5.4100,44358197,237750644.6400,3,5.274500,1,-1.663600
30,2022-04-06,sh.603969,5.2800,5.4000,5.2300,5.4000,5.3200,36319848,193403663.1900,3,4.318700,1,1.503800
31,2022-04-07,sh.603969,5.3600,5.3700,5.1500,5.1800,5.4000,37939663,198773619.6300,3,4.511300,1,-4.074100
32,2022-04-08,sh.603969,5.2200,5.5600,5.1800,5.3800,5.1800,54239164,290762379.6900,3,6.449400,1,3.861000
33,2022-04-11,sh.603969,5.3700,5.5200,5.2300,5.2400,5.3800,50997474,274885433.0700,3,6.063900,1,-2.602200
34,2022-04-12,sh.603969,5.0600,5.4900,5.0600,5.4700,5.2400,51772412,275659172.1200,3,6.156100,1,4.389300
35,2022-04-13,sh.603969,5.4000,5.4400,5.1500,5.2700,5.4700,41788757,219800841.0200,3,4.968900,1,-3.656300
36,2022-04-14,sh.603969,5.2600,5.4300,5.1300,5.2000,5.2700,34259297,179673813.9800,3,4.073600,1,-1.328300
37,2022-04-15,sh.603969,5.1400,5.2000,4.8700,4.8800,5.2000,42147710,211049035.5600,3,5.011600,1,-6.153800
38,2022-04-18,sh.603969,4.8600,4.8600,4.6800,4.6900,4.8800,27734604,131768469.9900,3,3.297800,1,-3.893400
39,2022-04-19,sh.603969,4.7100,4.9600,4.7100,4.8800,4.6900,28573581,139524559.6400,3,3.397600,1,4.051200
40,2022-04-20,sh.603969,4.8800,4.9400,4.6900,4.7400,4.8800,23654170,113433600.0000,3,2.812600,1,-2.868900
41,2022-04-21,sh.603969,4.8000,4.8200,4.4300,4.4400,4.7400,28817531,131051624.4600,3,3.426600,1,-6.329100
42,2022-04-22,sh.603969,4.3800,4.4900,4.3200,4.3600,4.4400,19388327,85258451.9700,3,2.305400,1,-1.801800
43,2022-04-25,sh.603969,4.2700,4.2800,3.9200,3.9300,4.3600,28987468,117697223.4000,3,3.446800,1,-9.862400
44,2022-04-26,sh.603969,3.9900,4.0200,3.8100,3.8400,3.9300,21293664,83485979.5700,3,2.531900,1,-2.290100
45,2022-04-27,sh.603969,3.7800,4.2200,3.7400,4.1300,3.8400,31290703,124633848.8900,3,3.720700,1,7.552100
46,2022-04-28,sh.603969,4.0700,4.1600,3.9300,4.0000,4.1300,17109761,69022212.0000,3,2.034500,1,-3.147700
47,2022-04-29,sh.603969,4.0200,4.1200,4.0000,4.1000,4.0000,18278347,74402997.7100,3,2.173400,1,2.500000
48,2022-05-05,sh.603969,4.1400,4.3000,4.0800,4.2400,4.1000,19500808,81884304.1000,3,2.318800,1,3.414600
49,2022-05-06,sh.603969,4.1500,4.2300,4.1100,4.1500,4.2400,15173597,63112953.5600,3,1.804200,1,-2.122600
50,2022-05-09,sh.603969,4.1200,4.4000,4.1100,4.3000,4.1500,20538978,88475009.6900,3,2.442200,1,3.614500
51,2022-05-10,sh.603969,4.2500,4.4900,4.2100,4.4400,4.3000,18806003,82316060.4400,3,2.236100,1,3.255800
52,2022-05-11,sh.603969,4.4200,4.6000,4.3800,4.3800,4.4400,21150322,94710758.1500,3,2.514900,1,-1.351400
53,2022-05-12,sh.603969,4.3700,4.4500,4.3200,4.4100,4.3800,12186958,53213522.6500,3,1.449100,1,0.684900
54,2022-05-13,sh.603969,4.4200,4.4600,4.3200,4.3600,4.4100,8420345,36788006.2700,3,1.001200,1,-1.133800
55,2022-05-16,sh.603969,4.4200,4.4200,4.2900,4.3100,4.3600,9879572,42749000.4100,3,1.174700,1,-1.146800
56,2022-05-17,sh.603969,4.3500,4.3500,4.1800,4.2700,4.3100,10191022,43306159.5200,3,1.211800,1,-0.928100
57,2022-05-18,sh.603969,4.3100,4.3800,4.2400,4.3300,4.2700,11102535,47798895.2800,3,1.320200,1,1.405200
58,2022-05-19,sh.603969,4.2600,4.3800,4.2500,4.3800,4.3300,11841048,51376665.5200,3,1.408000,1,1.154700
59,2022-05-20,sh.603969,4.4000,4.5400,4.3600,4.4800,4.3800,17987679,80067898.1100,3,2.138800,1,2.283100
60,2022-05-23,sh.603969,4.5000,4.6300,4.4700,4.5000,4.4800,22034858,99871539.2500,3,2.620100,1,0.446400
61,2022-05-24,sh.603969,4.5200,4.5200,4.1800,4.1900,4.5000,20486161,88852556.9300,3,2.435900,1,-6.888900
62,2022-05-25,sh.603969,4.2100,4.3700,4.2000,4.3300,4.1900,13321056,57413825.4500,3,1.584000,1,3.341300
63,2022-05-26,sh.603969,4.3400,4.4300,4.3000,4.4100,4.3300,14045492,61428607.1800,3,1.670100,1,1.847600
64,2022-05-27,sh.603969,4.4100,4.5100,4.3600,4.5000,4.4100,16063991,71561879.9900,3,1.910100,1,2.040800
65,2022-05-30,sh.603969,4.4900,4.5200,4.4100,4.4300,4.5000,10535702,46786862.4000,3,1.252800,1,-1.555600
66,2022-05-31,sh.603969,4.4400,4.4800,4.3300,4.4000,4.4300,11148037,48832670.2300,3,1.325600,1,-0.677200
67,2022-06-01,sh.603969,4.4300,4.4300,4.3400,4.3700,4.4000,11086406,48614096.8300,3,1.318200,1,-0.681800
68,2022-06-02,sh.603969,4.3700,4.5300,4.3300,4.5000,4.3700,16434186,73168930.7900,3,1.954100,1,2.974800
69,2022-06-06,sh.603969,4.5000,4.5300,4.4400,4.5200,4.5000,12078257,54267262.9800,3,1.436200,1,0.444400
70,2022-06-07,sh.603969,4.5000,4.5400,4.4300,4.4800,4.5200,11584905,51768213.9400,3,1.377500,1,-0.885000
71,2022-06-08,sh.603969,4.4900,4.5100,4.3500,4.4500,4.4800,12141728,53797235.9100,3,1.443700,1,-0.669600
72,2022-06-09,sh.603969,4.4600,4.4800,4.3000,4.3500,4.4500,12833550,56084203.6200,3,1.526000,1,-2.247200
73,2022-06-10,sh.603969,4.3100,4.4400,4.3000,4.4100,4.3500,10011860,43986823.4700,3,1.190500,1,1.379300
74,2022-06-13,sh.603969,4.3700,4.4100,4.3100,4.3700,4.4100,13894943,60420072.4300,3,1.652200,1,-0.907000
75,2022-06-14,sh.603969,4.4100,4.5300,4.2800,4.4400,4.3700,25407194,111707466.9600,3,3.021100,1,1.601800
76,2022-06-15,sh.603969,4.4300,4.4500,4.3500,4.3800,4.4400,16966294,74728572.0000,3,2.017400,1,-1.351400
77,2022-06-16,sh.603969,4.4200,4.5000,4.3400,4.4100,4.3800,16727529,74042512.5000,3,1.989000,1,0.684900
78,2022-06-17,sh.603969,4.4100,4.4100,4.2900,4.3200,4.4100,16632171,72255887.6000,3,1.977700,1,-2.040800
79,2022-06-20,sh.603969,4.3300,4.4400,4.2700,4.3300,4.3200,17133312,74492616.8400,3,2.037300,1,0.231500
80,2022-06-21,sh.603969,4.3900,4.4100,4.2100,4.2600,4.3300,17734000,76012354.0000,3,2.108700,1,-1.616600
81,2022-06-22,sh.603969,4.2400,4.2600,4.1400,4.1400,4.2600,11647800,48741913.0000,3,1.385000,1,-2.816900
82,2022-06-23,sh.603969,4.1400,4.1600,4.0600,4.1400,4.1400,17387354,71218375.0600,3,2.067500,1,0.000000
83,2022-06-24,sh.603969,4.1500,4.1600,4.1000,4.1300,4.1400,9866943,40744529.0300,3,1.173200,1,-0.241500
84,2022-06-27,sh.603969,4.1300,4.2700,4.1300,4.2700,4.1300,17049661,71468845.0900,3,2.027300,1,3.389800
85,2022-06-28,sh.603969,4.2100,4.3100,4.2000,4.3000,4.2700,13036628,55510565.5900,3,1.550100,1,0.702600
86,2022-06-29,sh.603969,4.2900,4.3600,4.2200,4.2200,4.3000,14976704,64196423.3500,3,1.780800,1,-1.860500
87,2022-06-30,sh.603969,4.2300,4.2600,4.1900,4.2100,4.2200,9250212,39050015.4000,3,1.099900,1,-0.237000
