,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603977,10.5100,10.5200,10.2700,10.4300,10.5000,5524240,57260620.6800,3,0.953500,1,-0.666700
1,2022-02-22,sh.603977,10.4300,10.5900,10.2900,10.5600,10.4300,7551856,79173605.5200,3,1.303400,1,1.246400
2,2022-02-23,sh.603977,10.5600,10.9900,10.5000,10.8500,10.5600,13321151,144168739.4500,3,2.299200,1,2.746200
3,2022-02-24,sh.603977,10.8400,10.9200,9.9900,10.1800,10.8500,14004255,145872413.0700,3,2.417100,1,-6.175100
4,2022-02-25,sh.603977,10.3400,10.5800,10.2700,10.2900,10.1800,8111360,84475745.2400,3,1.400000,1,1.080600
5,2022-02-28,sh.603977,10.3000,10.3600,10.0400,10.2500,10.2900,5137442,52385955.0000,3,0.886700,1,-0.388700
6,2022-03-01,sh.603977,10.2500,10.3000,10.1100,10.1900,10.2500,4280174,43608529.0000,3,0.736500,1,-0.585400
7,2022-03-02,sh.603977,10.1900,10.1900,10.0300,10.1400,10.1900,3889196,39339347.0000,3,0.669200,1,-0.490700
8,2022-03-03,sh.603977,10.2200,10.2800,10.0200,10.0200,10.1400,3756024,37973407.0000,3,0.646300,1,-1.183400
9,2022-03-04,sh.603977,10.0600,10.0700,9.5000,9.5900,10.0200,8132788,79267588.0000,3,1.399400,1,-4.291400
10,2022-03-07,sh.603977,9.5900,9.7000,9.1800,9.2500,9.5900,5189062,48654457.0000,3,0.892900,1,-3.545400
11,2022-03-08,sh.603977,9.3000,9.3900,8.8600,8.8800,9.2500,6887082,62421198.0000,3,1.185000,1,-4.000000
12,2022-03-09,sh.603977,8.9100,9.0000,8.3200,8.6400,8.8800,7383952,63921465.0000,3,1.270500,1,-2.702700
13,2022-03-10,sh.603977,8.8000,8.9100,8.7300,8.7600,8.6400,4761430,41982318.0000,3,0.819300,1,1.388900
14,2022-03-11,sh.603977,8.6500,8.9800,8.5300,8.9500,8.7600,5080904,44462454.0000,3,0.874300,1,2.168900
15,2022-03-14,sh.603977,8.9500,8.9500,8.5300,8.5300,8.9500,4293720,37236922.0000,3,0.738800,1,-4.692700
16,2022-03-15,sh.603977,8.5300,8.5300,7.9000,7.9500,8.5300,6320220,52126074.0000,3,1.087500,1,-6.799500
17,2022-03-16,sh.603977,8.0400,8.3900,7.8700,8.3500,7.9500,5921952,48210711.0000,3,1.019000,1,5.031400
18,2022-03-17,sh.603977,8.4200,8.4800,8.2700,8.2900,8.3500,6220980,52144889.0000,3,1.070400,1,-0.718600
19,2022-03-18,sh.603977,8.2900,8.3500,8.1900,8.2600,8.2900,4759076,39272376.7200,3,0.818900,1,-0.361900
20,2022-03-21,sh.603977,8.3000,8.3600,8.1700,8.2700,8.2600,5000940,41305344.8800,3,0.860500,1,0.121100
21,2022-03-22,sh.603977,8.2400,8.3000,8.1200,8.2300,8.2700,3241562,26581035.8400,3,0.557800,1,-0.483700
22,2022-03-23,sh.603977,8.2300,8.2800,8.1200,8.2200,8.2300,4354608,35754073.1200,3,0.749300,1,-0.121500
23,2022-03-24,sh.603977,8.1600,8.1800,7.9800,8.0300,8.2200,4004060,32260881.6000,3,0.689000,1,-2.311400
24,2022-03-25,sh.603977,8.0100,8.1700,8.0000,8.0300,8.0300,3342428,27055933.0400,3,0.575100,1,0.000000
25,2022-03-28,sh.603977,8.1700,8.2600,8.0200,8.1100,8.0300,6663680,54244533.8000,3,1.146600,1,0.996300
26,2022-03-29,sh.603977,8.1500,8.2400,8.0000,8.0800,8.1100,4683068,38134087.2800,3,0.805800,1,-0.369900
27,2022-03-30,sh.603977,8.0800,8.2200,8.0300,8.1900,8.0800,3515200,28633053.4000,3,0.604800,1,1.361400
28,2022-03-31,sh.603977,8.2000,8.4200,8.1000,8.3300,8.1900,5503920,45499610.5200,3,0.947000,1,1.709400
29,2022-04-01,sh.603977,8.2200,8.4100,8.1900,8.2500,8.3300,5905808,48939753.4000,3,1.016200,1,-0.960400
30,2022-04-06,sh.603977,8.2500,8.5600,8.2200,8.5000,8.2500,6528232,55017522.0000,3,1.123300,1,3.030300
31,2022-04-07,sh.603977,8.4900,8.7700,8.2700,8.2900,8.5000,5268368,44277875.7600,3,0.906500,1,-2.470600
32,2022-04-08,sh.603977,8.2900,9.1200,8.2900,9.1200,8.2900,19658396,176214755.1600,3,3.382600,1,10.012100
33,2022-04-11,sh.603977,9.3500,10.0300,9.1200,9.6700,9.1200,54225950,528501923.9600,3,9.330500,1,6.030700
34,2022-04-12,sh.603977,9.1800,9.8800,9.1300,9.3900,9.6700,35220576,336558309.9800,3,6.060300,1,-2.895600
35,2022-04-13,sh.603977,9.5000,9.6100,9.1200,9.1800,9.3900,22317632,207376766.0000,3,3.840100,1,-2.236400
36,2022-04-14,sh.603977,9.0100,10.1000,9.0100,10.1000,9.1800,20250480,193000229.5200,3,3.484400,1,10.021800
37,2022-04-15,sh.603977,10.6900,10.7200,9.6000,9.6500,10.1000,39713921,404035447.0500,3,6.833500,1,-4.455400
38,2022-04-18,sh.603977,9.4500,10.0000,9.3000,9.9200,9.6500,22332946,214762494.3800,3,3.842800,1,2.797900
39,2022-04-19,sh.603977,9.8000,10.3500,9.7600,10.1800,9.9200,18862835,191549232.6200,3,3.245700,1,2.621000
40,2022-04-20,sh.603977,10.0800,10.1500,9.5400,9.7500,10.1800,16970400,165613349.0800,3,2.920000,1,-4.224000
41,2022-04-21,sh.603977,9.5800,9.7000,9.1100,9.2000,9.7500,11262260,105149709.4000,3,1.937900,1,-5.641000
42,2022-04-22,sh.603977,9.0600,9.2400,8.9100,9.0700,9.2000,9941416,90020983.5200,3,1.710600,1,-1.413000
43,2022-04-25,sh.603977,8.8200,8.8700,8.1600,8.1600,9.0700,11706204,98663689.2000,3,2.014300,1,-10.033100
44,2022-04-26,sh.603977,8.0800,8.2400,7.4900,7.5500,8.1600,15925244,124172676.7200,3,2.740200,1,-7.475500
45,2022-04-27,sh.603977,7.7000,8.3100,7.7000,8.3100,7.5500,10849779,88852996.4900,3,1.866900,1,10.066200
46,2022-04-28,sh.603977,8.3000,8.6000,8.0200,8.3100,8.3100,20326974,168868762.3200,3,3.497600,1,0.000000
47,2022-04-29,sh.603977,8.3000,8.5400,8.1200,8.4000,8.3100,14626584,122202023.0400,3,2.516800,1,1.083000
48,2022-05-05,sh.603977,8.3000,8.5500,8.2100,8.3700,8.4000,15869908,133103380.1200,3,2.730700,1,-0.357100
49,2022-05-06,sh.603977,8.1500,8.1800,7.8600,8.0700,8.3700,9251900,74671817.0000,3,1.591900,1,-3.584200
50,2022-05-09,sh.603977,8.1300,8.3500,7.9300,8.1400,8.0700,10124936,82395616.8000,3,1.742200,1,0.867400
51,2022-05-10,sh.603977,8.0100,8.4900,8.0000,8.4400,8.1400,11167700,92559233.8000,3,1.921600,1,3.685500
52,2022-05-11,sh.603977,8.3800,8.6600,8.3500,8.3500,8.4400,11361306,96133239.4800,3,1.954900,1,-1.066400
53,2022-05-12,sh.603977,8.2700,8.5400,8.2500,8.4500,8.3500,9014495,75789331.6200,3,1.551100,1,1.197600
54,2022-05-13,sh.603977,8.4800,8.5100,8.2700,8.4600,8.4500,6925540,58213708.0000,3,1.191700,1,0.118300
55,2022-05-16,sh.603977,8.5500,8.6300,8.3500,8.4300,8.4600,6509720,55110660.8000,3,1.120100,1,-0.354600
56,2022-05-17,sh.603977,8.4300,8.4800,8.2800,8.4400,8.4300,5557196,46634564.6000,3,0.956200,1,0.118600
57,2022-05-18,sh.603977,8.4100,8.5300,8.3700,8.4500,8.4400,5225550,44201460.0800,3,0.899100,1,0.118500
58,2022-05-19,sh.603977,8.3400,8.4100,8.2700,8.4100,8.4500,5799318,48428722.6400,3,0.997900,1,-0.473400
59,2022-05-20,sh.603977,8.4300,8.7600,8.3900,8.6000,8.4100,8788256,75062975.4000,3,1.512200,1,2.259200
60,2022-05-23,sh.603977,8.6000,8.9400,8.5000,8.8500,8.6000,9958670,87324211.1400,3,1.713600,1,2.907000
61,2022-05-24,sh.603977,8.7700,8.8900,8.3000,8.3100,8.8500,8526144,73142459.8000,3,1.467100,1,-6.101700
62,2022-05-25,sh.603977,8.2700,8.4600,8.2500,8.3600,8.3100,7188608,59955071.9600,3,1.236900,1,0.601700
63,2022-05-26,sh.603977,8.3800,8.7000,8.2400,8.5600,8.3600,7486952,63571954.9600,3,1.288300,1,2.392300
64,2022-05-27,sh.603977,8.5900,8.8700,8.5000,8.6500,8.5600,8180439,70952299.5400,3,1.407600,1,1.051400
65,2022-05-30,sh.603977,8.6500,8.8500,8.5600,8.7600,8.6500,8382120,72962844.2000,3,1.442300,1,1.271700
66,2022-05-31,sh.603977,8.7800,8.8300,8.6300,8.7800,8.7600,7664779,66985840.0300,3,1.318900,1,0.228300
67,2022-06-01,sh.603977,8.6300,8.7400,8.4700,8.6200,8.6500,6582828,56627459.2400,3,1.132700,1,-0.346800
68,2022-06-02,sh.603977,8.5900,8.6800,8.5000,8.6100,8.6200,4556660,39214090.0000,3,0.784100,1,-0.116000
69,2022-06-06,sh.603977,8.6400,8.9300,8.6200,8.8900,8.6100,7847536,69420901.3200,3,1.350300,1,3.252000
70,2022-06-07,sh.603977,8.8300,8.9300,8.6200,8.6800,8.8900,7951536,69388351.4800,3,1.368200,1,-2.362200
71,2022-06-08,sh.603977,8.7300,8.7400,8.2700,8.5300,8.6800,10741928,91138600.9600,3,1.848300,1,-1.728100
72,2022-06-09,sh.603977,8.5400,8.5500,8.2100,8.2700,8.5300,6295744,52558748.4000,3,1.083300,1,-3.048100
73,2022-06-10,sh.603977,8.2200,8.7000,8.1700,8.6000,8.2700,9353204,79941267.2800,3,1.598800,1,3.990300
74,2022-06-13,sh.603977,8.6200,8.8700,8.6000,8.7700,8.6000,8915604,77889091.2400,3,1.524000,1,1.976700
75,2022-06-14,sh.603977,8.7200,8.7600,8.4500,8.7000,8.7700,6147256,52939564.4400,3,1.050800,1,-0.798200
76,2022-06-15,sh.603977,8.7300,8.8300,8.6300,8.6300,8.7000,7862851,68663650.6400,3,1.344000,1,-0.804600
77,2022-06-16,sh.603977,8.6300,8.6900,8.5000,8.5400,8.6300,4901562,42078724.4900,3,0.837800,1,-1.042900
78,2022-06-17,sh.603977,8.5000,8.5900,8.3600,8.5000,8.5400,4659124,39556755.0900,3,0.796400,1,-0.468400
79,2022-06-20,sh.603977,8.5000,8.6500,8.5000,8.5500,8.5000,5616772,48047754.4400,3,0.960100,1,0.588200
80,2022-06-21,sh.603977,8.5500,8.5700,8.3000,8.4100,8.5500,6029876,50751067.1200,3,1.030700,1,-1.637400
81,2022-06-22,sh.603977,8.4200,8.4600,8.2600,8.2900,8.4100,3805084,31688915.2000,3,0.650400,1,-1.426900
82,2022-06-23,sh.603977,8.2300,8.4100,8.2300,8.3900,8.2900,3106912,25913784.7400,3,0.531100,1,1.206300
83,2022-06-24,sh.603977,8.3900,8.4900,8.3200,8.4700,8.3900,4148938,34962313.6000,3,0.709200,1,0.953500
84,2022-06-27,sh.603977,8.5100,8.7300,8.4400,8.7000,8.4700,8186079,70583654.8600,3,1.399300,1,2.715500
85,2022-06-28,sh.603977,8.6900,8.9400,8.6500,8.8400,8.7000,8506928,75242215.2300,3,1.454100,1,1.609200
86,2022-06-29,sh.603977,8.8400,8.8600,8.5300,8.5300,8.8400,9177512,79536964.9600,3,1.568700,1,-3.506800
87,2022-06-30,sh.603977,8.5400,8.7800,8.5400,8.6700,8.5300,6141598,53275376.6800,3,1.049800,1,1.641300
88,2022-07-01,sh.603977,8.6800,9.0700,8.6500,8.9400,8.6700,14301334,127519437.4300,3,2.444600,1,3.114200
89,2022-07-04,sh.603977,8.9000,8.9300,8.7200,8.8300,8.9400,8775440,77182804.4000,3,1.500000,1,-1.230400
90,2022-07-05,sh.603977,8.7500,8.8800,8.6100,8.7400,8.8300,7620822,66461219.7000,3,1.302700,1,-1.019300
91,2022-07-06,sh.603977,8.7500,8.7700,8.5000,8.5800,8.7400,6018325,51842748.3200,3,1.028700,1,-1.830700
92,2022-07-07,sh.603977,8.6400,8.8100,8.6400,8.7400,8.5800,5593400,48805986.0000,3,0.956100,1,1.864800
93,2022-07-08,sh.603977,8.7500,8.7800,8.5800,8.6200,8.7400,5324020,46128862.8000,3,0.910100,1,-1.373000
94,2022-07-11,sh.603977,8.6600,8.6600,8.3800,8.4900,8.6200,6267072,53066818.1600,3,1.071300,1,-1.508100
95,2022-07-12,sh.603977,8.4800,8.4800,8.3200,8.3400,8.4900,6362068,53223786.1200,3,1.087500,1,-1.766800
96,2022-07-13,sh.603977,8.3100,8.5400,8.3100,8.5300,8.3400,4152720,35137600.1600,3,0.709800,1,2.278200
97,2022-07-14,sh.603977,8.5400,8.6000,8.4600,8.4700,8.5300,3533076,30045840.5200,3,0.603900,1,-0.703400
98,2022-07-15,sh.603977,8.4700,8.7800,8.4700,8.6100,8.4700,9958738,86140943.5000,3,1.702300,1,1.652900
99,2022-07-18,sh.603977,8.5900,8.8100,8.5500,8.7800,8.6100,5992372,52237381.5600,3,1.024300,1,1.974400
100,2022-07-19,sh.603977,8.8700,9.0400,8.7200,8.9700,8.7800,12511434,111672724.1400,3,2.138600,1,2.164000
101,2022-07-20,sh.603977,8.9800,9.1000,8.8400,9.0400,8.9700,10954829,97983611.3300,3,1.872500,1,0.780400
102,2022-07-21,sh.603977,9.0800,9.1200,8.9500,8.9900,9.0400,7752544,69908234.8300,3,1.325200,1,-0.553100
103,2022-07-22,sh.603977,9.0200,9.0900,8.8800,8.9300,8.9900,8780541,78747227.5000,3,1.500900,1,-0.667400
104,2022-07-25,sh.603977,8.9600,8.9600,8.7300,8.7700,8.9300,7230900,63842167.6000,3,1.236000,1,-1.791700
105,2022-07-26,sh.603977,8.8100,8.8700,8.6600,8.8600,8.7700,6154905,53764242.3000,3,1.052100,1,1.026200
106,2022-07-27,sh.603977,8.8400,9.0500,8.7800,8.9900,8.8600,7649829,68257475.2400,3,1.307600,1,1.467300
107,2022-07-28,sh.603977,8.9800,9.0500,8.8900,8.9400,8.9900,7965625,71268053.0300,3,1.361600,1,-0.556200
108,2022-07-29,sh.603977,8.9600,8.9900,8.8200,8.8400,8.9400,6080178,54160419.2200,3,1.039300,1,-1.118600
109,2022-08-01,sh.603977,8.8400,8.8800,8.7800,8.8400,8.8400,5082100,44900338.4400,3,0.868700,1,0.000000
110,2022-08-02,sh.603977,8.7900,8.8000,8.3500,8.5300,8.8400,10412759,89025656.1600,3,1.779900,1,-3.506800
111,2022-08-03,sh.603977,8.5200,8.9600,8.5100,8.7000,8.5300,10733987,94389617.2400,3,1.834800,1,1.993000
112,2022-08-04,sh.603977,8.7200,8.8600,8.5600,8.7600,8.7000,6792240,59171730.0000,3,1.161000,1,0.689700
113,2022-08-05,sh.603977,8.8100,8.8300,8.6500,8.8200,8.7600,5481196,47944730.0000,3,0.936900,1,0.684900
114,2022-08-08,sh.603977,8.8000,8.9300,8.7100,8.9000,8.8200,5791544,51213499.0000,3,0.990000,1,0.907000
115,2022-08-09,sh.603977,8.9000,8.9300,8.7900,8.8500,8.9000,6368354,56387781.0000,3,1.088600,1,-0.561800
116,2022-08-10,sh.603977,8.8600,9.0600,8.8300,8.9500,8.8500,9616494,86102568.0000,3,1.643800,1,1.129900
117,2022-08-11,sh.603977,8.9800,9.1500,8.9800,9.0600,8.9500,13164096,119290633.0000,3,2.230200,1,1.229100
118,2022-08-12,sh.603977,9.0600,9.1000,8.8500,8.8500,9.0600,9489324,85079422.0000,3,1.607600,1,-2.317900
119,2022-08-15,sh.603977,8.9200,9.1900,8.8000,9.1300,8.8500,12109687,109254215.4300,3,2.051500,1,3.163800
120,2022-08-16,sh.603977,9.1400,9.2100,9.0200,9.1000,9.1300,9749800,88623061.0000,3,1.651700,1,-0.328600
121,2022-08-17,sh.603977,9.0700,9.1500,8.9700,9.0700,9.1000,7611497,68846763.8200,3,1.289500,1,-0.329700
122,2022-08-18,sh.603977,9.0200,9.0500,8.9500,9.0200,9.0700,7921355,71256666.1500,3,1.342000,1,-0.551300
123,2022-08-19,sh.603977,8.9700,9.1900,8.9300,8.9800,9.0200,9769026,88329875.8800,3,1.655000,1,-0.443500
124,2022-08-22,sh.603977,9.0000,9.4500,8.8000,9.2500,8.9800,16891804,155035599.9600,3,2.861700,1,3.006700
125,2022-08-23,sh.603977,9.2300,9.3700,9.1700,9.3200,9.2500,14258400,132177328.4800,3,2.415500,1,0.756800
126,2022-08-24,sh.603977,9.3400,9.4300,9.0900,9.1200,9.3200,12633441,116387412.6200,3,2.140300,1,-2.145900
127,2022-08-25,sh.603977,9.1500,9.4200,9.0700,9.3000,9.1200,16122578,149269716.7600,3,2.731400,1,1.973700
128,2022-08-26,sh.603977,9.3000,9.3200,8.9900,9.0300,9.3000,12197380,111394117.4800,3,2.066400,1,-2.903200
129,2022-08-29,sh.603977,8.8500,9.1500,8.7400,9.0900,9.0300,8942632,80402722.3200,3,1.515000,1,0.664500
130,2022-08-30,sh.603977,9.0900,9.3000,8.9200,9.0600,9.0900,11088796,100752796.0000,3,1.878600,1,-0.330000
131,2022-08-31,sh.603977,9.1000,9.1000,8.5800,8.7900,9.0600,16239580,142373059.2000,3,2.751200,1,-2.980100
132,2022-09-01,sh.603977,8.7400,9.2500,8.7300,8.9600,8.7900,15155660,137172022.6000,3,2.567500,1,1.934000
133,2022-09-02,sh.603977,8.9400,9.2000,8.8500,9.2000,8.9600,12501168,113207791.3200,3,2.117800,1,2.678600
134,2022-09-05,sh.603977,9.2000,9.3200,9.0800,9.1600,9.2000,8911236,81955208.8000,3,1.509700,1,-0.434800
135,2022-09-06,sh.603977,9.1800,9.3300,9.1500,9.2600,9.1600,7737912,71632050.7600,3,1.310900,1,1.091700
136,2022-09-07,sh.603977,9.2900,9.5900,9.1700,9.4200,9.2600,13922649,131344335.8200,3,2.358700,1,1.727900
137,2022-09-08,sh.603977,9.3900,9.5100,9.3400,9.4000,9.4200,7938836,74643165.6400,3,1.344900,1,-0.212300
138,2022-09-09,sh.603977,9.4600,9.5100,9.2800,9.3400,9.4000,7135948,66860750.3600,3,1.208900,1,-0.638300
139,2022-09-13,sh.603977,9.3500,9.3500,9.1000,9.1200,9.3400,10672984,97959062.2800,3,1.808100,1,-2.355500
140,2022-09-14,sh.603977,8.9900,9.1900,8.9600,9.0900,9.1200,8383313,76157570.7800,3,1.420200,1,-0.328900
141,2022-09-15,sh.603977,9.1500,9.1600,8.7400,8.8900,9.0900,13541773,120579726.2500,3,2.294100,1,-2.200200
142,2022-09-16,sh.603977,8.8900,8.9500,8.7100,8.7100,8.8900,7580779,66986935.3400,3,1.284300,1,-2.024700
143,2022-09-19,sh.603977,8.7000,8.8300,8.5500,8.7100,8.7100,7132085,62128128.7500,3,1.208300,1,0.000000
144,2022-09-20,sh.603977,8.7100,9.0500,8.7100,9.0100,8.7100,8265326,73693107.0500,3,1.400200,1,3.444300
145,2022-09-21,sh.603977,8.9800,9.0000,8.8500,8.9300,9.0100,5488192,48896612.4000,3,0.929800,1,-0.887900
146,2022-09-22,sh.603977,8.9000,9.4200,8.8600,9.2500,8.9300,14075580,129643187.0000,3,2.384600,1,3.583400
147,2022-09-23,sh.603977,9.2200,9.3000,8.9600,9.0700,9.2500,8460996,77066728.1600,3,1.361900,1,-1.945900
148,2022-09-26,sh.603977,9.1100,9.1100,8.6000,8.6300,9.0700,10694262,93434552.1000,3,1.721400,1,-4.851200
149,2022-09-27,sh.603977,8.5800,8.7600,8.3600,8.6500,8.6300,8059256,68797821.1000,3,1.297300,1,0.231700
150,2022-09-28,sh.603977,8.6400,8.7300,8.2200,8.2200,8.6500,8094506,68111497.9200,3,1.303000,1,-4.971100
151,2022-09-29,sh.603977,8.3000,8.4200,8.1000,8.2000,8.2200,5992145,49570385.0000,3,0.964500,1,-0.243300
