,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.603993,5.7800,5.8100,5.7100,5.7300,5.8000,85484270,490236966.3800,3,0.483900,1,-1.206900
1,2022-02-22,sh.603993,5.7000,5.7700,5.6600,5.7600,5.7300,89787628,512858146.7400,3,0.508300,1,0.523600
2,2022-02-23,sh.603993,5.7900,5.8100,5.7200,5.8000,5.7600,118571716,685169824.7200,3,0.671200,1,0.694400
3,2022-02-24,sh.603993,5.7600,5.8900,5.6200,5.7200,5.8000,172718753,996628278.1400,3,0.977700,1,-1.379300
4,2022-02-25,sh.603993,5.7100,5.8500,5.6900,5.7400,5.7200,148512503,859014268.1700,3,0.840700,1,0.349700
5,2022-02-28,sh.603993,5.7700,6.0500,5.7700,6.0100,5.7400,392956384,2345048048.0000,3,2.224400,1,4.703800
6,2022-03-01,sh.603993,6.0000,6.0100,5.8400,5.9200,6.0100,217034017,1279899088.0000,3,1.228600,1,-1.497500
7,2022-03-02,sh.603993,5.8800,6.0100,5.8600,5.9300,5.9200,197990168,1177380576.0000,3,1.120800,1,0.168900
8,2022-03-03,sh.603993,5.9800,6.1300,5.9800,6.0200,5.9300,312767296,1899290944.0000,3,1.770500,1,1.517700
9,2022-03-04,sh.603993,5.9900,6.0000,5.7600,5.7800,6.0200,245042073,1440170352.0000,3,1.387100,1,-3.986700
10,2022-03-07,sh.603993,5.8600,5.9500,5.6800,5.7300,5.7800,218742049,1271000192.0000,3,1.238200,1,-0.865100
11,2022-03-08,sh.603993,5.7700,5.8700,5.3400,5.4600,5.7300,270203392,1501676240.0000,3,1.529500,1,-4.712000
12,2022-03-09,sh.603993,5.4000,5.4000,5.0100,5.2500,5.4600,240811368,1254786688.0000,3,1.363200,1,-3.846200
13,2022-03-10,sh.603993,5.3500,5.3900,5.2000,5.2800,5.2500,175981935,927869888.0000,3,0.996200,1,0.571400
14,2022-03-11,sh.603993,5.1800,5.2200,5.0600,5.2100,5.2800,161419073,827120640.0000,3,0.913700,1,-1.325800
15,2022-03-14,sh.603993,5.1200,5.1700,5.0400,5.0500,5.2100,116704249,594876960.0000,3,0.660600,1,-3.071000
16,2022-03-15,sh.603993,5.0000,5.0100,4.6000,4.6200,5.0500,252532115,1205347040.0000,3,1.429500,1,-8.514900
17,2022-03-16,sh.603993,4.8000,4.9600,4.6500,4.9300,4.6200,217488896,1044511376.0000,3,1.231100,1,6.710000
18,2022-03-17,sh.603993,5.0100,5.1500,4.9700,5.0900,4.9300,186846375,945826688.0000,3,1.057700,1,3.245400
19,2022-03-18,sh.603993,5.1000,5.2000,5.0600,5.1700,5.0900,154564676,793683606.8900,3,0.874900,1,1.571700
20,2022-03-21,sh.603993,5.2200,5.3100,5.1600,5.2200,5.1700,147700580,774206158.6900,3,0.836100,1,0.967100
21,2022-03-22,sh.603993,5.2500,5.2900,5.1600,5.2400,5.2200,120383998,632113865.8800,3,0.681500,1,0.383100
22,2022-03-23,sh.603993,5.2800,5.3300,5.2500,5.3100,5.2400,135312311,716765550.1400,3,0.766000,1,1.335900
23,2022-03-24,sh.603993,5.3100,5.5000,5.2900,5.4400,5.3100,180457209,980238379.0400,3,1.021500,1,2.448200
24,2022-03-25,sh.603993,5.4300,5.6000,5.4000,5.4700,5.4400,178547383,986894698.7000,3,1.010700,1,0.551500
25,2022-03-28,sh.603993,5.3800,5.4100,5.2400,5.3300,5.4700,108516121,577115739.1800,3,0.614300,1,-2.559400
26,2022-03-29,sh.603993,5.3000,5.3900,5.2700,5.3300,5.3300,75738612,403348778.7400,3,0.428700,1,0.000000
27,2022-03-30,sh.603993,5.3600,5.3600,5.2300,5.3000,5.3300,88057909,465798480.2800,3,0.498500,1,-0.562900
28,2022-03-31,sh.603993,5.3100,5.3200,5.1800,5.2100,5.3000,98485315,514555822.4300,3,0.557500,1,-1.698100
29,2022-04-01,sh.603993,5.2000,5.3100,5.1300,5.2800,5.2100,79618789,417952055.8200,3,0.450700,1,1.343600
30,2022-04-06,sh.603993,5.2700,5.3500,5.2000,5.3400,5.2800,88890074,469085706.4200,3,0.503200,1,1.136400
31,2022-04-07,sh.603993,5.3200,5.3300,5.2500,5.2600,5.3400,63757642,336868539.9200,3,0.360900,1,-1.498100
32,2022-04-08,sh.603993,5.2500,5.4900,5.2300,5.4100,5.2600,157696837,845538330.3000,3,0.892700,1,2.851700
33,2022-04-11,sh.603993,5.4100,5.4400,5.1100,5.1300,5.4100,140887529,736160269.6800,3,0.797500,1,-5.175600
34,2022-04-12,sh.603993,5.1300,5.2100,5.0100,5.2100,5.1300,94199415,482198167.3300,3,0.533200,1,1.559500
35,2022-04-13,sh.603993,5.1800,5.5800,5.1700,5.4500,5.2100,243618982,1319651374.8900,3,1.379000,1,4.606500
36,2022-04-14,sh.603993,5.4600,5.5600,5.4000,5.5000,5.4500,127809478,700771130.0000,3,0.723500,1,0.917400
37,2022-04-15,sh.603993,5.4800,5.6400,5.4400,5.5200,5.5000,178745541,992369404.9200,3,1.011800,1,0.363600
38,2022-04-18,sh.603993,5.4900,5.4900,5.3200,5.3600,5.5200,91359561,490423626.5300,3,0.517200,1,-2.898600
