,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.605006,12.6200,12.6500,12.5000,12.6500,12.6200,1506579,18943552.5400,3,0.637600,1,0.237700
1,2022-02-22,sh.605006,12.5500,12.5600,12.3800,12.4700,12.6500,1995700,24886629.0000,3,0.844600,1,-1.422900
2,2022-02-23,sh.605006,12.4900,12.7900,12.4900,12.6900,12.4700,2613989,33034562.4000,3,1.106200,1,1.764200
3,2022-02-24,sh.605006,12.6900,12.7500,12.2200,12.3600,12.6900,3271200,40869374.1100,3,1.384300,1,-2.600500
4,2022-02-25,sh.605006,12.4000,12.6300,12.4000,12.4700,12.3600,1869500,23397114.0000,3,0.791200,1,0.890000
5,2022-02-28,sh.605006,12.4500,12.4800,12.2300,12.3900,12.4700,1594200,19649798.0000,3,0.674700,1,-0.641500
6,2022-03-01,sh.605006,12.3800,12.5500,12.3800,12.4800,12.3900,1263447,15793279.0000,3,0.534700,1,0.726400
7,2022-03-02,sh.605006,12.3800,12.5900,12.3800,12.5700,12.4800,1580247,19765600.0000,3,0.668700,1,0.721200
8,2022-03-03,sh.605006,12.5600,12.6700,12.5200,12.5800,12.5700,1842000,23196985.0000,3,0.779500,1,0.079600
9,2022-03-04,sh.605006,12.5500,12.5900,12.4100,12.4300,12.5800,1816100,22675419.0000,3,0.768600,1,-1.192400
10,2022-03-07,sh.605006,12.2800,12.4000,11.9500,12.0500,12.4300,2523819,30596600.0000,3,1.068100,1,-3.057100
11,2022-03-08,sh.605006,11.8700,12.1000,11.5300,11.5700,12.0500,2211919,25925845.0000,3,0.936100,1,-3.983400
12,2022-03-09,sh.605006,11.6000,11.6800,10.6900,11.1700,11.5700,2779307,31136915.0000,3,1.176200,1,-3.457200
13,2022-03-10,sh.605006,11.5500,11.6700,11.4500,11.5700,11.1700,2405389,27806080.0000,3,1.017900,1,3.581000
14,2022-03-11,sh.605006,11.4000,11.6600,11.1700,11.6300,11.5700,1324600,15112954.0000,3,0.560600,1,0.518600
15,2022-03-14,sh.605006,11.5700,11.6300,11.3100,11.3200,11.6300,1133600,12981624.0000,3,0.479700,1,-2.665500
16,2022-03-15,sh.605006,11.2800,11.5000,10.9200,10.9300,11.3200,2581489,28961660.0000,3,1.092500,1,-3.445200
17,2022-03-16,sh.605006,11.1100,11.3300,10.8000,11.2800,10.9300,1907718,21245624.0000,3,0.807300,1,3.202200
18,2022-03-17,sh.605006,11.4000,11.7400,11.3800,11.5100,11.2800,2593800,29959608.0000,3,1.097700,1,2.039000
19,2022-03-18,sh.605006,11.5200,11.8400,11.4600,11.7600,11.5100,1961800,22996193.8800,3,0.830200,1,2.172000
20,2022-03-21,sh.605006,11.8600,11.8600,11.6200,11.7800,11.7600,1806500,21208423.0000,3,0.764500,1,0.170100
21,2022-03-22,sh.605006,11.7000,11.9300,11.6800,11.7900,11.7800,1730712,20437618.3600,3,0.732400,1,0.084900
22,2022-03-23,sh.605006,11.8900,12.0400,11.7200,11.9400,11.7900,1734100,20730674.0000,3,0.733900,1,1.272300
23,2022-03-24,sh.605006,11.8700,11.9300,11.7500,11.8000,11.9400,1249618,14767964.4000,3,0.528800,1,-1.172500
24,2022-03-25,sh.605006,11.8000,11.9900,11.8000,11.8100,11.8000,1381700,16441639.0000,3,0.584700,1,0.084700
25,2022-03-28,sh.605006,11.9200,12.3400,11.8100,12.3000,11.8100,3898618,47521146.3000,3,1.649900,1,4.149000
26,2022-03-29,sh.605006,12.3100,12.3600,12.0300,12.1200,12.3000,2357500,28597427.0000,3,0.997700,1,-1.463400
27,2022-03-30,sh.605006,12.1300,12.4000,12.1300,12.2200,12.1200,2843800,34786846.0000,3,1.203500,1,0.825100
28,2022-03-31,sh.605006,12.3600,12.5200,12.2300,12.4700,12.2200,4496918,55693774.3000,3,1.903100,1,2.045800
