,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.605060,20.7500,20.7500,20.1400,20.5000,20.5300,1597664,32654562.0400,3,2.662800,1,-0.146100
1,2022-02-22,sh.605060,20.4600,21.3200,20.1000,20.8500,20.5000,2424337,50423608.4400,3,4.040600,1,1.707300
2,2022-02-23,sh.605060,20.6900,22.3500,20.6900,22.0000,20.8500,2848834,61450240.4100,3,4.748100,1,5.515600
3,2022-02-24,sh.605060,21.8400,22.1400,21.1000,21.2900,22.0000,2511887,54109507.4200,3,4.186500,1,-3.227300
4,2022-02-25,sh.605060,21.3900,21.5900,21.0900,21.3500,21.2900,1211353,25717594.3400,3,2.018900,1,0.281800
5,2022-02-28,sh.605060,21.3000,21.5400,20.8900,21.0700,21.3500,1308563,27694947.0000,3,2.180900,1,-1.311500
6,2022-03-01,sh.605060,21.2000,22.0200,21.0700,21.9400,21.0700,2015427,43833434.0000,3,2.469900,1,4.129100
7,2022-03-02,sh.605060,21.8000,22.1700,21.5200,22.0000,21.9400,1075425,23468470.0000,3,1.317900,1,0.273500
8,2022-03-03,sh.605060,22.3300,22.3300,21.3300,21.4000,22.0000,1589665,34231597.0000,3,1.948100,1,-2.727300
9,2022-03-04,sh.605060,21.3400,21.4800,21.0000,21.2700,21.4000,782800,16595374.0000,3,0.959300,1,-0.607500
10,2022-03-07,sh.605060,21.2700,21.4100,20.8900,21.0100,21.2700,858841,18079456.0000,3,1.052500,1,-1.222400
11,2022-03-08,sh.605060,21.0000,21.2200,19.2000,19.8000,21.0100,3374689,67571854.0000,3,4.135600,1,-5.759200
12,2022-03-09,sh.605060,19.9000,19.9000,18.1900,19.5000,19.8000,2993569,57270138.0000,3,3.668600,1,-1.515200
13,2022-03-10,sh.605060,19.7600,20.0700,19.3300,19.3300,19.5000,1022600,20059625.0000,3,1.253200,1,-0.871800
14,2022-03-11,sh.605060,19.3400,19.9200,18.8300,19.7800,19.3300,1140800,22144002.0000,3,1.398000,1,2.328000
15,2022-03-14,sh.605060,19.4200,19.9000,19.4200,19.5600,19.7800,648300,12746688.0000,3,0.794500,1,-1.112200
16,2022-03-15,sh.605060,19.5200,19.5500,18.7000,18.9000,19.5600,1291183,24632861.0000,3,1.582300,1,-3.374200
17,2022-03-16,sh.605060,18.9200,19.3000,18.3000,18.8700,18.9000,1225983,22932467.0000,3,1.502400,1,-0.158700
18,2022-03-17,sh.605060,19.0000,20.0300,19.0000,19.4200,18.8700,1539477,30165539.0000,3,1.886600,1,2.914700
19,2022-03-18,sh.605060,19.5800,19.9800,19.2200,19.6600,19.4200,730400,14324947.0000,3,0.895100,1,1.235800
20,2022-03-21,sh.605060,19.5600,19.9200,19.4500,19.7900,19.6600,594000,11692040.0000,3,0.727900,1,0.661200
21,2022-03-22,sh.605060,19.6500,19.9800,19.6000,19.8500,19.7900,512283,10158861.0600,3,0.627800,1,0.303200
22,2022-03-23,sh.605060,19.9000,21.0000,19.8600,20.6400,19.8500,1285639,26430351.0000,3,1.575500,1,3.979800
23,2022-03-24,sh.605060,20.6500,20.7200,19.7100,19.9300,20.6400,921700,18570122.0200,3,1.129500,1,-3.439900
24,2022-03-25,sh.605060,20.2000,20.2000,19.5300,19.7000,19.9300,669783,13249823.3400,3,0.820800,1,-1.154000
25,2022-03-28,sh.605060,19.4000,19.9000,19.4000,19.7000,19.7000,598900,11796243.3400,3,0.733900,1,0.000000
26,2022-03-29,sh.605060,19.6600,19.8700,19.5100,19.7300,19.7000,527400,10396329.0000,3,0.646300,1,0.152300
27,2022-03-30,sh.605060,19.7500,20.0700,19.6400,19.8000,19.7300,756900,14984280.0000,3,0.927600,1,0.354800
28,2022-03-31,sh.605060,19.6900,19.6900,19.2000,19.4000,19.8000,765000,14882037.0000,3,0.937500,1,-2.020200
29,2022-04-01,sh.605060,19.1900,19.6300,19.0000,19.0300,19.4000,619076,11955407.0400,3,0.758700,1,-1.907200
30,2022-04-06,sh.605060,19.0400,19.1900,18.8500,19.1200,19.0300,568876,10800061.3600,3,0.697200,1,0.472900
31,2022-04-07,sh.605060,18.9100,19.3500,18.9000,19.0400,19.1200,467100,8912531.0000,3,0.572400,1,-0.418400
32,2022-04-08,sh.605060,19.0400,19.1100,18.7500,19.1100,19.0400,707490,13392764.1500,3,0.867000,1,0.367600
33,2022-04-11,sh.605060,19.0400,19.1500,18.7500,18.9300,19.1100,694700,13124399.6000,3,0.851300,1,-0.941900
34,2022-04-12,sh.605060,18.4500,19.0600,17.7100,19.0600,18.9300,1312366,24180252.4500,3,1.608300,1,0.686700
35,2022-04-13,sh.605060,18.6800,19.2000,18.3500,18.6100,19.0600,668100,12517693.4800,3,0.818800,1,-2.361000
36,2022-04-14,sh.605060,18.5600,18.6500,18.2200,18.2400,18.6100,562076,10306576.4000,3,0.688800,1,-1.988200
37,2022-04-15,sh.605060,18.2100,18.2500,17.4800,17.6100,18.2400,754691,13393727.4900,3,0.924900,1,-3.453900
38,2022-04-18,sh.605060,17.7500,18.2900,17.3300,18.2800,17.6100,618190,11110543.4000,3,0.757600,1,3.804700
39,2022-04-19,sh.605060,18.3300,18.5900,18.0900,18.4500,18.2800,290127,5347327.5100,3,0.355500,1,0.930000
40,2022-04-20,sh.605060,18.4500,18.6400,17.8600,18.2000,18.4500,283000,5165797.0000,3,0.346800,1,-1.355000
41,2022-04-21,sh.605060,18.0100,18.2900,17.5700,17.7300,18.2000,519200,9253743.0000,3,0.636300,1,-2.582400
42,2022-04-22,sh.605060,17.5100,17.8500,17.4100,17.6500,17.7300,385800,6807350.0000,3,0.472800,1,-0.451200
43,2022-04-25,sh.605060,17.6100,17.8000,16.3700,16.7000,17.6500,893400,15253134.0000,3,1.094900,1,-5.382400
44,2022-04-26,sh.605060,16.7200,16.7200,15.4600,15.4600,16.7000,1135428,18351565.8300,3,1.391500,1,-7.425100
45,2022-04-27,sh.605060,15.3100,16.6000,15.3100,16.5400,15.4600,2302627,35910147.0100,3,2.821800,1,6.985800
46,2022-04-28,sh.605060,16.3300,17.2000,16.0100,16.7000,16.5400,1375896,23056522.0000,3,1.686100,1,0.967400
47,2022-04-29,sh.605060,16.7700,17.5800,16.7500,17.2500,16.7000,1324476,22607171.1600,3,1.623100,1,3.293400
48,2022-05-05,sh.605060,17.1500,17.9200,16.9100,17.0000,17.2500,1361105,23575552.3900,3,1.668000,1,-1.449300
49,2022-05-06,sh.605060,16.7600,17.0800,16.6600,16.8400,17.0000,771476,12977426.8000,3,0.945400,1,-0.941200
50,2022-05-09,sh.605060,16.9600,17.4300,16.5600,17.3000,16.8400,523159,8966011.0200,3,0.641100,1,2.731600
51,2022-05-10,sh.605060,16.9000,17.5900,16.9000,17.4900,17.3000,503495,8760553.5500,3,0.617000,1,1.098300
52,2022-05-11,sh.605060,17.4700,18.1400,17.4100,17.5500,17.4900,899900,16040287.0000,3,1.102800,1,0.343100
53,2022-05-12,sh.605060,17.3800,17.7300,17.2300,17.5800,17.5500,675025,11814523.9300,3,0.827200,1,0.170900
54,2022-05-13,sh.605060,17.7600,17.8300,17.4200,17.5300,17.5800,514300,9025134.0000,3,0.630300,1,-0.284400
55,2022-05-16,sh.605060,17.5300,17.6900,17.3300,17.4100,17.5300,415504,7263261.5200,3,0.509200,1,-0.684500
56,2022-05-17,sh.605060,17.2900,17.4900,17.0000,17.0800,17.4100,632976,10899566.0400,3,0.775700,1,-1.895500
57,2022-05-18,sh.605060,16.9900,17.3900,16.9900,17.1300,17.0800,356300,6122835.0000,3,0.436600,1,0.292700
58,2022-05-19,sh.605060,17.0100,17.7300,16.9500,17.6400,17.1300,790700,13804991.0000,3,0.969000,1,2.977200
59,2022-05-20,sh.605060,17.7000,17.8800,17.5600,17.6600,17.6400,606083,10716589.9700,3,0.742700,1,0.113400
60,2022-05-23,sh.605060,17.6500,18.3800,17.5900,18.1300,17.6600,1115208,20169817.0800,3,1.366700,1,2.661400
61,2022-05-24,sh.605060,18.1300,18.2800,17.5200,17.6200,18.1300,764100,13673814.0000,3,0.936400,1,-2.813000
62,2022-05-25,sh.605060,17.7000,17.9000,17.6100,17.7000,17.6200,407100,7217456.0000,3,0.498900,1,0.454000
63,2022-05-26,sh.605060,18.0800,18.1600,17.2400,17.5600,17.7000,764415,13423686.3500,3,0.936800,1,-0.791000
64,2022-05-27,sh.605060,17.7600,17.7600,17.0000,17.2700,17.5600,807076,14015395.2400,3,0.989100,1,-1.651500
65,2022-05-30,sh.605060,17.2700,17.5000,17.0300,17.4000,17.2700,423149,7286174.9500,3,0.518600,1,0.752800
66,2022-05-31,sh.605060,17.4600,17.6600,17.1400,17.6200,17.4000,639400,11160031.1700,3,0.783600,1,1.264400
67,2022-06-01,sh.605060,17.6100,18.0500,17.5000,17.9000,17.6200,773200,13820702.0000,3,0.947500,1,1.589100
68,2022-06-02,sh.605060,17.9500,18.3600,17.6500,18.0300,17.9000,715200,12775708.9500,3,0.876500,1,0.726300
69,2022-06-06,sh.605060,17.7100,18.3600,17.7100,18.2000,18.0300,869291,15802905.4700,3,1.065300,1,0.942900
70,2022-06-07,sh.605060,18.3600,18.3600,17.7200,17.8600,18.2000,583500,10446182.0000,3,0.715100,1,-1.868100
71,2022-06-08,sh.605060,17.8000,17.9100,17.3100,17.7700,17.8600,928600,16388725.0000,3,1.138000,1,-0.503900
72,2022-06-09,sh.605060,17.5000,17.7400,17.2800,17.3100,17.7700,473400,8253051.0000,3,0.580100,1,-2.588600
73,2022-06-10,sh.605060,17.3000,17.4800,17.2200,17.3800,17.3100,503700,8734895.7200,3,0.617300,1,0.404400
74,2022-06-13,sh.605060,17.3000,18.1200,17.3000,17.8500,17.3800,831852,14826765.1900,3,1.019400,1,2.704300
75,2022-06-14,sh.605060,17.7500,18.0700,17.2500,17.8400,17.8500,742069,13115511.7000,3,0.909400,1,-0.056000
76,2022-06-15,sh.605060,17.8400,18.0600,17.6200,17.6200,17.8400,615300,10959005.0000,3,0.754000,1,-1.233200
77,2022-06-16,sh.605060,17.6500,17.8500,17.5700,17.5700,17.6200,798600,14098896.0800,3,0.978700,1,-0.283800
78,2022-06-17,sh.605060,17.2600,17.3800,16.5900,16.9200,17.2400,1086676,18452937.6000,3,1.331700,1,-1.856100
79,2022-06-20,sh.605060,17.0600,18.4500,16.8900,18.4100,16.9200,2672117,48002879.0300,3,3.274700,1,8.806100
80,2022-06-21,sh.605060,18.5000,18.6700,17.8200,18.1200,18.4100,2154475,39150712.6700,3,2.640300,1,-1.575200
81,2022-06-22,sh.605060,18.0700,18.1300,17.3600,17.5000,18.1200,1384800,24597324.5500,3,1.697100,1,-3.421600
82,2022-06-23,sh.605060,17.3800,17.7700,17.1100,17.7400,17.5000,978200,17108573.0000,3,1.198800,1,1.371400
83,2022-06-24,sh.605060,17.7800,18.1800,17.7700,17.9200,17.7400,1409418,25331191.6200,3,1.727200,1,1.014700
84,2022-06-27,sh.605060,18.1200,18.2000,17.8200,18.0100,17.9200,1108849,19996059.2800,3,1.358900,1,0.502200
85,2022-06-28,sh.605060,18.0000,18.2300,17.9100,18.1700,18.0100,983126,17777980.0400,3,1.204800,1,0.888400
86,2022-06-29,sh.605060,18.1400,18.2800,17.8500,17.8800,18.1700,983504,17668696.4800,3,1.205300,1,-1.596000
87,2022-06-30,sh.605060,17.7900,18.4500,17.7900,18.1500,17.8800,1404162,25627306.1900,3,1.720800,1,1.510100
88,2022-07-01,sh.605060,18.1400,18.3800,18.0500,18.1500,18.1500,1085252,19737005.4800,3,1.330000,1,0.000000
89,2022-07-04,sh.605060,18.1300,18.4300,17.8400,18.4200,18.1500,906366,16529633.4600,3,1.110700,1,1.487600
90,2022-07-05,sh.605060,18.3800,19.3500,18.2000,18.8200,18.4200,1851641,34951485.6700,3,2.269200,1,2.171600
91,2022-07-06,sh.605060,18.7300,19.4800,18.5100,19.4500,18.8200,2062184,39594083.1300,3,2.527200,1,3.347500
92,2022-07-07,sh.605060,19.5100,19.6300,19.0200,19.4100,19.4500,1361399,26110944.1800,3,1.668400,1,-0.205700
93,2022-07-08,sh.605060,19.2000,19.4900,19.1200,19.1700,19.4100,921337,17724859.9900,3,1.129100,1,-1.236500
94,2022-07-11,sh.605060,19.2000,19.5600,18.8000,19.2200,19.1700,1327269,25538269.4000,3,1.626600,1,0.260800
95,2022-07-12,sh.605060,19.0100,19.2600,18.8000,18.9600,19.2200,808876,15370723.4900,3,0.991300,1,-1.352800
96,2022-07-13,sh.605060,19.2000,19.8900,18.8100,19.7600,18.9600,1559442,30523851.1100,3,1.911100,1,4.219400
97,2022-07-14,sh.605060,19.7300,19.7600,19.3700,19.5300,19.7600,713583,13949537.8200,3,0.874500,1,-1.164000
98,2022-07-15,sh.605060,19.4400,19.7500,19.1500,19.3700,19.5300,772742,15017773.8200,3,0.947000,1,-0.819300
99,2022-07-18,sh.605060,19.3900,19.6800,19.2500,19.6000,19.3700,791400,15430065.0000,3,0.969900,1,1.187400
100,2022-07-19,sh.605060,19.6000,19.7600,19.4500,19.7000,19.6000,866143,16992946.5100,3,1.061400,1,0.510200
101,2022-07-20,sh.605060,19.7100,20.3900,19.5700,20.3500,19.7000,1669043,33475955.8500,3,2.045400,1,3.299500
102,2022-07-21,sh.605060,20.2400,20.7400,20.1300,20.4200,20.3500,1088963,22262792.5600,3,1.334500,1,0.344000
103,2022-07-22,sh.605060,20.4800,20.7800,20.1500,20.4900,20.4200,968171,19839738.6600,3,1.186500,1,0.342800
104,2022-07-25,sh.605060,20.5200,20.7100,20.0000,20.0800,20.4900,1090700,22087908.0000,3,1.336600,1,-2.001000
105,2022-07-26,sh.605060,20.0700,20.1700,19.5800,20.0900,20.0800,1071983,21275170.6700,3,1.313700,1,0.049800
106,2022-07-27,sh.605060,20.0000,20.3600,19.9000,20.2600,20.0900,880800,17695346.0000,3,1.079400,1,0.846200
107,2022-07-28,sh.605060,20.3500,20.5700,20.1900,20.4000,20.2600,1236876,25232666.6400,3,1.515800,1,0.691000
108,2022-07-29,sh.605060,20.4100,20.7000,20.2600,20.3800,20.4000,982874,20098084.8400,3,1.204500,1,-0.098000
109,2022-08-01,sh.605060,20.4300,20.5000,19.9500,20.2700,20.3800,1268200,25557778.0600,3,1.554200,1,-0.539700
110,2022-08-02,sh.605060,21.5000,22.3000,20.8100,22.3000,20.2700,6379662,139142627.7700,3,7.818200,1,10.014800
111,2022-08-03,sh.605060,23.5000,24.5300,23.0800,24.0000,22.3000,11728501,282366510.2500,3,14.373200,1,7.623300
112,2022-08-04,sh.605060,22.5900,23.9700,22.5900,23.7200,24.0000,6519318,152559459.0000,3,7.989400,1,-1.166700
113,2022-08-05,sh.605060,23.7700,24.9400,23.5000,23.9800,23.7200,5621176,135967771.0000,3,6.888700,1,1.096100
114,2022-08-08,sh.605060,23.9700,25.1800,23.5000,24.6800,23.9800,4355159,106830624.0000,3,5.337200,1,2.919100
115,2022-08-09,sh.605060,24.5500,26.2600,24.4000,25.5400,24.6800,4772651,121485206.0000,3,5.848800,1,3.484600
116,2022-08-10,sh.605060,24.7900,25.5000,24.6200,25.4700,25.5400,3044259,76370350.0000,3,3.730700,1,-0.274100
117,2022-08-11,sh.605060,25.0500,25.2400,24.0000,24.8200,25.4700,3016502,74284417.0000,3,3.696700,1,-2.552000
118,2022-08-12,sh.605060,24.9200,25.0900,24.0000,24.3000,24.8200,2239401,54554312.0000,3,2.744400,1,-2.095100
119,2022-08-15,sh.605060,24.1200,25.3800,23.7500,25.2500,24.3000,3828295,94519548.8300,3,4.691500,1,3.909500
120,2022-08-16,sh.605060,25.2300,25.8000,24.6800,25.0500,25.2500,2764500,69365224.0000,3,3.387900,1,-0.792100
121,2022-08-17,sh.605060,25.1300,25.3300,24.3300,24.8000,25.0500,2403130,59222709.5800,3,2.945000,1,-0.998000
122,2022-08-18,sh.605060,24.6000,25.4000,24.5900,25.3400,24.8000,2059452,51689914.7200,3,2.523800,1,2.177400
123,2022-08-19,sh.605060,25.3800,27.1800,25.3800,26.1900,25.3400,5250774,138200039.2300,3,6.434800,1,3.354400
124,2022-08-22,sh.605060,26.3100,26.7000,24.5800,25.1000,26.1900,3067796,77485167.1200,3,3.759600,1,-4.161900
125,2022-08-23,sh.605060,24.8100,25.9700,24.8100,25.1100,25.1000,1836266,46524602.2400,3,2.250300,1,0.039800
126,2022-08-24,sh.605060,25.1700,25.6000,23.4200,23.5300,25.1100,2802726,67605490.8000,3,3.434700,1,-6.292300
127,2022-08-25,sh.605060,23.7700,24.1700,22.8900,23.1500,23.5300,2338083,54735277.8900,3,2.865300,1,-1.615000
128,2022-08-26,sh.605060,23.3300,24.6700,23.1900,24.0000,23.1500,2897500,70050131.0000,3,3.550900,1,3.671700
129,2022-08-29,sh.605060,23.0500,24.6400,23.0500,24.0000,24.0000,2271062,54057244.8300,3,2.783200,1,0.000000
130,2022-08-30,sh.605060,23.8700,24.3000,22.7100,23.1400,24.0000,2170863,50408499.4500,3,2.660400,1,-3.583300
131,2022-08-31,sh.605060,23.0000,23.3800,22.0000,22.1600,23.1400,2155584,48476462.9900,3,2.641600,1,-4.235100
132,2022-09-01,sh.605060,22.1900,22.8500,21.8800,22.0900,22.1600,1323435,29417496.6100,3,1.621900,1,-0.315900
133,2022-09-02,sh.605060,21.9300,22.9800,21.8800,22.6300,22.0900,1269400,28633971.0000,3,1.555600,1,2.444500
134,2022-09-05,sh.605060,22.5900,22.9900,22.1800,22.3900,22.6300,952300,21449246.0000,3,1.167000,1,-1.060500
135,2022-09-06,sh.605060,22.2900,22.9900,21.7100,22.7300,22.3900,1549000,34773950.0000,3,1.898300,1,1.518500
136,2022-09-07,sh.605060,22.7000,23.5000,22.6200,23.0700,22.7300,1138232,26346292.4100,3,1.394900,1,1.495800
137,2022-09-08,sh.605060,22.9800,23.5500,22.5000,22.7300,23.0700,1396533,31981313.7000,3,1.711400,1,-1.473800
138,2022-09-09,sh.605060,22.7000,22.7000,21.8200,22.3500,22.7300,993700,22095801.0000,3,1.217800,1,-1.671800
139,2022-09-13,sh.605060,22.4400,24.2200,22.4400,23.2000,22.3500,1624795,37965334.3500,3,1.991200,1,3.803100
140,2022-09-14,sh.605060,22.8200,24.1600,22.7800,23.5900,23.2000,1834400,43136270.0000,3,2.248000,1,1.681000
141,2022-09-15,sh.605060,24.0000,24.3000,21.5000,21.9000,23.5900,2628119,58548591.7400,3,3.220700,1,-7.164100
142,2022-09-16,sh.605060,21.9900,22.3600,21.4000,21.4600,21.9000,1860683,40622352.5700,3,2.280200,1,-2.009100
143,2022-09-19,sh.605060,21.4400,23.1400,21.3100,22.3200,21.4600,2424783,54401882.7200,3,2.971500,1,4.007500
144,2022-09-20,sh.605060,22.3400,22.9800,22.0100,22.1900,22.3200,1116283,25101111.3200,3,1.368000,1,-0.582400
145,2022-09-21,sh.605060,22.2600,22.5900,21.5100,21.6000,22.1900,1041832,22866823.9300,3,1.276800,1,-2.658900
146,2022-09-22,sh.605060,21.7400,22.6900,21.7400,22.0000,21.6000,1379483,30727228.9400,3,1.690500,1,1.851900
147,2022-09-23,sh.605060,21.8900,22.3900,20.6900,21.0300,22.0000,1278700,27157999.0000,3,1.567000,1,-4.409100
148,2022-09-26,sh.605060,20.8900,21.6600,20.8700,21.0400,21.0300,972800,20617218.5800,3,1.192200,1,0.047600
149,2022-09-27,sh.605060,21.1400,23.1400,21.1400,23.1400,21.0400,3169441,71063392.8200,3,3.884100,1,9.981000
150,2022-09-28,sh.605060,23.0800,23.4000,21.9700,22.4500,23.1400,2174677,48923648.4300,3,2.665000,1,-2.981800
151,2022-09-29,sh.605060,22.4500,23.9900,21.9500,23.8300,22.4500,3462280,80027376.2300,3,4.243000,1,6.147000
152,2022-09-30,sh.605060,23.5100,24.6800,23.3000,23.6500,23.8300,2296807,54832222.7200,3,2.814700,1,-0.755400
153,2022-10-10,sh.605060,23.6000,23.8400,21.5900,21.9100,23.6500,3290920,74537660.8000,3,4.033000,1,-7.357300
154,2022-10-11,sh.605060,22.0500,22.3500,20.8100,22.2000,21.9100,1991603,43387148.4600,3,2.440700,1,1.323600
155,2022-10-12,sh.605060,22.3700,24.4200,22.3700,24.4200,22.2000,5841722,141389159.2200,3,7.159000,1,10.000000
156,2022-10-13,sh.605060,24.6500,26.3000,24.4300,25.8300,24.4200,7549134,192323136.3400,3,9.251400,1,5.774000
157,2022-10-14,sh.605060,25.6600,25.7000,24.2200,25.2500,25.8300,4725510,117538463.4700,3,5.791100,1,-2.245500
158,2022-10-17,sh.605060,24.9000,25.5000,24.5300,25.2000,25.2500,2960976,73847307.1500,3,3.628600,1,-0.198000
159,2022-10-18,sh.605060,25.1000,25.4500,24.6900,24.9500,25.2000,2573688,64299017.3700,3,3.154000,1,-0.992100
160,2022-10-19,sh.605060,24.7300,25.3100,24.6200,24.7800,24.9500,2087600,52098573.0000,3,2.558300,1,-0.681400
161,2022-10-20,sh.605060,24.6000,24.7100,23.7300,24.1700,24.7800,1750283,42395464.0700,3,2.145000,1,-2.461700
162,2022-10-21,sh.605060,24.1200,24.5400,23.5400,24.3100,24.1700,1617300,39184348.4800,3,1.982000,1,0.579200
163,2022-10-24,sh.605060,24.7700,25.5500,24.3200,24.7300,24.3100,2348076,58557739.6000,3,2.877500,1,1.727700
164,2022-10-25,sh.605060,24.3000,26.7000,24.0800,26.2100,24.7300,3551283,90874603.0600,3,4.352100,1,5.984600
165,2022-10-26,sh.605060,26.2000,26.4500,25.5000,26.2400,26.2100,2388759,61968380.3400,3,2.927400,1,0.114500
166,2022-10-27,sh.605060,26.2400,26.2400,24.2800,24.3900,26.2400,2851149,71312696.7000,3,3.494100,1,-7.050300
167,2022-10-28,sh.605060,23.9900,25.1500,23.7300,24.5400,24.3900,2598666,63493426.2100,3,3.184600,1,0.615000
168,2022-10-31,sh.605060,25.3700,26.9900,24.4200,26.9900,24.5400,3481879,91981564.2100,3,4.267000,1,9.983700
169,2022-11-01,sh.605060,28.1200,29.3000,27.2500,28.9300,26.9900,11035249,309938622.0400,3,13.523600,1,7.187800
170,2022-11-02,sh.605060,28.6500,28.8000,27.8200,28.5000,28.9300,4936883,139627103.8400,3,6.050100,1,-1.486300
171,2022-11-03,sh.605060,28.4900,29.1600,27.8500,28.3000,28.5000,3159752,89878174.6800,3,3.872200,1,-0.701800
172,2022-11-04,sh.605060,28.3000,28.8800,27.7000,28.4900,28.3000,3406959,96039225.7800,3,4.175200,1,0.671400
173,2022-11-07,sh.605060,28.0000,28.4700,27.6500,28.1000,28.4900,2456142,68653755.4100,3,3.010000,1,-1.368900
174,2022-11-08,sh.605060,28.0100,28.0800,27.3000,27.6700,28.1000,1910676,52632952.4400,3,2.341500,1,-1.530200
175,2022-11-09,sh.605060,27.8400,29.8800,27.5800,28.4700,27.6700,4073003,116568513.3400,3,4.991400,1,2.891200
176,2022-11-10,sh.605060,28.5800,28.7900,27.3200,27.5700,28.4700,2958700,83153371.0000,3,3.625900,1,-3.161200
177,2022-11-11,sh.605060,28.5200,28.5200,26.7300,27.3900,27.5700,3024900,83188359.5500,3,3.707000,1,-0.652900
178,2022-11-14,sh.605060,27.3900,27.5700,26.2100,26.6000,27.3900,2951200,78628723.0000,3,3.616700,1,-2.884300
179,2022-11-15,sh.605060,25.8900,28.3000,25.8900,27.7100,26.6000,3147183,87133281.2100,3,3.856800,1,4.172900
180,2022-11-16,sh.605060,27.7800,29.1000,27.7800,28.1000,27.7100,2542763,72440939.2700,3,3.116100,1,1.407400
181,2022-11-17,sh.605060,28.4000,29.8800,27.5800,29.2200,28.1000,2600683,75060397.6400,3,3.187100,1,3.985800
182,2022-11-18,sh.605060,28.8500,29.3000,28.4100,28.7500,29.2200,1506100,43374763.0000,3,1.845700,1,-1.608500
183,2022-11-21,sh.605060,28.4700,29.0000,28.0000,28.5500,28.7500,1635059,46403934.3600,3,2.003700,1,-0.695700
184,2022-11-22,sh.605060,28.5600,28.5600,27.9300,28.0700,28.5500,985100,27752225.0000,3,1.207200,1,-1.681300
185,2022-11-23,sh.605060,28.0500,28.9400,27.6000,28.6300,28.0700,1719300,48577970.0000,3,2.107000,1,1.995000
186,2022-11-24,sh.605060,28.6300,29.4900,28.0700,29.4000,28.6300,1994148,57873089.7900,3,2.443800,1,2.689500
187,2022-11-25,sh.605060,29.6000,29.6100,28.0100,28.5000,29.4000,2860971,81456788.2500,3,3.506100,1,-3.061200
188,2022-11-28,sh.605060,28.1600,28.4100,27.2000,27.8000,28.5000,1520500,42029625.0000,3,1.863400,1,-2.456100
189,2022-11-29,sh.605060,27.9700,28.0200,27.0600,27.6900,27.8000,1586776,43571348.2400,3,1.944600,1,-0.395700
190,2022-11-30,sh.605060,27.6900,27.8200,27.0800,27.3700,27.6900,888300,24295630.0000,3,1.088600,1,-1.155700
