,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.605116,22.6000,23.4600,21.8600,23.2600,22.8300,7055942,159498464.3600,3,9.124300,1,1.883500
1,2022-02-22,sh.605116,22.7700,23.4600,21.9500,22.9700,23.2600,6464800,146284811.0000,3,8.359900,1,-1.246800
2,2022-02-23,sh.605116,23.0000,23.8700,22.4100,22.9600,22.9700,6042642,139990876.2000,3,7.814000,1,-0.043500
3,2022-02-24,sh.605116,22.8600,22.9000,21.2100,21.5500,22.9600,5441381,120051130.9300,3,7.036500,1,-6.141100
4,2022-02-25,sh.605116,21.5500,22.1700,21.5500,21.8000,21.5500,3374500,73806798.0000,3,4.363700,1,1.160100
5,2022-02-28,sh.605116,21.6000,22.1000,21.2100,21.8300,21.8000,3255350,70790127.0000,3,4.209600,1,0.137600
6,2022-03-01,sh.605116,21.7300,22.3600,21.5000,21.8100,21.8300,3500550,76638536.0000,3,4.526700,1,-0.091600
7,2022-03-02,sh.605116,21.6500,21.9500,21.3100,21.7500,21.8100,2263280,49136575.0000,3,2.926700,1,-0.275100
8,2022-03-03,sh.605116,21.7500,22.7800,21.5500,22.3000,21.7500,4128084,91519894.0000,3,5.338200,1,2.528700
9,2022-03-04,sh.605116,22.1500,24.5300,22.1500,24.5300,22.3000,7864284,187902744.0000,3,10.169600,1,10.000000
10,2022-03-07,sh.605116,26.5300,26.9800,24.2600,25.1900,24.5300,22971783,606234416.0000,3,29.705700,1,2.690600
11,2022-03-08,sh.605116,24.4800,24.4800,22.6700,22.6700,25.1900,5154800,119974665.0000,3,6.665900,1,-10.004000
12,2022-03-09,sh.605116,20.4000,22.6400,20.4000,22.1500,22.6700,14550487,310702528.0000,3,18.815800,1,-2.293800
13,2022-03-10,sh.605116,22.0700,24.3000,21.5000,23.0000,22.1500,13560242,305824416.0000,3,17.535300,1,3.837500
14,2022-03-11,sh.605116,23.5500,24.8500,23.2300,23.4500,23.0000,13031769,310865664.0000,3,16.851900,1,1.956500
15,2022-03-14,sh.605116,24.2000,25.8000,22.8100,25.8000,23.4500,23137008,587248352.0000,3,29.919400,1,10.021300
16,2022-03-15,sh.605116,24.0000,28.3800,23.3000,28.3800,25.8000,24722587,645176512.0000,3,31.969700,1,10.000000
17,2022-03-16,sh.605116,30.0000,31.2200,26.4100,29.0000,28.3800,28998248,857694640.0000,3,37.498800,1,2.184600
18,2022-03-17,sh.605116,26.1000,30.9600,26.1000,28.0000,29.0000,25994862,734973664.0000,3,33.615000,1,-3.448300
19,2022-03-18,sh.605116,26.4000,27.1800,25.4000,25.8600,28.0000,17196578,449272258.3200,3,22.237600,1,-7.642900
20,2022-03-21,sh.605116,25.3000,27.2600,25.3000,26.8500,25.8600,14912281,394896630.2100,3,19.283700,1,3.828300
21,2022-03-22,sh.605116,26.5000,26.5000,24.3000,24.7000,26.8500,13543542,340286799.0600,3,17.513700,1,-8.007400
22,2022-03-23,sh.605116,24.2600,25.1000,24.2600,24.6000,24.7000,7268694,179632719.1000,3,9.399400,1,-0.404900
23,2022-03-24,sh.605116,24.3300,25.1800,23.9000,24.8800,24.6000,8819100,217702728.0000,3,11.404300,1,1.138200
24,2022-03-25,sh.605116,24.3400,25.7700,24.0000,25.0600,24.8800,9132400,227132385.0000,3,11.809500,1,0.723500
25,2022-03-28,sh.605116,25.6800,25.9700,24.2800,25.2000,25.0600,8403900,209769248.0000,3,10.867400,1,0.558700
26,2022-03-29,sh.605116,24.8000,25.9500,24.5000,25.2700,25.2000,7946740,201904353.0000,3,10.276200,1,0.277800
27,2022-03-30,sh.605116,25.0000,26.6000,24.2000,25.5800,25.2700,9391735,237836000.5600,3,12.144800,1,1.226800
28,2022-03-31,sh.605116,25.2100,25.6800,23.3000,23.7700,25.5800,8495500,210595229.0000,3,10.985900,1,-7.075800
29,2022-04-01,sh.605116,23.3000,23.5000,22.3000,22.4100,23.7700,7995094,181270623.2800,3,10.338800,1,-5.721500
30,2022-04-06,sh.605116,22.6200,22.8600,21.4500,22.0000,22.4100,5815900,128260557.0000,3,7.520800,1,-1.829500
31,2022-04-07,sh.605116,21.9000,22.0900,21.0000,21.1500,22.0000,3905600,83343942.0000,3,5.050500,1,-3.863600
32,2022-04-08,sh.605116,21.0300,21.3800,20.5000,21.2800,21.1500,3901200,81893963.0000,3,5.044800,1,0.614700
33,2022-04-11,sh.605116,21.2800,22.1900,20.8500,21.6900,21.2800,4856000,104710535.0000,3,6.279500,1,1.926700
34,2022-04-12,sh.605116,21.6500,22.0800,21.1000,21.9500,21.6900,3612200,78236462.0600,3,4.671100,1,1.198700
35,2022-04-13,sh.605116,21.8700,22.5000,21.6000,22.0900,21.9500,4128542,91068240.1800,3,5.338800,1,0.637800
36,2022-04-14,sh.605116,22.3900,22.6700,21.8800,22.5600,22.0900,4093042,91657087.9600,3,5.292900,1,2.127700
37,2022-04-15,sh.605116,22.7300,22.7300,22.1200,22.3500,22.5600,2474800,55366370.0000,3,3.200300,1,-0.930900
38,2022-04-18,sh.605116,22.3000,22.3900,21.4700,22.1500,22.3500,2105842,46421249.3600,3,2.723100,1,-0.894900
39,2022-04-19,sh.605116,22.3400,23.8200,22.0200,23.3500,22.1500,4663200,108033691.0000,3,6.030200,1,5.417600
40,2022-04-20,sh.605116,23.3600,23.4900,23.0500,23.1900,23.3500,2407100,55956730.0000,3,3.112700,1,-0.685200
41,2022-04-21,sh.605116,23.1900,23.4500,22.6600,23.1500,23.1900,2746906,63270672.1800,3,3.552100,1,-0.172500
42,2022-04-22,sh.605116,22.9500,23.6500,22.8500,23.0400,23.1500,2653700,61880263.0000,3,3.431600,1,-0.475200
43,2022-04-25,sh.605116,23.0900,23.0900,21.0000,21.0500,23.0400,3319300,72287156.0000,3,4.292300,1,-8.637200
44,2022-04-26,sh.605116,20.8100,21.3800,20.0100,20.4700,21.0500,2973890,61663434.8000,3,3.845700,1,-2.755300
