,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.688012,124.4900,124.6600,122.2000,122.9100,124.4800,3041414,375044712.2400,3,0.924900,1,-1.261200
1,2022-02-22,sh.688012,121.9900,125.8000,120.5700,124.5700,122.9100,5198755,642432770.6300,3,1.580900,1,1.350600
2,2022-02-23,sh.688012,124.8100,132.3000,124.8100,129.8000,124.5700,11186471,1451516422.8500,3,3.401700,1,4.198400
3,2022-02-24,sh.688012,129.8000,131.9700,124.0500,127.0600,129.8000,9610917,1226911866.9600,3,2.922600,1,-2.110900
4,2022-02-25,sh.688012,130.0000,130.7800,126.5000,127.8000,127.0600,6003281,770658270.6600,3,1.825500,1,0.582400
5,2022-02-28,sh.688012,126.9500,129.5600,126.5000,128.0800,127.8000,4236163,543116880.0000,3,1.288200,1,0.219100
6,2022-03-01,sh.688012,128.0000,129.1800,126.0300,128.9000,128.0800,4224028,539191024.0000,3,1.284500,1,0.640200
7,2022-03-02,sh.688012,127.9000,127.9000,125.1000,126.9100,128.9000,4469287,564949088.0000,3,1.359100,1,-1.543800
8,2022-03-03,sh.688012,128.9800,128.9800,124.0500,124.0800,126.9100,4383895,552843008.0000,3,1.333100,1,-2.229900
9,2022-03-04,sh.688012,123.0000,129.6900,122.7500,126.0500,124.0800,6613712,840428352.0000,3,2.011100,1,1.587700
10,2022-03-07,sh.688012,125.0100,127.6800,122.0000,123.2800,126.0500,5826057,723964400.0000,3,1.771600,1,-2.197500
11,2022-03-08,sh.688012,123.0000,128.8800,121.0000,124.5000,123.2800,7381071,923124176.0000,3,2.244500,1,0.989600
12,2022-03-09,sh.688012,125.0000,129.3700,122.3300,128.1400,124.5000,9703469,1233614880.0000,3,2.950700,1,2.923700
13,2022-03-10,sh.688012,132.0000,133.0000,125.7000,126.1000,128.1400,9692483,1250892928.0000,3,2.947400,1,-1.592000
14,2022-03-11,sh.688012,123.0200,124.3500,116.6600,120.8500,126.1000,10445860,1257073104.0000,3,3.176500,1,-4.163400
15,2022-03-14,sh.688012,118.8900,120.8300,117.0800,118.8000,120.8500,3529294,420264064.0000,3,1.073200,1,-1.696300
