,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-09-19,sh.688035,71.6000,81.5600,71.6000,75.8500,46.1200,23402025,1770365549.3100,3,79.396900,1,64.462300
1,2022-09-20,sh.688035,77.0000,79.9600,71.0200,79.6900,75.8500,11709882,896740120.2200,3,39.728500,1,5.062600
2,2022-09-21,sh.688035,78.4400,79.6000,67.0000,67.0000,79.6900,9095288,659663653.1600,3,30.857900,1,-15.924200
3,2022-09-22,sh.688035,65.0100,68.5500,63.6300,65.1100,67.0000,6614241,435869049.4800,3,22.440400,1,-2.820900
4,2022-09-23,sh.688035,66.9900,71.6900,66.5300,68.0800,65.1100,5613386,388874803.9600,3,19.044700,1,4.561500
5,2022-09-26,sh.688035,67.0300,74.6300,66.6500,71.2100,68.0800,5807855,415222787.4600,3,19.704500,1,4.597500
6,2022-09-27,sh.688035,70.8000,75.7400,70.2200,73.6000,71.2100,4604102,340700412.3900,3,15.620500,1,3.356300
7,2022-09-28,sh.688035,75.0000,77.7700,73.6700,74.0200,73.6000,3409927,258342668.9000,3,11.569000,1,0.570700
8,2022-09-29,sh.688035,74.6000,76.1800,72.5400,74.5400,74.0200,2620072,194797283.8700,3,8.889200,1,0.702500
9,2022-09-30,sh.688035,74.5000,81.0200,74.0000,77.8600,74.5400,4126973,325576476.7400,3,14.001700,1,4.454000
10,2022-10-10,sh.688035,77.0000,77.6600,67.0000,69.5100,77.8600,4362924,309395623.5100,3,14.802300,1,-10.724400
11,2022-10-11,sh.688035,69.1300,75.3300,68.5000,73.3000,69.5100,3548745,255931957.2100,3,12.040000,1,5.452500
12,2022-10-12,sh.688035,72.5000,80.8800,72.5000,80.8800,73.3000,2756377,210254498.1900,3,9.351700,1,10.341100
13,2022-10-13,sh.688035,81.3700,82.5000,78.5000,81.2000,80.8800,2136947,172903449.7000,3,7.250100,1,0.395600
14,2022-10-14,sh.688035,81.3000,85.0000,79.1000,84.6100,81.2000,3197542,262611949.2700,3,10.848400,1,4.199500
15,2022-10-17,sh.688035,83.0000,83.0000,77.6200,80.4000,84.6100,3045042,244251182.5400,3,10.331000,1,-4.975800
16,2022-10-18,sh.688035,80.4600,81.8800,77.8100,78.9800,80.4000,2111548,168109418.0200,3,7.163900,1,-1.766200
17,2022-10-19,sh.688035,77.5200,79.9800,72.8000,74.2000,78.9800,3140858,235766505.4300,3,10.656100,1,-6.052200
18,2022-10-20,sh.688035,73.0900,81.7400,73.0800,78.1000,74.2000,2493433,192385936.9100,3,8.459600,1,5.256100
19,2022-10-21,sh.688035,78.5000,78.9000,71.2600,76.3700,78.1000,2439811,181163959.4500,3,8.277600,1,-2.215100
20,2022-10-24,sh.688035,76.3400,79.6000,76.0000,76.4100,76.3700,1450498,112775726.3400,3,4.921200,1,0.052400
21,2022-10-25,sh.688035,76.6800,82.7700,75.6500,80.2400,76.4100,1723228,137905389.2800,3,5.846500,1,5.012400
22,2022-10-26,sh.688035,79.7200,83.9700,79.7200,83.0000,80.2400,1668349,136594757.5300,3,5.660300,1,3.439700
23,2022-10-27,sh.688035,82.8900,83.8300,78.1200,78.4500,83.0000,1881742,150476759.8000,3,6.384300,1,-5.481900
24,2022-10-28,sh.688035,77.3600,81.3000,77.0100,78.3100,78.4500,1481410,117030812.8100,3,5.026000,1,-0.178500
25,2022-10-31,sh.688035,79.8700,88.3100,78.3500,86.1000,78.3100,2411705,203902835.8400,3,8.182300,1,9.947600
26,2022-11-01,sh.688035,85.2500,88.0000,84.2000,87.3000,86.1000,1452719,125471436.0500,3,4.928700,1,1.393700
27,2022-11-02,sh.688035,87.1800,88.5000,85.1300,85.9700,87.3000,1137572,98689544.7100,3,3.859500,1,-1.523500
28,2022-11-03,sh.688035,85.3200,91.3000,85.2800,87.8000,85.9700,1188282,105655685.9000,3,4.031500,1,2.128600
29,2022-11-04,sh.688035,88.0100,89.4800,85.1600,86.5000,87.8000,1607732,138970278.8600,3,5.454600,1,-1.480600
30,2022-11-07,sh.688035,86.5000,91.4200,85.3600,86.6800,86.5000,2710873,240200781.4300,3,9.197300,1,0.208100
31,2022-11-08,sh.688035,86.2700,87.8000,84.0000,85.0100,86.6800,1237487,105988365.4100,3,4.198500,1,-1.926600
32,2022-11-09,sh.688035,85.2000,86.1900,82.5000,84.2800,85.0100,968304,81758428.1700,3,3.285200,1,-0.858700
33,2022-11-10,sh.688035,83.9000,85.9900,82.9500,84.9600,84.2800,1217521,102610396.5800,3,4.130700,1,0.806800
34,2022-11-11,sh.688035,87.4800,87.8800,79.7600,81.3000,84.9600,1955093,161691827.8700,3,6.633100,1,-4.307900
35,2022-11-14,sh.688035,81.0000,81.7200,78.4200,80.7000,81.3000,1219549,97915834.8800,3,4.137600,1,-0.738000
36,2022-11-15,sh.688035,80.9000,87.0000,79.9400,83.7000,80.7000,1764486,148361070.0800,3,5.986400,1,3.717500
37,2022-11-16,sh.688035,83.5500,84.5000,78.7300,79.0000,83.7000,1581785,127615807.6800,3,5.366600,1,-5.615300
38,2022-11-17,sh.688035,78.8800,79.4800,76.1500,79.3000,79.0000,1749611,136427686.1900,3,5.936000,1,0.379700
39,2022-11-18,sh.688035,78.7900,79.8000,76.4500,77.1000,79.3000,1339298,103735585.1200,3,4.543900,1,-2.774300
40,2022-11-21,sh.688035,75.6000,77.6200,74.7100,77.3800,77.1000,1146917,87661661.7300,3,3.891200,1,0.363200
41,2022-11-22,sh.688035,77.8500,77.8500,73.1500,74.2100,77.3800,1566552,117031391.5400,3,5.314900,1,-4.096700
42,2022-11-23,sh.688035,73.4600,74.2600,69.9300,72.5600,74.2100,1408489,101062335.4100,3,4.778600,1,-2.223400
43,2022-11-24,sh.688035,72.4000,74.2700,70.3800,70.8000,72.5600,1245796,89739024.6200,3,4.226700,1,-2.425600
44,2022-11-25,sh.688035,70.8900,71.7700,69.0000,69.3100,70.8000,1001386,70272800.8900,3,3.397400,1,-2.104500
45,2022-11-28,sh.688035,68.1200,69.0400,65.7200,66.7500,69.3100,2022660,135310027.4900,3,6.862400,1,-3.693600
46,2022-11-29,sh.688035,66.9000,68.6800,65.5600,67.7500,66.7500,1414146,95212527.8800,3,4.797800,1,1.498100
47,2022-11-30,sh.688035,63.0000,63.5600,57.0000,61.7000,67.7500,6902761,409700080.2400,3,23.419300,1,-8.929900
48,2022-12-01,sh.688035,60.0000,61.6800,60.0000,60.7100,61.7000,3681741,223747311.9900,3,12.491200,1,-1.604500
49,2022-12-02,sh.688035,60.5000,63.4800,60.0000,62.4700,60.7100,2953862,184065158.2300,3,10.021700,1,2.899000
