,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.688039,55.9300,57.5800,55.7900,57.5300,56.1000,1167434,66348017.0400,3,2.361700,1,2.549000
1,2022-02-22,sh.688039,57.1700,57.3000,55.0000,56.2200,57.5300,1845041,103383231.4500,3,3.732400,1,-2.277100
2,2022-02-23,sh.688039,56.3400,58.1100,55.6000,57.6700,56.2200,1142755,65133421.4700,3,2.311700,1,2.579200
3,2022-02-24,sh.688039,57.1100,57.4800,52.7300,54.3000,57.6700,2256545,123547904.0100,3,4.564900,1,-5.843600
4,2022-02-25,sh.688039,54.5700,55.6400,53.9000,53.9200,54.3000,1028644,56232476.0000,3,2.080900,1,-0.699800
5,2022-02-28,sh.688039,50.0000,53.6200,49.5000,51.0300,53.9200,5047361,259278818.0000,3,10.210600,1,-5.359800
6,2022-03-01,sh.688039,51.7100,53.6700,51.3000,53.0500,51.0300,2657385,139089376.0000,3,5.375800,1,3.958500
7,2022-03-02,sh.688039,52.9700,52.9700,51.1800,51.9900,53.0500,1435883,74421539.0000,3,2.904700,1,-1.998100
8,2022-03-03,sh.688039,52.1800,52.4700,49.9000,50.2400,51.9900,2033158,102754147.0000,3,4.113000,1,-3.366000
9,2022-03-04,sh.688039,50.3200,51.3000,49.4400,49.6900,50.2400,2180048,109392114.0000,3,4.410100,1,-1.094700
10,2022-03-07,sh.688039,49.7200,49.7200,47.7900,48.4000,49.6900,1598558,77434149.0000,3,3.233800,1,-2.596100
11,2022-03-08,sh.688039,48.5100,49.2000,47.1100,47.7400,48.4000,1804303,87316442.0000,3,3.650000,1,-1.363600
12,2022-03-09,sh.688039,48.3900,48.4000,44.6500,46.4500,47.7400,1681499,77924979.0000,3,3.401600,1,-2.702100
13,2022-03-10,sh.688039,47.9900,48.5200,46.1100,46.4300,46.4500,1404461,66432503.0000,3,2.841200,1,-0.043100
14,2022-03-11,sh.688039,45.7000,47.4600,44.9800,47.1800,46.4300,1115680,51470606.0000,3,2.257000,1,1.615300
