,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.688071,48.0000,49.9000,47.8800,48.2000,49.1000,379808,18419444.0900,3,2.453400,1,-1.833000
1,2022-02-22,sh.688071,47.5400,48.2100,45.7500,47.4200,48.2000,492504,23251539.5500,3,3.181400,1,-1.618300
2,2022-02-23,sh.688071,48.3200,49.6400,47.0100,48.8000,47.4200,519145,25202383.4800,3,3.353500,1,2.910200
3,2022-02-24,sh.688071,49.5000,52.4000,49.2800,51.5300,48.8000,1245447,63528435.0600,3,8.045200,1,5.594300
4,2022-02-25,sh.688071,51.6800,53.5000,50.1000,51.6500,51.5300,728691,37970144.1600,3,4.707100,1,0.232900
5,2022-02-28,sh.688071,51.6500,52.1900,50.6200,51.0100,51.6500,417943,21417380.0000,3,2.699800,1,-1.239100
6,2022-03-01,sh.688071,50.3300,52.5500,50.3300,50.8000,51.0100,367156,18842469.0000,3,2.371700,1,-0.411700
7,2022-03-02,sh.688071,41.7900,51.7500,41.7800,50.8300,50.8000,405620,20505214.0000,3,2.620200,1,0.059100
8,2022-03-03,sh.688071,50.8300,51.3500,49.0100,49.3500,50.8300,314569,15619311.0000,3,2.032000,1,-2.911700
9,2022-03-04,sh.688071,48.4300,49.3000,47.5000,47.8900,49.3500,336458,16214841.0000,3,2.173400,1,-2.958500
10,2022-03-07,sh.688071,49.0000,49.0000,46.0000,46.4100,47.8900,466709,21910991.0000,3,3.014800,1,-3.090400
11,2022-03-08,sh.688071,47.4700,47.4700,43.0300,43.9600,46.4100,739218,33117071.0000,3,4.775100,1,-5.279000
12,2022-03-09,sh.688071,43.9600,45.5700,38.8000,41.2800,43.9600,1677968,69347117.0000,3,10.839100,1,-6.096500
13,2022-03-10,sh.688071,41.9000,42.5000,40.5000,40.8000,41.2800,858902,35593068.0000,3,5.548200,1,-1.162800
14,2022-03-11,sh.688071,41.4300,41.6200,39.4000,41.2900,40.8000,407450,16419882.0000,3,2.632000,1,1.201000
15,2022-03-14,sh.688071,41.2900,41.9900,40.4900,40.5200,41.2900,547597,22515148.0000,3,3.537300,1,-1.864900
16,2022-03-15,sh.688071,40.7800,41.9600,39.9300,40.2000,40.5200,537351,21947956.0000,3,3.471100,1,-0.789700
17,2022-03-16,sh.688071,41.5000,42.0000,38.4200,41.5300,40.2000,616480,24658456.0000,3,3.982300,1,3.308500
18,2022-03-17,sh.688071,41.8300,46.0900,41.8300,44.6700,41.5300,885959,39481958.0000,3,5.723000,1,7.560800
19,2022-03-18,sh.688071,46.0000,46.0000,43.0000,44.9800,44.6700,710548,31687223.4700,3,4.589900,1,0.694000
20,2022-03-21,sh.688071,45.2100,45.2200,43.4000,43.6000,44.9800,382033,16831437.1900,3,2.467800,1,-3.068000
21,2022-03-22,sh.688071,43.5900,44.2000,42.4300,43.7600,43.6000,301786,13130066.3600,3,1.949400,1,0.367000
22,2022-03-23,sh.688071,44.2800,44.9900,42.3500,43.3000,43.7600,394854,16987986.4400,3,2.550600,1,-1.051200
23,2022-03-24,sh.688071,43.6900,43.8600,41.3600,43.3300,43.3000,337572,14438373.3500,3,2.180600,1,0.069300
24,2022-03-25,sh.688071,42.2000,43.8200,42.2000,42.2700,43.3300,287942,12344587.3700,3,1.860000,1,-2.446300
25,2022-03-28,sh.688071,40.0000,44.3900,40.0000,41.7100,42.2700,703188,29518910.5800,3,4.542400,1,-1.324800
26,2022-03-29,sh.688071,42.9000,42.9000,40.0000,40.2000,41.7100,264961,10875249.8800,3,1.711600,1,-3.620200
27,2022-03-30,sh.688071,42.4000,42.4000,39.7700,40.5600,40.2000,325891,13187525.2700,3,2.105200,1,0.895500
28,2022-03-31,sh.688071,40.6900,40.6900,39.6900,40.0000,40.5600,254443,10170635.1200,3,1.643600,1,-1.380700
29,2022-04-01,sh.688071,39.0700,40.4000,38.5000,39.0500,40.0000,404307,15782145.5900,3,2.611700,1,-2.375000
30,2022-04-06,sh.688071,39.0600,39.0800,37.8000,37.9400,39.0500,222956,8552237.1800,3,1.440200,1,-2.842500
31,2022-04-07,sh.688071,37.8000,38.1500,36.5900,37.2800,37.9400,299327,11148513.9400,3,1.933600,1,-1.739600
32,2022-04-08,sh.688071,36.1100,37.7400,36.0300,36.9700,37.2800,228671,8400911.4700,3,1.477100,1,-0.831500
33,2022-04-11,sh.688071,36.6000,37.6200,34.1600,34.5800,36.9700,271215,9566157.6200,3,1.752000,1,-6.464700
34,2022-04-12,sh.688071,34.3200,36.7100,34.0300,36.5400,34.5800,427701,15226608.6900,3,2.762800,1,5.668000
35,2022-04-13,sh.688071,35.6000,36.6400,34.8900,36.0000,36.5400,207065,7406497.0900,3,1.337600,1,-1.477800
36,2022-04-14,sh.688071,35.0100,36.5400,35.0100,35.5400,36.0000,182347,6521334.3500,3,1.177900,1,-1.277800
37,2022-04-15,sh.688071,35.0100,35.0100,33.2200,33.4900,35.5400,461745,15630235.2600,3,2.982700,1,-5.768100
38,2022-04-18,sh.688071,33.6900,36.5000,32.2100,35.2400,33.4900,394754,13767807.7800,3,2.550000,1,5.225400
