,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.688079,13.9600,14.1400,13.9200,14.0800,14.1300,779749,10978126.3200,3,1.062800,1,-0.353900
1,2022-02-22,sh.688079,14.0100,14.0100,13.5700,13.6800,14.0800,1270976,17481545.3200,3,1.732400,1,-2.840900
2,2022-02-23,sh.688079,13.7800,14.1900,13.6800,14.1600,13.6800,1402564,19676258.0700,3,1.911700,1,3.508800
3,2022-02-24,sh.688079,14.0300,14.1700,13.6000,13.7900,14.1600,1323641,18378421.0100,3,1.804100,1,-2.613000
4,2022-02-25,sh.688079,13.8800,14.1100,13.8700,13.8800,13.7900,826115,11553223.4600,3,1.126000,1,0.652600
5,2022-02-28,sh.688079,13.8800,13.8900,13.5200,13.6100,13.8800,1014744,13817503.0000,3,1.383100,1,-1.945200
6,2022-03-01,sh.688079,13.6600,13.7900,13.5800,13.6800,13.6100,715758,9773103.0000,3,0.975600,1,0.514300
7,2022-03-02,sh.688079,13.7900,13.7900,13.6300,13.6900,13.6800,440599,6033634.0000,3,0.253100,1,0.073100
8,2022-03-03,sh.688079,14.0300,14.3500,13.8800,14.1500,13.6900,2668937,37690921.0000,3,1.533000,1,3.360100
9,2022-03-04,sh.688079,14.0200,14.1500,13.7000,13.9900,14.1500,1761055,24490213.0000,3,1.011500,1,-1.130700
10,2022-03-07,sh.688079,13.8500,13.8500,13.5300,13.6200,13.9900,964304,13150478.0000,3,0.553900,1,-2.644700
11,2022-03-08,sh.688079,13.6200,13.7400,13.2600,13.2600,13.6200,821225,11065539.0000,3,0.471700,1,-2.643200
12,2022-03-09,sh.688079,13.5400,13.5400,12.8500,13.2500,13.2600,944359,12478184.0000,3,0.542400,1,-0.075400
13,2022-03-10,sh.688079,13.5200,13.6600,13.2000,13.2000,13.2500,862825,11602180.0000,3,0.495600,1,-0.377400
14,2022-03-11,sh.688079,13.2000,13.5400,12.8800,13.4500,13.2000,1422944,18835377.0000,3,0.817300,1,1.893900
15,2022-03-14,sh.688079,13.3100,13.3100,12.9200,12.9300,13.4500,881470,11582548.0000,3,0.506300,1,-3.866200
16,2022-03-15,sh.688079,12.9200,13.0000,12.1400,12.1400,12.9300,1158681,14695459.0000,3,0.665500,1,-6.109800
17,2022-03-16,sh.688079,12.5000,12.5300,11.8300,12.4700,12.1400,1234390,15132065.0000,3,0.709000,1,2.718300
18,2022-03-17,sh.688079,12.6700,13.0800,12.5000,13.0600,12.4700,1325321,17034877.0000,3,0.761200,1,4.731400
19,2022-03-18,sh.688079,13.0600,13.3200,12.8100,13.3200,13.0600,942705,12281341.0800,3,0.541500,1,1.990800
20,2022-03-21,sh.688079,13.4300,13.4300,13.1300,13.2800,13.3200,813700,10821328.3200,3,0.467400,1,-0.300300
21,2022-03-22,sh.688079,13.2300,13.2800,13.0600,13.0800,13.2800,645918,8480382.1600,3,0.371000,1,-1.506000
22,2022-03-23,sh.688079,13.0800,13.1500,12.8900,13.1500,13.0800,550867,7202875.3900,3,0.316400,1,0.535200
23,2022-03-24,sh.688079,13.0000,13.0100,12.8200,12.8900,13.1500,551627,7122754.9700,3,0.316800,1,-1.977200
24,2022-03-25,sh.688079,12.9500,13.0900,12.8500,12.9200,12.8900,502144,6508611.3700,3,0.288400,1,0.232700
25,2022-03-28,sh.688079,12.8100,12.9100,12.5900,12.7100,12.9200,738858,9392403.9900,3,0.424400,1,-1.625400
26,2022-03-29,sh.688079,12.8400,12.8400,12.3500,12.4700,12.7100,655202,8205539.2900,3,0.376300,1,-1.888300
27,2022-03-30,sh.688079,12.5300,12.6900,12.4900,12.5500,12.4700,554502,6958884.0200,3,0.318500,1,0.641500
28,2022-03-31,sh.688079,12.6200,12.6300,12.4000,12.4800,12.5500,440938,5493086.1700,3,0.253300,1,-0.557800
29,2022-04-01,sh.688079,12.3400,12.5000,12.2000,12.4700,12.4800,430123,5332311.8200,3,0.247100,1,-0.080100
30,2022-04-06,sh.688079,12.2500,12.4600,12.2000,12.2900,12.4700,689897,8500997.7000,3,0.396300,1,-1.443500
31,2022-04-07,sh.688079,12.2100,12.2600,11.9300,11.9900,12.2900,901672,10870565.5300,3,0.517900,1,-2.441000
32,2022-04-08,sh.688079,12.0000,12.0500,11.7000,11.8300,11.9900,754285,8919654.3700,3,0.433200,1,-1.334400
33,2022-04-11,sh.688079,11.7700,11.8500,11.1200,11.1500,11.8300,1050057,12024451.1800,3,0.603100,1,-5.748100
34,2022-04-12,sh.688079,11.1000,11.5500,11.1000,11.4900,11.1500,770337,8721118.1000,3,0.442500,1,3.049300
35,2022-04-13,sh.688079,11.4900,11.6400,11.2600,11.3400,11.4900,565985,6501926.1500,3,0.325100,1,-1.305500
36,2022-04-14,sh.688079,11.4400,11.5000,11.2500,11.3000,11.3400,668642,7596892.5800,3,0.384000,1,-0.352700
37,2022-04-15,sh.688079,11.1200,11.4500,10.8600,11.4500,11.3000,1011418,11213706.0400,3,0.580900,1,1.327400
38,2022-04-18,sh.688079,11.2000,11.6000,11.0100,11.4500,11.4500,708481,8060739.7100,3,0.406900,1,0.000000
39,2022-04-19,sh.688079,11.4800,11.5300,11.3100,11.3100,11.4500,487584,5543075.1100,3,0.280100,1,-1.222700
40,2022-04-20,sh.688079,11.3900,11.4600,11.1400,11.2000,11.3100,429332,4861717.6900,3,0.246600,1,-0.972600
41,2022-04-21,sh.688079,11.1200,11.2100,10.4100,10.4300,11.2000,1203022,12931420.5000,3,0.691000,1,-6.875000
42,2022-04-22,sh.688079,10.4000,10.8600,10.2000,10.4500,10.4300,1076444,11209745.1600,3,0.618300,1,0.191800
43,2022-04-25,sh.688079,10.5300,10.5300,9.4700,9.6300,10.4500,2134933,21384932.7500,3,1.226200,1,-7.846900
44,2022-04-26,sh.688079,9.7000,9.7100,9.2100,9.2400,9.6300,890338,8426438.6800,3,0.511400,1,-4.049800
45,2022-04-27,sh.688079,9.2500,9.5100,8.9200,9.4300,9.2400,901732,8260726.3600,3,0.517900,1,2.056300
46,2022-04-28,sh.688079,9.3900,9.3900,9.0000,9.0300,9.4300,984378,9024806.1900,3,0.565400,1,-4.241800
47,2022-04-29,sh.688079,9.1700,9.9200,9.1100,9.7500,9.0300,1709791,16433786.8200,3,0.982100,1,7.973400
48,2022-05-05,sh.688079,9.5800,10.1500,9.5000,10.0900,9.7500,1936195,19333388.0500,3,1.112100,1,3.487200
49,2022-05-06,sh.688079,9.9700,10.2800,9.7100,10.1900,10.0900,1373050,13840436.9800,3,0.788600,1,0.991100
50,2022-05-09,sh.688079,10.2000,10.4500,10.1100,10.4100,10.1900,1385628,14246065.3500,3,0.795900,1,2.159000
51,2022-05-10,sh.688079,10.2000,10.6700,10.1200,10.6300,10.4100,1242611,13024549.5100,3,0.713700,1,2.113400
52,2022-05-11,sh.688079,10.7900,10.9800,10.5200,10.6400,10.6300,1490082,16074193.2800,3,0.855900,1,0.094100
53,2022-05-12,sh.688079,10.6500,10.8400,10.6000,10.7200,10.6400,925119,9904896.2900,3,0.531400,1,0.751900
54,2022-05-13,sh.688079,10.7600,10.8500,10.6000,10.7500,10.7200,645861,6911590.4400,3,0.371000,1,0.279900
55,2022-05-16,sh.688079,10.8500,10.8500,10.5700,10.6800,10.7500,707815,7545546.5300,3,0.406500,1,-0.651200
56,2022-05-17,sh.688079,10.7000,10.8600,10.5200,10.6700,10.6800,711783,7609713.5500,3,0.408800,1,-0.093600
57,2022-05-18,sh.688079,10.7500,11.1900,10.6800,10.8700,10.6700,1704763,18510684.8100,3,0.979200,1,1.874400
58,2022-05-19,sh.688079,10.7000,10.8800,10.4800,10.5900,10.8700,1514539,16102978.5400,3,0.869900,1,-2.575900
59,2022-05-20,sh.688079,10.6900,10.7700,10.4700,10.6600,10.5900,758411,8055815.0500,3,0.435600,1,0.661000
60,2022-05-23,sh.688079,10.7200,10.8000,10.6000,10.7500,10.6600,719459,7712184.2700,3,0.413200,1,0.844300
61,2022-05-24,sh.688079,10.7500,11.3300,10.4300,10.4500,10.7500,2065497,22430500.0200,3,1.186400,1,-2.790700
62,2022-05-25,sh.688079,10.7400,10.8500,10.2500,10.5000,10.4500,579997,6039406.4200,3,0.333100,1,0.478500
63,2022-05-26,sh.688079,10.5100,10.6000,10.1600,10.3900,10.5000,631419,6536852.9600,3,0.362700,1,-1.047600
64,2022-05-27,sh.688079,10.3700,10.4900,10.1600,10.2100,10.3900,733999,7578096.9700,3,0.421600,1,-1.732400
65,2022-05-30,sh.688079,10.2100,10.3900,10.1800,10.3300,10.2100,513015,5278252.2200,3,0.294700,1,1.175300
66,2022-05-31,sh.688079,10.3300,11.3700,10.2100,10.9600,10.3300,2875486,31273902.5500,3,1.651600,1,6.098700
67,2022-06-01,sh.688079,11.4700,11.4700,10.8700,11.0700,10.9600,3162741,35049671.3100,3,1.816600,1,1.003600
68,2022-06-02,sh.688079,10.9000,11.7700,10.8000,11.5700,11.0000,4090892,46360547.2800,3,2.349700,1,5.181800
69,2022-06-06,sh.688079,11.6300,12.0800,11.5300,11.8600,11.5700,3417478,40411567.2300,3,1.962900,1,2.506500
70,2022-06-07,sh.688079,11.6900,11.9000,11.4400,11.6000,11.8600,2584707,29989027.1200,3,1.484600,1,-2.192200
71,2022-06-08,sh.688079,11.5800,11.6500,11.0000,11.2900,11.6000,2459987,27776892.0700,3,1.412900,1,-2.672400
72,2022-06-09,sh.688079,11.1100,11.2200,10.7600,10.8800,11.2900,2035634,22321690.1800,3,1.169200,1,-3.631500
73,2022-06-10,sh.688079,10.9300,11.0000,10.8200,10.9100,10.8800,1298878,14153274.7000,3,0.746000,1,0.275700
74,2022-06-13,sh.688079,10.8500,10.9500,10.6000,10.7400,10.9100,1884448,20277277.0900,3,1.082400,1,-1.558200
75,2022-06-14,sh.688079,10.6500,10.6500,10.1500,10.4500,10.7400,2025122,21009793.3700,3,1.163200,1,-2.700200
76,2022-06-15,sh.688079,10.3500,10.8700,10.3100,10.4900,10.4500,2800733,29853176.2700,3,1.608700,1,0.382800
77,2022-06-16,sh.688079,10.6400,10.8500,10.5000,10.6300,10.4900,2292773,24497562.6000,3,1.316900,1,1.334600
78,2022-06-17,sh.688079,10.6100,10.7000,10.3500,10.6200,10.6300,1674942,17642079.5600,3,0.962000,1,-0.094100
79,2022-06-20,sh.688079,10.6200,10.7700,10.5400,10.6600,10.6200,1396765,14904680.3700,3,0.802300,1,0.376600
80,2022-06-21,sh.688079,10.6200,10.8200,10.5300,10.6800,10.6600,1664767,17817552.9200,3,0.956200,1,0.187600
81,2022-06-22,sh.688079,10.7800,10.7900,10.2500,10.2600,10.6800,1804955,18789805.1800,3,1.036700,1,-3.932600
82,2022-06-23,sh.688079,10.2600,10.5700,10.1000,10.5700,10.2600,1717708,17933364.0100,3,0.986600,1,3.021400
83,2022-06-24,sh.688079,10.6000,10.7600,10.6000,10.6600,10.5700,1557394,16637322.7800,3,0.894500,1,0.851500
84,2022-06-27,sh.688079,10.6700,10.8500,10.6200,10.7800,10.6600,1403057,15092387.1600,3,0.805900,1,1.125700
85,2022-06-28,sh.688079,10.8200,11.3700,10.6700,11.3200,10.7800,3572265,39740599.3600,3,2.051800,1,5.009300
86,2022-06-29,sh.688079,11.2700,11.5400,11.0800,11.0800,11.3200,2808800,31650553.9600,3,1.613300,1,-2.120100
87,2022-06-30,sh.688079,11.0800,11.3500,11.0400,11.2800,11.0800,2211304,24812262.8400,3,1.270100,1,1.805100
88,2022-07-01,sh.688079,11.2800,11.5300,11.1200,11.3100,11.2800,2663527,29961774.4400,3,1.529900,1,0.266000
89,2022-07-04,sh.688079,11.2000,11.4800,10.9300,11.2000,11.3100,1975679,21989193.4800,3,1.134800,1,-0.972600
90,2022-07-05,sh.688079,11.3100,11.3100,10.9400,11.0900,11.2000,1570732,17429840.5600,3,0.902200,1,-0.982100
91,2022-07-06,sh.688079,10.9800,11.2500,10.8700,10.9800,11.0900,1636354,18124557.5000,3,0.939900,1,-0.991900
92,2022-07-07,sh.688079,10.8500,11.0400,10.8100,10.8900,10.9800,1506256,16452332.1900,3,0.865200,1,-0.819700
93,2022-07-08,sh.688079,10.9800,11.2100,10.9000,11.0600,10.8900,1270287,14086027.4800,3,0.729600,1,1.561100
94,2022-07-11,sh.688079,11.0400,11.0800,10.6900,10.8100,11.0600,1359669,14749940.5300,3,0.781000,1,-2.260400
95,2022-07-12,sh.688079,10.8600,10.8600,10.2900,10.3700,10.8100,1971583,20681958.7500,3,1.132400,1,-4.070300
96,2022-07-13,sh.688079,10.4700,10.4700,10.3000,10.3000,10.3700,782873,8116372.3000,3,0.449700,1,-0.675000
97,2022-07-14,sh.688079,10.3000,10.5500,10.1600,10.3800,10.3000,1342089,13979374.0300,3,0.770900,1,0.776700
98,2022-07-15,sh.688079,10.3800,10.3800,10.0600,10.0600,10.3800,1461021,14897090.7400,3,0.839200,1,-3.082900
99,2022-07-18,sh.688079,10.2000,10.5000,10.1300,10.4700,10.0600,1332140,13804902.6100,3,0.765100,1,4.075500
100,2022-07-19,sh.688079,10.3700,10.6400,10.3700,10.5900,10.4700,1226938,12941217.2900,3,0.704700,1,1.146100
101,2022-07-20,sh.688079,10.5900,10.9400,10.5200,10.9300,10.5900,1618463,17438553.4000,3,0.929600,1,3.210600
102,2022-07-21,sh.688079,10.8800,10.9700,10.6500,10.7400,10.9300,2437172,26325425.1900,3,1.399800,1,-1.738300
103,2022-07-22,sh.688079,10.8400,10.8500,10.4200,10.5300,10.7400,2061592,21827885.2400,3,1.184100,1,-1.955300
104,2022-07-25,sh.688079,10.5700,10.8200,10.4300,10.5000,10.5300,2265940,23961572.2200,3,1.301500,1,-0.284900
105,2022-07-26,sh.688079,10.4100,10.6200,10.2700,10.5800,10.5000,1474593,15461558.5500,3,0.847000,1,0.761900
106,2022-07-27,sh.688079,10.5200,10.6600,10.4400,10.6100,10.5800,1083560,11469637.6400,3,0.622400,1,0.283600
107,2022-07-28,sh.688079,10.7300,11.2200,10.5700,10.9800,10.6100,4481736,49153371.5700,3,2.574200,1,3.487300
108,2022-07-29,sh.688079,11.0800,11.0800,10.7300,10.7900,10.9800,1736252,18850073.7900,3,0.997300,1,-1.730400
109,2022-08-01,sh.688079,10.7400,11.0600,10.5600,11.0200,10.7900,1789670,19523192.1700,3,1.027900,1,2.131600
110,2022-08-02,sh.688079,10.9700,10.9700,10.3700,10.6400,11.0200,3075671,32743855.6000,3,1.766600,1,-3.448300
111,2022-08-03,sh.688079,10.6800,11.4400,10.6800,11.0900,10.6400,5197322,58093751.0000,3,2.985200,1,4.229300
112,2022-08-04,sh.688079,11.1800,11.3800,11.0600,11.2800,11.0900,3061677,34396807.0000,3,1.758500,1,1.713300
113,2022-08-05,sh.688079,11.3800,11.9000,11.2900,11.8600,11.2800,5851114,68400060.0000,3,3.360700,1,5.141800
114,2022-08-08,sh.688079,11.9000,12.3500,11.6900,12.2400,11.8600,5643255,68097560.0000,3,3.241300,1,3.204000
115,2022-08-09,sh.688079,12.2300,12.4100,12.0000,12.3500,12.2400,4733718,57656668.0000,3,2.718900,1,0.898700
116,2022-08-10,sh.688079,12.2100,12.6200,12.2100,12.5300,12.3500,4642378,57829481.0000,3,2.666500,1,1.457500
117,2022-08-11,sh.688079,12.5300,12.7500,12.3500,12.3900,12.5300,6971800,87209146.0000,3,4.004400,1,-1.117300
118,2022-08-12,sh.688079,12.2700,12.4400,11.9000,11.9500,12.3900,4587952,55675152.0000,3,2.635200,1,-3.551300
119,2022-08-15,sh.688079,11.9300,12.2000,11.8200,11.9100,11.9500,2865387,34237951.4800,3,1.645800,1,-0.334700
120,2022-08-16,sh.688079,11.8700,12.0400,11.8200,11.9800,11.9100,2861965,34167621.3000,3,1.643800,1,0.587700
121,2022-08-17,sh.688079,12.1000,12.8800,11.9800,12.5900,11.9800,6340387,79062569.1700,3,3.641700,1,5.091800
122,2022-08-18,sh.688079,12.6100,13.2400,12.3500,13.0600,12.5900,6804905,87224936.2100,3,3.908500,1,3.733100
123,2022-08-19,sh.688079,13.0700,13.2700,12.4100,12.6000,13.0600,7582187,96882386.4900,3,4.355000,1,-3.522200
124,2022-08-22,sh.688079,12.4800,13.3500,12.2300,13.2700,12.6000,9877803,127999582.7700,3,5.673500,1,5.317500
125,2022-08-23,sh.688079,13.1000,13.1200,12.5300,12.6300,13.2700,7547669,96499438.4200,3,4.335200,1,-4.822900
126,2022-08-24,sh.688079,12.6000,12.7100,11.9200,11.9900,12.6300,4897501,59727237.0400,3,2.813000,1,-5.067300
127,2022-08-25,sh.688079,12.1200,12.1500,11.4000,11.5200,11.9900,3277593,38109104.9800,3,1.882600,1,-3.919900
128,2022-08-26,sh.688079,11.2500,11.5100,10.4900,10.5700,11.5200,7367889,80344918.9500,3,4.231900,1,-8.246500
129,2022-08-29,sh.688079,10.4400,10.6500,10.3000,10.4700,10.5700,2838670,29760023.6200,3,1.630500,1,-0.946100
130,2022-08-30,sh.688079,10.4200,10.5800,10.2700,10.3400,10.4700,2657354,27682668.5500,3,1.526300,1,-1.241600
131,2022-08-31,sh.688079,10.2300,10.4300,9.9500,10.1400,10.3400,2688706,27245139.4500,3,1.544300,1,-1.934200
132,2022-09-01,sh.688079,10.1600,10.2500,9.9600,9.9800,10.1400,2340461,23592032.6800,3,1.344300,1,-1.577900
133,2022-09-02,sh.688079,10.0400,10.2300,10.0000,10.1700,9.9800,1273650,12917195.8000,3,0.731500,1,1.903800
134,2022-09-05,sh.688079,10.2300,10.2300,9.9900,10.0800,10.1700,1268114,12795639.5500,3,0.728400,1,-0.885000
135,2022-09-06,sh.688079,10.1700,10.1800,10.0200,10.1700,10.0800,1346509,13617973.7100,3,0.773400,1,0.892900
136,2022-09-07,sh.688079,10.2000,10.3700,10.1500,10.2100,10.1700,2342419,24060273.5900,3,1.345400,1,0.393300
137,2022-09-08,sh.688079,10.2500,10.3200,10.0100,10.0400,10.2100,1962242,19897923.3700,3,1.127100,1,-1.665000
138,2022-09-09,sh.688079,10.0300,10.0400,9.8800,10.0300,10.0400,1382383,13776254.9900,3,0.794000,1,-0.099600
139,2022-09-13,sh.688079,10.0300,10.3200,10.0100,10.0700,10.0300,1792828,18188696.1800,3,1.029700,1,0.398800
140,2022-09-14,sh.688079,9.9700,10.0500,9.8600,10.0400,10.0700,1391230,13830894.1400,3,0.799100,1,-0.297900
141,2022-09-15,sh.688079,10.0500,10.0800,9.5600,9.7500,10.0400,1764205,17309537.2500,3,1.013300,1,-2.888400
142,2022-09-16,sh.688079,9.6300,9.8500,9.5600,9.5600,9.7500,1051339,10212062.9700,3,0.603900,1,-1.948700
143,2022-09-19,sh.688079,9.5600,9.7500,9.4600,9.5100,9.5600,891696,8545300.2400,3,0.512200,1,-0.523000
144,2022-09-20,sh.688079,9.5500,9.7000,9.5500,9.6600,9.5100,540708,5212236.3700,3,0.310600,1,1.577300
145,2022-09-21,sh.688079,9.5800,9.8900,9.3500,9.6800,9.6600,1186496,11524579.0500,3,0.681500,1,0.207000
146,2022-09-22,sh.688079,9.6400,9.7400,9.5100,9.6000,9.6800,856770,8231292.8700,3,0.492100,1,-0.826400
147,2022-09-23,sh.688079,9.5100,9.6600,9.1000,9.3000,9.6000,1647840,15340273.4100,3,0.946500,1,-3.125000
148,2022-09-26,sh.688079,9.2100,9.2900,8.9100,9.0000,9.3000,1150447,10467772.2900,3,0.660800,1,-3.225800
149,2022-09-27,sh.688079,9.0800,9.3200,9.0000,9.2800,9.0000,990665,9111005.7500,3,0.569000,1,3.111100
150,2022-09-28,sh.688079,9.2300,9.3700,9.1500,9.1600,9.2800,913506,8476607.9900,3,0.524700,1,-1.293100
151,2022-09-29,sh.688079,9.1800,9.3200,9.0100,9.0300,9.1600,696174,6350084.6200,3,0.399900,1,-1.419200
152,2022-09-30,sh.688079,9.1100,9.1400,8.9300,8.9600,9.0300,682229,6146054.0100,3,0.391900,1,-0.775200
153,2022-10-10,sh.688079,8.9800,8.9800,8.5900,8.6900,8.9600,789274,6913313.6700,3,0.453300,1,-3.013400
154,2022-10-11,sh.688079,8.7600,8.7600,8.4300,8.5200,8.6900,425263,3636722.7500,3,0.244300,1,-1.956300
155,2022-10-12,sh.688079,8.4800,8.9700,8.3900,8.9300,8.5200,800871,6929029.3600,3,0.460000,1,4.812200
156,2022-10-13,sh.688079,8.9400,9.1800,8.8400,9.0600,8.9300,625450,5678955.5700,3,0.359200,1,1.455800
157,2022-10-14,sh.688079,9.0600,9.2500,9.0600,9.1800,9.0600,798293,7337760.1000,3,0.458500,1,1.324500
158,2022-10-17,sh.688079,9.1800,9.4500,9.1000,9.4100,9.1800,1234586,11487436.7500,3,0.709100,1,2.505400
159,2022-10-18,sh.688079,9.4700,9.5600,9.3100,9.3600,9.4100,1054462,9889713.1000,3,0.605700,1,-0.531300
160,2022-10-19,sh.688079,9.4900,9.4900,9.1200,9.1500,9.3600,914539,8479551.3300,3,0.525300,1,-2.243600
161,2022-10-20,sh.688079,9.3000,9.5700,9.0600,9.4200,9.1500,1809325,17012872.2100,3,1.039200,1,2.950800
162,2022-10-21,sh.688079,9.3700,9.5700,9.1700,9.2300,9.4200,1039479,9616375.0300,3,0.597000,1,-2.017000
163,2022-10-24,sh.688079,9.2600,9.4200,9.1300,9.1900,9.2300,1085965,10116911.2600,3,0.623700,1,-0.433400
164,2022-10-25,sh.688079,9.1300,9.1700,8.9100,8.9900,9.1900,924913,8353812.3200,3,0.531200,1,-2.176300
165,2022-10-26,sh.688079,9.0800,9.3900,9.0000,9.3700,8.9900,1112367,10331486.3000,3,0.638900,1,4.226900
166,2022-10-27,sh.688079,9.4500,9.4500,9.2000,9.2600,9.3700,1359943,12700691.9600,3,0.781100,1,-1.174000
167,2022-10-28,sh.688079,9.3300,9.3300,8.8300,8.9000,9.2600,1500512,13603667.3000,3,0.861900,1,-3.887700
168,2022-10-31,sh.688079,8.9600,9.4400,8.9100,9.3300,8.9000,1868051,17361111.2000,3,1.073000,1,4.831500
169,2022-11-01,sh.688079,9.4500,9.4800,9.2700,9.4800,9.3300,989647,9293308.7300,3,0.568400,1,1.607700
170,2022-11-02,sh.688079,9.6700,10.4400,9.6000,9.8900,9.4800,4249978,42640666.2800,3,2.441100,1,4.324900
171,2022-11-03,sh.688079,9.8800,10.0200,9.6600,9.9100,9.8900,2040022,20176548.1700,3,1.171700,1,0.202200
172,2022-11-04,sh.688079,9.9600,10.1400,9.8500,10.0000,9.9100,2250221,22516429.2200,3,1.292500,1,0.908200
