,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-07-13,sh.688353,109.9800,128.0000,106.8000,112.2500,98.3500,16623462,1930845382.0100,3,66.001900,1,14.133200
1,2022-07-14,sh.688353,106.0000,118.3900,102.2200,114.8100,112.2500,9554058,1061759815.5800,3,37.933500,1,2.280600
2,2022-07-15,sh.688353,114.5500,129.2000,113.2800,119.8900,114.8100,9877796,1212436820.0100,3,39.218800,1,4.424700
3,2022-07-18,sh.688353,121.4500,123.1400,113.0000,119.8000,119.8900,7315924,861924433.3700,3,29.047200,1,-0.075100
4,2022-07-19,sh.688353,118.3300,125.5000,117.2700,120.9400,119.8000,5247884,638979078.3800,3,20.836200,1,0.951600
5,2022-07-20,sh.688353,121.5000,122.0000,114.7900,114.7900,120.9400,5177823,605411788.1800,3,20.558100,1,-5.085200
6,2022-07-21,sh.688353,113.9700,118.6000,111.6500,111.8800,114.7900,4479063,513957588.3100,3,17.783700,1,-2.535100
7,2022-07-22,sh.688353,112.3900,114.1300,109.0100,113.9500,111.8800,3753605,420075623.3500,3,14.903300,1,1.850200
8,2022-07-25,sh.688353,113.2000,113.9200,105.7000,106.2000,113.9500,4035240,439557035.6500,3,16.021500,1,-6.801200
9,2022-07-26,sh.688353,106.0500,109.8500,106.0100,107.8500,106.2000,2700158,291993090.1200,3,10.720700,1,1.553700
10,2022-07-27,sh.688353,107.6500,112.6600,105.5000,111.0000,107.8500,2966905,325731371.8500,3,11.779800,1,2.920700
11,2022-07-28,sh.688353,111.5800,111.9700,107.8200,108.2400,111.0000,2591169,283074819.2800,3,10.288000,1,-2.486500
12,2022-07-29,sh.688353,107.5000,111.4500,107.5000,109.3500,108.2400,2548575,279583871.8200,3,10.118900,1,1.025500
13,2022-08-01,sh.688353,108.0000,113.5000,106.3000,111.1600,109.3500,2885269,317444181.3100,3,11.455700,1,1.655200
14,2022-08-02,sh.688353,108.2000,110.3300,103.3300,103.9000,111.1600,3690863,390891103.1500,3,14.654200,1,-6.531100
15,2022-08-03,sh.688353,105.4500,106.9700,103.9000,103.9800,103.9000,2542109,268423899.7000,3,10.093200,1,0.077000
16,2022-08-04,sh.688353,104.5500,107.7700,104.5500,105.9100,103.9800,2161341,229127878.0000,3,8.581400,1,1.856100
17,2022-08-05,sh.688353,105.1000,107.4200,104.0600,107.3900,105.9100,2560600,271061614.0000,3,10.166600,1,1.397400
18,2022-08-08,sh.688353,106.6800,109.4600,105.1400,108.0000,107.3900,2300103,246100532.0000,3,9.132300,1,0.568000
19,2022-08-09,sh.688353,107.6000,111.2000,106.6800,108.1400,108.0000,2727399,298090266.0000,3,10.828900,1,0.129600
20,2022-08-10,sh.688353,108.6700,110.3800,106.2200,106.8100,108.1400,1972803,212104831.0000,3,7.832800,1,-1.229900
21,2022-08-11,sh.688353,106.9000,108.4700,105.6000,107.1000,106.8100,2147368,229731761.0000,3,8.525900,1,0.271500
22,2022-08-12,sh.688353,106.6500,107.5100,102.9900,103.6000,107.1000,2674979,280815229.0000,3,10.620700,1,-3.268000
23,2022-08-15,sh.688353,103.6000,108.2700,103.0000,107.2900,103.6000,2745858,292984222.6900,3,10.902200,1,3.561800
24,2022-08-16,sh.688353,108.0000,108.5800,104.9100,105.3800,107.2900,2127191,227304211.4300,3,8.445800,1,-1.780200
25,2022-08-17,sh.688353,105.0500,105.7000,103.4600,105.5900,105.3800,1872948,195336086.9300,3,7.436400,1,0.199300
26,2022-08-18,sh.688353,105.1000,111.8000,104.6700,109.6000,105.5900,3801157,414547913.3700,3,15.092100,1,3.797700
27,2022-08-19,sh.688353,109.0000,113.8800,108.0000,110.4000,109.6000,3765466,419323496.8300,3,14.950400,1,0.729900
28,2022-08-22,sh.688353,111.0300,113.5800,108.4800,112.1700,110.4000,2846294,315764149.9400,3,11.300900,1,1.603300
29,2022-08-23,sh.688353,111.0000,112.2800,108.8000,108.8800,112.1700,1956127,215352246.0500,3,7.766600,1,-2.933000
30,2022-08-24,sh.688353,109.9500,111.1800,104.9100,105.5000,108.8800,2142827,229612630.9500,3,8.507900,1,-3.104300
31,2022-08-25,sh.688353,105.6400,106.3000,103.3700,105.7400,105.5000,1625654,170095728.5000,3,6.454500,1,0.227500
32,2022-08-26,sh.688353,106.0000,107.2700,103.4000,103.8800,105.7400,1504459,158253724.8700,3,5.973300,1,-1.759000
33,2022-08-29,sh.688353,101.5400,101.5400,91.6600,92.7100,103.8800,3845845,370418224.1700,3,15.269600,1,-10.752800
34,2022-08-30,sh.688353,91.3300,94.3600,88.2200,93.9600,92.7100,2479627,225496908.1300,3,9.845100,1,1.348300
35,2022-08-31,sh.688353,91.3000,91.8800,86.0600,86.7900,93.9600,2651939,234855659.2400,3,10.529300,1,-7.630900
36,2022-09-01,sh.688353,87.0000,87.7200,85.0900,85.6700,86.7900,1367785,118071939.6500,3,5.430700,1,-1.290500
37,2022-09-02,sh.688353,86.1400,86.8900,85.3700,86.1200,85.6700,1071818,92351512.4200,3,4.255600,1,0.525300
38,2022-09-05,sh.688353,85.9100,85.9100,82.8800,83.7000,86.1200,1498541,126006715.6200,3,5.949800,1,-2.810000
39,2022-09-06,sh.688353,84.0000,84.3800,80.8000,84.2000,83.7000,2318599,191668760.1700,3,9.205800,1,0.597400
40,2022-09-07,sh.688353,83.5000,85.9700,83.1900,84.6100,84.2000,1789573,151722037.9000,3,7.105300,1,0.486900
41,2022-09-08,sh.688353,84.4900,85.2800,81.1600,81.1600,84.6100,1516122,124839054.9700,3,6.019600,1,-4.077500
42,2022-09-09,sh.688353,81.0300,81.9700,80.9200,81.6000,81.1600,772732,62957430.3100,3,3.068100,1,0.542100
43,2022-09-13,sh.688353,81.9000,83.6800,81.6300,82.0400,81.6000,919536,75791486.5800,3,3.650900,1,0.539200
44,2022-09-14,sh.688353,80.0500,82.8200,79.0600,82.4600,82.0400,1063886,86550235.7000,3,4.224100,1,0.511900
45,2022-09-15,sh.688353,83.2200,83.2900,78.8800,80.1400,82.4600,1369853,110765220.1200,3,5.438900,1,-2.813500
46,2022-09-16,sh.688353,79.9000,79.9000,77.2000,77.2000,80.1400,1168065,91644800.0000,3,4.637700,1,-3.668600
47,2022-09-19,sh.688353,77.2000,78.4200,76.2000,76.7000,77.2000,853877,65909967.4900,3,3.390200,1,-0.647700
48,2022-09-20,sh.688353,76.8000,79.9900,76.8000,78.5900,76.7000,1359219,107281248.7200,3,5.396600,1,2.464100
49,2022-09-21,sh.688353,77.6600,79.6800,76.9300,78.9800,78.5900,1034151,81120364.6100,3,4.106000,1,0.496200
50,2022-09-22,sh.688353,78.7800,80.8700,77.6000,79.1400,78.9800,1105606,87687776.0400,3,4.389700,1,0.202600
51,2022-09-23,sh.688353,78.5200,79.4300,76.0200,76.7200,79.1400,1219608,94401951.7500,3,4.842300,1,-3.057900
52,2022-09-26,sh.688353,75.8000,77.8000,75.0800,75.8300,76.7200,952353,72854234.5700,3,3.781200,1,-1.160100
53,2022-09-27,sh.688353,75.6500,77.2900,74.6700,77.1900,75.8300,853738,64999064.1200,3,3.389700,1,1.793500
54,2022-09-28,sh.688353,77.1700,77.3800,72.6000,72.7900,77.1900,1229888,91769623.5400,3,4.883200,1,-5.700200
55,2022-09-29,sh.688353,73.3900,74.4700,71.5200,72.2800,72.7900,966790,70580632.8400,3,3.838500,1,-0.700600
56,2022-09-30,sh.688353,71.2100,72.5900,68.8800,68.8800,72.2800,1303693,91653754.3400,3,5.176200,1,-4.703900
57,2022-10-10,sh.688353,68.8800,69.9700,66.0600,66.4300,68.8800,1069743,72420843.2500,3,4.247300,1,-3.556900
58,2022-10-11,sh.688353,67.0000,68.5000,66.5500,67.8900,66.4300,962358,65185367.8200,3,3.821000,1,2.197800
59,2022-10-12,sh.688353,68.0200,71.2000,67.9000,71.2000,67.8900,1602148,111878247.2000,3,6.361200,1,4.875500
60,2022-10-13,sh.688353,70.5100,74.3600,70.4500,73.4000,71.2000,1861836,136790952.4700,3,7.392200,1,3.089900
61,2022-10-14,sh.688353,73.7800,75.5000,73.5000,74.1200,73.4000,1458151,108460787.5100,3,5.789400,1,0.980900
62,2022-10-17,sh.688353,74.0000,77.9700,73.5000,77.4900,74.1200,1636158,125544818.4300,3,6.496200,1,4.546700
63,2022-10-18,sh.688353,77.8000,77.8500,76.3800,76.5800,77.4900,880367,67610906.7400,3,3.495400,1,-1.174300
64,2022-10-19,sh.688353,76.8100,81.8500,76.8100,77.3600,76.5800,1563146,124136862.2200,3,6.206300,1,1.018500
65,2022-10-20,sh.688353,76.5000,77.7700,74.9000,76.5700,77.3600,1263629,96371612.8900,3,5.017100,1,-1.021200
66,2022-10-21,sh.688353,76.6200,76.9900,75.0000,76.4900,76.5700,774334,58934675.3500,3,3.074400,1,-0.104500
67,2022-10-24,sh.688353,77.0000,79.1700,74.8800,75.4000,76.4900,1173222,90293891.2100,3,4.658200,1,-1.425000
68,2022-10-25,sh.688353,75.4000,75.4000,71.6000,73.1000,75.4000,1156844,84528206.1900,3,4.593100,1,-3.050400
69,2022-10-26,sh.688353,73.5500,76.2000,73.2000,75.3400,73.1000,1070400,80351745.8200,3,4.249900,1,3.064300
70,2022-10-27,sh.688353,75.3400,77.3000,73.5600,73.5600,75.3400,1032003,77428142.3800,3,4.097500,1,-2.362600
71,2022-10-28,sh.688353,69.0600,69.0600,62.4000,63.2500,73.5600,3175359,206582819.2100,3,12.607500,1,-14.015800
72,2022-10-31,sh.688353,63.3200,64.9000,62.2700,63.8200,63.2500,1237269,78938663.3700,3,4.912500,1,0.901200
73,2022-11-01,sh.688353,64.5000,67.7100,63.8300,66.9700,63.8200,1656936,109680276.5700,3,6.578700,1,4.935800
74,2022-11-02,sh.688353,66.1800,68.4900,66.1800,68.0300,66.9700,1360353,92194208.8500,3,5.401200,1,1.582800
75,2022-11-03,sh.688353,68.0300,69.5300,67.6800,69.1000,68.0300,1158933,79716488.7100,3,4.601400,1,1.572800
76,2022-11-04,sh.688353,69.5000,71.5000,68.5600,71.2600,69.1000,1294333,91058480.0300,3,5.139000,1,3.125900
77,2022-11-07,sh.688353,71.3800,72.9000,71.0000,71.7900,71.2600,1069432,76896779.6400,3,4.246100,1,0.743800
78,2022-11-08,sh.688353,72.1300,72.7000,69.6800,70.5000,71.7900,787407,55619186.7000,3,3.126300,1,-1.796900
79,2022-11-09,sh.688353,71.2200,71.4200,69.3000,69.3400,70.5000,822558,57563389.9200,3,3.265900,1,-1.645400
80,2022-11-10,sh.688353,69.8700,69.8700,67.4900,67.8200,69.3400,929954,63486376.1500,3,3.692300,1,-2.192100
81,2022-11-11,sh.688353,69.2400,69.8800,68.0700,68.2300,67.8200,948411,65252979.2600,3,3.765600,1,0.604500
82,2022-11-14,sh.688353,68.2600,68.7700,66.5500,67.0900,68.2300,771963,52010851.3100,3,3.065000,1,-1.670800
83,2022-11-15,sh.688353,66.7400,69.1300,66.4700,69.1300,67.0900,977371,66799532.2800,3,3.880600,1,3.040700
84,2022-11-16,sh.688353,69.7200,73.3100,69.7200,70.0600,69.1300,1803177,128488766.5500,3,7.159300,1,1.345300
85,2022-11-17,sh.688353,69.6300,69.7000,67.7700,69.0000,70.0600,1047863,71630989.0700,3,4.160400,1,-1.513000
86,2022-11-18,sh.688353,68.4000,69.6400,67.0200,67.0900,69.0000,974539,66526936.5700,3,3.869300,1,-2.768100
87,2022-11-21,sh.688353,66.9800,68.3000,66.3800,67.7500,67.0900,757412,51012513.4700,3,3.007200,1,0.983800
88,2022-11-22,sh.688353,67.7700,68.3900,66.7200,67.2500,67.7500,839661,56708834.8500,3,3.333800,1,-0.738000
89,2022-11-23,sh.688353,67.2500,67.7700,65.3900,67.4500,67.2500,821010,54614781.9300,3,3.259700,1,0.297400
90,2022-11-24,sh.688353,67.2700,80.9400,67.2700,78.7800,67.4500,7751119,595782898.8300,3,30.775100,1,16.797600
91,2022-11-25,sh.688353,76.5000,84.0000,76.0500,79.5400,78.7800,6134973,493371951.6000,3,24.358300,1,0.964700
92,2022-11-28,sh.688353,78.8400,80.7000,76.0800,77.4800,79.5400,2872353,223574874.9800,3,11.404400,1,-2.589900
93,2022-11-29,sh.688353,77.5200,77.7000,75.4100,76.3000,77.4800,2410862,184014157.1100,3,9.572100,1,-1.523000
94,2022-11-30,sh.688353,77.0100,78.1700,74.6800,75.0500,76.3000,2629566,199168335.8700,3,10.440400,1,-1.638300
95,2022-12-01,sh.688353,76.1800,76.5600,74.8100,75.0900,75.0500,1896315,143430894.1500,3,7.529100,1,0.053300
96,2022-12-02,sh.688353,74.8200,78.5500,74.0600,76.9700,75.0900,2656792,204433282.0200,3,10.548500,1,2.503700
97,2022-12-05,sh.688353,77.2200,78.6800,75.1000,75.7200,76.9700,1649095,124944867.7700,3,6.547600,1,-1.624000
98,2022-12-06,sh.688353,75.0300,76.7900,74.3600,75.1300,75.7200,1363174,103057136.5500,3,5.412400,1,-0.779200
99,2022-12-07,sh.688353,74.5000,76.3700,74.3700,75.1900,75.1300,1149001,86915956.3500,3,4.562000,1,0.079900
100,2022-12-08,sh.688353,75.2000,77.3000,74.5000,76.4400,75.1900,1426761,108720462.3900,3,5.664800,1,1.662500
101,2022-12-09,sh.688353,76.8800,76.9100,74.6600,74.8100,76.4400,1268649,95135985.7800,3,5.037000,1,-2.132400
102,2022-12-12,sh.688353,74.8100,75.1600,70.4000,71.1000,74.8100,2082546,150032500.8800,3,8.268500,1,-4.959200
103,2022-12-13,sh.688353,71.4100,71.4800,69.5000,69.7200,71.1000,1023098,72079266.0700,3,4.062100,1,-1.940900
104,2022-12-14,sh.688353,69.0100,70.2800,68.7800,69.2400,69.7200,941838,65351641.0300,3,3.739500,1,-0.688500
105,2022-12-15,sh.688353,69.1800,70.7000,68.2800,70.6100,69.2400,947205,66173707.5900,3,3.760800,1,1.978600
106,2022-12-16,sh.688353,70.0500,70.4500,67.9800,68.4000,70.6100,1041191,71637080.1600,3,4.133900,1,-3.129900
107,2022-12-19,sh.688353,68.4200,70.2800,67.8800,68.9500,68.4000,824206,56838471.8100,3,3.272400,1,0.804100
108,2022-12-20,sh.688353,68.1200,69.1900,67.2000,67.8800,68.9500,589818,39988462.1200,3,2.341800,1,-1.551800
109,2022-12-21,sh.688353,67.9900,68.6100,67.4200,68.2400,67.8800,486558,33093428.4700,3,1.931800,1,0.530300
110,2022-12-22,sh.688353,68.4500,69.5800,67.1900,67.5000,68.2400,629055,42951376.0000,3,2.497600,1,-1.084400
111,2022-12-23,sh.688353,66.7500,67.4700,64.5700,64.9000,67.5000,870134,57223590.6700,3,3.454800,1,-3.851900
112,2022-12-26,sh.688353,64.5400,66.9800,64.4800,66.8900,64.9000,637625,42216247.5000,3,2.531600,1,3.066300
113,2022-12-27,sh.688353,66.9000,68.3700,66.0000,67.0800,66.8900,606907,40666742.4500,3,2.409700,1,0.284000
114,2022-12-28,sh.688353,67.0300,67.0300,64.8800,65.7700,67.0800,557128,36480272.0400,3,2.212000,1,-1.952900
115,2022-12-29,sh.688353,65.6800,66.6400,65.2500,65.2700,65.7700,335113,22010995.4600,3,1.330500,1,-0.760200
116,2022-12-30,sh.688353,65.6000,66.5400,64.7000,64.7200,65.2700,435319,28316416.6800,3,1.728400,1,-0.842700
117,2023-01-03,sh.688353,64.7900,66.8800,64.2200,66.4100,64.7200,558942,36801718.3200,3,2.219200,1,2.611200
118,2023-01-04,sh.688353,66.9900,67.8200,66.1000,66.9000,66.4100,534986,35812427.6200,3,2.124100,1,0.737800
119,2023-01-05,sh.688353,66.9000,68.4700,66.5000,68.1500,66.9000,712212,48350201.7200,3,2.827800,1,1.868500
120,2023-01-06,sh.688353,68.4500,69.8800,67.3600,68.9500,68.1500,719309,49712062.8500,3,2.855900,1,1.173900
121,2023-01-09,sh.688353,70.2800,70.3000,68.8100,69.3000,68.9500,807082,56184753.7900,3,3.204400,1,0.507600
122,2023-01-10,sh.688353,69.4300,69.6000,68.2300,68.7000,69.3000,581880,39993874.2900,3,2.310300,1,-0.865800
123,2023-01-11,sh.688353,68.6200,68.7700,67.5000,67.5000,68.7000,439857,29933485.6000,3,1.746400,1,-1.746700
124,2023-01-12,sh.688353,67.9500,69.2500,67.4100,67.4700,67.5000,441617,30102968.9500,3,1.753400,1,-0.044400
125,2023-01-13,sh.688353,68.0000,69.2500,66.6600,67.2200,67.4700,984472,66361407.4200,3,3.722300,1,-0.370500
126,2023-01-16,sh.688353,67.2000,69.3700,66.6600,68.7200,67.2200,924089,63184601.9500,3,3.494000,1,2.231500
127,2023-01-17,sh.688353,69.0600,69.6600,68.2700,68.8200,68.7200,478324,32982704.8000,3,1.808600,1,0.145500
128,2023-01-18,sh.688353,69.1300,69.7800,69.0300,69.1100,68.8200,413010,28624289.6200,3,1.561600,1,0.421400
129,2023-01-19,sh.688353,69.1100,69.5000,68.4000,69.4200,69.1100,492846,34034452.3500,3,1.863500,1,0.448600
130,2023-01-20,sh.688353,69.4200,70.3600,69.2600,70.2500,69.4200,592612,41476780.5700,3,2.240700,1,1.195600
131,2023-01-30,sh.688353,71.9400,71.9800,69.0700,69.1000,70.2500,1387721,97486637.5200,3,5.247000,1,-1.637000
132,2023-01-31,sh.688353,69.0000,69.2900,68.5800,69.1400,69.1000,563646,38857959.3100,3,2.131200,1,0.057900
133,2023-02-01,sh.688353,69.2100,71.6900,69.1000,71.4000,69.1400,1501230,106577022.0600,3,5.676200,1,3.268700
134,2023-02-02,sh.688353,71.2800,71.3000,70.5100,70.7000,71.4000,963839,68313342.1500,3,3.644300,1,-0.980400
135,2023-02-03,sh.688353,71.0400,71.2200,70.0200,71.1000,70.7000,996070,70302050.8500,3,3.766200,1,0.565800
136,2023-02-06,sh.688353,71.3400,71.3700,70.1700,70.7500,71.1000,622831,44126377.9900,3,2.354900,1,-0.492300
137,2023-02-07,sh.688353,70.7500,71.1000,70.3000,71.0900,70.7500,538215,38036136.5400,3,2.035000,1,0.480600
138,2023-02-08,sh.688353,71.4900,74.4800,71.1000,74.2600,71.0900,2615298,191742690.5100,3,9.888500,1,4.459100
139,2023-02-09,sh.688353,74.8000,78.9900,74.8000,76.1000,74.2600,3294041,253216781.4900,3,12.454900,1,2.477800
140,2023-02-10,sh.688353,75.0100,75.6600,73.5100,74.3300,76.1000,1648563,123006734.6800,3,6.233300,1,-2.325900
141,2023-02-13,sh.688353,74.0100,75.5500,73.6900,74.3300,74.3300,1363241,101428310.7000,3,5.154500,1,0.000000
142,2023-02-14,sh.688353,74.4000,74.8600,73.2500,73.8100,74.3300,1012344,74787690.9500,3,3.827700,1,-0.699600
143,2023-02-15,sh.688353,73.6800,74.0700,73.2000,73.5200,73.8100,808549,59443437.3800,3,3.057200,1,-0.392900
144,2023-02-16,sh.688353,73.5100,73.7900,69.7000,70.8000,73.5200,1503007,108207839.0800,3,5.682900,1,-3.699700
145,2023-02-17,sh.688353,70.8000,71.2000,68.7200,68.7200,70.8000,1257629,87585882.7400,3,4.755100,1,-2.937900
146,2023-02-20,sh.688353,68.7000,69.2300,67.3500,69.2000,68.7200,684374,46700844.5400,3,2.587600,1,0.698500
147,2023-02-21,sh.688353,69.1800,70.2000,68.8000,69.1500,69.2000,510083,35419994.6900,3,1.928600,1,-0.072300
148,2023-02-22,sh.688353,69.3800,69.3800,68.4600,68.7000,69.1500,412913,28372245.7600,3,1.561200,1,-0.650800
