,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.688395,25.4300,25.7700,25.3100,25.7400,25.4600,238983,6115209.6700,3,1.298100,1,1.099800
1,2022-02-22,sh.688395,25.5700,25.7400,24.9000,25.1600,25.7400,366774,9223809.2000,3,1.992300,1,-2.253300
2,2022-02-23,sh.688395,25.0000,25.9400,25.0000,25.8000,25.1600,425630,10905033.1100,3,2.311900,1,2.543700
3,2022-02-24,sh.688395,25.7000,26.1800,24.7100,25.1000,25.8000,700120,17815586.5600,3,3.802900,1,-2.713200
4,2022-02-25,sh.688395,25.3000,25.6500,25.2000,25.3500,25.1000,297442,7567196.0800,3,1.615700,1,0.996000
5,2022-02-28,sh.688395,25.2000,25.3900,24.5000,24.8400,25.3500,369841,9188387.0000,3,2.008900,1,-2.011800
6,2022-03-01,sh.688395,24.8400,25.4000,24.7400,25.1800,24.8400,244319,6143302.0000,3,1.327100,1,1.368800
7,2022-03-02,sh.688395,25.0200,25.4200,24.8000,25.3500,25.1800,176574,4455182.0000,3,0.959100,1,0.675100
8,2022-03-03,sh.688395,25.4500,25.4500,24.8800,25.0000,25.3500,316989,7955173.0000,3,1.721800,1,-1.380700
9,2022-03-04,sh.688395,24.5500,25.2000,24.5500,25.0100,25.0000,284303,7107182.0000,3,1.544300,1,0.040000
10,2022-03-07,sh.688395,25.4800,25.5000,24.4600,24.6500,25.0100,280938,6925958.0000,3,1.526000,1,-1.439400
11,2022-03-08,sh.688395,24.5900,24.9600,23.1500,23.2400,24.6500,682815,16227382.0000,3,3.708900,1,-5.720100
12,2022-03-09,sh.688395,23.4100,23.6300,22.1000,22.7100,23.2400,598374,13669769.0000,3,3.250300,1,-2.280600
13,2022-03-10,sh.688395,23.6900,23.8000,22.8400,22.8600,22.7100,349719,8101397.0000,3,1.899600,1,0.660500
14,2022-03-11,sh.688395,22.8900,23.1300,22.0200,22.9900,22.8600,362094,8114264.0000,3,1.966800,1,0.568700
15,2022-03-14,sh.688395,22.9600,22.9600,22.0300,22.0900,22.9900,509199,11319089.0000,3,2.765900,1,-3.914700
16,2022-03-15,sh.688395,21.9400,21.9400,20.7200,20.7200,22.0900,517083,11051742.0000,3,2.808700,1,-6.201900
17,2022-03-16,sh.688395,21.2500,21.7100,20.5000,21.3900,20.7200,345328,7307100.0000,3,1.875800,1,3.233600
18,2022-03-17,sh.688395,21.8500,22.8700,21.6600,22.5800,21.3900,819975,18414452.0000,3,4.454000,1,5.563300
19,2022-03-18,sh.688395,22.2200,22.8000,22.2200,22.6800,22.5800,468039,10552332.3300,3,2.542300,1,0.442900
20,2022-03-21,sh.688395,22.5000,22.8900,22.3000,22.6500,22.6800,300653,6792617.5700,3,1.633100,1,-0.132300
21,2022-03-22,sh.688395,22.6000,22.6700,22.2500,22.4700,22.6500,226841,5106464.2700,3,1.232200,1,-0.794700
22,2022-03-23,sh.688395,22.4700,22.7700,22.3700,22.5800,22.4700,185798,4192815.7500,3,1.009200,1,0.489500
23,2022-03-24,sh.688395,22.3000,22.3000,21.8000,22.0200,22.5800,221756,4886285.0100,3,1.204500,1,-2.480100
24,2022-03-25,sh.688395,22.0300,22.4500,21.8000,21.8200,22.0200,194793,4298153.5300,3,1.058100,1,-0.908300
25,2022-03-28,sh.688395,21.5000,21.8900,21.3200,21.7200,21.8200,146825,3167554.0900,3,0.797500,1,-0.458300
26,2022-03-29,sh.688395,21.3200,22.6500,21.2500,21.2900,21.7200,254478,5519301.5500,3,1.382300,1,-1.979700
27,2022-03-30,sh.688395,21.5700,21.5700,21.0400,21.4500,21.2900,263928,5637556.3700,3,1.433600,1,0.751500
28,2022-03-31,sh.688395,21.4500,21.7500,21.2600,21.5200,21.4500,192573,4146933.8300,3,1.046000,1,0.326300
29,2022-04-01,sh.688395,21.5200,21.5600,21.2800,21.4300,21.5200,222550,4758431.7000,3,1.208900,1,-0.418200
30,2022-04-06,sh.688395,20.9000,21.9500,20.9000,21.8800,21.4300,314518,6834627.9400,3,1.708400,1,2.099900
31,2022-04-07,sh.688395,21.7000,21.7600,21.0800,21.0800,21.8800,217693,4650938.0600,3,1.182500,1,-3.656300
32,2022-04-08,sh.688395,21.0900,21.1100,20.5000,20.6400,21.0800,210294,4371195.8500,3,1.142300,1,-2.087300
33,2022-04-11,sh.688395,20.4500,20.5500,20.0200,20.0600,20.6400,243442,4929256.6200,3,1.322300,1,-2.810100
34,2022-04-12,sh.688395,20.0000,20.7300,19.8700,20.4400,20.0600,178112,3598740.2200,3,0.967500,1,1.894300
35,2022-04-13,sh.688395,20.4000,20.4000,19.9000,20.0000,20.4400,105774,2131404.8300,3,0.574500,1,-2.152600
36,2022-04-14,sh.688395,20.5600,20.5600,20.0800,20.0900,20.0000,93840,1899934.0200,3,0.509700,1,0.450000
37,2022-04-15,sh.688395,20.0600,20.0800,19.6200,19.7700,20.0900,152364,3022174.4300,3,0.827600,1,-1.592800
38,2022-04-18,sh.688395,19.5400,20.2500,19.5000,19.9500,19.7700,139810,2791875.8400,3,0.759400,1,0.910500
39,2022-04-19,sh.688395,20.0300,20.3500,19.9500,20.2700,19.9500,203781,4112728.3000,3,1.106900,1,1.604000
40,2022-04-20,sh.688395,20.2700,20.4500,20.0100,20.3000,20.2700,157032,3182236.5000,3,0.853000,1,0.148000
41,2022-04-21,sh.688395,20.0700,20.1700,19.5000,19.5100,20.3000,145690,2883144.8000,3,0.766500,1,-3.891600
42,2022-04-22,sh.688395,19.5100,19.5400,19.0100,19.1200,19.5100,135137,2611274.4300,3,0.711000,1,-1.999000
43,2022-04-25,sh.688395,18.8600,18.8600,17.3100,17.5100,19.1200,360398,6518425.7800,3,1.896100,1,-8.420500
44,2022-04-26,sh.688395,17.7000,17.7000,16.3000,16.3100,17.5100,356712,6048375.8400,3,1.876700,1,-6.853200
45,2022-04-27,sh.688395,16.1100,16.8700,15.5400,16.6500,16.3100,338817,5460086.0400,3,1.782500,1,2.084600
46,2022-04-28,sh.688395,16.6200,16.8200,16.1100,16.3800,16.6500,173781,2843114.9100,3,0.914300,1,-1.621600
47,2022-04-29,sh.688395,16.3800,17.4600,16.2400,17.3000,16.3800,348635,5874244.6100,3,0.899900,1,5.616600
48,2022-05-05,sh.688395,17.2000,17.8400,17.2000,17.4600,17.3000,279110,4891875.4000,3,0.720400,1,0.924900
49,2022-05-06,sh.688395,17.0100,17.4100,16.8800,17.3700,17.4600,153683,2641002.9800,3,0.396700,1,-0.515500
50,2022-05-09,sh.688395,17.2500,17.6500,17.2000,17.4100,17.3700,139616,2429829.8300,3,0.360400,1,0.230300
51,2022-05-10,sh.688395,17.4100,18.1600,17.1000,17.6700,17.4100,292008,5153141.8800,3,0.753700,1,1.493400
52,2022-05-11,sh.688395,17.6300,18.3000,17.6000,17.6500,17.6700,514249,9299948.2600,3,1.327400,1,-0.113200
53,2022-05-12,sh.688395,17.6500,17.9500,17.5400,17.6200,17.6500,306976,5445840.0200,3,0.792400,1,-0.170000
54,2022-05-13,sh.688395,17.7500,17.9300,17.5600,17.6000,17.6200,249373,4413199.4200,3,0.643700,1,-0.113500
55,2022-05-16,sh.688395,17.9000,17.9300,17.5500,17.6000,17.6000,241492,4284805.1200,3,0.623300,1,0.000000
56,2022-05-17,sh.688395,17.6000,17.6800,17.3000,17.5900,17.6000,309198,5403904.0800,3,0.798100,1,-0.056800
57,2022-05-18,sh.688395,17.5100,18.0500,17.5100,17.6300,17.5900,418137,7450804.2200,3,1.079300,1,0.227400
58,2022-05-19,sh.688395,17.5000,17.8200,17.3900,17.7000,17.6300,338248,5989433.9600,3,0.873100,1,0.397100
59,2022-05-20,sh.688395,17.9300,17.9600,17.6500,17.9000,17.7000,450725,8025819.6100,3,1.163400,1,1.129900
60,2022-05-23,sh.688395,17.8000,18.3700,17.8000,18.2600,17.9000,528487,9581195.6200,3,1.364100,1,2.011200
61,2022-05-24,sh.688395,18.2600,18.5500,17.7000,17.7000,18.2600,608193,11069386.3300,3,1.569900,1,-3.066800
62,2022-05-25,sh.688395,17.7200,18.0200,17.5000,17.8300,17.7000,293187,5187956.0400,3,0.756800,1,0.734500
63,2022-05-26,sh.688395,17.9000,18.0500,17.5800,17.9700,17.8300,211691,3783627.6600,3,0.546400,1,0.785200
64,2022-05-27,sh.688395,18.2000,18.2000,17.2100,17.3000,17.7100,411453,7209245.3800,3,1.062100,1,-2.315100
65,2022-05-30,sh.688395,17.4800,17.6600,17.1100,17.4500,17.3000,336834,5863202.7700,3,0.869400,1,0.867100
66,2022-05-31,sh.688395,17.4500,18.0600,17.3600,17.9200,17.4500,534735,9527050.9900,3,1.380300,1,2.693400
67,2022-06-01,sh.688395,17.9300,19.2000,17.8100,19.0000,17.9200,1140832,21418560.2200,3,2.944700,1,6.026800
68,2022-06-02,sh.688395,19.1000,20.9400,18.7700,20.7500,19.0000,2478358,49614942.1600,3,6.397200,1,9.210500
69,2022-06-06,sh.688395,20.9000,21.8900,20.5000,21.6000,20.7500,2933416,62210516.1100,3,7.571800,1,4.096400
70,2022-06-07,sh.688395,21.3500,21.4000,20.2200,20.5000,21.6000,2046804,42213030.1600,3,5.283300,1,-5.092600
71,2022-06-08,sh.688395,20.3000,20.7200,19.7300,20.1200,20.5000,1401579,28430264.4400,3,3.617800,1,-1.853700
72,2022-06-09,sh.688395,20.0100,20.0200,19.2500,19.4500,20.1200,855601,16708648.4800,3,2.208500,1,-3.330000
73,2022-06-10,sh.688395,19.3000,19.7900,19.0400,19.7200,19.4500,949834,18507652.5500,3,2.451700,1,1.388200
74,2022-06-13,sh.688395,19.5000,20.1500,19.2100,19.7400,19.7200,891619,17651804.0500,3,2.301500,1,0.101400
75,2022-06-14,sh.688395,19.6100,19.6100,18.7700,19.5200,19.7400,788876,15126028.4500,3,2.036300,1,-1.114500
76,2022-06-15,sh.688395,19.5000,19.7800,19.0100,19.2100,19.5200,831985,16157897.3600,3,2.147500,1,-1.588100
77,2022-06-16,sh.688395,19.1500,19.9200,19.0400,19.5700,19.2100,627092,12245973.7800,3,1.618700,1,1.874000
78,2022-06-17,sh.688395,19.3900,19.7900,19.2600,19.7000,19.5700,768707,15091100.4100,3,1.984200,1,0.664300
79,2022-06-20,sh.688395,19.8800,19.9500,19.5600,19.6100,19.7000,832323,16419860.1900,3,2.148400,1,-0.456900
80,2022-06-21,sh.688395,19.5900,20.8700,19.3400,20.8200,19.6100,1873526,37896498.8500,3,4.836000,1,6.170300
81,2022-06-22,sh.688395,20.6000,20.6400,19.5700,19.5700,20.8200,1695744,33936345.2700,3,4.377100,1,-6.003800
82,2022-06-23,sh.688395,19.5700,20.4500,19.4000,20.0900,19.5700,1249688,24964166.4400,3,3.225700,1,2.657100
83,2022-06-24,sh.688395,20.2000,20.6000,20.1800,20.5500,20.0900,1106184,22617870.9800,3,2.855300,1,2.289700
84,2022-06-27,sh.688395,20.7900,21.3800,20.4000,20.6200,20.5500,990287,20501944.2600,3,2.556200,1,0.340600
85,2022-06-28,sh.688395,20.8800,22.6500,20.1000,22.1000,20.6200,2540938,55019173.2200,3,6.558700,1,7.177500
86,2022-06-29,sh.688395,21.9800,21.9800,20.6200,20.6700,22.1000,1907377,40235420.4900,3,4.923400,1,-6.470600
87,2022-06-30,sh.688395,20.5800,21.0300,20.4500,21.0300,20.6700,908163,18897778.3200,3,2.344200,1,1.741700
88,2022-07-01,sh.688395,21.0200,21.0200,20.4500,20.6100,21.0300,695275,14370490.1500,3,1.794700,1,-1.997100
89,2022-07-04,sh.688395,20.6100,20.6400,20.0600,20.2800,20.6100,878241,17854763.8700,3,2.266900,1,-1.601200
90,2022-07-05,sh.688395,20.3400,20.4800,19.2800,19.6900,20.2800,839471,16523164.7100,3,2.166900,1,-2.909300
91,2022-07-06,sh.688395,19.6700,20.0500,19.2400,19.7500,19.6900,538806,10652920.8300,3,1.390800,1,0.304700
92,2022-07-07,sh.688395,19.8300,20.0900,19.7500,19.8400,19.7500,634715,12646286.2000,3,1.638300,1,0.455700
93,2022-07-08,sh.688395,19.8000,20.8500,19.7900,19.9500,19.8400,1031899,20949357.6100,3,2.663600,1,0.554400
94,2022-07-11,sh.688395,19.7800,20.3800,19.7000,19.8400,19.9500,521668,10424056.9200,3,1.346500,1,-0.551400
95,2022-07-12,sh.688395,19.6600,19.8900,18.9300,18.9300,19.8400,686498,13264871.7800,3,1.772000,1,-4.586700
96,2022-07-13,sh.688395,18.9300,19.5200,18.9300,19.2800,18.9300,502916,9694688.5600,3,1.298100,1,1.848900
97,2022-07-14,sh.688395,19.2000,20.8500,19.0900,20.4100,19.2800,1259035,25522655.0300,3,3.249900,1,5.861000
98,2022-07-15,sh.688395,20.4900,20.4900,19.8400,20.2800,20.4100,1095681,22092317.5000,3,2.828200,1,-0.636900
99,2022-07-18,sh.688395,20.5800,21.6600,20.4000,21.3600,20.2800,1866130,39468913.7100,3,4.816900,1,5.325400
100,2022-07-19,sh.688395,21.9000,23.1200,21.8800,22.1600,21.3600,2837957,63734879.1000,3,7.325400,1,3.745300
101,2022-07-20,sh.688395,22.0100,22.8000,21.6100,21.6500,22.1600,1559486,34123486.1700,3,4.025400,1,-2.301400
102,2022-07-21,sh.688395,21.6000,22.2500,21.5200,21.6000,21.6500,1115853,24353773.9500,3,2.880300,1,-0.230900
103,2022-07-22,sh.688395,21.5400,22.0900,21.3800,21.6000,21.6000,866732,18749450.1500,3,2.237200,1,0.000000
104,2022-07-25,sh.688395,21.8000,21.8000,21.0100,21.3400,21.6000,957883,20410714.9000,3,2.472500,1,-1.203700
105,2022-07-26,sh.688395,21.4300,21.4500,20.8000,21.2100,21.3400,595915,12532720.3500,3,1.538200,1,-0.609200
106,2022-07-27,sh.688395,21.2300,22.1500,21.0400,22.0400,21.2100,1200987,26211022.2300,3,3.100000,1,3.913200
107,2022-07-28,sh.688395,22.1800,23.8300,22.0400,23.4000,22.0400,2030325,47085372.2800,3,5.240700,1,6.170600
108,2022-07-29,sh.688395,23.6400,23.8800,22.7500,22.9900,23.4000,1642491,38244478.7300,3,4.239600,1,-1.752100
109,2022-08-01,sh.688395,23.2400,23.8600,22.6600,23.6100,22.9900,1360167,31934872.0800,3,3.510900,1,2.696800
110,2022-08-02,sh.688395,23.4400,23.4500,22.0300,22.4300,23.6100,1604634,36245955.0000,3,4.141900,1,-4.997900
111,2022-08-03,sh.688395,22.6100,23.3100,22.2600,22.3700,22.4300,1636854,37261703.9500,3,4.225100,1,-0.267500
112,2022-08-04,sh.688395,22.5200,22.9500,22.2200,22.8500,22.3700,1110610,25163431.0000,3,2.866700,1,2.145700
113,2022-08-05,sh.688395,22.9300,23.1800,22.6000,23.1200,22.8500,1689236,38749027.0000,3,4.360300,1,1.181600
114,2022-08-08,sh.688395,23.0100,24.2000,22.9800,24.1300,23.1200,1863038,44240318.0000,3,4.808900,1,4.368500
115,2022-08-09,sh.688395,24.0800,24.4000,23.8100,24.1000,24.1300,1261703,30425922.0000,3,3.256700,1,-0.124300
116,2022-08-10,sh.688395,24.4500,26.5000,24.1200,25.5000,24.1000,3318065,84580273.0000,3,8.564700,1,5.809100
117,2022-08-11,sh.688395,25.4500,25.9000,24.6500,24.7100,25.5000,2639125,66133566.0000,3,6.812200,1,-3.098000
118,2022-08-12,sh.688395,24.5500,26.1000,24.5500,24.8500,24.7100,2395590,60706742.0000,3,6.183600,1,0.566600
119,2022-08-15,sh.688395,24.9300,27.0000,24.9300,26.7200,24.8500,3871884,101171944.4200,3,9.994200,1,7.525200
120,2022-08-16,sh.688395,26.7800,27.2800,26.1100,26.8800,26.7200,2554592,68243358.8700,3,6.594000,1,0.598800
121,2022-08-17,sh.688395,27.0200,29.3800,26.4100,27.9500,26.8800,4195822,116962770.8400,3,10.830400,1,3.980700
122,2022-08-18,sh.688395,27.8000,29.9900,27.4000,29.9800,27.9500,4710491,136371494.8200,3,12.158900,1,7.263000
123,2022-08-19,sh.688395,29.7000,30.5800,27.4700,27.7600,29.9800,4012016,115028284.7100,3,10.355900,1,-7.404900
124,2022-08-22,sh.688395,27.7000,27.8800,25.4000,25.7700,27.7600,3568193,93183134.2000,3,9.210300,1,-7.168600
125,2022-08-23,sh.688395,25.6800,26.0000,25.1700,26.0000,25.7700,2006570,51445205.1400,3,5.179400,1,0.892500
126,2022-08-24,sh.688395,26.0000,26.0900,23.9300,24.0700,26.0000,2443028,60406773.5800,3,6.306000,1,-7.423100
127,2022-08-25,sh.688395,24.2900,24.5900,23.0000,23.4300,24.0700,1819039,42939104.8000,3,4.785900,1,-2.658900
128,2022-08-26,sh.688395,23.5700,24.3300,23.0200,23.0200,23.4300,1411674,33288576.5100,3,3.714100,1,-1.749900
129,2022-08-29,sh.688395,22.6000,24.6900,22.5600,24.4400,23.0200,2422298,58127905.6000,3,6.373000,1,6.168500
130,2022-08-30,sh.688395,23.8700,23.9500,23.0000,23.1100,24.4400,1911220,44790672.3900,3,4.994400,1,-5.441900
131,2022-08-31,sh.688395,22.8200,23.2100,21.6000,21.8100,23.1100,1261061,27782454.1900,3,3.295400,1,-5.625300
132,2022-09-01,sh.688395,21.7200,22.1800,21.0000,21.0800,21.8100,953933,20282212.9000,3,2.492800,1,-3.347100
133,2022-09-02,sh.688395,21.2200,21.6600,20.9100,21.4400,21.0800,652514,13918733.3100,3,1.705100,1,1.707800
134,2022-09-05,sh.688395,21.4400,21.9200,21.1000,21.6000,21.4400,843596,18215057.8400,3,2.204500,1,0.746300
135,2022-09-06,sh.688395,21.8500,22.2000,21.2700,22.1500,21.6000,733851,16018325.7200,3,1.917700,1,2.546300
136,2022-09-07,sh.688395,22.0500,23.6900,22.0500,23.0100,22.1500,1214015,28062140.6500,3,3.172400,1,3.882600
137,2022-09-08,sh.688395,22.8800,23.1100,21.8600,21.9300,23.0100,658158,14702213.7500,3,1.719900,1,-4.693600
138,2022-09-09,sh.688395,21.7100,22.0000,21.2300,21.4800,21.9300,648245,13909424.5700,3,1.694000,1,-2.052000
139,2022-09-13,sh.688395,21.4100,21.9000,21.4100,21.8000,21.4800,369689,8004050.4000,3,0.966100,1,1.489800
140,2022-09-14,sh.688395,21.2500,22.0700,21.0900,21.7000,21.8000,468911,10161528.7600,3,1.225300,1,-0.458700
141,2022-09-15,sh.688395,21.6100,21.9200,20.2700,20.5300,21.7000,1039382,21724779.2900,3,2.716100,1,-5.391700
142,2022-09-16,sh.688395,20.5000,20.8800,20.2300,20.4000,20.5300,356196,7335656.6600,3,0.930800,1,-0.633200
143,2022-09-19,sh.688395,20.1100,20.3500,19.6700,19.7400,20.4000,376647,7511379.9800,3,0.984200,1,-3.235300
144,2022-09-20,sh.688395,20.3300,20.5000,19.8600,20.1100,19.7400,428260,8631379.0800,3,1.119100,1,1.874400
145,2022-09-21,sh.688395,20.1100,20.4200,19.7000,20.0200,20.1100,310448,6216290.9400,3,0.811300,1,-0.447500
146,2022-09-22,sh.688395,19.7800,20.4200,19.7800,19.9200,20.0200,302838,6094712.7000,3,0.791400,1,-0.499500
147,2022-09-23,sh.688395,19.9200,19.9300,19.1200,19.2100,19.9200,538776,10466553.9700,3,1.407900,1,-3.564300
148,2022-09-26,sh.688395,19.0400,19.5100,18.9700,19.0000,19.2100,347178,6677163.2400,3,0.907200,1,-1.093200
149,2022-09-27,sh.688395,19.1900,19.6200,19.0100,19.5400,19.0000,268775,5202521.1500,3,0.702400,1,2.842100
150,2022-09-28,sh.688395,19.5400,19.6600,18.9100,19.0900,19.5400,184349,3536222.9600,3,0.481700,1,-2.303000
151,2022-09-29,sh.688395,19.1800,19.4000,18.7500,18.8200,19.0900,244555,4658157.7500,3,0.639100,1,-1.414400
152,2022-09-30,sh.688395,19.2800,19.3300,18.5000,18.5200,18.8200,182871,3427442.4800,3,0.477900,1,-1.594000
153,2022-10-10,sh.688395,18.6900,18.6900,17.9200,17.9300,18.5200,227825,4145343.5400,3,0.595300,1,-3.185700
154,2022-10-11,sh.688395,18.2300,18.3300,17.7000,18.1000,17.9300,179592,3236574.8100,3,0.469300,1,0.948100
155,2022-10-12,sh.688395,18.4200,18.9100,17.7400,18.8400,18.1000,258868,4773216.1200,3,0.676500,1,4.088400
