,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-11-07,sh.688419,53.6600,54.5000,44.5500,45.0900,37.8500,13661182,665291725.1100,3,73.255500,1,19.128100
1,2022-11-08,sh.688419,45.0000,46.4000,41.9500,43.0300,45.0900,9112771,401139491.9500,3,48.865500,1,-4.568600
2,2022-11-09,sh.688419,42.5000,47.8800,42.2300,47.1400,43.0300,10027974,455180104.0000,3,53.773100,1,9.551500
3,2022-11-10,sh.688419,46.0900,47.5000,43.2000,43.6000,47.1400,7826639,352922090.7500,3,41.968900,1,-7.509500
4,2022-11-11,sh.688419,45.2500,45.4100,41.8500,42.0100,43.6000,5851443,255458267.6300,3,31.377300,1,-3.646800
5,2022-11-14,sh.688419,42.0000,42.5200,40.2400,41.5500,42.0100,3869113,159467406.0000,3,20.747400,1,-1.095000
6,2022-11-15,sh.688419,41.0400,44.3600,41.0400,43.2200,41.5500,4759707,203606686.4800,3,25.523000,1,4.019300
7,2022-11-16,sh.688419,42.7500,43.4000,41.0000,41.2300,43.2200,3863519,161439304.0700,3,20.717400,1,-4.604300
8,2022-11-17,sh.688419,41.4000,43.6500,40.4200,43.2600,41.2300,3940498,165441437.9400,3,21.130200,1,4.923600
9,2022-11-18,sh.688419,42.5000,43.1800,40.7800,40.8600,43.2600,3280493,137149936.9900,3,17.591000,1,-5.547900
10,2022-11-21,sh.688419,40.9000,41.3500,40.3900,41.0100,40.8600,1990609,81353277.8900,3,10.674300,1,0.367100
11,2022-11-22,sh.688419,40.6000,42.3700,40.6000,40.8800,41.0100,2013454,83124017.9900,3,10.796800,1,-0.317000
12,2022-11-23,sh.688419,40.9500,41.2000,38.1800,39.2000,40.8800,2563781,100819433.7300,3,13.747800,1,-4.109600
13,2022-11-24,sh.688419,39.0000,39.5200,38.8100,39.2300,39.2000,1479755,57937784.0300,3,7.934900,1,0.076500
14,2022-11-25,sh.688419,39.1800,39.8500,38.5000,38.9000,39.2300,1379190,53981779.2300,3,7.395600,1,-0.841200
15,2022-11-28,sh.688419,38.0000,39.2500,37.8100,38.8300,38.9000,1145364,44189855.0000,3,6.141800,1,-0.179900
16,2022-11-29,sh.688419,38.8300,39.7000,38.5600,39.2600,38.8300,1202818,47235335.6200,3,6.449900,1,1.107400
17,2022-11-30,sh.688419,39.1400,39.2500,38.2800,38.7000,39.2600,1240549,48022262.9000,3,6.652200,1,-1.426400
18,2022-12-01,sh.688419,39.0300,39.4800,38.5400,38.8100,38.7000,1341299,52415968.2100,3,7.192500,1,0.284200
19,2022-12-02,sh.688419,38.9800,39.6200,38.6200,39.5600,38.8100,1511475,59519680.6700,3,8.105000,1,1.932500
20,2022-12-05,sh.688419,39.7200,40.0000,39.1800,39.6800,39.5600,892973,35269208.1800,3,4.788400,1,0.303300
21,2022-12-06,sh.688419,39.6800,40.6500,39.4800,39.9900,39.6800,1358583,54457176.8700,3,7.285100,1,0.781300
22,2022-12-07,sh.688419,39.5300,39.9600,38.5000,38.6300,39.9900,1973640,77051321.7600,3,10.583300,1,-3.400900
23,2022-12-08,sh.688419,38.6900,38.9000,38.1000,38.1500,38.6300,1005902,38634928.2800,3,5.394000,1,-1.242600
24,2022-12-09,sh.688419,38.1500,38.7500,38.0700,38.2300,38.1500,906797,34785432.4600,3,4.862500,1,0.209700
25,2022-12-12,sh.688419,38.2400,39.4900,37.5100,39.2300,38.2300,1794109,69564676.1000,3,9.620600,1,2.615700
26,2022-12-13,sh.688419,39.0400,39.2000,37.8000,37.8500,39.2300,1183917,45371730.2100,3,6.348500,1,-3.517700
27,2022-12-14,sh.688419,39.8000,41.1200,39.2800,39.3800,37.8500,4046603,163033480.6900,3,21.699200,1,4.042300
28,2022-12-15,sh.688419,38.5000,40.8800,38.2100,39.5300,39.3800,2968319,118322547.9400,3,15.917100,1,0.380900
29,2022-12-16,sh.688419,39.0000,39.0000,37.8700,38.0100,39.5300,2391962,91467030.2800,3,12.826400,1,-3.845200
30,2022-12-19,sh.688419,38.0100,38.0800,35.1100,35.4200,38.0100,2645619,96391916.0700,3,14.186600,1,-6.814000
31,2022-12-20,sh.688419,35.1100,35.8000,34.8800,35.6500,35.4200,1184148,41838771.4400,3,6.349800,1,0.649400
32,2022-12-21,sh.688419,35.5800,35.5800,33.9000,34.2000,35.6500,1259033,43512950.0200,3,6.751300,1,-4.067300
33,2022-12-22,sh.688419,34.4600,34.5000,33.0500,33.1300,34.2000,963551,32526891.4500,3,5.166900,1,-3.128700
34,2022-12-23,sh.688419,32.7000,33.4500,31.7100,32.0000,33.1300,1433613,46344737.0100,3,7.687500,1,-3.410800
35,2022-12-26,sh.688419,32.0000,33.2500,31.8000,33.1000,32.0000,1399012,46040514.4500,3,7.501900,1,3.437500
36,2022-12-27,sh.688419,33.1000,34.1800,32.6100,33.5400,33.1000,1038067,34633003.6600,3,5.566400,1,1.329300
37,2022-12-28,sh.688419,33.5400,33.5400,32.0600,32.3000,33.5400,1087338,35321628.2900,3,5.830600,1,-3.697100
38,2022-12-29,sh.688419,32.3400,32.7700,31.9400,31.9500,32.3000,765079,24627733.5600,3,4.102600,1,-1.083600
39,2022-12-30,sh.688419,32.2700,32.5000,31.6000,31.6300,31.9500,602349,19226078.4300,3,3.230000,1,-1.001600
40,2023-01-03,sh.688419,31.6200,33.7400,31.5700,33.4600,31.6300,1654791,54248943.6700,3,8.873500,1,5.785600
41,2023-01-04,sh.688419,33.5600,34.7000,33.2600,33.7500,33.4600,1460551,49440387.5600,3,7.831900,1,0.866700
42,2023-01-05,sh.688419,33.3300,34.0800,33.0100,33.9900,33.7500,1011706,34066474.5400,3,5.425100,1,0.711100
43,2023-01-06,sh.688419,33.7800,34.2700,33.5200,33.5700,33.9900,774893,26225756.6800,3,4.155200,1,-1.235700
44,2023-01-09,sh.688419,33.6500,34.4900,33.5300,34.0600,33.5700,741237,25167920.6900,3,3.974700,1,1.459600
45,2023-01-10,sh.688419,34.1000,34.7700,33.8600,34.2400,34.0600,827924,28481808.3000,3,4.439600,1,0.528500
46,2023-01-11,sh.688419,34.4200,35.0000,33.3600,33.3600,34.2400,1106048,37911427.0400,3,5.931000,1,-2.570100
47,2023-01-12,sh.688419,34.0300,34.0300,33.0500,33.5000,33.3600,769687,25925725.8600,3,4.127300,1,0.419700
48,2023-01-13,sh.688419,33.5200,33.7000,33.0600,33.2600,33.5000,531097,17682571.8100,3,2.847900,1,-0.716400
49,2023-01-16,sh.688419,33.2700,34.6000,33.2700,34.4000,33.2600,1190023,40684643.2700,3,6.381300,1,3.427500
50,2023-01-17,sh.688419,34.4800,35.8800,34.2500,34.9400,34.4000,1413194,49704781.7600,3,7.578000,1,1.569800
51,2023-01-18,sh.688419,34.9500,35.9500,34.6600,35.8000,34.9400,1172721,41713253.0800,3,6.288500,1,2.461400
52,2023-01-19,sh.688419,35.5100,36.1900,35.4100,36.0100,35.8000,1047514,37626697.4800,3,5.617100,1,0.586600
53,2023-01-20,sh.688419,36.0100,36.4400,35.5100,35.9400,36.0100,935611,33513826.7900,3,5.017000,1,-0.194400
54,2023-01-30,sh.688419,36.4000,36.4000,35.8800,36.1100,35.9400,1022097,36832898.3500,3,5.480800,1,0.473000
55,2023-01-31,sh.688419,36.1800,36.1800,35.3000,35.7800,36.1100,923979,32962725.5200,3,4.954700,1,-0.913900
56,2023-02-01,sh.688419,35.9800,36.7300,35.7400,36.4000,35.7800,913142,33163060.0600,3,4.896600,1,1.732800
57,2023-02-02,sh.688419,36.4600,37.5600,36.3500,37.4800,36.4000,1742359,64464201.2900,3,9.343100,1,2.967000
58,2023-02-03,sh.688419,37.1700,37.4800,36.3000,36.7400,37.4800,1187026,43696227.8500,3,6.365200,1,-1.974400
59,2023-02-06,sh.688419,36.6000,36.9000,36.0000,36.1800,36.7400,874189,31728406.1300,3,4.687700,1,-1.524200
60,2023-02-07,sh.688419,36.0300,36.6100,35.8800,36.3400,36.1800,737981,26746216.0300,3,3.957300,1,0.442200
61,2023-02-08,sh.688419,36.1600,36.7800,35.7200,35.7200,36.3400,833786,30174042.1400,3,4.471000,1,-1.706100
62,2023-02-09,sh.688419,35.7700,37.8700,35.5600,37.5000,35.7200,2214700,82379353.6400,3,11.875900,1,4.983200
63,2023-02-10,sh.688419,37.2200,38.4600,36.9000,37.2600,37.5000,1538733,57770750.4400,3,8.251200,1,-0.640000
64,2023-02-13,sh.688419,37.4800,37.8000,36.9800,37.2300,37.2600,1043409,38864628.4100,3,5.595100,1,-0.080500
65,2023-02-14,sh.688419,37.2500,38.3900,37.1400,37.6100,37.2300,1536006,57891688.0500,3,8.236500,1,1.020700
66,2023-02-15,sh.688419,37.6000,38.2700,37.2000,38.0300,37.6100,1610363,60840981.8000,3,8.635300,1,1.116700
67,2023-02-16,sh.688419,38.0500,38.3800,36.1800,36.5000,38.0300,1614941,60164102.1800,3,8.659800,1,-4.023100
