,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2022-02-21,sh.688533,44.7300,45.4800,43.4500,43.7900,44.5000,1504438,66522782.7600,3,4.360000,1,-1.595500
1,2022-02-22,sh.688533,43.7900,44.1500,41.5000,42.8000,43.7900,2099232,89499946.9200,3,6.083700,1,-2.260800
2,2022-02-23,sh.688533,43.6100,47.5300,42.9200,46.4800,42.8000,3051598,140381930.5400,3,8.843800,1,8.598100
3,2022-02-24,sh.688533,45.8300,47.4100,42.5900,43.6700,46.4800,3120196,138781037.2100,3,9.042600,1,-6.045600
4,2022-02-25,sh.688533,44.3100,45.8100,44.2000,44.6000,43.6700,2351770,106096987.8500,3,6.815600,1,2.129600
5,2022-02-28,sh.688533,43.6600,46.6000,42.1000,45.9800,44.6000,3139035,139877645.0000,3,9.097200,1,3.094200
6,2022-03-01,sh.688533,46.3600,46.9900,44.2700,46.5900,45.9800,2979337,136116628.0000,3,8.634400,1,1.326700
7,2022-03-02,sh.688533,45.7200,46.5000,44.1000,46.2300,46.5900,1599227,72742233.0000,3,4.634700,1,-0.772700
8,2022-03-03,sh.688533,46.3800,46.5300,42.6800,42.7800,46.2300,2620612,114635031.0000,3,7.594700,1,-7.462700
9,2022-03-04,sh.688533,42.0200,44.2700,41.5000,42.1000,42.7800,1839511,78589152.0000,3,5.331100,1,-1.589500
10,2022-03-07,sh.688533,41.5000,41.9000,38.0000,39.3000,42.1000,3634298,144563901.0000,3,10.532500,1,-6.650800
11,2022-03-08,sh.688533,39.5900,40.1600,37.2700,37.6000,39.3000,2095923,80738121.0000,3,6.074200,1,-4.325700
12,2022-03-09,sh.688533,37.7400,40.7700,36.2400,39.8000,37.6000,4200449,164863647.0000,3,12.173200,1,5.851100
13,2022-03-10,sh.688533,40.8800,43.7600,40.8800,43.0100,39.8000,3545483,150934621.0000,3,10.275100,1,8.065300
14,2022-03-11,sh.688533,43.0500,43.6800,41.4200,43.4200,43.0100,2273816,97537922.0000,3,6.589700,1,0.953300
15,2022-03-14,sh.688533,43.2300,43.2300,40.3900,40.9900,43.4200,2180309,90545645.0000,3,6.318700,1,-5.596500
16,2022-03-15,sh.688533,39.9800,42.4400,39.4500,40.2400,40.9900,2067510,85400523.0000,3,5.991800,1,-1.829700
17,2022-03-16,sh.688533,41.3900,47.8000,39.9900,47.5000,40.2400,3626305,157109165.0000,3,10.509300,1,18.041700
18,2022-03-17,sh.688533,50.4000,51.7100,48.0000,49.9400,47.5000,4054805,203219473.0000,3,11.751200,1,5.136800
19,2022-03-18,sh.688533,48.7300,51.0000,47.3400,47.5000,49.9400,2010755,96897576.3100,3,5.827300,1,-4.885900
20,2022-03-21,sh.688533,47.0300,52.8800,47.0300,49.5400,47.5000,2565459,128320535.3300,3,7.434900,1,4.294700
21,2022-03-22,sh.688533,49.0000,50.4800,48.4600,48.7800,49.5400,1482266,73267596.5700,3,4.295700,1,-1.534100
