,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg
0,2023-08-16,sh.688592,70.3000,90.3000,63.3800,64.4600,50.5000,10663698,795465280.1200,3,83.717800,1,27.643600
1,2023-08-17,sh.688592,60.2100,82.6600,58.9900,77.8600,64.4600,10170531,723107943.9100,3,79.846100,1,20.788100
2,2023-08-18,sh.688592,83.5800,93.0000,78.8100,79.0000,77.8600,9783624,843681190.1600,3,76.808600,1,1.464200
3,2023-08-21,sh.688592,78.9000,84.8800,75.0600,76.3500,79.0000,7095312,563290208.4800,3,55.703400,1,-3.354400
4,2023-08-22,sh.688592,72.5100,78.4000,67.4600,68.4900,76.3500,6840654,491657494.6700,3,53.704100,1,-10.294700
5,2023-08-23,sh.688592,69.0000,69.5000,61.9700,62.0000,68.4900,4829100,312651502.1300,3,37.912000,1,-9.475800
6,2023-08-24,sh.688592,61.9000,63.5500,59.1300,61.6000,62.0000,3470834,212875420.9600,3,27.248600,1,-0.645200
7,2023-08-25,sh.688592,60.2000,60.8800,54.7500,55.0000,61.6000,3678132,212364320.8900,3,28.876000,1,-10.714300
8,2023-08-28,sh.688592,59.3600,59.9500,54.9800,55.1000,55.0000,3359398,193143561.6100,3,26.373700,1,0.181800
9,2023-08-29,sh.688592,54.0200,62.6200,54.0200,61.6000,55.1000,4598113,273827890.6100,3,36.098500,1,11.796700
10,2023-08-30,sh.688592,61.8500,73.9200,61.0000,69.7100,61.6000,6451664,455052177.2100,3,50.650300,1,13.165600
11,2023-08-31,sh.688592,68.9700,75.6200,67.2000,71.5100,69.7100,6501589,464484454.8500,3,51.042200,1,2.582100
12,2023-09-01,sh.688592,71.0000,71.8000,66.8000,66.8000,71.5100,3299179,227063674.0000,3,25.901000,1,-6.586500
13,2023-09-04,sh.688592,67.3000,71.5800,67.2000,69.0500,66.8000,3453088,240169832.9900,3,27.109300,1,3.368300
14,2023-09-05,sh.688592,69.1600,72.5000,68.5000,69.6600,69.0500,3582971,252694662.9500,3,28.128900,1,0.883400
15,2023-09-06,sh.688592,69.5200,73.4900,65.7600,73.4000,69.6600,4688184,335022372.1100,3,36.805700,1,5.368900
16,2023-09-07,sh.688592,71.0000,71.0500,66.7000,67.0000,73.4000,3379596,231511854.8800,3,26.532300,1,-8.719300
17,2023-09-08,sh.688592,68.1700,80.4000,67.2800,80.4000,67.0000,4619963,342880400.9100,3,36.270100,1,20.000000
18,2023-09-11,sh.688592,77.9600,77.9600,72.2700,72.9100,80.4000,4296922,321623286.4900,3,33.734000,1,-9.315900
19,2023-09-12,sh.688592,73.5000,75.4000,72.0500,72.5200,72.9100,2773975,203191851.8700,3,21.777700,1,-0.534900
20,2023-09-13,sh.688592,71.8000,72.0500,68.7300,70.3000,72.5200,2318747,161990517.9900,3,18.203900,1,-3.061200
21,2023-09-14,sh.688592,69.7100,69.9800,63.2200,63.6800,70.3000,2508649,163832217.6600,3,19.694700,1,-9.416800
22,2023-09-15,sh.688592,63.6900,65.1900,62.3800,63.0500,63.6800,1795922,114293319.5000,3,14.099300,1,-0.989300
23,2023-09-18,sh.688592,62.0300,65.8800,61.5100,63.5100,63.0500,1953510,125354825.5600,3,15.336500,1,0.729600
24,2023-09-19,sh.688592,63.1700,63.4000,60.8200,60.9900,63.5100,1345537,83147833.1500,3,10.563400,1,-3.967900
25,2023-09-20,sh.688592,60.7300,61.7800,59.8100,59.8100,60.9900,962750,58235545.5700,3,7.558300,1,-1.934700
26,2023-09-21,sh.688592,59.0000,62.1800,58.6000,60.3000,59.8100,1557225,95004619.6900,3,12.225400,1,0.819300
27,2023-09-22,sh.688592,59.7900,62.4000,59.4200,62.1000,60.3000,1401764,85514748.8400,3,11.004900,1,2.985100
28,2023-09-25,sh.688592,61.7800,62.0700,60.2300,60.8900,62.1000,1064744,64882033.9800,3,8.359000,1,-1.948500
29,2023-09-26,sh.688592,60.4700,61.2900,59.2400,60.1000,60.8900,881029,53193139.1100,3,6.916700,1,-1.297400
30,2023-09-27,sh.688592,59.8900,61.2000,58.9000,59.0400,60.1000,1155227,69258234.5100,3,9.069400,1,-1.763700
31,2023-09-28,sh.688592,59.0700,61.1400,59.0700,60.1100,59.0400,1151148,69265849.3300,3,9.037400,1,1.812300
32,2023-10-09,sh.688592,60.1900,62.1800,59.5700,60.5800,60.1100,1831284,111971330.4300,3,14.376900,1,0.781900
33,2023-10-10,sh.688592,60.3700,63.2900,60.0200,61.5500,60.5800,1662611,102138599.8400,3,13.052700,1,1.601200
34,2023-10-11,sh.688592,60.9500,63.8200,59.8100,62.5600,61.5500,1957423,121502602.0200,3,15.367200,1,1.640900
35,2023-10-12,sh.688592,61.8800,62.1900,58.4000,60.0500,62.4400,1566474,93591914.3900,3,12.298000,1,-3.827700
36,2023-10-13,sh.688592,59.5000,61.2000,59.1200,60.5200,60.0500,1113654,67384647.3800,3,8.743000,1,0.782700
37,2023-10-16,sh.688592,60.8800,60.8800,57.5700,57.8200,60.5200,1465632,85915600.3300,3,11.506300,1,-4.461300
38,2023-10-17,sh.688592,58.0900,61.8700,56.7000,61.7500,57.8200,2167101,128955421.0200,3,17.013300,1,6.797000
39,2023-10-18,sh.688592,60.5500,60.6600,58.8200,59.0400,61.7500,1329785,78958403.3100,3,10.439800,1,-4.388700
40,2023-10-19,sh.688592,58.5100,63.6000,57.7000,62.2000,59.0400,2627121,163011277.0400,3,20.624800,1,5.352300
41,2023-10-20,sh.688592,62.1500,62.8500,58.6000,59.1300,62.2000,2044270,123306136.6300,3,16.049000,1,-4.935700
42,2023-10-23,sh.688592,59.0000,66.6600,57.0000,62.7400,59.1300,3599920,222748752.9600,3,28.262000,1,6.105200
43,2023-10-24,sh.688592,63.1700,65.7900,62.0800,64.0800,62.7400,3587011,228982056.4500,3,28.160700,1,2.135800
